"GYS1","RIK2","KML3","NUR4","BSP5","QIE6","QVK7","Output22","MQC8","GYI9","NXZ10","IEF11","YXO12"
"P",89.911,82,17.802,69,"N",42.716,"Class4",65.441,32.179,64.153,78.12,70
"U",52.817,36.708,82.74,72,"H",35.8,"Class2",46.46,55.321,39.288,83.781,25
"C",3.826,51.767,43.791,41,"Z",18.394,"Class3",68.365,20.462,57.258,74.24,33
"C",3.892,60.716,37.851,20,"C",48.391,"Class3",7.57,20.927,89.768,42.447,32
"C",4.489,59.307,33.329,47,"C",41.566,"Class3",73.537,23.421,75.527,42.31,40
"K",52.094,35.379,75.288,63,"H",55.225,"Class2",47.505,47.583,35.286,82.234,22
"T",34.744,66.981,40.065,69,"W",13.03,"Class1",9.878,50.179,77.631,27.728,20
"O",3.8,45.001,43.945,73,"D",19.617,"Class3",61.899,19.243,79.481,17.963,50
"T",50.411,35.017,39.73,61,"Z",10.962,"Class1",8.602,46.058,76.679,20.227,6
"U",78.198,80.929,12.255,68,"D",84.026,"Class4",60.678,32.29,83.98,89.21,83
"N",4.873,53.409,29.576,51,"Z",58.369,"Class3",47.91,19.439,59.899,70.1,38
"R",50.4,39.032,81.101,46,"C",67.278,"Class2",46.113,52.521,39.386,83.84,30
"S",39.098,63.636,8.268,74,"S",78.149,"Class4",78.397,32.24,66.739,82.384,68
"O",3.864,71.556,40.697,36,"Z",43.264,"Class3",65.693,23.701,47.572,34.562,25
"K",42.296,36.09,47.466,79,"C",73.643,"Class2",47.602,77.234,39.724,84.728,20
"M",69.236,80.366,17.693,43,"N",71.278,"Class4",90.663,32.466,65.424,79.085,48
"U",34.783,75.904,10.395,69,"Y",26.929,"Class4",63.716,NA,82.498,73.925,74
"S",82.169,75.676,9.72,71,"D",69.413,"Class4",76.383,32.213,62.548,82.766,86
"K",51.88,39.173,93.604,76,"H",65.95,"Class2",47.872,68.823,38.808,83.437,27
"M",2.704,65.745,26.643,8,"Z",23.605,"Class3",50.153,23.285,68.967,71.537,25
"R",44.928,34.497,10.851,57,"C",62.51,"Class2",46.428,39.567,35.868,83.18,35
"F",7.122,52.748,38.921,87,"D",73.688,"Class3",36.622,20.343,64.898,61.554,69
"O",3.888,56.682,40.865,18,"D",34.96,"Class3",64.929,23.929,87.749,79.022,69
"U",41.382,70.097,7.836,61,"D",52.985,"Class4",76.254,32.391,49.813,76.978,60
"N",3.448,26.482,41.394,27,"Z",27.271,"Class3",66.231,23.999,74.241,24.099,63
"C",4.573,50.758,35.876,9,"C",10.96,"Class3",50.908,23.221,92.167,26.151,38
"S",59.921,74.148,15.283,37,"N",111.327,"Class4",57.313,32.028,67.225,85.743,67
"W",29.096,34.63,39.765,63,"N",18.137,"Class1",9.31,54.32,74.979,22.234,32
"T",28.486,19.53,40.158,60,"O",15.972,"Class1",11.631,59.318,75.145,31.822,9
"U",55.413,64.901,14.801,54,"N",115.817,"Class4",56.63,32.766,73.641,87.54,56
"C",4.433,84.231,38.162,36,"R",57.103,"Class3",69.457,NA,77.451,52.134,42
"K",47.896,36.782,58.396,24,"O",55.032,"Class2",47.064,78.659,38.564,84.681,36
"C",2.658,48.844,43.347,13,"D",27.389,"Class3",35.265,23.891,57.622,66.89,60
"U",45.218,32.211,80.724,19,"C",29.168,"Class2",47.719,64.61,40.129,82.232,31
"N",6.917,59.602,42.622,40,"F",1.006,"Class3",56.069,19.575,105.89,58.855,28
"R",47.877,35.629,92.12,23,"O",84.261,"Class2",47.035,74.848,39.556,82.768,22
"T",49.345,38.059,40.758,59,"I",6.972,"Class1",3.985,72.696,74.173,29.899,28
"M",92.857,75.321,9.389,36,"S",61.504,"Class4",90.853,32.636,91.851,80.653,76
"C",9.464,53.229,27.381,13,"F",46.324,"Class3",48.024,21.793,78.308,40.135,53
"Z",86.194,71.229,13.295,49,"S",88.679,"Class4",90.194,32.157,82.125,87.535,54
"W",68.041,43.904,40.415,68,"I",15.257,"Class1",14.357,73.886,74.902,21.406,28
"R",48.698,34.261,77.596,48,"C",47.789,"Class2",47.048,74.168,38.683,83.077,26
"Z",88.537,73.765,11.56,61,"D",70.931,"Class4",58.092,32.075,71.419,79.117,51
"T",50.044,37.011,29.621,77,"T",64.898,"Class2",46.262,83.887,39.224,83.162,38
"R",23.832,36.641,38.932,64,"O",10.542,"Class1",12.103,52.634,75.393,21.34,9
"W",44.516,40.741,38.219,61,"W",12.154,"Class1",14.153,53.13,73.999,20.579,10
"O",6.587,49.864,46.211,86,"D",41.31,"Class3",45.843,20.405,99.831,27.26,38
"R",44.947,36.117,29.456,31,"T",46.192,"Class2",47.586,NA,40.837,83.866,29
"S",59.545,NA,12.627,57,"Y",98.368,"Class4",79.046,32.534,80.056,80.088,50
"T",51.78,36.21,56.78,11,"H",70.743,"Class2",47.024,59.349,40.661,84.308,27
"U",84.816,85.889,17.657,40,"A",47.965,"Class4",72.599,32.064,46.146,74.634,86
"C",4.813,52.945,43.988,74,"R",32.017,"Class3",37.211,21.115,110.445,30.231,41
"N",5.666,NA,42.179,57,"C",0.281,"Class3",16.509,23.162,73.764,49.944,55
"T",65.257,57.527,40.501,59,"W",11.584,"Class1",7.434,63.871,74.825,31.734,37
"E",51.369,31.994,36.804,53,"U",80.232,"Class2",47.35,46.433,39.228,84.977,36
"N",6.247,68.126,27.269,66,"Z",28.648,"Class3",34.031,23.09,70.331,37.325,50
"Z",75.576,74.782,14.248,65,"S",66.055,"Class4",68.682,32.849,77.522,87.864,59
"S",85.249,63.529,14.805,53,"D",64.524,"Class4",75.073,32.402,75.105,70.11,67
"R",37.378,47.766,39.383,59,"I",11.827,"Class1",14.919,52.198,75.759,24.771,41
"O",5.632,62.412,43.889,25,"Z",20.328,"Class3",67.895,21.833,73.156,49.901,67
"T",22.352,55.327,39.931,63,"N",13.82,"Class1",10.886,68.303,76.078,18.781,29
"E",48.827,38.673,90.661,54,"H",65.918,"Class2",46.13,66.308,39.06,83.346,37
"R",48.724,35.747,23.944,31,"C",82.709,"Class2",47.035,49.877,39.536,82.399,25
"E",56.155,38.48,88.729,23,"U",72.073,"Class2",46.568,63.051,40.592,82.192,30
"R",46.167,36.673,36.628,46,"O",76.23,"Class2",46.361,44.386,35.474,84.792,36
"R",48.579,38.291,52.39,72,"U",68.895,"Class2",47.499,67.255,40.913,83.37,38
"Z",56.474,88.612,16.448,54,"A",61.49,"Class4",59.665,32.861,66.104,85.05,78
"H",15.328,28.923,38.13,64,"N",9.588,"Class1",7.016,69.74,75.107,29.061,19
"Z",89.54,69.641,14.282,75,"A",73.244,"Class4",93.586,32.385,74.787,86.446,56
"E",45.443,36.883,44.729,74,"O",65.242,"Class2",46.999,53.315,39.542,84.108,24
"R",56.743,34.471,69.252,44,"O",48.468,"Class2",46.198,47.424,36.986,83.811,25
"F",6.818,61.456,41.479,28,"D",16.957,"Class3",22.912,22.841,70.357,47.935,68
"P",57.115,69.257,13.608,66,"S",78.467,"Class4",69.233,32.356,57.663,76.549,81
"N",2.307,39.901,39.542,29,"R",19.295,"Class3",4.695,22.25,77.871,18.423,65
"O",4.904,63.113,46.884,10,"R",62.155,"Class3",19.247,23.77,91.646,59.326,32
"W",45.987,NA,38.358,65,"I",12.82,"Class1",11.512,55.109,76.198,28.402,39
"U",100.858,65.552,17.091,60,"S",64.869,"Class4",82.146,32.551,53.18,79.67,76
"P",60.854,75.381,7.068,58,"Y",75.111,"Class4",65.779,32.035,80.567,79.855,49
"Z",59.549,68.805,7.115,63,"N",91.895,"Class4",68.924,32.881,77.727,70.27,81
"U",50.495,55.981,15.598,45,"A",72.163,"Class4",72.284,32.457,67.36,89.454,66
"O",2.65,45.57,33.399,17,"D",56.247,"Class3",12.743,20.802,92.613,50.222,35
"C",4.157,50.103,36.896,67,"C",54.513,"Class3",51.87,22.64,63.102,77.377,64
"R",23.844,41.756,39.012,63,"Z",16.618,"Class1",6.058,NA,76.572,20.834,42
"W",38.664,32.031,38.607,65,"W",14.742,"Class1",13.925,54.002,75.718,25.083,44
"M",94.122,73.975,15.785,58,"N",66.782,"Class4",60.831,NA,75.822,81.272,76
"K",47.007,34.361,9.64,35,"T",81.603,"Class2",46.23,48.205,40.884,83.788,38
"O",5.924,38.291,29.867,75,"D",25.421,"Class3",51.905,19.599,40.47,50.734,27
"H",62.538,51.044,38.726,59,"N",14.138,"Class1",7.603,55.632,75.784,18.011,34
"R",17.582,56.458,40.393,69,"Z",19.185,"Class1",8.168,60.119,76.63,23.915,31
"O",0.723,74.851,42.088,16,"Z",10.665,"Class3",61.015,22.861,77.574,55.01,61
"E",46.29,37.872,87.327,35,"O",63.65,"Class2",47.428,72.569,37.513,82.784,21
"T",36.338,35.646,39.55,60,"W",11.377,"Class1",9.588,54.502,75.176,31.008,29
"F",7.906,NA,40.24,17,"Z",18.275,"Class3",57.807,21.058,58.084,33.483,31
"W",37.427,48.278,38.772,66,"O",14.209,"Class1",6.01,43.535,75.314,19.178,40
"U",51.699,40.019,22.954,32,"O",71.535,"Class2",47.305,64.866,36.966,83.132,31
"E",46.625,33.97,18.522,34,"T",67.92,"Class2",47.891,51.347,41.076,84.313,21
"K",52.234,35.017,90.411,64,"U",74.939,"Class2",46.228,70.599,41.471,84.581,27
"M",7.763,45.039,35.67,11,"R",40.739,"Class3",30.147,19.026,68.753,63.317,63
"C",2.987,67.188,39.65,83,"R",23.504,"Class3",64.321,23.841,59.725,59.068,57
"M",2.509,NA,45.353,45,"R",37.898,"Class3",5.095,21.115,45.068,53.738,63
"U",61.454,NA,9.005,52,"S",88.461,"Class4",92.043,32.316,66.772,80.74,50
"I",18.571,71.209,39.563,62,"O",13.71,"Class1",5.342,61.77,75.27,19.576,19
"E",48.997,36.743,45.681,31,"U",73.932,"Class2",47.933,59.666,39.667,83.676,35
"M",61.511,NA,8.417,71,"A",79.073,"Class4",90.703,32.553,92.157,82.873,53
"M",5.215,78.491,30.357,84,"R",43.761,"Class3",24.415,19.195,76.337,46.616,66
"N",4.231,33.031,42.256,19,"F",36.24,"Class3",3.555,22.762,83.61,39.609,26
"K",52.316,36.892,85.533,71,"C",61.707,"Class2",46.7,NA,38.233,84.539,35
"E",47.408,33.868,21.096,26,"T",89.547,"Class2",46.846,62.092,41.163,82.52,29
"F",3.041,56.863,31.124,57,"Z",35.438,"Class3",61.671,22.573,58.416,36.434,29
"M",62.305,86.886,10.224,50,"A",53.585,"Class4",74.804,32.411,63.07,77.05,52
"U",46.654,35.732,55.324,35,"T",72.07,"Class2",47.883,50.114,39.906,83.621,20
"S",99.891,74.195,16.597,46,"A",80.354,"Class4",71.206,32.347,71.766,78.247,76
"S",95.408,67.843,7.342,67,"N",99.664,"Class4",82.58,32.125,42.432,73.371,83
"M",8.025,71.196,32.074,35,"D",31.687,"Class3",46.667,24.921,58.775,79.922,49
"S",77.986,61.128,9.016,71,"A",70.775,"Class4",68.429,32.836,70.13,89.592,71
"U",82.714,64.399,9.392,74,"S",57.912,"Class4",93.606,32.933,52.369,89.437,59
"C",5.589,71.278,30.883,88,"Z",46.341,"Class3",34.493,21.041,56.922,75.97,28
"F",5.958,35.189,37.581,9,"F",-8.494,"Class3",63.769,20.348,70.158,62.79,49
"M",3.37,57.596,26.336,84,"D",12.872,"Class3",24.582,23.489,66.633,25.555,37
"N",6.421,58.117,31.229,43,"D",50.879,"Class3",57.94,19.188,90.552,58.507,64
"F",5.095,49.395,44.805,60,"D",41.381,"Class3",46.828,19.058,62.775,25.833,60
"P",74.099,NA,17.441,75,"N",79.053,"Class4",80.991,32.017,82.877,84.24,81
"C",6.331,60.906,39.344,22,"F",38.958,"Class3",42.905,22.976,103.221,23.191,42
"T",51.175,38.634,13.378,18,"C",41.157,"Class2",47.617,65.75,37.199,82.439,34
"N",5.315,65.214,27.839,9,"F",40.379,"Class3",11.841,NA,99.752,18.723,40
"T",51.487,35.461,89.735,40,"O",53.267,"Class2",47.348,65.411,37.759,82.478,37
"R",40.895,68.021,39.77,61,"W",11.837,"Class1",6.782,74.909,74.339,27.797,23
"R",51.584,33.638,42.022,60,"O",65.525,"Class2",46.204,57.362,37.732,82.386,24
"M",3.655,58.179,46.114,72,"D",25.314,"Class3",52.934,22.4,73.775,54.325,30
"R",12.179,48.711,38.916,59,"N",9.461,"Class1",6.982,56.397,75.302,25.275,40
"N",6.234,50.63,48.363,48,"C",15.955,"Class3",34.459,20.992,87.919,52.824,26
"P",79.281,75.897,9.401,45,"A",76.005,"Class4",66.243,32.157,76.004,77.571,77
"R",15.761,46.984,40.339,68,"N",20.683,"Class1",10.438,43.413,76.791,17.087,17
"P",80.215,78.849,16.012,55,"D",80.696,"Class4",82.929,32.849,51.263,79.13,76
"H",35.424,42.475,40.681,66,"I",8.158,"Class1",12.651,54.839,75.402,20.675,35
"R",26.552,42.766,40.803,63,"Z",16.24,"Class1",5.01,NA,75.283,28.053,16
"S",86.007,74.291,16.612,41,"D",61.873,"Class4",56.903,32.773,70.146,69.843,53
"M",9.154,33.642,32.178,13,"F",50.92,"Class3",38.162,21.102,51.041,31.951,54
"I",40.355,65.88,40.091,67,"O",11.977,"Class1",8.384,75.044,74.873,22.309,22
"P",70.697,72.662,16.969,74,"Y",39.893,"Class4",57.38,32.44,60.173,81.552,66
"P",94.816,NA,14.774,71,"A",58.148,"Class4",73.446,32.82,72.593,83.604,84
"R",16.248,61.729,38.846,64,"Z",12.458,"Class1",5.376,47.304,75.349,18.743,10
"C",5.546,58.313,34.222,86,"R",12.113,"Class3",16.085,21.534,65.02,77.196,58
"C",2.801,50.33,44.486,72,"C",31.966,"Class3",63.501,19.85,67.971,61.061,31
"P",61.849,63.331,16.417,68,"D",62.44,"Class4",80.326,32.659,63.84,78.88,54
"Z",85.159,77.668,8.352,67,"Y",41.212,"Class4",55.512,32.698,71.178,70.311,59
"F",6.449,58.798,33.177,21,"Z",32.187,"Class3",27.369,21.123,67.675,31.307,52
"U",62.739,86.741,9.162,44,"N",69.523,"Class4",84.437,32.142,92.165,72.18,57
"S",53.032,71.918,8.053,59,"D",82.83,"Class4",67.469,32.277,71.594,76.706,56
"I",48.478,NA,39.685,68,"N",21.356,"Class1",13.673,56.552,76.387,23.41,10
"H",19.503,50.013,39.763,67,"W",14.494,"Class1",10.819,65.846,73.92,29.389,2
"F",1.937,70.124,32.812,80,"R",24.264,"Class3",53.698,19.094,66.816,17.101,39
"I",33.74,50.721,38.53,59,"N",13.103,"Class1",6.739,74.649,74.638,26.411,42
"R",17.379,32.004,39.955,61,"W",13.308,"Class1",8.224,48.508,73.961,26.066,11
"T",32.139,49.586,40.849,66,"W",11.724,"Class1",11.542,74.537,75.565,27.974,14
"F",2.964,50.146,41.377,55,"R",20.496,"Class3",53.283,20.005,96.542,80.6,64
"T",53.838,35.694,49.264,61,"C",64.897,"Class2",46.216,70.499,37.532,84.206,31
"F",4.534,37.211,32.642,70,"F",41.489,"Class3",4.489,21.643,80.52,80.92,53
"M",3.522,56.302,43.978,73,"R",16.503,"Class3",65.201,19.569,52.549,22.592,62
"I",40.124,63.099,38.13,69,"Z",15.335,"Class1",4.23,53.485,74.606,19.065,32
"I",29.645,42.174,38.129,59,"W",15.803,"Class1",7.823,74.123,76.105,19.921,23
"I",18.173,30.167,39.326,67,"O",22.18,"Class1",11.954,71.507,75.271,19.174,22
"K",47.131,35.513,69.495,60,"C",69.941,"Class2",47.754,39.827,38.019,84.432,20
"R",50.04,38.076,47.996,30,"C",88.704,"Class2",47.021,68.833,35.685,82.208,35
"R",55.476,34.385,89.879,54,"H",53.572,"Class2",47.627,70.068,38.542,84.409,36
"U",74.923,74.506,7.986,51,"S",75.692,"Class4",74.28,32.442,67.503,88.802,66
"F",4.416,47.264,42.85,15,"C",20.198,"Class3",6.449,22.051,70.871,59.163,63
"Z",60.89,86.721,14.178,76,"D",80.563,"Class4",65.97,32.979,80.523,89.262,73
"I",24.153,31.9,39.351,69,"N",15.603,"Class1",9.538,68.162,74.368,27.492,2
"T",29.776,45.768,38.625,67,"I",9.172,"Class1",9.446,65.314,74.268,18.143,33
"W",60.874,38.652,40.689,69,"W",16.518,"Class1",7.189,46.128,74.68,30.47,28
"R",53.45,36.217,30.99,20,"O",67.351,"Class2",47.836,80.075,38.911,84.427,21
"M",39.176,77.395,12.271,51,"Y",94.976,"Class4",82.037,32.269,81.389,88.569,55
"H",51.016,21.367,38.113,66,"W",16.805,"Class1",3.512,63.563,76.242,17.43,31
"U",56.522,NA,11.663,68,"O",77.588,"Class2",46.351,41.892,38.933,82.936,29
"Z",63.843,77.746,7.596,42,"S",69.49,"Class4",62.331,32.091,59.482,70.81,83
"T",39.367,81.016,39.563,60,"I",14.202,"Class1",5.373,70.767,77.578,29.464,24
"U",63.627,81.093,15.032,61,"A",74.437,"Class4",59.366,32.223,65.457,72.023,71
"H",60.798,50.116,39.203,63,"O",6.84,"Class1",13.185,51.738,75.177,27.481,8
"U",49.3,36.185,21.528,30,"T",62.369,"Class2",46.243,81.327,40.219,84.765,29
"O",5.125,80.239,44.297,78,"C",41.485,"Class3",45.559,NA,89.495,56.296,62
"N",6.734,61.672,45.023,36,"D",43.344,"Class3",39.672,NA,84.649,50.949,67
"I",44.105,66.518,38.8,64,"W",12.395,"Class1",12.491,57.912,75.397,20.157,16
"O",5.11,61.374,30.296,41,"D",-4.496,"Class3",32.982,20.955,77.301,67.41,49
"S",72.995,84.913,16.202,59,"D",59.41,"Class4",60.05,32.747,59.161,70.9,54
"M",7.485,64.71,32.348,26,"F",3.102,"Class3",5.158,21.898,68.481,74.52,28
"U",64.669,85.063,13.789,54,"A",108.408,"Class4",72.07,32.131,80.668,77.865,61
"I",54.575,31.465,39.86,68,"Z",12.624,"Class1",13.66,45.578,74.984,17.703,19
"U",79.341,66.164,16.819,72,"D",87.974,"Class4",58.5,32.713,65.492,69.561,87
"F",3.232,73.98,40.481,67,"Z",16.051,"Class3",76.298,24.819,56.285,32.395,26
"K",48.321,37.177,31.006,51,"C",58.985,"Class2",47.941,70.702,36.848,83.191,31
"M",106.537,70.538,12.084,69,"S",76.045,"Class4",87.324,NA,38.356,89.95,54
"I",35.372,31.178,40.094,66,"W",14.325,"Class1",10.146,55.824,73.743,21.022,5
"P",78.129,NA,13.47,45,"A",56.635,"Class4",81.831,32.481,96.373,88.724,84
"F",6.99,53.795,45.263,35,"Z",9.759,"Class3",29.102,19.566,48.83,58.262,46
"N",5.976,57.337,34.709,79,"D",34.401,"Class3",5.356,19.442,74.011,50.22,39
"R",47.262,51.832,39.918,59,"I",14.088,"Class1",11.697,45.949,74.246,17.008,36
"O",6.141,66.707,34.637,54,"Z",27.2,"Class3",22.811,23.6,82.384,65.492,63
"R",45.066,38.292,48.95,21,"U",73.467,"Class2",46.012,67.812,42.45,82.381,36
"T",30.798,58.749,40.732,68,"Z",10.124,"Class1",12.564,75.055,75.293,28.775,17
"W",44.883,41.34,38.536,66,"O",6.005,"Class1",14.333,44.096,76.092,21.774,20
"K",45.742,36.786,35.267,66,"U",52.706,"Class2",46.701,67.122,39.3,82.406,26
"H",12.577,27.28,39.376,69,"O",7.597,"Class1",10.766,63.98,75.589,27.861,17
"K",49.837,35.33,78.964,28,"T",63.496,"Class2",46.013,82.789,37.479,84.995,25
"K",46.551,34.124,58.157,55,"T",74.511,"Class2",47.138,52.706,38.952,82.937,37
"W",50.637,37.762,39.565,60,"O",10.272,"Class1",13.445,65.636,75.457,19.681,22
"R",25.384,58.435,38.552,61,"W",17.921,"Class1",10.824,68.385,77.594,31.458,37
"O",2.342,NA,31.995,79,"C",27.474,"Class3",74.165,20.537,86.677,28.256,42
"K",52.885,38.816,24.486,49,"O",81.758,"Class2",47.301,65.113,36.645,83.085,31
"W",38.367,73.975,40.812,68,"N",21.522,"Class1",7.937,45.202,74.953,26.219,36
"Z",91.809,70.586,13.414,44,"N",74.518,"Class4",65.096,32.381,63.948,70.627,75
"S",71.392,80.179,13.119,65,"N",49.451,"Class4",65.411,32.899,51.507,76.215,76
"E",49.881,35.73,12.964,38,"H",56.84,"Class2",47.978,NA,38.324,82.46,36
"K",48.413,36.224,60.501,14,"O",60.601,"Class2",46.841,38.788,40.821,83.318,27
"C",5.368,65.584,27.542,45,"Z",20.029,"Class3",30.435,22.716,70.424,39.29,47
"I",47.318,38.341,40.324,63,"I",14.289,"Class1",6.407,63.586,76.4,27.737,9
"S",71.773,80.07,10.413,59,"S",78.283,"Class4",87.402,32.123,50.745,69.001,77
"T",39.83,39.157,39.352,61,"O",19.638,"Class1",14.678,58.906,76.329,19.735,12
"O",2.669,48.537,36.618,88,"Z",51.087,"Class3",32.872,21.547,59.089,18.24,29
"F",7.82,38.021,34.125,84,"C",23.481,"Class3",25.431,21.097,83.049,79.035,48
"M",66.523,71.227,15.457,42,"S",85.387,"Class4",82.25,32.245,54.649,86.165,61
"T",51.506,35.702,71.488,21,"O",55.572,"Class2",47.416,55.853,36.456,83.513,27
"W",1.738,72.082,40.828,61,"W",10.987,"Class1",6.222,59.394,75.648,27.62,42
"I",26.086,34.268,39.414,65,"N",15.054,"Class1",12.825,59.227,75.508,21.744,32
"E",47.36,34.64,53.198,17,"C",83.514,"Class2",47.062,38.234,41.592,83.31,35
"F",1.606,39.755,39.955,19,"R",20.973,"Class3",5.861,20.323,59.184,39.154,29
"U",48.017,34.13,64.971,54,"U",62.53,"Class2",47.448,50.885,39.931,83.521,34
"H",33.521,40.508,38.347,63,"N",10.658,"Class1",7.107,75.46,76.221,23.892,34
