"WYI1","ECB2","Output5","RKH3","DKI4","JIA5","HTD6","CGX7","KHF8","LSH9","OZT10","ODQ11","LYB12"
93,60.31,"Class2",33.561,27.043,49.906,69,"I",59.711,35.594,"R",93.183,23.429
73,47.212,"Class3",60.25,70.294,82.724,24,"M",28.576,27.397,"Z",49.159,90.674
32,46.952,"Class3",63.967,69.116,76.045,28,"K",13.51,19.208,"I",50.855,71.277
65,54.316,"Class1",91.359,34.675,22.686,64,"D",31.715,24.712,"R",66.583,50.217
62,40.586,"Class3",63.702,70.226,91.437,22,"M",25.974,23.218,"I",51.187,90.888
98,69.991,"Class2",32.962,27.176,55.384,24,"A",58.659,41.818,"C",93.555,41.963
90,46.487,"Class2",37.796,29.183,66.191,27,"D",59.021,1.911,"P",94.118,23.949
68,62.082,"Class1",86.828,9.244,46.646,73,"S",29.152,57.075,"W",84.653,38.481
99,56.653,"Class2",25.739,28.196,31.752,59,"X",58.556,58.314,"C",92.706,34.732
73,30.059,"Class1",76.599,19.212,28.182,66,"S",34.36,50.47,"X",75.228,40.587
64,45.703,"Class1",68.253,22.013,20.118,68,"V",31.682,49.673,"W",79.641,53.855
76,42.515,"Class3",57.762,69.62,76.628,8,"P",23.718,19.194,"I",50.105,89.382
96,85.829,"Class2",35.158,27.654,62.174,74,"D",60.294,86.599,"H",97.574,37.712
91,42.596,"Class3",60.004,69.095,82.128,4,"K",19.023,25.83,"O",50.61,75.576
86,40.024,"Class3",45.81,69.09,98.221,14,"J",18.852,23.164,"I",48.465,88.974
70,40.347,"Class1",81.185,20.831,16.542,68,"C",28.623,37.404,"C",98.472,53.27
73,31.429,"Class1",67.45,25.5,25.749,70,"C",25.986,51.726,"C",63.183,36.946
70,42.199,"Class1",77.455,12.919,34.107,64,"R",34.086,18.26,"W",86.025,39.981
72,47.878,"Class1",75.766,26.711,8.061,73,"S",32.093,23.507,"C",75.516,51.286
87,44.264,"Class3",61.81,69.85,76.248,29,"J",18.266,21.049,"O",49.308,87.113
95,40.798,"Class2",32.446,29.125,59.403,63,"I",60.996,89.67,"C",93.983,55.951
64,41.643,"Class1",86.557,8.964,42.704,71,"C",28.458,29.985,"X",82.117,48.627
68,44.227,"Class3",63.551,70.555,96.356,14,"P",18.226,22.644,"Z",43.846,70.133
70,44.547,"Class1",73.554,28.453,15.158,67,"D",28.56,56.095,"W",95.361,39.403
99,83.744,"Class2",48.645,28.157,46.423,25,"C",NA,71.662,"H",91.164,11.263
93,31.26,"Class2",32.871,26.201,54.198,38,"C",57.73,82.63,"O",90.071,62.009
70,47.402,"Class1",80.197,11.427,38.774,68,"S",31.222,25.289,"W",83.44,46.632
78,44.846,"Class3",57.173,69.261,83.979,8,"K",NA,20.424,"Z",49.134,80.946
63,45.321,"Class1",85.632,32.842,6.248,70,"C",29.959,44.96,"C",86.423,56.872
64,49.617,"Class1",80.719,37.555,27.565,70,"D",24.626,27.407,"C",72.254,44.89
95,56.277,"Class2",36.474,27.23,40.641,45,"I",58.506,73.225,"O",92.266,59.799
67,39.798,"Class1",85.402,30.811,36.494,68,"C",26.1,34.386,"W",76.97,40.569
91,45.012,"Class2",31.888,26.968,58.914,55,"C",59.95,0.464,"R",93.021,67.596
96,74.182,"Class2",44.804,29.173,53.531,33,"X",NA,40.146,"C",88.443,42.622
53,40.328,"Class3",47.896,70.278,110.314,4,"J",18.198,18.75,"O",57.416,64.785
94,39.338,"Class2",43.072,27.93,50.793,79,"A",60.109,34.634,"O",92.505,65.319
69,46.297,"Class1",85.985,34.09,34.597,73,"R",24.897,24.9,"D",87.179,50.607
68,35.559,"Class1",81.444,19.352,38.842,65,"C",34.371,34.935,"R",75.563,52.585
95,66.068,"Class2",32.205,27.102,59.758,24,"I",60.093,96.233,"H",NA,62.189
90,44.792,"Class3",48.368,69.851,93.586,21,"M",20.818,19.899,"R",50.158,73.108
32,43.318,"Class3",61.037,69.779,101.536,23,"M",14.208,24.455,"R",44.657,84.551
76,41.44,"Class3",58.167,69.68,75.263,32,"M",20.139,18.915,"Z",50.436,73.167
68,58.394,"Class1",75.221,19.303,33.807,71,"D",30.605,35.094,"X",77.406,37.857
67,61.341,"Class1",65.716,35.49,20.328,73,"R",26.987,28.984,"W",87.152,35.239
99,53.893,"Class2",44.303,29.83,50.225,68,"X",59.373,106.446,"R",95.429,20.773
64,46.506,"Class3",60.284,70.283,89.271,21,"M",14.406,19.258,"O",40.846,73.569
94,63.648,"Class2",49.131,28.09,58.474,44,"I",57.953,2.272,"O",94.987,43.679
70,43.264,"Class1",68.522,35.054,37.147,66,"C",28.228,35.55,"D",80.768,46.407
99,72.368,"Class2",40.134,28.84,68.675,77,"C",57.412,49.375,"O",91.881,16.779
39,45.887,"Class3",51.035,70.811,75.31,22,"J",16.373,24.153,"R",45.807,79.375
96,17.232,"Class2",35.197,27.055,63.924,78,"C",59.763,15.416,"C",93.622,63.22
69,30.226,"Class1",64.406,27.127,22.575,64,"R",29.613,30.63,"W",93.014,51.924
90,54.534,"Class2",54.342,29.095,54.814,43,"D",58.846,48.607,"P",92.348,51.409
44,43.04,"Class3",64.002,68.789,80.711,21,"E",27.736,22.994,"Z",56.329,86.542
92,21.563,"Class2",45.309,27.779,60.052,62,"X",60.704,25.75,"R",95.239,58.136
99,38.054,"Class2",25.759,27.874,51.121,60,"I",59.546,84.396,"R",94.325,20.812
90,79.133,"Class2",30.487,28.915,58.641,80,"I",59.236,62.3,"O",87.57,48.205
90,30.141,"Class2",49.848,28.244,59.989,80,"X",59.864,37.841,"R",91.051,40.213
39,45.411,"Class3",63.697,71.09,97.98,25,"P",NA,26.483,"O",39.838,80.761
44,44.401,"Class3",62.496,69.667,78.084,7,"K",24.98,24.196,"I",57.934,85.879
39,46.074,"Class3",47.251,70.814,83.908,22,"E",24.096,21.403,"O",53.524,86.134
85,45.637,"Class3",61.215,70.123,98.509,13,"J",24.9,24.932,"G",49.94,64.756
71,54.78,"Class1",78.299,30.992,39.422,67,"C",30.783,36.107,"C",75.873,52.5
89,47.592,"Class3",55.497,69.485,99.758,16,"M",24.65,21.113,"R",47.799,85.669
72,64.52,"Class1",89.787,24.884,29.806,70,"D",24.562,33.043,"W",81.611,54.863
73,44.323,"Class1",84.596,21.668,39.091,66,"R",27.884,61.236,"R",87.437,52.79
71,58.632,"Class1",86.957,22.916,36.419,70,"D",35.262,23.546,"C",NA,54.193
67,42.403,"Class1",93.573,7.847,34.762,73,"V",35.774,55.558,"X",76.023,34.311
50,46.495,"Class3",44.692,70.269,91.778,5,"J",28.202,19.711,"O",44.513,75.167
72,62.279,"Class1",75.794,51.253,19.255,70,"C",24.586,30.823,"W",84.448,37.477
94,17.946,"Class2",54.515,28.357,34.296,34,"D",60.957,2.986,"C",91.112,60.837
74,41.814,"Class3",55.596,69.78,70.045,22,"E",24.226,20.036,"G",49.453,62.676
72,61.972,"Class1",74.148,27.171,34.087,71,"R",28.485,33.465,"R",76.477,56.609
64,39.251,"Class3",54.108,70.478,66.843,24,"M",16.15,21.004,"I",50.619,79.125
67,41.976,"Class3",57.745,69.4,76.73,25,"M",19.041,18.801,"I",47.451,87.141
96,62.999,"Class2",32.528,26.437,53.271,63,"C",59.521,13.605,"R",91.914,60.4
68,58.554,"Class1",76.266,20.184,17.297,67,"D",25.297,77.152,"X",NA,48.838
69,69.456,"Class1",81.118,20.084,41.712,69,"S",25.627,29.313,"C",82.137,52.487
99,44.004,"Class2",33.234,30.624,51.133,70,"D",58.449,37.537,"H",93.019,69.596
96,56.777,"Class2",34.74,27.657,64.087,23,"I",59.094,3.003,"R",91.004,41.335
71,46.886,"Class1",61.362,21.116,18.178,69,"V",28.588,41.774,"X",86.866,48.193
65,36.299,"Class1",75.951,32.678,31.29,69,"S",34.637,45.423,"X",82.735,53.115
66,49.448,"Class1",62.805,29.552,33.989,73,"V",29.941,11.421,"W",NA,51.844
70,60.893,"Class1",90.712,13.93,33.276,64,"D",33.341,45.568,"D",96.431,39.934
95,25.536,"Class2",56.42,30.389,53.586,39,"C",60.779,31.832,"H",91.628,44.957
96,22.36,"Class2",57.253,28.659,47.462,40,"A",58.461,19.364,"R",92.873,43.192
41,45.632,"Class3",48.332,69.612,80.588,28,"E",28.989,28.394,"Z",31.993,84.482
86,47.128,"Class3",45.211,70.171,88.57,16,"J",26.456,21.692,"I",43.404,90.936
69,36.422,"Class1",92.212,26.201,29.348,69,"S",35.259,17.03,"R",97.491,46.572
68,45.829,"Class1",61.034,20.109,17.535,68,"S",31.962,26.196,"D",76.645,44.842
66,30.507,"Class1",60.073,29.43,33.333,72,"S",25.757,37.075,"R",71.829,52.427
97,85.703,"Class2",55.024,29.083,46.211,30,"D",59.412,57.437,"H",94.156,17.888
93,41.033,"Class2",25.027,28.882,32.349,71,"A",57.655,91.141,"P",92.533,18.717
97,31.741,"Class2",43.086,30.349,42.897,74,"A",60.025,-2.417,"H",91.715,37.497
90,52.151,"Class2",50.035,28.092,73.535,44,"D",59.327,69.51,"O",90.87,36.402
65,50.574,"Class1",76.212,34.503,33.871,73,"C",28.814,6.663,"C",80.519,33.238
99,31.824,"Class2",46.542,27.006,67.524,60,"A",58.008,61.379,"H",93.798,16.652
73,44.64,"Class3",53.728,69.739,75.014,16,"M",15.719,23.922,"G",45.749,83.363
64,39.329,"Class1",73.071,28.701,21.6,70,"V",35.837,44.352,"D",110.315,42.656
72,54.95,"Class1",74.246,18.255,8.833,69,"R",31.393,33.721,"D",94.481,49.128
31,44.383,"Class3",45.584,69.683,87.295,17,"J",21.933,23.331,"R",53.96,65.133
94,40.36,"Class2",34.612,27.467,34.155,70,"C",58.242,110.172,"C",92.208,43.119
63,55.852,"Class1",90.349,29.732,20.974,68,"C",24.797,25.858,"X",NA,32.266
51,47.561,"Class3",53.957,69.776,65.572,31,"E",26.192,19.752,"Z",51.39,79.145
66,47.778,"Class3",59.492,69.619,88.476,13,"K",28.41,24.806,"I",40.441,84.108
88,47.585,"Class3",52.575,69.935,80.431,7,"P",26.974,22.766,"I",45.124,67.823
92,80.901,"Class2",39.643,30.296,76.235,31,"D",58.108,50.117,"C",91.517,12.225
92,79.024,"Class2",45.457,30.26,52.736,82,"X",59.051,38.777,"O",93.208,44.764
97,79.075,"Class2",49.084,28.174,69.394,42,"X",58.679,66.658,"C",91.6,47.297
72,63.699,"Class1",86.277,30.419,8.595,64,"D",24.796,68.379,"C",75.289,40.391
