"Output11","EVC1","CXK2","FKO3","IWU4","ANT5","PZK6","EZW7","SFA8","CLB9","LQW10","TKH11"
"Class2",28.892,64.886,28.289,85.668,"X","Z",25.692,69.924,8,16.627,48.371
"Class3",48.759,41.044,28.412,51.58,"C","T",13.033,54.161,57,70.94,52.983
"Class1",46.691,29.346,52.723,40.73,"W","R",71.097,24.22,54,12.772,54.69
"Class1",63.315,49.59,87.096,66.273,"W","V",75.615,27.417,23,40.826,16.934
"Class5",87.17,59.959,16.502,41.285,"I","G",24.963,63.044,30,42.616,64.344
"Class3",58.441,40.68,33.76,58.365,"C","T",18.832,29.105,59,79.256,36.562
"Class1",32.586,38.398,79.607,65.493,"N","Q",70.056,22.033,24,24.199,23.783
"Class4",46.361,57.45,11.276,54.942,"Q","C",52.504,76.41,31,25.007,55.768
"Class3",56.607,33.786,32.784,64.288,NA,"A",12.583,61.8,69,88.098,41.928
"Class3",13.264,36.067,27.443,54.369,"J","U",19.016,29.033,79,71.839,38.651
"Class1",24.8,22.279,68.753,49.465,"V","W",72.612,28.496,47,14.856,42.628
"Class2",-0.184,41.06,22.805,68.502,"K","B",28.573,68.457,28,31.405,14.979
"Class1",31.616,54.294,49.783,43.252,NA,"Q",66.206,23.365,41,16.36,39.95
"Class3",62.155,31.537,32.149,56.489,"A","A",14.237,75.748,69,79.187,37.867
"Class2",12.699,40.58,17.744,49.581,"D","W",2.066,61.841,20,34.862,20.536
"Class5",84.534,57.888,15.026,39.518,"A","B",9.572,40.152,39,38.671,54.041
"Class1",5.821,36.69,59.093,56.74,"W","W",67.022,22.26,45,44.752,20.932
"Class1",40.777,31.699,58.55,58.922,"V","W",71.362,27.622,46,36.208,27.604
"Class1",-28.836,54.039,85.498,69.336,"N","B",79.563,24.135,24,24.958,39.329
"Class1",-5.952,43.09,90.692,56.358,"O","R",74.313,27.808,34,40.876,56.288
"Class2",11.061,54.534,16.713,90.997,"F","H",14.182,69.176,10,6.276,39.053
"Class1",-9.663,17.492,70.061,52.661,"W","V",71.864,25.644,36,47.3,25.927
"Class1",19.06,41.769,98.742,44.848,"W","B",69.415,23.362,25,35.951,10.18
"Class5",91.348,81.606,15.58,45.231,"A","G",11.371,13.277,38,22.037,59.84
"Class4",74.692,59.749,4.966,57.375,"Z","Z",38.82,76.854,29,39.296,72.879
"Class2",-18.401,47.289,19.611,64.374,"X","H",2.523,69.811,6,10.37,35.743
"Class1",6.985,45.125,52.192,59.373,"V","B",79.184,25.397,35,28.99,12.885
"Class3",30.538,27.023,29.419,13.646,"A","D",14.236,57.09,64,76.563,40.074
"Class4",30.98,58.271,10.116,50.038,"Z","M",76.349,76.012,30,50.471,75.499
"Class3",58.714,34.98,28.081,68.317,"S","R",15.578,23.163,80,86.057,42.009
"Class5",87.71,53.006,16.729,42.77,"A","A",11.686,74.921,13,4.074,62.917
"Class4",75.792,59.373,14.892,32.235,"K","Z",60.93,80.557,33,59.531,70.115
"Class4",58.593,59.247,4.727,43.01,"K","C",37.579,79.117,32,44.066,67.526
"Class3",71.679,27.532,29.287,43.734,"C","U",8.656,42.163,59,72.194,35.206
"Class2",30.778,47.789,19.769,NA,"F","W",36.358,65.288,43,31.87,10.032
"Class5",84.233,40.598,16.145,38.797,"I","X",18.58,24.389,7,36.317,67.61
"Class1",34.538,25.541,93.569,NA,"W","W",67.573,31.056,29,44.01,34.787
"Class2",27.974,77.773,31.244,41.352,"R","H",61.515,69.403,22,11.297,61.705
"Class1",13.327,55.63,72.83,46.065,"V","R",74.118,28.99,26,16.647,26.345
"Class3",41.137,39.718,33.692,47.48,"J","R",7.158,72.128,70,77.223,46.249
"Class4",47.278,59.389,6.826,43.675,"Q","W",81.9,77.197,34,45.752,77.532
"Class3",81.903,37.888,31.801,44.957,"S","U",9.936,56.338,60,80.048,40.687
"Class3",50.156,35.068,34.688,29.837,"S","D",20.49,52.532,73,83.783,45.1
"Class4",43.002,58.373,17.523,38.465,"Q","J",69.19,79.458,30,45.348,57.047
"Class4",74.226,58.871,11.436,54.674,"W","Z",73.647,75.207,32,57.182,91.09
"Class4",55.7,59.554,18.214,43.291,"Q","C",70.062,77.983,33,23.477,55.435
"Class4",49.422,59.165,18.127,38.703,"G","J",80.899,78.283,33,31.047,86.63
"Class5",89.52,16.672,16.834,45.314,"L","S",21.757,74.778,38,13.464,71.709
"Class3",67.081,37.812,28.302,68.549,"J","R",16.505,32.298,77,75.083,42.894
"Class2",28.835,70.267,19.645,77.59,"K","W",22.075,67.799,40,19.005,49.093
"Class1",35.151,44.444,57.755,48.646,"N","Q",74.907,27.206,31,33.766,11.87
"Class4",50.653,59.532,6.077,NA,"G","M",81.586,80.484,32,39.548,76.578
"Class2",30.241,57.932,24.791,78.785,"D","H",15.233,61.055,12,18.968,24.389
"Class4",98.279,58.799,4.867,38.108,"W","C",49.972,78.216,34,32.998,74.86
"Class2",28.878,39.021,31.454,57.524,"X","B",49.247,63.5,10,20.754,15.89
"Class4",50.164,59.168,13.905,47.063,"Q","C",78.671,76.599,32,59.59,74.967
"Class3",65.65,34.608,31.697,61.476,"J","R",15.211,38.841,56,77.189,39.277
"Class2",13.283,72.532,12.764,77.565,"K","H",59.364,66.006,38,21.14,50.554
"Class2",35.185,53.187,28.523,74.993,"D","Z",38.263,67.777,26,27.631,15.268
"Class2",27.688,81.005,33.609,85.896,"X","B",47.462,66.799,33,20.399,24.35
"Class1",22.903,33.847,67.876,35.228,"V","V",68.375,23.541,52,41.082,26.835
"Class5",87.16,70.091,16.73,41.095,"I","B",22.62,19.06,26,22.764,73.116
"Class3",33.857,32.853,27.657,53.631,"J","D",14.616,72.704,74,83.73,43.816
"Class2",-8.019,46.536,15.252,62.995,"K","B",12.923,69.001,15,16.555,64.132
"Class2",14.826,48.393,16.212,83.462,"K","W",36.771,61.7,19,11.761,11.23
"Class1",46.214,24.055,55.81,59.922,"O","W",72.736,31.666,47,45.755,9.112
"Class3",65.305,33.624,31.881,58.069,"S","D",17.36,27.904,59,74.085,42.102
"Class5",89.385,54.539,15.106,48.745,"I","S",15.851,23.225,18,26.462,46.657
"Class4",48.236,59.501,17.024,44.085,"Z","M",58.906,78.761,29,52.162,67.718
"Class3",36.653,27.616,30.83,62.1,"S","A",24.291,77.79,68,76.268,40.053
"Class3",60.929,35.769,34.982,53.889,"Z","U",14.638,47.74,80,87.104,35.978
"Class2",19.941,65.139,39.16,NA,"K","N",21.754,67.119,17,25.949,37.206
"Class5",85.236,20.755,16.706,47.079,"L","S",26.938,74.601,15,11.25,61.422
"Class4",30.415,57.879,11.058,46.78,"G","C",112.734,80.461,31,27.841,52.452
"Class1",23.538,50.523,48.741,69.336,"V","V",74.822,30.015,24,46.513,51.93
"Class3",23.87,26.002,34.563,69.837,NA,"A",12.857,29.649,62,88.304,31.215
"Class2",33.32,44.499,34.397,59.698,"D","B",29.804,63.431,40,14.81,56.156
"Class1",54.029,57.031,52.932,62.45,"W","Q",68.081,30.405,43,38.797,0.277
"Class1",15.772,35.672,95.841,62.536,"V","B",72.66,23.312,32,31.13,30.908
"Class3",63.03,39.939,32.64,57.823,"J","U",12.427,44.376,71,85.571,31.895
"Class2",9.664,43.541,13.579,NA,"R","N",26.343,61.426,37,14.705,38
"Class4",72.258,57.259,7.639,50.13,"K","C",81.681,79.188,33,30.693,63.76
"Class2",30.337,45.537,24.647,79.639,"K","H",43.434,67.029,13,6.216,69.755
"Class3",87.658,33.114,29.788,94.091,"J","A",10.06,30.611,58,69.957,43.324
"Class5",85.022,28.816,15.608,45.126,"W","X",15.239,76.733,18,5.423,77.018
"Class1",8.44,22.477,64.236,40.042,"V","Q",76.228,28.243,30,37.354,20.859
"Class2",25.732,40.958,19.109,72.558,"D","W",39.168,62.687,39,14.384,31.88
"Class5",90.293,63.384,16.523,47.966,"L","X",10.685,38.864,6,9.815,55.268
"Class4",67.385,58.071,7.537,25.073,"Z","C",73.336,78.318,31,42.747,56.068
"Class2",27.81,60.296,36.472,62.725,"K","N",36.136,66.115,45,15.442,48.267
"Class3",97.186,31.228,35.572,63.075,"Z","U",11.262,76.144,72,74.986,37.663
"Class5",89.47,66.57,15.712,40.803,"W","G",33.295,44.463,35,40.468,52.802
"Class2",32.022,69.802,33.057,49.802,"R","W",55.512,61.57,16,7.273,57.061
"Class2",18.111,81.94,40.197,50.566,"R","Z",59.203,68.908,31,9.279,38.116
"Class2",37.482,46.199,25.116,87.455,"X","B",-9.291,69.563,5,13.914,49.977
"Class1",49.963,36.541,47.518,62.787,"W","R",75.893,25.592,29,15.413,15.485
"Class4",38.974,57.871,5.103,54.56,"G","M",64.117,77.004,31,42.461,66.001
"Class3",66.122,30.246,31.799,60.233,"A","D",13.467,76.765,83,78.283,32.734
"Class3",59.424,35.754,33.445,54.773,"C","T",12.96,75.925,74,82.719,35.71
"Class3",67.87,29.945,29.884,51.14,"S","T",18.783,72.05,56,90.007,51.283
"Class2",19.986,71.606,11.707,62.587,"K","B",37.453,62.271,39,26.454,60.871
"Class5",87.13,71.899,16.393,46.815,"L","B",27.172,31.607,16,22.649,66.182
"Class3",55.934,39.324,32.557,59.892,"A","R",10.752,58.454,76,72.685,35.228
"Class4",31.797,58.533,8.016,45.401,"K","W",61.112,75.401,34,44.786,40.788
"Class4",58.147,58.014,10.698,45.659,"G","C",73.943,79.856,33,23.37,64.503
"Class2",14.345,81.565,19.402,66.563,NA,"Z",24.731,62.634,14,26.131,44.622
"Class4",36.903,59.318,10.357,50.47,"W","Z",100.315,75.205,30,62.406,66.008
"Class2",27.53,44.421,33.299,72.852,"X","H",38.907,66.636,21,20.104,52.362
"Class2",17.073,81.405,28.524,62.884,"D","Z",49.454,61.286,39,26.93,28.559
"Class3",30.664,28.358,30.729,65.773,"J","D",12.999,78.892,62,82.832,41.42
"Class1",42.332,56.702,97.867,47.74,"N","V",75.601,30.458,22,35.765,4.723
"Class2",38.746,78.284,29.026,56.606,"D","Z",42.653,63.741,16,30.9,40.11
"Class2",42.721,64.339,31.763,68.248,"K","W",8.291,66.655,31,10.775,64.805
"Class3",77.445,26.67,28.371,64.756,"A","D",17.817,59.93,63,80.159,43.476
"Class5",87.527,65.483,15.465,51.143,"L","X",27.252,24.585,15,4.511,51.649
"Class4",53.109,58.031,12.097,45.306,"G","J",60.045,76.55,32,56.268,71.771
"Class5",87.318,56.705,15.536,38.895,"I","S",14.725,75.654,12,35.026,64.681
"Class3",120.685,39.471,34.06,46.2,"J","T",16.029,51.247,82,77.294,42.135
"Class3",77.158,31.11,35.509,39.807,"C","U",19.754,70.612,66,85.266,27.417
"Class2",6.571,51.14,15.342,57.094,"K","N",11.358,66.792,34,14.934,-1.058
"Class1",22.754,36.789,42.908,55.285,"V","W",74.259,22.508,46,24.555,12.441
"Class3",32.875,39.543,27.51,55.661,"Z","U",14.941,44.72,59,82.449,47.026
"Class4",13.501,58.169,7.879,44.589,"W","M",30.884,76.861,30,20.77,75.459
"Class4",52.061,57.11,6.856,42.489,"K","M",53.725,77.257,32,35.231,68.791
"Class2",37.743,66.153,33.956,62.525,"R","Z",24.568,68.889,36,11.382,12.151
"Class3",49.666,27.207,32.7,47.647,"C","D",11.702,22.655,82,69.578,42.998
"Class5",88.527,63.249,16.527,44.036,"W","S",9.239,58.983,39,27.299,83.42
"Class5",88.283,63.482,15.8,43.829,"I","X",29.347,11.069,6,22.079,55.41
"Class3",46.167,28.822,29.514,49.999,"J","T",12.449,78.084,67,70.431,33.313
"Class3",53.485,33.419,29.771,58.158,"A","U",15.047,57.295,74,89.806,43.92
"Class1",9.059,38.562,92.704,50.34,"W","W",74.599,28.183,47,28.56,38.248
"Class4",69.856,59.653,10.727,50.094,"Q","Z",99.591,80.067,30,25.381,60.875
"Class2",18.02,80.749,19.154,78.041,"K","W",26.552,63.14,10,20.651,13.166
"Class1",6.85,33.443,72.276,52.772,"N","R",74.867,28.572,29,46.725,39.199
"Class3",67.483,31.477,34.429,37.91,"S","T",13.609,44.978,61,70.135,43.964
"Class2",28.723,58.341,13.669,96.654,"R","N",32.587,61.073,28,19.399,43.813
"Class4",46.494,58.235,17.691,32.168,"Z","W",83.87,76.109,29,34.847,69.947
"Class3",70.005,33.248,33.442,69.197,"S","A",12.449,23.531,77,90.353,35.448
"Class4",57.626,59.022,13.413,46.215,"Q","M",48.362,75.574,30,31.927,72.246
"Class1",27.813,27.914,95.779,60.582,"W","Q",78.028,31.658,31,18.067,32.078
"Class3",68.74,28.985,30.634,53.66,"S","T",16.034,47.248,69,69.382,40.934
"Class2",-12.428,54.305,33.415,80.05,"R","Z",35.344,65.865,39,20.815,45.29
"Class2",39.164,50.118,16.725,NA,"X","B",34.673,66.508,19,8.754,37.196
"Class1",37.013,16.031,83.492,59.557,"T","W",71.64,31.437,49,40.331,30.222
"Class2",21.23,74.859,21.595,48.875,"K","H",38.614,69.744,42,11.063,56.01
"Class4",41.541,59.441,9.428,44.913,"K","J",52.646,80.944,33,18.674,67.768
"Class2",14.638,58.87,16.14,75.752,"K","Z",29.449,63.925,43,14.537,49.071
"Class1",18.997,53.977,72.084,NA,"T","V",71.712,27.949,27,45.005,-15.275
"Class1",11.552,42.903,65.639,33.782,"W","Q",67.164,24.597,30,41.214,30.358
"Class1",24.347,40.474,82.537,59.16,"T","W",71.81,30.09,39,40.045,46.066
"Class2",5.696,57.06,15.088,58.291,"R","H",41.407,62.5,34,32.153,41.872
"Class2",11.849,43.837,23.064,78.867,"R","N",3.979,68.876,41,32.727,4.96
"Class1",-12.238,52.053,95.249,72.952,"O","Q",77.478,23.761,47,49.619,22.59
"Class2",30.615,78.619,11.675,60.834,"D","W",55.28,67.327,6,7.801,57.444
"Class5",90.068,8.696,15.702,43.426,"A","S",19.438,33.573,29,32.501,64.366
"Class1",51.654,53.761,71.731,44.123,"V","V",71.566,25.938,37,39.661,13.481
"Class2",38.38,57.747,33.647,73.986,"X","W",12.096,69.502,27,29.882,54.374
"Class1",38.496,32.264,71.475,57.187,"O","B",71.542,26.264,34,25.628,20.357
"Class4",55.94,58.95,16.903,35.968,"W","C",74.763,80.244,32,61.927,61.148
"Class1",33.046,39.153,97.967,62.328,"V","R",65.473,30.956,36,32.419,27.234
"Class2",31.547,52.553,24.893,66.185,"R","B",20.472,65.469,44,6.66,59.201
"Class2",42.188,45.649,39.214,42.521,"R","Z",20.57,69.564,12,22.014,46.179
"Class3",55.968,31.973,33.371,51.174,"C","R",14.658,25.483,76,87.919,30.927
"Class3",58.752,33.013,29.747,56.182,"C","A",14.974,45.042,59,70.475,19.251
"Class4",75.166,58.46,4.974,62.862,NA,"W",76.075,79.386,31,22.15,59.384
"Class1",39.734,57.556,77.062,52.345,"N","R",69.912,27.006,33,13.059,32.411
"Class2",33.359,79.106,24.36,59.331,"F","N",36.049,66.9,35,29.245,13.91
"Class1",38.343,45.799,97.683,69.845,"T","R",70.769,29.794,36,23.1,-9.504
"Class4",54.487,58.327,6.52,57.406,"Q","M",48.797,76.228,31,35.718,65.169
"Class3",92.293,29.954,34.622,54.677,"S","A",6.53,32.572,83,82.465,36.867
"Class1",26.574,40.891,83.632,47.342,"N","R",68.974,28.6,51,42.538,40.335
"Class2",8.183,64.983,10.32,63.507,"F","Z",14.687,61.855,36,6.273,43.92
"Class4",6.082,57.721,8.814,32.801,"Z","J",66.33,75.481,32,54.516,73.94
"Class5",86.852,16.028,15.366,49.358,"L","B",16.066,66.331,11,24.123,71.771
"Class4",55.684,57.015,17.894,58.398,"Q","W",80.416,76.413,32,61.743,79.431
"Class4",44.927,58.495,8.592,47.366,"W","W",29.529,80.505,32,61.507,77.329
"Class4",50.969,57.565,13.857,62.087,"Q","J",57.975,76.815,31,39.034,60.458
"Class3",61.052,28.245,32.273,58.611,NA,"U",22.098,24.163,70,75.194,40.384
