"RDG1","WAL2","XUD3","FZO4","VMY5","EXQ6","BLU7","ITA8","ATD9","Output19","JXU10"
80.827,13.166,10.152,16.488,"V",74,8.459,81.389,25.511,"Class3",14.959
55.947,33.419,44.464,58.271,"O",10,45.973,21.902,28.126,"Class4",77.951
64.691,18.196,1.1,14.054,"V",64,6.209,81.129,23.785,"Class3",10.939
63.636,39.358,68.372,28.611,"H",85,69.802,13.935,66.52,"Class2",77.902
21.73,32.842,16.48,49.747,"O",0,60.38,20.994,15.211,"Class4",65.94
88.861,15.292,8.668,10.26,"O",92,11.497,81.271,23.608,"Class3",13.534
45.708,53.81,31.776,34.991,"Y",31,92.516,75.655,13.342,"Class1",38.55
77.92,22.08,9.398,11.394,"O",82,3.762,81.429,26.921,"Class3",15.052
83.377,57.346,76.76,31.969,"K",86,66.454,14.874,36.604,"Class2",59.109
51.399,31.816,74.441,70.123,"O",6,45.25,26.928,52.304,"Class4",68.928
34.702,52.626,41.773,30.251,"Z",16,94.332,71.266,11.25,"Class1",42.093
56.886,31.635,62.06,57.734,"C",1,74.789,34.798,38.875,"Class4",52.702
22.853,32.462,63.882,51.794,"C",4,54.53,24.347,25.41,"Class4",91.032
49.074,19.199,16.971,13.58,"Z",80,5.842,81.848,27.152,"Class3",16.469
90.095,44.583,76.026,15.489,"H",86,64.322,14.412,73.362,"Class2",46.632
44.397,51.224,62.86,25.983,"J",29,NA,73.863,12.303,"Class1",47.834
75.028,26.284,-3.572,22.092,"V",81,5.782,81.488,19.522,"Class3",16.097
43.222,30.393,69.409,63.391,"B",0,72.235,32.115,69.79,"Class4",78.233
66.208,34.688,74.231,28.131,"J",86,72.47,NA,75.219,"Class2",25.897
40.272,31.997,27.343,48.805,"O",7,42.215,33.126,16.036,"Class4",66.891
42.128,33.315,56.271,69.797,"O",6,44.448,25.585,41.038,"Class4",82.758
30.135,52.326,49.933,26.535,"Z",15,90.331,76.35,15.176,"Class1",41.26
64.672,45.164,68.046,22.568,"H",86,66.179,13.518,57.75,"Class2",85.516
25.683,31.99,39.408,57.248,"G",0,NA,36.714,70.166,"Class4",73.736
25.754,34.377,44.006,48.191,"O",2,43.072,25.625,28.982,"Class4",79.063
