"YHS1","MVY2","ZDE3","XWB4","BPA5","UKA6","WYP7","JSM8","Output14","MGV9","QEF10"
50.715,86.983,65.875,"T",16.401,50.341,-1.028,58.862,"Class3",87.247,67
11.022,44.981,61.908,"T",46.937,88.757,27.57,98.936,"Class1",72.274,20
29.538,46.653,63.63,"F",32.361,27.132,66.835,50.566,"Class2",34.201,87
36.537,49.899,63.821,"B",2.964,18.445,59.417,59.743,"Class2",31.082,88
27.555,40.15,39.179,"T",47.094,89.405,23.989,86.925,"Class1",73.427,20
43.352,80.087,64.853,"L",15.198,52.283,30.248,81.628,"Class3",91.592,59
82.322,49.605,44.02,"L",47.777,76.275,21.073,25.442,"Class4",12.183,80
25.798,44.898,8.754,"B",17.432,76.96,53.748,61.261,"Class2",39.522,87
22.578,72.88,46.496,"T",45.974,90.582,-1.437,48.969,"Class1",62.439,20
70.847,37.112,53.344,"R",47.634,93.769,25.837,80.124,"Class1",NA,21
52.597,80.623,64.338,"H",15.06,57.989,40.697,70.638,"Class3",83.113,68
45.895,83.962,67.598,"T",21.126,53.929,6.526,71.608,"Class3",88.363,54
58.624,85.286,66.625,"T",29.252,56.642,28.639,55.316,"Class3",84.811,56
53.662,27.626,48.146,"R",45.837,92.434,-0.768,59.704,"Class1",60.625,19
16.026,34.704,49.098,"R",47.562,97.399,31.175,83.475,"Class1",74.965,20
78.646,14.989,47.012,"V",48.357,91.07,38.798,70.335,"Class1",80.018,19
71.108,51.848,28.221,"I",51.973,8.367,20.82,21.324,"Class4",20.625,82
58.556,NA,67.838,"L",18.657,54.233,19.24,65.564,"Class3",84.014,55
75.677,34.106,26.002,"C",67.851,67.607,21.087,22.209,"Class4",13.659,78
44.918,46.054,97.484,"M",36.212,23.844,61.181,62.876,"Class2",47.603,88
73.665,38.214,69.572,"I",35.684,21.532,21.176,22.227,"Class4",7.208,92
73.149,79.622,29.486,"L",63.874,51.784,21.528,20.738,"Class4",7.155,84
24.844,46.819,73.738,"A",21.908,60.783,67.604,47.79,"Class2",46.715,87
86.597,39.182,41.115,"L",52.884,64.205,21.59,18.105,"Class4",20.547,85
37.19,43.381,85.503,"B",25.768,55.21,109.592,45.156,"Class2",37.687,88
76.34,63.559,26.407,"F",87.944,18.581,21.586,30.649,"Class4",18.14,98
70.304,47.755,36.748,"F",80.827,52.168,20.837,18.465,"Class4",14.48,94
50.831,45.741,-5.629,"R",14.407,41.175,73.825,52.941,"Class2",49.206,88
57.781,85.391,65.607,"O",21.222,53.712,21.691,74.921,"Class3",84.991,59
42.407,81.475,65.276,"H",18.242,51.761,46.107,78.324,"Class3",89.39,55
48.336,11.076,50.565,"Y",47.877,95.105,16.3,64.682,"Class1",23.872,19
39.026,46.096,57.732,"F",30.611,28.569,74.153,60.394,"Class2",33.37,87
51.172,86.315,66.193,"H",20.393,50.024,28.665,67.576,"Class3",89.699,63
27.185,44.378,68.563,"B",36.423,49.316,66.884,53.422,"Class2",46.033,87
52.551,NA,65.836,"O",12.383,56.551,31.922,65.294,"Class3",84.158,66
64.181,47.02,62.329,"F",56.019,32.109,20.943,28.048,"Class4",8.468,83
43.431,84.53,65.818,"L",18.938,50.633,46.434,86.835,"Class3",94.565,61
46.485,83.735,66.269,"L",23.317,55.242,27.583,56.827,"Class3",91.485,58
32.601,49.453,22.093,"F",26.501,64.221,55.432,19.217,"Class2",42.274,87
61.644,52.92,50.035,"L",70.946,78.909,21.971,30.43,"Class4",17.935,63
28.861,NA,15.436,"B",41.632,61.142,66.822,34.029,"Class2",49.893,87
28.564,47.054,35.207,"A",36.777,43.683,62.29,64.232,"Class2",NA,88
30.095,49.512,87.271,"F",36.712,69.807,59.512,65.82,"Class2",38.105,88
55.849,39.877,62.762,"K",46.556,92.987,13.815,95.266,"Class1",54.264,19
69.782,61.497,41.938,"I",54.476,11.551,21.667,21.25,"Class4",14.22,62
34.509,44.652,4.452,"B",15.8,22.501,56.545,59.984,"Class2",47.185,88
77.326,35.417,51.891,"K",46.136,89.066,35.576,78.977,"Class1",25.616,21
56.206,81.972,64.581,"L",23.153,54.848,21.705,70.415,"Class3",86.661,56
75.866,61.227,59.741,"T",45.678,92.372,30.283,81.206,"Class1",29.198,20
78.539,41.832,64.767,"T",45.486,97.095,12.158,112.131,"Class1",60.333,19
48.294,49.249,26.927,"B",24.361,32.603,75.751,44.684,"Class2",54.542,87
50.671,46.511,70.501,"B",21.107,34.662,100.009,54.285,"Class2",53.218,88
48.21,48.102,55.62,"R",34.722,82.94,75.099,44.383,"Class2",51.963,87
66.561,54.249,41.965,"I",66.101,40.862,21.552,31.976,"Class4",7.444,63
51.101,81.858,66.612,"L",15.483,54.099,-2.952,77.914,"Class3",85.226,61
57.446,83.341,67.287,"T",22.1,57.573,4.119,39.795,"Class3",92.925,54
47.873,67.122,53.238,"V",45.955,90.622,12.428,64.408,"Class1",45.546,21
83.489,36.812,46.144,"L",37.634,83.742,21.84,30.013,"Class4",15.373,91
86.695,50.195,41.682,"L",52.123,79.974,21.878,10.865,"Class4",15.698,75
34.99,49.052,60.814,"M",21.705,39.208,73.379,42.941,"Class2",54.543,88
23.224,44.39,61.748,"M",21.031,44.799,75.428,38.396,"Class2",47.332,88
54.408,80.488,66.721,"H",26.238,53.117,28.838,48.112,"Class3",83.443,68
74.438,9.232,59.296,"Y",45.547,90.928,16.513,76.255,"Class1",46.656,21
74.667,45.13,42.441,"K",45.568,91.588,14.762,40.671,"Class1",42.41,21
18.67,29.01,73.474,"V",45.604,93.685,26.078,86.478,"Class1",79.375,21
50.718,82.478,56.377,"Y",46.804,91.882,10.035,93.594,"Class1",72.983,20
51.631,46.957,55.913,"M",18.237,53.449,65.198,55.535,"Class2",48.129,87
53.357,82.444,67.84,"T",17.25,49.861,27.093,66.816,"Class3",86.026,52
74.86,64.817,34.63,"O",46.164,69.891,21.693,22.191,"Class4",14.574,67
38.418,46.054,28.474,"B",21.001,83.244,79.795,57.644,"Class2",50.494,87
27.345,NA,-19.445,"R",43.12,21.453,79.41,56.121,"Class2",54.956,88
48.518,47.186,89.355,"R",39.751,36.004,71.331,46.318,"Class2",50.344,87
50.255,86.275,67.673,"W",12.79,56.084,32.231,74.851,"Class3",87.053,57
61.564,51.171,44.758,"K",44.811,94.399,11.299,31.347,"Class1",80.356,19
43.527,55.476,43.464,"T",47.199,94.03,29.763,46.342,"Class1",NA,19
31.516,46.09,20.745,"F",30.927,37.587,80.814,68.311,"Class2",43.645,87
86.165,58.526,60.744,"C",70.112,34.308,21.292,12.142,"Class4",NA,65
23.6,45.493,89.159,"R",0.338,70.203,70.434,45.335,"Class2",33.482,87
84.379,41.717,39.252,"L",58.108,77.294,20.909,33.692,"Class4",19.786,77
54.749,79.01,64.406,"W",7.545,57.882,24.803,38.692,"Class3",NA,59
40.637,68.447,43.212,"R",46.545,97.645,13.417,80.056,"Class1",59.959,19
49.7,46.175,58.543,"R",17.568,71.326,65.578,73.184,"Class2",42.365,88
36.004,45.335,36.81,"F",8.3,54.691,84.703,60.342,"Class2",48.231,88
78.835,43.995,40.713,"L",71.993,75.56,21.746,14.21,"Class4",17.352,62
36.137,46.903,49.84,"F",31.671,65.23,82.469,63.017,"Class2",52.535,88
73.867,71.689,39.055,"Y",45.676,90.274,37.503,78.539,"Class1",80.801,21
66.544,78.751,60.034,"K",45.683,90.54,27.593,74.511,"Class1",56.55,21
50.345,45.278,19.498,"F",20.264,40.636,57.763,55.843,"Class2",39.88,88
85.774,62.981,46.201,"F",73.475,31.844,21.603,30.021,"Class4",10.601,81
45.662,81.538,67.015,"T",30.893,47.571,30.833,49.318,"Class3",82.222,61
43.712,82.155,66.606,"W",21.83,57.303,18.515,68.994,"Class3",NA,54
84.843,75.349,46.836,"L",51.719,9.598,21.691,25.984,"Class4",13.376,92
41.185,63.433,56.863,"V",45.512,97.871,25.323,83.912,"Class1",26.447,19
48.24,45.855,20.97,"B",17.937,29.036,74.956,64.094,"Class2",46.002,87
54.441,79.396,62.946,"W",32.695,55.721,35.681,70.733,"Class3",88.484,59
87.356,76.292,26.681,"O",61.079,71.421,21.459,19.853,"Class4",NA,94
76.832,15.954,56.878,"T",47.327,90.66,8.155,75.535,"Class1",30.755,21
41.67,19.906,53.019,"V",46.109,88.974,8.657,66.358,"Class1",54.899,20
51.908,83.337,68.407,"T",24.956,48.778,27.432,59.402,"Class3",92.031,51
46.939,84.209,65.07,"W",28.707,55.808,15.589,59.542,"Class3",86.833,67
89.419,80.83,46.948,"C",57.719,79.753,21.685,38.63,"Class4",7.826,94
49.94,47.64,39.481,"K",44.397,94.456,31.221,63.026,"Class1",27.804,20
51.56,44.939,25.93,"M",26.462,31.995,96.818,52.107,"Class2",52.54,87
58.221,79.225,65.336,"H",22.824,56.483,41.346,64.147,"Class3",85.1,61
70.457,27.27,44.448,"R",47.639,94.142,3.791,56.474,"Class1",49.277,19
50.244,79.724,66.48,"H",13.841,48.869,25.368,57.824,"Class3",91.295,54
31.696,45.72,43.421,"B",28.458,63.718,71.552,55.502,"Class2",37.597,88
70.221,43.823,29.201,"O",58.437,25.596,22.034,31.576,"Class4",9.779,65
34.512,47.017,56.874,"M",19.582,33.82,98.721,52.153,"Class2",50.076,87
45.896,49.571,8.187,"M",24.154,70.441,77.753,51.804,"Class2",NA,88
77.241,47.775,50.196,"F",50.203,8.177,21.678,29.621,"Class4",7.197,64
83.964,63.449,14.845,"L",57.919,23.906,21.454,19.056,"Class4",16.059,82
85.309,59.096,39.351,"I",99.28,23.214,20.957,23.826,"Class4",9.419,79
47.439,83.389,64.367,"T",19.54,47.25,16.188,53.628,"Class3",91.618,62
76.628,38.2,36.051,"C",32.956,50.312,21.631,27.89,"Class4",9.312,93
49.847,29.636,40.924,"R",46.808,97.287,28.084,110.523,"Class1",31.872,21
42.24,44.06,31.342,"F",31.309,26.78,58.451,45.122,"Class2",32.098,88
42.892,79.512,65.549,"H",19.983,57.881,18.328,67.286,"Class3",NA,60
35.573,44.539,74.952,"A",22.121,78.859,98.426,56.001,"Class2",31.028,88
41.136,49.779,47.7,"T",45.972,91.475,41.846,58.631,"Class1",NA,21
44.029,86.205,66.519,"W",24.99,55.54,39.411,67.197,"Class3",90.572,66
38.226,47.771,1.082,"B",36.231,38.721,78.919,62.315,"Class2",33.392,88
56.29,83.926,66.627,"W",25.831,48.164,14.065,73.17,"Class3",91.532,65
50.57,79.624,66.908,"H",31.634,50.392,33.809,56.977,"Class3",83.178,65
49.127,84.826,68.006,"O",18.344,55.123,7.407,65.234,"Class3",86.671,69
26.06,44.74,23.571,"R",10.996,45.412,79.131,27.285,"Class2",40.653,88
43.523,46.322,53.262,"Y",47.681,90.649,13.417,85.562,"Class1",NA,21
89.697,51.882,29.796,"F",46.299,9.567,22.136,26.641,"Class4",11.903,88
41.99,79.371,66.571,"H",18.287,54.147,31.417,43.656,"Class3",90.599,54
71.72,78.189,40.876,"C",58.995,56.186,21.308,19.547,"Class4",13.205,98
82.904,35.613,46.268,"O",54.566,80.471,20.772,26.447,"Class4",19.747,73
40.625,46.727,49.404,"M",23.81,35.717,90.47,52.772,"Class2",34.593,87
45.895,84.845,65.377,"W",29.608,55.788,-6.572,58.324,"Class3",91.735,53
69.292,58.175,17.551,"F",30.73,32.539,21.382,29.767,"Class4",14.422,99
37.314,64.737,59.779,"R",47.293,91.649,16.644,69.079,"Class1",53.761,19
16.573,65.628,62.346,"Y",45.882,94.943,30.386,42.605,"Class1",57.193,19
24.867,43.673,12.222,"A",4.212,67.79,93.376,47.912,"Class2",41.416,87
52.935,84.729,67.258,"H",21.605,54.82,27.856,53.647,"Class3",82.415,51
67.961,76.668,29.395,"O",47.775,66.458,21.07,18.271,"Class4",11.173,62
32.214,20.731,46.342,"T",46.262,94.176,19.469,31.699,"Class1",55.203,19
41.926,80.095,65.352,"H",21.963,49.319,21.994,47.206,"Class3",85.51,59
47.736,80.551,66.112,"L",18.782,47.229,5.342,68.974,"Class3",82.084,56
51.777,82.398,65.238,"O",17.258,55.931,12.137,63.676,"Class3",81.95,68
37.21,79.875,39.886,"T",46.517,92.986,12.248,90.526,"Class1",63.764,21
71.177,57.026,31.248,"I",49.372,81.929,20.99,31.282,"Class4",8.705,65
83.457,67.786,40.217,"O",95.53,62.419,21.184,28.632,"Class4",16.692,83
50.812,46.368,52.754,"R",33.513,74.629,94.249,65.979,"Class2",42.834,88
15.404,18.492,42.66,"T",46.538,90.148,18.58,82.536,"Class1",76.715,19
75.501,59.616,28.281,"C",38.504,46.223,20.87,22.164,"Class4",10.023,61
80.194,53.165,48.561,"L",52.586,45.649,21.176,31.54,"Class4",8.392,87
60.542,16.203,52.391,"R",47.058,88.233,27.838,96.239,"Class1",76.431,19
24.048,45.969,37.989,"F",27.925,70.943,75.156,72.394,"Class2",40.775,88
63.417,60.896,58.143,"T",48.173,93.478,19.263,16.598,"Class1",43.713,21
60.214,63.468,48.605,"R",49.568,97.929,8.302,86.103,"Class1",NA,21
38.428,44.155,64.928,"M",54.17,82.695,88.434,41.814,"Class2",36.531,88
57.196,85.226,64.634,"L",20.881,49.655,24.401,53.614,"Class3",85.929,65
47.22,44.169,38.434,"R",20.702,14.228,92.057,41.568,"Class2",53.653,88
73.531,60.785,44.25,"O",51.039,29.486,21.261,18.799,"Class4",19.431,65
72.789,80.941,63.188,"I",63.669,4.165,20.91,31.535,"Class4",18.988,83
32.299,43.861,33.239,"R",30.566,24.321,80.071,54.493,"Class2",50.173,87
26.332,8.592,36.382,"K",47.29,97.788,7.246,58.683,"Class1",32.529,21
45.1,80.213,65.553,"W",29.168,57.66,16.734,62.692,"Class3",93.563,57
83.845,51.452,36.744,"O",87.439,34.418,22.305,37.54,"Class4",14.894,69
47.117,80.861,64.483,"H",25.402,55.497,14.219,61.228,"Class3",88.479,57
