"RJC1","Output10","TCU2","IMT3","GDJ4","USF5","FIW6","KYD7","DRF8","CRZ9"
47.762,"Class3",79,NA,87.578,55.25,89.829,30.949,66.319,NA
60.276,"Class4",93,NA,18.9,74.795,57.855,52.396,93.511,"T"
17.495,"Class4",68,5.654,18.01,78.15,60.308,54.164,95.392,"R"
47.466,"Class4",90,19.231,20.372,67.118,48.244,78.899,94.783,"R"
16.307,"Class2",60,79.478,31.167,44.569,101.972,26.833,50.431,"Q"
25.56,"Class1",53,83.216,69.273,33.477,27.851,56.379,29.357,"J"
63.297,"Class3",69,NA,68.749,92.716,68.077,22.265,73.656,"X"
9.596,"Class2",56,88.054,31.063,55.294,83.143,26.255,57.103,"O"
66.279,"Class4",54,6.531,18.771,68.509,58.368,70.369,90.136,"G"
38.381,"Class2",37,89.004,31.971,56.222,80.428,26.101,62.122,"Q"
18.8,"Class4",96,42.873,18.512,51.935,77.325,68.003,91.205,"C"
34.476,"Class4",56,34.677,18.488,63.182,59.5,80.651,94.33,"F"
11.365,"Class2",62,49.514,30.939,51.076,51.279,26.353,52.421,"Q"
63.601,"Class3",80,52.652,91.185,85.38,64.288,25.82,68.05,"A"
64.089,"Class3",90,43.029,46.236,74.832,52.318,18.285,54.212,"J"
11.352,"Class1",47,31.959,71.841,45.188,31.558,61.412,29.709,"V"
46.938,"Class4",84,12.11,18.941,62.708,28.93,51.343,86.454,"F"
20.203,"Class2",56,66.183,31.47,30.084,74.503,27.178,52.075,"R"
62.792,"Class3",92,63.919,65.42,90.365,53.133,13.303,94.417,"K"
42.963,"Class4",81,NA,18.964,73.168,59.485,56.377,96.319,"C"
53.418,"Class3",97,21.47,73.765,41.73,70.591,24.602,50.503,"K"
56.997,"Class3",75,18.559,88.059,67.488,73.333,35.31,49.42,"J"
28.903,"Class1",59,81.649,80.293,38,61.879,58.943,23.149,"D"
49.513,"Class4",59,41.518,19.37,52.269,66.781,47.394,91.819,"F"
65.627,"Class4",77,10.414,18.597,61.735,26.582,65.948,95.734,"T"
32.152,"Class4",58,40.443,19.311,53.347,78.525,78.501,95.351,"F"
10.334,"Class4",84,14.58,18.064,57.801,79.693,41.602,92.141,"R"
68.326,"Class3",80,56.704,49.98,90.34,68.721,19.867,70.129,"L"
29.306,"Class1",54,77.736,73.277,19.187,75.762,61.771,26.956,"H"
28.486,"Class1",61,NA,76.62,24.491,16.365,63.792,42.639,"V"
10.521,"Class2",38,82.683,31.606,32.322,73.779,26.115,42.002,"R"
43.328,"Class4",62,26.922,17.975,71.907,62.053,58.045,91.777,NA
14.045,"Class1",53,47.321,61.538,33.719,68.235,61.159,29.85,"J"
40.426,"Class1",51,88.174,70.248,41.27,48.414,56.281,33.494,"V"
75.594,"Class3",80,53.72,68.462,88.478,47.278,35.338,59.863,"A"
29.751,"Class2",33,75.093,31.237,54.36,73.314,25.611,52.269,"K"
46.649,"Class3",90,59.262,67.014,47.094,47.124,20.838,59.185,"J"
56.36,"Class4",73,NA,18.649,53.816,10.749,68.024,86.53,NA
39.598,"Class4",73,19.191,17.379,56.951,45.524,73.6,94.674,"R"
17.231,"Class1",57,29.915,76.322,49.135,46.991,61.288,29.268,"V"
49.515,"Class1",57,90.325,70.38,44.906,16.976,74.262,30.617,"H"
54.757,"Class3",88,35.602,85.405,51.566,50.941,16.074,57.219,"J"
18.429,"Class1",48,78.431,67.246,32.365,76.598,76.585,27.143,"V"
55.408,"Class4",60,34.505,18.582,63.91,23.837,49.827,94.234,"F"
1.854,"Class2",40,NA,31.535,47.059,90.069,25.088,56.59,"R"
17.438,"Class4",86,20.978,17.814,64.283,53.859,54.933,95.141,"R"
64.69,"Class3",85,41.819,90.675,50.81,50.782,13.1,53.427,"J"
9.546,"Class2",32,88.201,31.744,30.166,92.858,25.019,53.625,"E"
75.354,"Class3",89,31.66,82.345,74.077,55.663,31.358,59.93,"X"
30.297,"Class1",56,61.631,70.75,15.796,66.876,67.154,42.714,"V"
20.427,"Class2",26,66.184,31.641,33.998,87.387,25.844,53.862,"K"
17.891,"Class2",43,64.934,31.631,41.531,75.457,25.331,55.577,"K"
42.021,"Class4",98,30.443,18.989,70.726,43.487,64.605,93.422,"T"
60.362,"Class3",69,NA,73.451,43.848,83.125,31.274,76.509,"J"
31.98,"Class2",36,85.283,31.816,41.443,93.989,25.527,61.783,"E"
61.869,"Class4",63,28.251,19.323,78.019,23.182,59.73,99.553,"R"
55.376,"Class3",95,59.511,95.717,53.652,52.682,34.519,54.292,"L"
11.343,"Class1",49,75.989,70.515,25.134,17.8,73.585,31.181,"J"
62.344,"Class3",73,43.914,73.325,92.992,66.119,14.735,59.955,"J"
71.08,"Class3",88,61.463,60.664,66.949,61.511,32.664,63.783,"A"
56.434,"Class3",71,NA,85.701,77.305,65.289,33.918,73.525,"A"
56.713,"Class4",79,24.617,18.06,79.091,54.449,48.874,86.327,"T"
43.759,"Class4",86,27.183,19.76,61.629,61.193,58.12,102.397,"R"
29.326,"Class4",85,28.792,20.46,74.728,59.156,61.233,97.869,NA
40.921,"Class4",75,36.818,18.61,73.651,42.052,39.462,92.478,"C"
25.98,"Class1",58,24.848,74.134,37.126,45.846,62.279,26.151,"D"
25.025,"Class1",58,74.187,73.568,53.104,79.144,62.551,20.855,"D"
18.294,"Class2",60,92.123,32.02,57.546,71.231,26.664,44.454,"O"
48.228,"Class4",61,41.602,17.513,75.315,43.42,39.013,92.243,"T"
9.059,"Class2",60,87.09,31.477,53.219,80.281,26.467,57.764,"K"
37.526,"Class1",49,NA,68.078,32.75,43.534,68.031,36.956,"D"
43.593,"Class3",88,50.646,92.409,94.288,56.602,21.774,72.24,"L"
28.262,"Class1",55,39.725,81.506,17.746,40.992,70.847,39.878,"V"
30.881,"Class2",54,81.656,31.898,57.402,106.083,26.621,56.374,"Q"
30.282,"Class2",55,80.657,31.364,45.524,91.713,26.458,51.786,"Q"
34.692,"Class1",50,91.499,58.007,45.141,66.922,72.705,28.137,NA
23.89,"Class2",54,93.65,31.543,39.758,80.699,26.33,59.556,"K"
13.394,"Class1",49,66.404,71.135,48.921,87.163,65.213,32.117,NA
6.64,"Class2",33,60.084,30.85,60.86,85.229,25.058,54.577,"E"
53.64,"Class3",70,20.62,48.473,48.27,69.289,15.016,65.853,"J"
58.154,"Class4",69,28.735,19.432,70.637,68.184,52.11,90.624,"R"
28.71,"Class1",59,56.949,72.878,19.423,55.592,74.996,26.486,"D"
31.64,"Class2",59,NA,31.624,52.341,71.735,27.688,53.257,NA
26.666,"Class2",31,60.632,31.876,60.523,90.9,25.704,52.316,"Q"
43.421,"Class4",61,26.337,19.453,66.015,32.923,69.509,90.791,"F"
57.244,"Class3",75,55.082,89.834,69.353,58.238,25.25,76.183,"X"
19.481,"Class2",51,88.798,31.238,44.146,75.316,26.434,54.856,"R"
18.822,"Class2",55,NA,31.562,53.17,70.877,25.024,45.079,"R"
24.625,"Class4",98,5.7,18.929,52.052,76.568,56.084,93.555,"C"
26.369,"Class4",82,25.674,18.856,54.855,50.985,71.927,94.922,"G"
50.949,"Class3",81,48.696,71.82,86.169,54.39,14.41,70.936,"A"
54.256,"Class3",85,39.924,81.153,79.852,54.423,22.258,64.511,"J"
55.276,"Class3",83,25.765,83.418,50.97,41.052,32.899,79.356,"X"
27.799,"Class2",62,60.262,31.718,30.029,93.609,27.043,56.783,"Q"
33.343,"Class1",59,85.375,71.09,54.954,33.701,73.86,38.732,"D"
73.641,"Class3",75,16.647,48.925,87.029,67.445,35.412,56.127,"K"
4.644,"Class2",29,77.787,31.808,53.687,80.189,27.177,59.044,"R"
23.138,"Class2",26,84.851,31.979,55.789,81.25,27.057,46.571,"Q"
42.1,"Class1",61,79.177,69.756,28.843,67.565,72.416,27.096,"H"
53.854,"Class1",59,41.625,71.447,34.831,39.254,57.282,31.454,"D"
22.116,"Class2",39,76.079,31.768,38.415,80.802,25.136,48.154,"K"
30.579,"Class4",54,6.114,19.428,67.846,63.123,79.832,97.259,"F"
50.341,"Class3",71,18.672,3.856,91.595,53.536,32.67,63.828,"J"
46.76,"Class4",83,21.377,18.874,79.096,51.352,47.401,90.69,"G"
37.394,"Class4",69,30.188,20.161,64.793,63.315,44.919,95.84,"F"
60.198,"Class3",83,26.192,81.718,93.307,76.33,23.674,71.376,"X"
10.459,"Class2",55,55.788,32.109,39.194,67.235,27.962,63.266,NA
42.459,"Class3",88,29.173,44.463,68.875,79.726,31.347,64.777,"L"
15.847,"Class1",53,75.888,66.69,42.541,71.406,65.584,28.445,"O"
9.332,"Class2",50,84.851,32.08,51.985,91.861,26.886,55.507,"O"
16.091,"Class2",26,95.326,31.854,50.967,87.542,25.43,49.338,"E"
51.589,"Class3",85,47.016,62.893,49.51,71.819,22.252,56.324,"L"
50.807,"Class3",91,61.403,52.165,97.22,69.167,31.892,52.587,"L"
26.838,"Class4",81,21.336,18.817,73.361,70.336,77.18,96.359,"C"
59.212,"Class3",85,49.236,55.106,53.096,61.885,20.298,63.195,"A"
