"GCJ1","TRK2","TYC3","AMI4","QRO5","HGF6","UVL7","ZBR8","CAO9","ZFV10","Output17","JQX11"
38.604,"U",52.287,51,17.333,49.707,24.839,"P",10.116,50,"Class2",36.549
57.526,"D",23.972,61,41.328,52.659,24.761,"O",33.732,40,"Class2",56.272
44.976,"D",52.342,54,34.935,46.44,22.137,"P",-0.037,51,"Class2",40.112
77.937,"G",64.525,94,24.954,24.317,19.031,"U",42.453,65,"Class1",65.513
60.27,"N",63.87,84,29.963,41.777,71.454,"W",70.418,34,"Class1",NA
43.487,"L",60.952,55,38.898,53.568,28.153,"I",59.563,66,"Class2",57.126
60.992,"O",59.385,86,40.175,31.066,43.779,"U",52.111,27,"Class1",69.876
25.012,"D",55.572,53,27.755,31.426,28.562,"O",72.901,36,"Class2",60.111
45.204,"O",74.428,72,39.968,15.884,48.401,"W",79.712,13,"Class1",46.338
86.956,"D",69.066,76,25.862,-1.177,61.785,"W",67.655,57,"Class1",19.426
54.646,"D",57.397,73,43.952,65.084,28.863,"C",75.758,17,"Class1",73.248
76.908,"U",7.784,53,20.714,52.216,25.609,"D",104.122,40,"Class2",38.837
56.838,"G",70.808,91,21.763,39.415,47.702,"O",54.322,58,"Class1",48.41
63.348,"D",37.112,52,34.553,41.6,27.73,"D",23.914,51,"Class2",NA
16.972,"L",NA,52,44.807,30.134,26.335,"H",50.836,64,"Class2",47.999
64.291,"D",69.539,84,39.189,52.714,16.719,"U",40.81,64,"Class1",20.243
83.316,"D",69.136,97,29.435,21.73,55.626,"N",59.059,35,"Class1",45.722
53.445,"N",66.224,81,15.394,31.907,30.486,"C",22.723,9,"Class1",12.457
18.32,"N",115.148,51,25.081,24.423,27.294,"I",31.017,28,"Class2",36.27
45.988,"O",68.503,76,18.625,31.335,12.024,"W",64.697,74,"Class1",55.543
92.14,"D",61.812,91,19.07,25.329,36.275,"N",71.738,32,"Class1",51.32
32.891,"N",-14.198,61,42.493,41.818,22.805,"P",81.263,25,"Class2",42.427
41.756,"D",73.283,97,40.638,-0.005,17.582,"N",16.602,16,"Class1",90.291
79.896,"N",64.282,60,40.779,52.442,26.035,"H",77.508,43,"Class2",55.46
94.157,"N",69.257,90,19.049,40.952,86.695,"W",53.569,59,"Class1",NA
58.415,"T",64.355,56,25.091,41.848,22.28,"O",29.411,54,"Class2",50.082
82.174,"K",69.715,73,33.895,18.181,32.537,"U",36.643,71,"Class1",54.988
20.426,"D",60.457,53,21.448,37.319,28.223,"O",13.763,25,"Class2",47.251
51.618,"D",51.965,62,44.327,36.353,19.58,"P",-22.377,63,"Class2",35.554
21.085,"N",52.072,57,29.835,34.019,29.021,"P",39.043,55,"Class2",33.923
46.295,"K",53.6,80,35.555,48.543,29.706,"N",63.272,32,"Class1",16.312
80.471,"N",74.534,94,37.2,19.075,41.044,"O",38.783,71,"Class1",78.671
33.7,"U",NA,51,38.009,41.932,23.686,"D",45.957,47,"Class2",55.117
23.39,"T",24.445,62,18.484,42.846,24.526,"H",60.068,41,"Class2",53.556
38.657,"D",45.181,53,28.578,12.241,21.251,"O",33.101,26,"Class2",36.294
25.714,"D",37.902,60,18.82,54.663,25.626,"O",57.416,36,"Class2",36.632
48.383,"N",-1.322,59,17.011,44.25,26.665,"O",4.651,62,"Class2",32.144
54.184,"N",59.598,91,11.116,5.701,22.769,"U",62.914,32,"Class1",12.585
21.15,"L",87.099,54,27.681,50.447,27.619,"P",18.114,34,"Class2",30.08
71.706,"D",3.843,56,17.537,30.743,22.37,"P",71.662,44,"Class2",61.572
95.083,"G",59.1,93,37.95,41.21,59.092,"N",68.059,55,"Class1",58.033
55.027,"G",71.541,80,41.787,13.454,63.949,"O",85.753,39,"Class1",36.439
63.487,"L",36.494,55,35.271,33.219,28.941,"D",46.756,40,"Class2",29.632
72.766,"O",69.413,80,29.363,26.311,48.287,"C",52.378,7,"Class1",49.235
61.598,"O",71.282,76,25.353,24.14,40.369,"O",66.79,60,"Class1",82.208
61.424,"O",58.144,77,21.793,20.31,66.069,"W",62.585,50,"Class1",57.382
62.724,"D",92.515,60,18.806,33.735,28.876,"I",83.079,44,"Class2",41.845
49.239,"D",63.677,80,20.585,11.743,63.051,"C",68.841,19,"Class1",55.445
39.356,"U",74.302,60,29.669,27.686,29.571,"O",83.73,64,"Class2",66.483
46.147,"D",65.377,88,25.597,42.995,44.215,"U",73.654,28,"Class1",72.344
51.958,"N",66.927,94,17.045,47.49,60.951,"U",2.981,11,"Class1",14.775
94.78,"G",71.839,94,21.823,29.718,18.025,"U",87.45,32,"Class1",NA
72.019,"D",58.907,90,16.498,28.412,25.161,"C",32.83,34,"Class1",12.605
65.844,"N",76.612,61,25.372,24.792,31.959,"I",64.448,61,"Class2",40.443
