"JBT1","RNA2","XJB3","UAS4","YOU5","Output15","EZQ6","RPB7","WOI8","FZT9"
68,24.712,68.645,56.949,84.608,"Class2","Y",50.788,32.518,51.375
55,53.639,35.068,66.657,96.812,"Class1","F",34.349,34.649,68.829
58,45.198,15.257,79.521,58.623,"Class5","Z",30.554,66.629,41.976
49,37.271,51.086,57.654,74.975,"Class4","I",43.971,82.909,12.885
74,16.845,20.232,94.425,59.723,"Class5","P",35.924,66.965,32.5
44,70.427,44.883,79.014,51.376,"Class3","Q",65.38,31.17,46.382
51,60.381,16.603,68.98,65.356,"Class5","W",67.697,66.478,38.472
56,27.396,68.293,35.48,89.161,"Class1","T",53.198,43.15,64.818
69,29.371,56.61,63.879,75.829,"Class4","C",65.884,23.296,12.082
48,29.88,55.636,59.496,74.03,"Class4","S",41.125,74.493,12.645
15,-0.157,NA,62.776,69.108,"Class4","H",64.187,76.456,12.632
81,54.567,NA,69.504,65.195,"Class5","W",39.676,66.168,40.955
83,15.522,68.796,33.391,39.275,"Class2","Y",52.668,13.445,51.453
19,82.49,40.039,87.963,64.719,"Class3","S",72.838,7.049,47.268
11,52.686,46.611,84.907,80.871,"Class3","N",71.548,20.73,47.17
54,14.039,80.011,76.964,90.641,"Class1","F",66.496,71.947,64.766
87,14.662,60.322,59.695,74.538,"Class4","X",52.381,69.036,12.373
41,73.833,44.054,83.837,52.636,"Class3","N",70.973,12.803,46.208
4,81.215,NA,79.731,25.34,"Class3","Q",74.992,13.51,46.267
64,37.812,31.022,98.762,70.751,"Class5","Z",64.623,66.079,38.616
66,35.09,58.552,57.467,71.886,"Class4","H",52.969,61.1,12.816
55,12.43,61.284,82.225,94.543,"Class1","T",59.396,26.838,67.746
63,1.738,14.668,95.37,75.156,"Class1","T",70.085,68.582,68.894
43,12.984,69.59,42.571,75.695,"Class2","K",58.448,8.227,51.296
72,NA,NA,86.685,66.48,"Class5","Q",51.983,66.887,27.326
43,10.251,NA,91.501,25.584,"Class2","Y",56.289,25.507,51.534
54,21.888,80.632,76.994,82.858,"Class1","K",59.858,13.258,69.796
86,11.096,45.563,64.366,71.46,"Class4","X",72.506,60.559,12.697
42,16.769,68.51,82.574,13.009,"Class2","H",59.51,20.604,51.429
54,42.38,11.641,76.463,82.706,"Class1","F",35.403,74.704,64.372
62,40.98,49.022,68.404,62.304,"Class1","T",31.894,44.92,67.196
29,10.63,72.963,85.438,97.97,"Class2","K",53.958,25.322,51.917
67,24.612,35.557,83.582,69.158,"Class5","Z",45.346,66.293,41.534
54,38.042,36.488,19.965,81.001,"Class1","T",27.509,28.291,67.644
59,32.6,67.031,62.603,78.31,"Class1","F",49.84,53.778,63.454
81,13.584,76.706,22.835,53.037,"Class2","T",53.29,3.013,51.636
39,40.847,58.32,56.712,74.984,"Class4","I",67.1,71.125,12.111
3,82.402,46.801,81.463,110.011,"Class3","Q",77.451,2.114,47.092
55,41.686,35.798,41.794,96.839,"Class1","K",93.638,25.151,65.029
64,13.734,68.249,60.223,17.795,"Class2","X",55.766,4.264,51.499
50,78.889,NA,84.918,48.914,"Class3","S",68.544,25.357,46.695
61,17.343,13.19,88.072,95.588,"Class1","X",61.193,79.212,67.673
15,69.531,45.604,81.602,67.164,"Class3","S",62.752,19.832,47.54
21,63.269,49.776,81.4,54.592,"Class3","I",72.304,25.326,47.304
46,36.392,30.131,74.46,75.623,"Class5","W",52.568,66.381,40.544
43,55.444,42.718,87.057,50.365,"Class3","I",69.116,25.498,47.592
35,16.27,51.472,61.666,72.243,"Class4","H",11.513,77.739,12.604
53,46.98,20.583,50.876,103.357,"Class1","X",61.634,64.639,63.103
89,43.103,47.714,63.034,76.618,"Class4","H",65.404,77.759,12.556
69,10.252,70.956,23.125,49.077,"Class2","X",46.476,38.035,51.05
59,-6.188,48.68,56.753,74.583,"Class4","H",46.964,16.873,12.717
76,18.68,81.367,58.326,80.305,"Class2","K",51.781,23.651,51.616
54,39.386,42.621,24.255,105.749,"Class1","T",58.185,18.701,63.992
85,41.883,59.308,59.984,73.124,"Class4","I",49.761,22.115,12.292
57,17.134,58.155,31.723,91.644,"Class1","U",44.607,81.319,69.27
29,8.258,66.694,27.57,2.214,"Class2","K",51.632,7.624,51.667
77,8.102,72.991,65.592,50.879,"Class2","K",53.996,7.129,51.703
59,12.66,70.618,26.513,94.057,"Class1","U",47.71,14.13,69.781
25,27.154,56.268,57.77,73.416,"Class4","H",48.136,81.916,12.633
74,13.667,67.759,42.734,39.089,"Class2","Y",60.028,6.731,51.803
77,40.678,13.21,71.786,66.173,"Class5","Z",64.214,66.037,30.2
78,59.405,-3.289,92.322,73.668,"Class5","Z",40.608,66.131,29.057
46,13.55,76.712,42.302,48.073,"Class2","T",50.666,38.046,51.987
24,72.559,62.244,62.416,71.72,"Class4","X",48.413,89.579,12.445
19,52.521,49.012,86.384,102.258,"Class3","I",66.987,16.586,47.535
78,18.757,64.039,86.284,66.488,"Class2","T",48.263,13.362,51.564
16,NA,NA,90.242,89.087,"Class3","S",71.7,25.799,46.923
31,46.468,48.609,57.025,74.394,"Class4","C",30.671,24.261,12.606
16,26.103,NA,63.647,76.535,"Class4","I",57.732,32.623,12.481
34,55.672,47.742,79.145,81.356,"Class3","N",69.392,9.012,47.822
31,74.651,43.379,90.014,35.737,"Class3","I",74.356,12.852,46.424
60,25.12,56.305,93.192,100.795,"Class1","U",84.361,19.904,67.28
35,20.194,38.063,88.279,63.855,"Class5","Z",25.388,66.848,42.438
63,79.097,40.511,56.216,73.048,"Class4","C",66.457,16.072,12.363
34,59.372,50.054,89.167,63.488,"Class3","S",64.284,0.513,46.355
58,25.277,37.558,45.771,78.338,"Class1","T",83.752,39.037,68.883
59,25.454,60.117,96.347,74.812,"Class1","X",59.507,56.014,67.761
62,32.962,53.243,59.362,72.821,"Class4","X",51.677,29.413,12.876
55,15.514,64.515,32.901,81.64,"Class1","U",76.093,25.31,69.95
90,51.442,43.214,58.231,73.457,"Class4","H",46.844,45.27,12.871
34,11.639,NA,33.814,104.075,"Class2","T",58.721,10.002,51.849
58,6.024,34.115,95.387,63.354,"Class5","P",37.785,66.511,28.68
26,68.458,46.77,83.132,101.021,"Class3","T",65.479,4.991,46.707
42,45.579,25.723,82.233,63.478,"Class5","W",51.444,66.33,22.534
61,39.594,29.608,77.688,68.985,"Class1","T",85.586,79.896,63.12
62,7.123,NA,69.779,92.032,"Class1","T",34.49,71.263,69.237
18,55.933,60.397,59.217,71.714,"Class4","S",30.161,82.618,12.762
63,38.832,NA,32.29,84.771,"Class1","T",37.642,81.919,63.588
49,56.961,50.049,58.537,71.134,"Class4","H",32.708,62.777,12.954
76,11.281,75.547,47.594,-1.084,"Class2","H",47.98,45.21,51.932
6,64.363,46.79,83.82,40.558,"Class3","S",69.404,10.554,47.208
9,59.662,49.393,84.097,55.454,"Class3","Q",77.814,11.373,46.086
66,19.63,72.278,89.718,104.022,"Class2","K",48.216,36.761,51.261
37,40.014,14.991,76.005,62.743,"Class5","W",58.834,66.361,24.636
69,10.399,81.802,18.999,71.355,"Class2","T",45.423,42.553,51.188
40,67.699,48.514,84.341,98.55,"Class3","S",70.436,10.888,46.036
60,10.113,51.698,49.87,100.248,"Class1","X",31.022,23.009,68.47
47,NA,48.536,93.415,68.489,"Class5","S",37.358,66.786,23.639
41,14.058,62.29,21.238,49.6,"Class2","T",53.099,6.295,51.784
15,81.716,39.765,84.543,100.358,"Class3","S",68.328,16.001,46.093
69,20.361,75.173,84.766,70.639,"Class2","Y",56.668,5.583,51.259
37,59.066,48.407,86.539,59.72,"Class3","I",73.244,3,46.3
16,69.996,48.803,88.961,52.442,"Class3","T",63.966,14.282,46.332
47,8.208,61.305,51.478,79.664,"Class2","K",52.638,3.886,51.568
65,4.561,73.701,85.814,32.169,"Class2","K",48.618,48.941,51.434
44,32.155,NA,73.357,63.281,"Class5","P",54.379,66.393,35.425
53,58.024,56.829,63.172,76.058,"Class4","X",29.949,39.293,12.226
52,19.162,54.36,61.882,72.714,"Class4","I",75.244,50.161,12.255
83,16.663,63.877,55.989,111.999,"Class2","Y",54.385,24.119,51.839
66,48.067,16.715,83.74,79.318,"Class5","Z",41.448,66.688,27.209
53,78.907,56.562,57.671,74.703,"Class4","X",50.188,58.857,12.492
68,20.35,47.612,58.522,74.193,"Class4","I",47.783,35.182,12.195
59,15.801,67.822,47.593,75.889,"Class2","Y",52.602,48.33,51.503
62,12.365,82.757,21.428,51.499,"Class2","K",54.307,22.663,51.952
60,12.364,48.108,43.964,81.473,"Class1","T",80.041,26.119,66.567
12,75.272,42.653,85.062,86.996,"Class3","Q",56.775,19.647,47.484
58,42.999,33.603,25.777,89.732,"Class1","K",64.686,78.06,63.43
11,82.681,50.998,83.487,74.352,"Class3","S",61.766,23.242,46.798
16,-4.299,51.386,62.989,69.936,"Class4","C",68.533,81.879,12.034
43,24.015,65.413,35.541,42.391,"Class2","T",51.615,7.834,51.746
61,15.813,37.425,91.269,89.297,"Class1","U",86.74,71.963,63.88
53,10.879,65.265,32.941,-27.34,"Class2","X",50.758,47.124,51.015
58,29.242,37.171,41.237,85.75,"Class1","X",66.331,82.226,63.365
54,26.063,40.49,68.692,57.45,"Class5","W",51.989,66.332,30.024
35,5.602,68.823,79.348,56.128,"Class2","H",56.848,17.625,51.178
46,NA,62.926,59.792,74.347,"Class4","X",36.855,57.444,12.975
73,6.024,74.69,68.814,44.55,"Class2","K",50.855,41.203,51.115
41,20.977,63.806,72.157,83.077,"Class2","K",51.67,27.943,51.348
53,NA,68.682,86.557,98.716,"Class1","T",30.896,29.358,69.363
66,27.772,49.411,62.652,75.862,"Class4","S",32.321,86.404,12.956
63,34.428,10.106,68.942,97.793,"Class1","K",60.547,69.543,64.107
61,43.351,60.969,77.743,79.839,"Class1","T",38.587,52.343,63.547
57,19.451,66.839,21.478,39.843,"Class2","T",63.133,44.329,51.004
58,38.156,66.049,25.553,101.221,"Class1","U",46.656,52.64,69.325
71,55.744,20.287,95.441,76.495,"Class5","S",54.369,66.392,25.669
59,37.682,42.915,39.948,92.094,"Class1","X",48.417,43.132,67.404
18,73.566,44.609,89.37,85.684,"Class3","Q",74.465,27.27,47.111
76,18.684,75.027,46.593,112.292,"Class2","T",54.882,32.014,51.048
58,32.532,55.85,60.568,78.335,"Class4","C",39.896,45.627,12.401
20,45.314,50.029,63.554,76.368,"Class4","I",53.378,15.711,12.051
56,25.668,34.545,71.978,84.693,"Class1","X",65.837,48.801,68.79
