"Output1","ONF1","UNV2","DLX3","GHE4","DZH5","QAK6","OEL7","CRB8","BSP9","ZJI10"
"Class3",41.268,14.022,83.941,"F",84.682,82.929,49,95.597,81.895,99.517
"Class4",47.439,74.706,48.532,"J",74.454,79.26,75,64.799,80.113,33.983
"Class4",49.602,67.965,65.395,"J",75.977,79.734,54,60.675,69.672,24.712
"Class1",67.395,65.641,41.615,"N",63.58,11.346,58,79.274,73.805,54.196
"Class1",64.133,55.005,19.953,"K",67.763,15.911,52,73.763,73.776,73.77
"Class5",46.037,62.628,58.224,"M",28.16,76.241,59,60.754,39.8,72.552
"Class1",68.73,44.475,50.339,"X",63.22,22.857,51,88.124,80.644,11.34
"Class1",62.423,32.678,33.612,"N",58.18,9.578,55,89.114,92.785,62.107
"Class2",64.332,12.576,22.282,NA,80.031,43.019,76,54.648,83.824,79.124
"Class1",67.052,47.85,50.328,"K",54.688,26.144,55,83.738,97.14,34.541
"Class1",64.505,38.706,58.117,"D",55.939,21.617,60,84.159,71.42,27.706
"Class1",64.686,47.742,26.051,"D",75.004,18.06,51,77.252,83.935,78.761
"Class3",23.383,27.315,90.053,"T",69.146,83.307,51,93.94,52.828,96.741
"Class5",46.236,80.95,57.566,"X",50.606,73.939,35,96.6,20.983,31.718
"Class4",75.9,21.14,46.559,"I",73.456,79.48,91,68.2,76.641,53.327
"Class3",54.982,35.531,63.657,NA,75.381,79.422,46,93.712,92.187,80.274
"Class2",57.759,11.264,25.921,"N",78.71,44.513,72,63.377,74.459,81.218
"Class4",63.107,44.297,43.428,"K",66.034,80.334,84,65.029,90.318,47.824
"Class3",38.547,32.831,78.664,"T",73.179,81.998,40,96.456,93.61,79.316
"Class5",47.036,50.066,79.979,"M",53.021,67.35,24,135.499,39.963,39.073
"Class1",60.684,33.658,54.446,"N",61.664,27.136,47,83.701,95.01,64.925
"Class2",77.964,16.311,25.955,"E",71.344,45.702,46,53.927,90.89,79.737
"Class3",61.186,12.647,81.628,"F",82.247,82.697,45,92.752,75.411,68.684
"Class4",45.951,3.76,47.505,"E",70.011,79.283,67,69.338,80.537,48.548
"Class1",62.324,69.441,30.023,"K",61.175,25.9,54,88.701,91.579,40.811
"Class2",52.93,19.192,19.866,"Z",78.793,43.871,52,13.681,67.619,70.273
"Class2",46.972,15.087,30.6,"D",73.193,46.625,78,66.423,69.328,76.576
"Class5",28.431,53.942,76.206,"M",8.745,56.604,55,85.04,50.697,43.61
"Class3",74.962,14.937,84.937,"H",90.26,78.408,42,93.517,63.848,37.744
"Class1",60.783,33.162,32.953,"N",64.9,19.675,58,82.177,80.729,65.424
"Class1",65.123,61.212,40.798,"O",69.185,20.618,50,83.81,82.285,122.786
"Class4",43.941,35.766,71.918,"U",74.929,79.88,80,69.18,96.674,51.563
"Class5",33.831,47.108,28.979,"I",47.691,63.97,33,75.46,42.554,47.874
"Class2",62.824,20.197,26.197,"E",77.925,47.016,41,40.441,62.787,80.11
"Class3",32.061,56.623,87.86,"T",82.239,80.848,51,95.565,59.845,79.912
"Class4",39.584,40.083,NA,"K",74.003,79.854,99,59.386,72.238,39.288
"Class2",59.747,21.825,24.932,"D",72.727,45.218,43,42.905,64.54,86.845
"Class4",74.868,10.408,38.716,"J",70.279,79.302,67,64.193,89.42,30.116
"Class5",56.474,85.598,27.066,"N",57.194,68.504,50,73.997,26.013,27.667
"Class3",81.799,40.519,81.555,"T",77.407,84.024,43,93.538,81.382,72.904
"Class4",30.085,65.502,NA,NA,76.377,79.761,89,63.216,71.135,42.749
"Class2",61.198,12.612,30.281,"K",75.257,42.447,77,57.584,97.249,82.868
"Class3",57.058,20.195,85.427,"T",96.571,79.22,49,93.396,53.736,71.15
"Class4",49.867,65.363,60.749,"I",76.075,79.302,56,62.712,83.683,44.522
"Class3",78.127,33.079,89.035,"X",83.178,80.841,47,90.75,48.773,88.695
"Class1",68.376,69.467,39.841,"K",60.567,15.158,60,86.426,81.357,40.46
"Class4",49.49,60.641,39.981,"J",73.594,79.118,71,64.833,92.254,49.166
"Class3",77.454,44.194,51.204,"T",87.318,86.147,45,97.359,65.639,36.682
"Class2",82.349,23.142,27.725,"N",71.008,45.364,50,29.172,60.312,72.686
"Class4",48.848,59.048,72.383,"E",74.188,78.818,82,58.427,89.45,44.085
"Class2",40.939,19.478,29.329,"E",73.944,45.401,45,31.503,65.052,81.296
"Class4",67.65,69.849,64.771,"J",73.455,80.011,67,62.973,89.235,60.474
"Class1",68.775,67.105,7.134,"X",69.005,15.005,52,88.167,82.398,87.863
"Class2",88.243,17.203,25.451,"Z",70.154,45.357,59,33.962,85.172,87.193
"Class2",49.589,23.046,22.701,"Z",79.374,48.384,66,59.312,93.497,90.283
"Class3",9.637,57.636,83.532,"T",85.495,80.824,44,90.7,53.493,85.997
"Class2",48.148,24.145,23.278,NA,76.18,46.228,41,71.889,93.266,77.779
"Class3",30.046,37.593,63.54,"H",76.808,80.698,44,93.079,81.515,49.673
"Class2",73.648,11.626,19.089,"K",79.531,42.934,63,66.029,94.787,75.749
"Class2",96.913,25.129,24.049,"E",75.178,46.213,67,19.198,71.852,78.061
"Class2",46.644,21.808,21.547,"N",71.239,45.492,49,54.97,60.976,78.429
"Class5",60.308,30.682,36.22,"M",79.874,58.614,55,41.578,1.883,62.39
"Class4",36.951,34.361,52.234,"E",77.336,79.465,54,68.18,93.539,46.878
"Class1",61.202,66.177,NA,"N",59.317,33.593,60,88.403,95.798,21.008
"Class1",64.36,60.879,10.804,"K",66.449,23.748,55,76.107,79.069,58.172
"Class2",85.731,10.645,30.567,"Z",78.26,44.249,58,43.281,81.457,67.732
"Class2",48.233,13.51,29.938,"E",80.251,45.18,74,31.476,81.296,95.608
"Class1",61.744,51.856,26.857,"X",67.701,26.16,53,87.235,80.192,64.99
"Class5",40.255,64.457,38.441,"N",78.509,59.849,47,83.321,29.45,36.669
"Class5",33.548,34.64,49.522,"I",94.045,67.038,41,50.636,26.154,53.788
"Class4",38.791,29.669,43.061,"U",68.035,79.211,80,60.996,78.08,15.875
"Class3",68.997,52.791,92.566,"T",85.036,84.602,43,92.079,84.123,65.559
"Class1",63.168,48.122,59.994,"X",65.903,20.675,50,87.958,76.013,79.801
"Class4",50.8,39.831,66.617,"I",70.573,80.266,60,61.239,82.637,44.438
"Class4",79.803,29.635,33.711,"J",70.686,79.345,74,61.658,82.675,49.578
"Class4",31.971,38.005,46.294,"U",71.841,79.78,84,65.482,79.657,55.194
"Class2",56.627,11.081,18.332,"K",74.702,45.058,79,28.114,84.771,79.406
"Class2",95.836,17.681,23.646,"E",73.266,44.923,38,82.471,93.985,89.954
"Class2",85.974,16.74,29.187,"E",80.123,43.994,59,35.379,64.501,72.234
"Class4",76.584,53.375,32.619,"I",74.072,79.063,55,64.691,83.134,31.548
"Class3",20.509,54.709,75.883,"T",78.848,82.11,52,93.816,95.938,101.424
"Class4",33.132,10.025,30.878,"U",65.009,80.007,89,66.993,79.281,32.156
"Class3",23.099,25.361,74.611,"X",77.896,84.561,50,88.544,76.495,34.101
"Class2",58.063,22.681,26.389,"D",74.862,46.48,83,51.638,87.688,75.076
"Class1",67.363,36.898,59.02,"X",58.069,16.406,47,79.064,83.866,37.944
"Class2",73.65,23.646,28.412,"E",74.811,42.095,68,81.723,96.375,75.603
"Class1",67.905,67.451,25.29,"O",66.402,26.886,58,85.849,94.221,39.036
"Class2",91.222,18.483,19.598,"E",79.513,44.87,59,39.96,79.561,76.809
"Class4",46.91,17.338,52.508,"I",75.707,79.088,62,62.532,92.909,44.655
"Class1",65.2,50.257,28.39,"K",80.521,41.016,56,78.988,74.882,67.182
"Class4",69.397,61.999,32.21,"U",78.176,79.377,79,66.567,72.973,44.361
"Class4",54.632,35.819,65.535,"K",67.295,79.74,68,69.709,72.582,25.558
"Class4",66.401,3.317,74.507,"I",72.514,79.541,57,62.701,76.594,29.543
"Class4",68.901,52.301,61.377,"E",72.688,79.799,69,61.742,85.04,24.701
"Class3",58.591,23.502,82.276,"G",72.684,81.057,42,95.067,71.431,74.989
"Class1",62.676,38.756,12.712,"N",74.729,23.994,54,88.17,88.953,79.07
"Class2",43.541,10.061,26.492,"E",75.537,42.612,51,71.384,59.243,78.58
