"OHJ1","KDH2","WHB3","PGJ4","ZLP5","JUH6","DCF7","Output9","HJC8","IMD9","UWR10"
23.127,37.835,59.364,42.66,85,41.045,67.355,"Class1","B",82,17.059
26.579,23.894,72.17,28.467,83,33.584,64.782,"Class1","B",82,15.832
85.458,55.899,39.054,21.734,32,84.497,17.136,"Class4","I",79,-9.136
77.34,54.341,62.524,30.955,22,85.234,53.456,"Class4","I",80,13.092
29.408,39.922,33.421,10.83,19,31.508,25.07,"Class3","V",69,88.671
26.726,24.601,31.89,47.239,85,37.486,55.045,"Class1","E",84,18.159
29.347,34.946,53.232,126.698,6,23.671,31.735,"Class3","S",69,83.703
28.843,43.597,49.929,78.357,17,34.266,26.244,"Class3","Q",74,83.683
96.865,65.572,44.679,78.479,84,89.652,63.877,"Class2","H",12,17.401
16.489,54.127,45.971,57.701,92,77.33,67.978,"Class2","X",15,40.271
23.468,21.395,50.054,32.162,60,34.551,55.807,"Class1","B",87,43.664
88.416,54.644,59.851,38.167,28,92.041,50.412,"Class4","J",79,9.211
83.844,54.245,66.489,25.564,38,88.303,18.496,"Class4","V",76,39.128
87.098,55.801,42.649,38.673,46,93.189,53.689,"Class4","I",84,NA
77.548,53.012,48.587,30.094,33,90.79,16.543,"Class4","A",77,10.541
27.499,37.849,36.275,17.075,81,36.091,59.79,"Class1","P",84,28.94
23.185,45.531,21.557,61.04,13,24.781,30.718,"Class3","R",69,87.34
27.436,29.583,27.27,-28.177,22,36.026,30.635,"Class3","V",67,89.266
80.975,54.943,66.544,33.427,45,90.55,50.42,"Class4","V",74,NA
120.577,67.894,36.767,59.296,91,81.182,78.09,"Class2","A",29,16.605
28.014,16.439,42.575,24.255,22,38.632,25.453,"Class3","L",75,88.959
25.563,23.155,39.893,82.754,11,37.14,27.264,"Class3","Q",70,95.907
79.428,55.718,41.642,51.364,92,74.945,68.663,"Class2","H",13,30.667
-5.753,58.458,44.179,67.747,81,80.487,64.5,"Class2","H",28,14.479
22.784,33.941,33.112,70.229,20,47.034,31.872,"Class3","Q",69,79.979
24.082,40.73,32.33,69.167,13,8.723,30.069,"Class3","S",71,80.677
23.663,24.652,69.308,45.492,80,33.928,63.743,"Class1","I",82,34.186
33.297,36.855,80.759,44.185,74,27.579,67.805,"Class1","P",87,6.339
79.127,54.233,51.423,35.157,10,88.3,24.349,"Class4","J",67,30.012
35.803,64.425,43.733,66.253,77,84.821,77.227,"Class2","V",16,-1.917
23.517,34.538,64.652,31.234,63,30.314,64.769,"Class1","H",82,90.844
25.254,28.83,55.39,67.021,9,51.658,26.938,"Class3","Q",72,88.543
26.484,22.263,38.482,41.053,5,8.414,26.363,"Class3","L",69,84.914
91.798,61.269,39.393,45.625,77,91.614,73.412,"Class2","A",26,33.144
26.099,24.181,75.507,29.302,84,27.38,61.922,"Class1","E",86,NA
32.903,21.658,73.722,30.419,73,40.358,60.62,"Class1","I",82,25.465
28.204,18.03,59.908,11.87,7,-9.626,26.819,"Class3","S",69,82.642
29.677,29.104,70.963,41.731,77,37.654,58.046,"Class1","E",83,15.597
70.063,65.944,37.798,43.953,86,79.268,77.624,"Class2","X",32,30.404
28.483,56.111,35.199,64.465,81,86.116,60.236,"Class2","A",34,18.075
30.714,57.003,37.556,62.537,86,82.549,75.689,"Class2","V",13,57.143
24.938,22.164,58.292,35.903,74,22.191,60.55,"Class1","H",85,41.997
31.353,37.697,40.518,26.259,64,31.901,53.071,"Class1","I",84,40.134
77.154,55.457,59.805,30.736,38,88.57,44.903,"Class4","J",68,16.74
61.342,58.544,41.367,41.797,85,89.188,66.886,"Class2","A",9,38.283
83.322,53.732,43.237,33.826,36,91.491,38.553,"Class4","I",88,31.03
23.471,37.396,45.184,27.659,68,28.355,63.951,"Class1","P",84,13.647
26.909,20.308,27.594,-22.484,5,87.592,27.526,"Class3","L",74,81.541
27.398,21.193,31.663,57.485,12,35.885,29.731,"Class3","S",69,89.082
79.505,62.729,38.007,70.736,79,80.861,73.669,"Class2","A",14,NA
69.938,62.517,41.622,66.856,76,84.196,69.977,"Class2","A",28,63.691
84.975,53.899,62.447,28.121,24,89.385,44.989,"Class4","V",80,21.498
80.186,55.028,67.838,34.699,16,86.643,45.676,"Class4","V",68,-3.498
55.959,67.049,40.687,52.807,86,77.649,74.295,"Class2","M",24,58.243
91.83,55.055,43.218,36.516,21,86.02,45.617,"Class4","R",87,18.505
84.052,53.837,38.07,26.37,39,90.342,33.058,"Class4","I",85,30.726
56.634,54.284,36.43,69.749,85,90.164,60.458,"Class2","M",20,20.242
28.313,47.563,50.932,39.068,16,34.736,25.834,"Class3","R",70,81.688
22.76,40.536,33.344,91.942,16,9.874,29.569,"Class3","Q",70,86.245
87.433,54.193,45.071,24.244,31,87.885,13.594,"Class4","R",83,29.478
29.721,34.281,78.823,32.806,58,41.706,61.453,"Class1","E",84,39.785
80.341,53.579,66.765,28.854,45,91.014,10.814,"Class4","I",76,18.669
86.041,55.222,59.087,25.818,46,88.154,22.19,"Class4","A",78,31.279
28.539,32.866,54.383,53.949,21,45.861,25.754,"Class3","L",70,77.618
44.623,57.765,43.015,64.38,84,95.075,60.301,"Class2","V",25,35.805
80.119,53.825,60.055,22.527,11,88.604,26.43,"Class4","I",74,14.045
26.755,37.238,75.935,17.292,65,34.073,66.252,"Class1","E",84,65.157
29.123,34.534,67.897,27.542,75,28.212,61.898,"Class1","B",85,44.166
86.26,54.997,60.859,29.206,35,86.79,49.073,"Class4","I",84,19.827
34.258,37.584,78.146,32.949,87,33.045,66.75,"Class1","B",87,50.846
28.663,35.375,39.437,52.992,59,27.573,53.107,"Class1","B",84,52.004
82.706,55.44,46.18,28.632,31,86.779,13.196,"Class4","A",67,15.362
77.767,55.395,57.191,31.145,43,86.61,23.78,"Class4","I",64,16.4
31.687,66.012,42.938,70.263,86,84.073,73.5,"Class2","V",15,14.18
