"WUE1","LMS2","ITH3","UVL4","PXI5","SYU6","YPD7","JDF8","VTO9","NOG10","Output8"
96.507,10,92.709,"G",13.361,31,52.951,74.111,NA,52.249,"Class1"
57.949,73,84.869,"X",24.033,63,13.765,NA,73.533,-7.289,"Class2"
50.568,13,49.797,"N",67.816,60,56.459,71.543,32.446,59.251,"Class3"
96.321,6,94.124,"S",14.992,23,40.644,74.611,42.767,24.228,"Class1"
47.071,49,60.682,"N",67.17,84,39.788,57.195,27.093,52.247,"Class3"
52.961,71,77.148,"W",48.377,59,19.991,13.288,NA,49.415,"Class2"
45.921,41,83.925,"N",34.604,59,26.296,14.492,80.655,91.846,"Class2"
74.811,14,93.597,"I",25.559,30,23.694,74.202,45.813,34.623,"Class1"
75.581,12,96.403,"G",27.556,28,27.667,74.686,50.612,58.253,"Class1"
57.19,15,94.951,"U",19.528,31,61.461,74.063,33.726,70.058,"Class1"
88.263,16,91.717,"S",25.11,23,-22.818,74.151,48.84,57.473,"Class1"
38.303,47,60.913,"W",67.28,66,22.119,72.483,50.817,62.906,"Class3"
43.909,45,62.413,"K",67.098,61,69.434,69.398,51.61,55.34,"Class3"
75.344,45,62.468,"A",33.482,69,8.141,13.505,72.552,29.139,"Class2"
38.161,14,92.711,"G",19.871,5,15.089,74.048,NA,100.482,"Class1"
28.793,19,91.364,"R",33.494,32,53.651,74.282,55.311,48.946,"Class1"
48.637,7,95.417,"G",31.424,46,98.721,74.989,42.828,36.613,"Class1"
25.933,18,94.179,"G",28.109,23,34.463,74.461,39.058,62.316,"Class1"
55.035,69,69.884,"N",67.75,78,51.309,76.707,18.568,59.665,"Class3"
95.478,57,53.102,"W",45.182,60,17.453,13.101,50.18,18.603,"Class2"
66.354,41,72.841,"X",55.622,65,22.105,13.235,83.306,61.012,"Class2"
43.567,8,59.627,"W",51.378,60,11.103,11.178,54.26,16.26,"Class2"
45.214,66,64.292,"L",67.114,90,39.488,48.491,NA,60.699,"Class3"
75.098,22,46.338,"K",52.523,74,11.059,12.278,73.474,26.81,"Class2"
53.077,30,53.824,"N",67.512,88,41.242,49.511,43.237,51.014,"Class3"
37.11,36,61.573,"N",67.866,70,32.953,56.536,42.875,47.515,"Class3"
7.896,74,62.317,"N",48.979,62,12.751,11.916,78.054,73.055,"Class2"
42.787,18,94.024,"R",24.759,52,62.992,74.254,47.576,75.597,"Class1"
51.104,18,90.583,"R",22.196,32,38.718,74.203,37.188,56.996,"Class1"
60.172,13,93.845,"G",31.582,55,-9.163,74.154,49.09,50.695,"Class1"
83.781,17,94.66,"G",16.621,35,23.018,74.324,32.373,8.521,"Class1"
36.755,41,43.958,"W",67.908,86,42.14,83.813,40.334,57.192,"Class3"
80.636,11,95.649,"R",26.471,37,37.219,74.43,35.045,118.276,"Class1"
19.768,29,49.291,"A",27.092,58,21.192,12.239,91.508,6.181,"Class2"
43.622,13,71.501,"W",67.024,79,27.59,69.621,29.155,57.082,"Class3"
42.017,26,73.967,"X",67.214,68,57.913,73.893,75.066,64.182,"Class3"
51.408,45,58.366,"L",67.92,96,49.715,71.93,NA,63.623,"Class3"
55.157,22,93.628,"R",17.417,29,17.317,74.704,41.143,77.325,"Class1"
100.33,35,81.699,"W",30.941,62,15.09,10.596,97.274,54.242,"Class2"
45.109,20,91.887,"I",19.11,27,5.392,74.343,49.402,75.659,"Class1"
80.981,10,92.4,"I",28.189,7,31.534,NA,39.244,78.802,"Class1"
55.152,12,94.677,"R",34.03,48,74.95,74.706,31.946,63.608,"Class1"
58.665,70,73.553,"A",39.4,73,14.863,13.193,68.452,53.778,"Class2"
54.135,16,96.472,"U",30.258,48,20.341,74.738,36.634,23.341,"Class1"
28.172,63,88.027,"N",56.494,63,2.935,13.453,55.631,19.898,"Class2"
52.305,6,95.408,"U",19.851,48,62.433,74.17,33.573,69.48,"Class1"
94.266,22,91.807,"G",15.242,33,32.959,74.497,36.055,63.437,"Class1"
56.452,59,64.979,"W",67.225,74,51.125,78.941,29.731,53.56,"Class3"
34.246,53,43.974,"X",67.909,95,52.121,54.529,41.093,57.106,"Class3"
46.759,20,48.38,"W",67.93,69,22.082,57.789,29.721,48.9,"Class3"
44.158,13,95.241,"U",25.502,31,42.882,74.478,46.818,69.187,"Class1"
58.82,18,95.28,"S",22.457,32,57.623,74.482,46.24,12.538,"Class1"
85.524,15,91.386,"I",33.032,15,37.397,74.687,37.781,54.756,"Class1"
32.251,5,93.208,"N",24.873,57,20.917,11.926,77.206,1.364,"Class2"
76.61,93,86.789,"A",23.016,69,13.944,12.864,71.154,39.152,"Class2"
56.033,19,93.572,"S",30.487,23,12.408,NA,45.069,54.005,"Class1"
46.998,10,69.651,"W",67.937,64,50.234,81.747,39.042,61.184,"Class3"
48.727,6,92.931,"I",31.622,20,35.221,74.633,42.744,84.523,"Class1"
53.602,50,42.229,"L",67.123,98,37.448,64.614,49.786,65.441,"Class3"
49.164,20,91.115,"U",25.214,27,36.33,74.625,NA,21.855,"Class1"
45.733,12,61.207,"L",67.687,88,45.619,65.738,40.173,57.91,"Class3"
51.15,67,51.941,"W",39.968,63,16.483,14.034,92.202,13.435,"Class2"
60.889,19,91.868,"R",18.957,30,90.239,74.387,41.52,21.644,"Class1"
45.176,44,49.412,"W",67.761,82,51.669,77.735,58.226,57.851,"Class3"
61.269,13,94.062,"S",24.555,11,19.959,NA,41.684,32.463,"Class1"
49.61,42,40.058,"X",67.636,90,33.664,52.218,24.386,44.409,"Class3"
45.834,7,96.485,"U",30.509,19,66.456,74.298,46.919,59.762,"Class1"
64.601,8,95.572,"U",32.655,49,2.489,74.842,NA,84.507,"Class1"
54.786,67,50.321,"K",62.565,78,23.322,12.021,72.999,44.864,"Class2"
54.141,34,43.537,"L",67.24,62,41.641,62.179,40.174,58.155,"Class3"
60.01,57,61.218,"N",67.604,81,53.429,72.686,34.429,51.744,"Class3"
-25.424,8,91.487,"U",28.311,53,44.684,74.545,41.63,37.253,"Class1"
119.199,15,94.399,"G",14.937,9,42.156,74.37,NA,42.05,"Class1"
41.473,64,73.569,"N",67.829,61,46.737,71.181,35.192,54.027,"Class3"
38.116,79,82.369,"A",24.836,76,14.238,12.993,82.922,17.541,"Class2"
92.391,18,60.778,"A",42.297,64,10.862,11.074,NA,46.971,"Class2"
19.266,55,94.385,"N",30.615,63,17.492,12.577,70.638,31.771,"Class2"
-6.456,15,95.758,"R",13.239,44,56.599,74.179,NA,87.039,"Class1"
34.995,3,56.04,"X",22.642,65,10.197,10.091,75.91,16.267,"Class2"
49.148,8,50.942,"X",67.359,80,58.866,49.183,42.748,42.681,"Class3"
61.761,93,80.832,"X",52.037,61,1.997,12.923,49.716,15.787,"Class2"
80.297,15,91.797,"U",32.5,22,94.667,74.968,36.686,-6.436,"Class1"
47.01,51,67.419,"N",67.238,67,45.92,56.299,28.245,49.252,"Class3"
49.484,18,92.329,"S",25.847,55,32.752,74.748,NA,-10.193,"Class1"
35.629,21,72.332,"L",67.233,82,33.238,53.785,42.125,62.521,"Class3"
55.034,45,77.91,"A",45.88,64,17.771,NA,56.803,61.149,"Class2"
90.232,68,52.865,"A",34.953,65,13.797,12.248,76.234,60.372,"Class2"
