"PVT1","EWU2","YVT3","XIU4","VWP5","TGF6","WGR7","OEX8","EBD9","JXG10","XGE11","Output7"
"L",30.638,48.586,15.013,44.338,17.19,70.506,4,"D",63.544,90.523,"Class3"
"L",30.952,32.884,17.152,41.172,22.708,70.795,3,"D",54.17,84.393,"Class3"
"F",20.292,44.166,24.481,40.225,9.751,67.638,3,"G",60.697,87.401,"Class3"
"H",18.19,24.692,25.856,54.527,23.649,66.948,2,"S",59.101,84.163,"Class3"
"C",73.832,67.654,22.145,16.074,46.88,67.529,78,"E",69.883,73.875,"Class2"
"L",31.652,43.497,18.398,56.572,24.823,69.723,3,"S",61.826,88.152,"Class3"
"C",77.341,72.613,43.873,23.178,61.008,67.043,60,"Y",89.275,37.082,"Class2"
"V",20.169,19.231,80.257,48.935,32.575,7.989,22,"S",3.772,52.482,"Class1"
"F",28.683,32.336,17.847,69.025,24.975,72.462,3,"G",60.564,87.02,"Class3"
"L",31.443,24.835,19.136,47.264,22.962,70.158,3,"E",60.124,84.176,"Class3"
"D",18.045,18.182,88.821,40.862,31.229,24.884,NA,"A",33.854,73.643,"Class1"
"H",29.227,40.425,4.203,75.782,17.674,71.206,3,"E",57.859,91.073,"Class3"
"V",17.701,19.013,101.087,44.671,32.296,28.976,15,"A",8.575,57.512,"Class1"
"W",70.793,68.337,2.039,31.898,60.392,70.197,65,"Q",96.055,38.083,"Class2"
"Y",20.433,19.984,85.512,55.796,31.241,10.085,14,"E",7.795,73.62,"Class1"
"O",23.87,36.267,11.966,82.419,9.578,67.61,4,"E",55.489,89.65,"Class3"
"V",22.113,19.299,74.002,71.828,32.285,22.285,NA,"A",11.019,47.302,"Class1"
"O",27.797,31.468,18.948,55.153,23.575,71.439,4,"E",59.375,81.933,"Class3"
"C",67.85,64.124,32.531,30.794,82.771,63.875,90,"W",65.756,75.081,"Class2"
"G",22.536,40.079,16.832,63.925,17.739,69.642,4,"S",63.398,82.451,"Class3"
"D",26.232,18.243,73.633,56.93,31.651,33.021,8,"U",7.348,57.708,"Class1"
"H",24.789,27.491,19.037,30.543,10.678,70.587,4,"O",63.903,83.315,"Class3"
"P",72.919,71.561,16.875,32.744,60.073,70.366,84,"E",76.726,45.349,"Class2"
NA,75.313,72.848,18.098,16.08,84.919,71.946,87,"W",73.647,91.024,"Class2"
NA,65.488,66.638,13.958,33.914,51.293,55.845,69,"W",88.921,8.126,"Class2"
"C",72.115,65.093,13.309,55.167,74.753,79.51,56,"Q",85.036,30.474,"Class2"
"C",75.464,73.408,33.265,25.086,77.778,74.503,77,"E",83.265,88.479,"Class2"
"G",26.891,31.51,8.419,79.705,15.03,71.761,2,"O",60.294,86.089,"Class3"
"Y",21.274,18.589,96.395,71.937,32.093,11.445,NA,"E",34.871,72.928,"Class1"
"F",15.013,22.758,21.461,75.405,13.944,66.172,4,"E",59.957,82.619,"Class3"
"H",34.57,32.206,9.397,49.315,27.958,76.195,4,"S",56.859,89.223,"Class3"
"H",30.18,37.01,21.37,50.933,26.085,64.101,4,"E",54.387,81.15,"Class3"
"F",18.559,22.98,22.861,55.663,19.536,74.801,4,"D",60.318,90.748,"Class3"
"C",70.928,64.202,21.017,13.878,76.745,63.974,91,"Q",84.721,53.829,"Class2"
"P",69.921,65.239,36.939,48.805,66.505,67.994,52,"T",86.497,60.522,"Class2"
"V",21.191,18.532,83.855,47.757,32.152,15.836,9,"A",14.724,69.314,"Class1"
"O",30.492,33.514,17.331,83.457,21.822,71.409,3,"S",63.729,92.302,"Class3"
"V",17.033,18.764,64.825,54.782,31.827,-3.809,17,"A",6.075,75.802,"Class1"
"O",21.207,37.942,10.641,53.42,20.994,75.642,4,"G",56.604,91.894,"Class3"
"O",33.187,41.638,7.629,29.956,20.818,73.541,2,"E",60.759,90.39,"Class3"
"P",19.268,18.37,82.868,52.46,32.299,19.731,22,"U",32.493,47.874,"Class1"
"X",18.376,19.516,73.966,59.757,31.772,11.376,19,"S",7.024,65.626,"Class1"
"P",73.51,63.611,18.371,29.966,61.145,61.761,88,"Y",99.819,88.443,"Class2"
"P",21.236,17.363,75.865,61.999,32.441,33.277,23,"U",25.744,65.648,"Class1"
"C",69.759,66.212,48.365,47.733,85.778,60.346,72,"E",75.255,46.024,"Class2"
"H",24.141,27.832,33.507,83.248,17.113,73.251,2,"E",59.129,88.602,"Class3"
"L",41.494,48.318,15.554,66.262,16.578,71.058,2,"D",63.642,83.021,"Class3"
"F",23.314,26.099,7.369,60.4,19.262,68.785,3,"S",55.839,84.231,"Class3"
"G",32.913,44.199,19.504,51.045,16.997,71.886,2,"O",57.705,90.927,"Class3"
"P",70.553,73.058,38.523,56.65,70.23,71.691,89,"Y",91.928,51.551,"Class2"
"Y",22.293,19.184,90.755,48.128,31.826,23.085,12,"U",6.981,71.321,"Class1"
"F",35.551,25.261,16.358,40.72,17.3,70.96,2,"O",57.89,86.894,"Class3"
"F",28.178,38.699,3.341,41.652,24.063,71.464,4,"S",54.107,81.028,"Class3"
"W",69.807,63.027,32.506,26.686,55.455,62.801,59,"Y",77.15,28.471,"Class2"
"D",24.893,18.522,86.264,54.831,33.213,3.836,25,"T",35.405,84.134,"Class1"
"V",23.992,17.022,83.607,68.584,31.803,25.83,13,"E",22.264,79.506,"Class1"
"H",36.463,25.209,15.018,67.374,13.596,80.594,3,"D",57.842,82.096,"Class3"
"Y",20.616,18.742,95.963,49.297,32.336,2.093,24,"U",6.595,78.48,"Class1"
"Y",21.395,17.776,82.118,62.011,31.388,5.582,21,"U",21.789,82.703,"Class1"
"G",21.875,34.553,23.15,28.278,20.283,58.144,3,"D",56.18,81.313,"Class3"
"J",73.31,70.829,30.113,26.461,58.141,68.998,67,"T",82.864,96.987,"Class2"
"M",78.226,65.515,18.592,14.193,81.442,71.518,81,"T",67.132,35.364,"Class2"
"P",79.781,65.159,20.929,46.47,65.52,68.403,60,"Y",69.034,52.418,"Class2"
"P",73.091,65.292,43.148,22.446,67.343,65.216,77,"Q",73.581,21.557,"Class2"
"J",76.634,69.6,18.463,35.021,76.117,66.118,64,"T",81.335,27.859,"Class2"
"L",30.486,39.118,19.281,63.865,20.012,71.932,3,"G",59.409,82.419,"Class3"
"D",22.19,18.771,88.527,62.932,32.55,22.233,16,"E",16.196,57.991,"Class1"
"G",21.829,30.158,6.925,61.193,17.791,65.029,3,"S",56.539,84.091,"Class3"
"H",29.743,47.726,18.359,68.901,20.423,69.236,3,"D",60.126,92.227,"Class3"
"L",33.594,36.927,23.652,40.307,15.501,64.998,3,"D",55.603,89.48,"Class3"
"O",27.494,36.578,22.787,25.45,26.265,71.888,4,"O",54.332,81.633,"Class3"
"J",68.563,66.066,30.344,43.707,71.356,70.023,82,"Y",89.778,36.995,"Class2"
"W",67.404,72.607,30.261,38.279,70.801,76.479,87,"W",88.607,70.696,"Class2"
"W",67.855,72.202,22.688,43.667,69.275,68.786,60,"Q",71.282,83.587,"Class2"
"C",72.378,64.027,17.87,57.148,82.753,62.177,57,"E",90.602,82.1,"Class2"
"O",26.491,41.098,16.028,35.905,26.16,67.82,3,"O",58.474,85.156,"Class3"
"D",22.703,17.004,86.907,49.406,32.33,-6.589,24,"E",27.689,72.936,"Class1"
"V",21.097,19.581,71.404,36.645,31.529,18.258,9,"S",7.821,64.92,"Class1"
"D",25.414,19.002,86.333,60.47,32.493,15.195,24,"E",22.141,56.139,"Class1"
NA,82.226,73.184,19.054,33.193,54.786,68.807,90,"Y",97.757,18.424,"Class2"
NA,23.288,18.933,84.056,66.848,32.146,40.62,13,"S",21.9,77.942,"Class1"
"W",68.487,64.78,33.66,34.582,67.07,60.982,58,"W",84.475,60.343,"Class2"
"L",21.489,45.984,22.002,32.165,19.271,72.615,4,"G",56.318,92.273,"Class3"
"Y",16.116,18.229,89.617,50.568,31.755,-5.761,3,"A",32.46,46.725,"Class1"
"O",25.435,44.455,23.883,84.648,19.459,66.606,4,"O",59.632,90.534,"Class3"
"V",17.552,17.235,86.478,43.174,32.685,-5.263,7,"S",10.35,51.608,"Class1"
"G",28.019,40.551,30.181,35.051,16.241,75.979,4,"G",53.771,90.594,"Class3"
"C",70.826,72.826,15.717,18.771,75.225,74.608,72,"Q",96.487,82.515,"Class2"
"P",22.39,19.071,98.922,44.858,32.652,20.58,23,"U",18.358,80.982,"Class1"
"V",24.167,18.588,75.843,36.797,32.367,29.802,20,"T",3.86,53.952,"Class1"
"C",73.516,67.748,21.8,57.844,80.391,72.539,71,"E",95.361,86.983,"Class2"
"X",20.306,18.624,84.155,56.611,31.833,22.746,5,"S",13.651,60.058,"Class1"
"G",24.615,28.138,31.585,54.669,24.79,68.431,4,"E",57.682,92.108,"Class3"
NA,28.89,34.105,12.645,27.858,27.346,67.975,4,"G",62.272,83.579,"Class3"
"V",19.225,17.999,68.602,65.771,32.005,27.241,20,"E",33.773,48.322,"Class1"
"P",70.268,70.157,35.282,27.258,67.057,69.103,81,"W",70.429,9.147,"Class2"
"Y",20.1,17.098,82.53,42.06,31.948,39.436,20,"S",19.39,54.906,"Class1"
NA,23.815,19.871,81.859,47.517,32.619,22.82,4,"S",5.711,58.53,"Class1"
"J",68.735,64.138,7.375,45.7,97.941,70.671,80,"Q",72.529,73.261,"Class2"
"M",74.995,67.249,24.708,44.494,75.058,72.754,NA,"T",97.798,49.137,"Class2"
"F",24.285,48.916,21.382,58.596,13.722,73.357,3,"D",58.778,87.553,"Class3"
"H",18.338,48.587,23.936,52.973,14.821,69.138,2,"G",62.092,92.786,"Class3"
"O",27.641,49.958,16.116,27.736,13.196,73.703,4,"D",55.289,88.43,"Class3"
"O",31.664,24.089,15.543,40.158,21.011,70.614,4,"G",63.635,86.216,"Class3"
"C",74.968,73.597,11.376,26.968,71.53,69.449,70,"E",79.573,37.295,"Class2"
"V",21.941,18.587,74.555,71.423,31.747,-1.781,9,"E",4.89,56.213,"Class1"
"P",69.818,63.396,27.331,41.058,83.326,68.684,65,"W",88.75,95.249,"Class2"
"X",21.818,17.323,76.195,60.025,32.16,31.906,19,"S",3.889,45.652,"Class1"
"D",21.406,18.97,91.05,36.244,31.727,17.347,11,"A",21.814,59.89,"Class1"
"W",72.169,70.279,24.808,25.027,75.178,74.461,69,"T",69.602,63.847,"Class2"
"W",74.168,66.317,25.888,47.431,102.083,58.087,88,"Y",82.329,5.828,"Class2"
"L",24.442,22.405,18.63,31.887,17.992,72.956,3,"O",56.419,84.212,"Class3"
"H",34.308,42.636,16.573,65.795,21.536,70.842,2,"E",57.685,82.254,"Class3"
"J",65.807,71.17,10.192,41.854,100.433,66.344,65,"W",64.687,78.787,"Class2"
"J",74.97,71.779,56.363,17.637,60.424,63.845,84,"W",71.624,68.115,"Class2"
"M",76.704,73.749,13.603,48.053,65.485,46.684,81,"T",66.785,67.462,"Class2"
"P",78.433,63.908,-5.596,42.749,45.588,63.034,63,"W",93.972,68.887,"Class2"
"M",67.07,73.827,30.84,52.587,86.999,71.446,55,"E",90.304,59.094,"Class2"
"X",21.186,18.438,59.811,70.684,31.486,37.595,14,"U",14.349,52.456,"Class1"
"X",18.79,17.117,82.83,49.09,31.703,56.433,21,"S",12.349,65.895,"Class1"
"F",24.947,27.59,16.134,37.497,19.63,69.683,2,"E",61.168,92.589,"Class3"
"D",23.891,17.675,73.082,56.25,32.468,28.772,7,"T",22.049,59.886,"Class1"
