"GXI1","EUH2","ETN3","AZS4","DTQ5","QGH6","IUQ7","IME8","QBO9","CTN10","Output20"
12.05,17.957,55.736,16.721,38.659,"N",71,5.539,26,9.589,"Class2"
53.026,65.306,42.017,41.436,59.428,"Q",13,63.651,86,7.978,"Class3"
61.072,NA,49.59,76.077,64.882,"Q",13,66.645,84,21.955,"Class3"
21.213,29.044,NA,16.904,13.504,"C",81,8.829,44,11.402,"Class2"
60.595,89.067,37.01,30.397,38.144,"I",71,20.027,39,44.413,"Class4"
83.486,95.565,59.768,34.152,53.017,"C",51,46.782,69,46.781,"Class1"
6.361,41.198,55.018,16.288,62.502,"J",70,3.684,49,10.364,"Class2"
45.104,66.958,34.106,63.998,73.279,"W",11,66.564,88,-0.167,"Class3"
59.296,65.801,49.247,31.316,40.456,"Q",13,63.739,83,27.492,"Class3"
12.129,59.989,56.913,16.14,39.387,"J",85,15.553,21,10.467,"Class2"
44.245,78.326,27.108,53.129,42.294,"Q",77,35.235,40,40.486,"Class4"
66.572,65.58,30.649,54.221,60.123,"H",11,68.504,89,25.102,"Class3"
55.055,68.385,23.109,63.475,86.97,"H",11,74.275,88,53.048,"Class3"
50.209,65.014,38.931,72.763,14.713,"K",12,66.235,84,17.143,"Class3"
60.47,33.789,37.636,70.045,33.656,"N",67,33.145,37,43.231,"Class4"
48.22,NA,39.401,35.944,75.503,"Q",13,74.072,91,61.861,"Class3"
3.213,46.037,55.914,16.195,40.106,"G",82,9.388,44,10.626,"Class2"
25.325,20.491,57.043,16.156,75.326,"N",85,11.422,47,11.019,"Class2"
1.027,81.122,18.172,32.257,42.325,"J",69,28.416,41,45.312,"Class4"
81.352,95.983,62.388,34.591,58.647,"Q",34,65.729,49,100.527,"Class1"
90.376,78.765,NA,37.161,43.903,"Q",25,51.683,58,63.108,"Class1"
26.606,77.893,61.589,36.449,49.56,"R",46,46.437,58,51.183,"Class1"
49.085,66.688,36.61,53.119,42.892,"H",12,60.811,90,59.042,"Class3"
29.041,92.375,63.809,35.411,84.435,"C",24,37.466,63,82.886,"Class1"
30.277,38.926,55.979,16.433,42.459,"F",52,12.77,31,10.63,"Class2"
44.734,66.624,40.449,58.149,52.83,"K",11,71.485,86,38.529,"Class3"
33.294,39.664,56.397,16.424,74.317,"F",75,4.265,33,10.322,"Class2"
20.066,39.623,59.596,16.606,55.98,"N",76,11.768,24,10.543,"Class2"
18.837,17.134,60.188,17.159,28.135,"F",58,15.923,17,10.806,"Class2"
67.025,68.648,69.007,36.072,38.536,"Y",62,59.378,56,31.554,"Class1"
12.015,NA,59.024,16.589,53.55,"N",72,8.341,18,10.319,"Class2"
58.942,67.462,42.2,28.735,105.894,"H",11,64.784,88,47.307,"Class3"
19.376,31.063,57.798,16.5,63.745,"J",52,5.052,23,10.158,"Class2"
36.044,25.209,6.852,32.975,32.394,"J",76,27.453,34,43.507,"Class4"
50.794,66.294,40.387,59.583,35.808,"I",73,36.081,34,46.45,"Class4"
60.821,66.665,24.948,58.192,72.288,"F",11,67.204,93,49.354,"Class3"
14.394,21.623,55.361,16.166,41.663,"G",76,14.031,24,10.461,"Class2"
7.249,74.518,38.995,64.481,35.443,"I",70,16.223,36,44.596,"Class4"
12.523,72.744,19.891,74.621,31.323,"I",76,37.361,38,46.771,"Class4"
84.995,90.111,67.929,36.221,58.108,"Y",58,45.804,70,84.517,"Class1"
