"OEI1","XDL2","BID3","NDM4","GJN5","NEF6","HVA7","LJK8","NPV9","DQP10","Output23","IQO11"
73.142,72.292,61.229,72.055,83.653,40.287,62,89.418,"N",55.88,"Class2","G"
70.455,11.407,96.727,81.206,41.832,78.875,27,77.416,"D",30.322,"Class3","B"
85.706,67.711,74.521,52.684,84.711,41.278,65,71.535,"N",64.422,"Class2","K"
74.924,52.048,25.312,71.41,24.413,69.575,23,87.104,"G",35.626,"Class1","C"
70.857,90.603,54.354,62.496,85.307,41.305,57,65.839,"K",NA,"Class2","I"
75.991,52.497,38.194,51.289,44.288,77.75,18,81.769,"F",NA,"Class1","H"
65.653,35.511,29.201,59.482,34.948,86.535,16,79.636,"M",18.91,"Class1","H"
57.403,56.158,54.659,41.224,38.004,93.421,21,85.093,"E",35.19,"Class1","C"
NA,47.755,46.365,71.893,41.23,85.189,23,89.158,"F",30.055,"Class1","H"
83.775,83.897,67.079,53.349,83.363,43.034,73,68.646,"K",64.776,"Class2","R"
84.495,36.976,41.71,63.359,18.053,75.892,20,87.883,"E",37.822,"Class1","Z"
79.096,36.817,39.489,54.186,23.689,83.73,23,77.047,"D",NA,"Class1","Y"
69.255,12.66,77.031,72.989,40.688,75.5,21,68.547,"N",59.943,"Class3","Q"
71.224,85.455,81.488,52.798,87.979,38.253,60,100.658,"N",55.936,"Class2","I"
71.206,8.998,87.859,96.384,37.097,80.733,13,50.787,"K",57.682,"Class3","B"
80.222,35.705,26.239,83.276,38.552,63.428,18,85.755,"M",34.476,"Class1","C"
NA,43.888,42.619,63.059,40.818,74.076,17,79.188,"G",15.128,"Class1","Y"
75.345,20.033,91.951,75.693,44.822,80.754,26,59.038,"X",39.107,"Class3","Q"
72.528,48.149,21.513,74.204,31.655,73.731,19,85.669,"F",25.871,"Class1","O"
57.834,67.892,100.687,61.761,82.78,36.361,65,90.312,"K",65.591,"Class2","R"
57.554,93.183,79.966,45.617,81.126,41.323,66,74.048,"B",62.755,"Class2","G"
62.585,39.836,86.195,79.187,52.04,78.053,17,52.873,"K",40.659,"Class3","X"
61.542,66.718,77.833,73.455,79.525,35.792,70,83.928,"B",NA,"Class2","R"
68.381,34.067,94.517,70.714,34.837,80.98,23,66.374,"N",45.297,"Class3","Z"
74.722,77.625,93.887,62.86,72.38,41.713,61,62.429,"K",65.734,"Class2","I"
81.73,43.602,32.03,49.945,34.221,73.564,19,87.603,"F",31.686,"Class1","O"
74.342,36.518,37.296,51.942,28.42,83.18,24,86.905,"D",33.629,"Class1","Z"
81.914,90.216,100.874,70.87,86.181,38.408,59,66.44,"N",57.149,"Class2","R"
73.261,66.281,70.168,20.765,72.052,38.456,73,78.507,"B",58.735,"Class2","K"
NA,20.255,89.075,93.94,52.796,82.169,16,102.963,"B",28.277,"Class3","Z"
NA,44.051,42.708,40.74,48.197,81.116,24,98.19,"E",24.052,"Class1","C"
72.684,82.865,71.507,20.559,79.431,38.58,74,77.577,"G",56.854,"Class2","L"
80.446,72.5,66.744,72.946,71.394,39.469,71,63.733,"K",64.191,"Class2","K"
76.028,41.161,15.77,52.784,16.462,74.01,18,85.085,"M",23.316,"Class1","Z"
80.419,63.424,71.168,87.078,34.493,81.367,13,68.766,"N",42.039,"Class3","B"
64.691,40.868,40.308,79.758,17.765,78.081,24,91.497,"D",34.821,"Class1","H"
68.868,50.333,25.436,72.058,35.87,81.083,23,87.357,"G",21.27,"Class1","O"
75.229,19.241,60.777,89.148,45.447,76.116,27,53.823,"K",46.836,"Class3","B"
59.998,45.194,35.29,80.346,27.672,77.925,21,83.001,"E",18.724,"Class1","Y"
66.771,87.983,53.57,28.244,70.096,42.857,64,71.912,"N",60.679,"Class2","G"
75.862,44.929,43.736,45.332,18.986,68.489,17,78.324,"M",12.351,"Class1","Y"
70.274,88.441,70.935,72.19,73.384,40.881,67,81.245,"N",56.872,"Class2","K"
76.725,79.475,34.693,25.019,74.759,41.269,72,80.185,"B",60.625,"Class2","I"
77.152,91.343,73.592,21.275,72.747,40.528,64,61.645,"B",61.548,"Class2","K"
69.7,66.304,86.014,89.257,44.899,81.035,22,73.607,"B",25.789,"Class3","Z"
67.427,81.492,77.774,73.865,79.11,37.107,65,84.336,"E",63.896,"Class2","R"
77.313,16.497,80.205,75.161,52.454,78.65,26,80.513,"X",38.488,"Class3","X"
81.506,59.135,56.044,45.218,47.338,69.054,17,90.37,"F",19.072,"Class1","C"
77.645,50.939,93.898,98.319,56.634,80.987,23,73.189,"X",28.243,"Class3","Q"
65.481,67.961,90.237,94.056,45.414,77.768,18,48.749,"D",30.038,"Class3","M"
58.05,72.339,68.244,14.76,85.248,40.071,70,71.426,"B",61.427,"Class2","R"
76.059,82.589,64.785,38.18,78.484,39.019,63,82.465,"B",63.358,"Class2","R"
53.491,91.423,104.39,46.021,88.337,42.082,73,70.704,"E",56.531,"Class2","K"
68.405,79.541,101.706,69.621,73.716,41.755,59,84.763,"E",56.796,"Class2","G"
66.902,90.673,90.976,19.764,80.944,40.775,56,86.516,"E",56.399,"Class2","L"
66.845,86.656,97.065,67.435,76.381,41.715,59,85.737,"B",62.545,"Class2","I"
53.406,78.167,91.573,24.617,76.689,43.947,64,85.658,"G",61.865,"Class2","L"
72.458,80.491,98.473,74.236,54.789,81.942,20,88.246,"B",53.68,"Class3","Z"
68.307,47.867,26.726,55.304,35.638,79.796,17,87.549,"F",26.755,"Class1","H"
55.841,90.872,82.104,35.233,69.031,41.769,71,50.218,"N",64.784,"Class2","K"
75.288,69.724,55.942,64.763,84.615,38.132,61,57.469,"B",57.01,"Class2","I"
84.206,60.712,100.353,75.292,34.803,80.253,23,65.444,"N",29.748,"Class3","Q"
67.854,57.929,60.586,44.378,20.387,76.475,23,91.225,"G",30.433,"Class1","Y"
48.317,69.624,69.544,72.268,76.693,35.983,61,55.087,"K",59.808,"Class2","K"
64.512,95.028,91.69,71.888,82.347,39.192,70,60.308,"N",63.074,"Class2","K"
76.895,83.288,79.812,62.428,86.989,41.016,58,77.049,"B",60.722,"Class2","L"
76.886,78.786,90.612,52.838,75.734,39.413,55,70.578,"E",56.927,"Class2","R"
56.504,48.823,45.943,55.461,39.578,78.268,24,83.2,"D",37.222,"Class1","C"
74.736,49.041,62.283,41.484,18.503,88.376,18,98.843,"F",16.266,"Class1","C"
52.813,47.627,27.52,75.925,49.785,75.91,23,86.657,"E",26.531,"Class1","H"
88.842,54.584,29.858,75.807,24.678,92.527,24,90.653,"E",16.467,"Class1","Z"
74.686,25.919,93.64,76.05,47.798,83.258,26,104.052,"N",62.158,"Class3","Q"
77.597,64.016,89.104,92.923,34.827,83.284,25,89.002,"X",61.305,"Class3","Z"
62.14,57.92,84.749,83.257,44.374,85.883,15,32.1,"B",38.276,"Class3","Z"
74.887,45.333,34.687,39.208,18.641,75.56,19,87.516,"M",29.195,"Class1","Y"
63.673,36.868,53.807,33.855,54.834,73.68,24,92.201,"G",37.525,"Class1","C"
NA,71.335,93.033,39.301,88.164,41.395,54,78.087,"E",62.127,"Class2","K"
60.029,70.53,66.161,31.166,88.184,38.17,64,74.024,"E",55.077,"Class2","L"
63.697,90.394,79.931,74.109,51.391,83.475,21,78.592,"X",29.521,"Class3","X"
