"Output18","ZIH1","RJM2","FDT3","CJE4","JHD5","VMR6","BAW7","CBE8","MCU9","UTK10","XLS11"
"Class1",12.423,18.167,84.778,36.245,28.284,56,46.996,42,41.27,63.278,"L"
"Class1",13.776,31.702,80.201,35.543,80.581,45,52.44,57,40.142,57.683,"U"
"Class2",21.361,-3.765,26.332,20.188,51.065,85,76.508,59,23.373,85.116,"L"
"Class1",14.461,17.305,73.842,35.988,84.365,54,63.452,45,40.339,87.145,"W"
"Class1",11.661,32.222,66.405,35.16,80.704,53,60.746,16,17.712,65.818,"U"
"Class1",14.702,31.133,74.011,36.177,91.635,35,87.409,11,12.011,28.944,"E"
"Class1",13.604,35.205,78.65,36.367,90.563,NA,78.379,12,36.008,66.727,"K"
"Class1",14.458,35.419,88.19,36.794,35.979,33,86.353,46,44.839,64.692,"U"
"Class2",13.097,25.157,17.891,43.922,36.192,85,80.812,37,37.07,54.841,"Q"
"Class2",21.447,36.988,26.874,29.424,33.411,86,75.975,69,37.461,74.162,"N"
"Class1",14.24,26.04,84.797,35.378,68.301,25,56.553,51,36.863,82.729,"W"
"Class1",14.831,24.93,74.004,35.722,21.516,59,72.558,58,10.207,66.928,"W"
"Class1",15.89,0.856,71.578,36.326,59.454,17,76.438,19,39.933,50.772,"W"
"Class2",14.087,19.464,26.78,21.403,42.177,85,83.324,88,28.436,53.023,"Q"
"Class2",11.005,29.413,16.802,46.288,14.659,87,69.594,61,30.01,62.432,"L"
"Class1",12.051,22.888,81.558,36.198,25.706,25,81.776,10,40.752,42.666,"U"
"Class2",28.574,21.469,15.681,43.539,38.04,85,74.498,48,20.362,44.256,"Q"
"Class1",16.082,24.272,83.793,35.62,46.495,18,76.713,71,45.031,78.495,"K"
"Class1",12.049,37.529,81.309,36.831,23.733,55,64.951,62,8.662,72.603,"W"
"Class1",14.798,30.812,80.931,36.891,75.047,41,41.281,36,12.438,71.349,"L"
"Class2",25.333,11.519,25.735,37.892,34.923,85,83.595,75,23.702,78.372,"U"
"Class1",14.411,46.185,66.406,36.721,79.472,28,53.327,53,35.031,49.453,"U"
"Class1",14.286,29.338,80.089,35.198,38.39,41,75.431,33,43.872,64.715,"K"
"Class2",30.748,24.611,25.527,54.128,28.118,86,83.797,40,15.37,65.302,"Q"
