"HOS1","AZC2","ANQ3","YKF4","BSU5","XTJ6","ORD7","DUN8","BPU9","CPR10","Output3"
58.128,28.03,20.024,"D",31,NA,75.348,39.414,49.115,29.1,"Class2"
83.716,85.197,10.896,"K",24,80.41,16.031,28.782,57.196,85.608,"Class1"
63.967,49.325,32.787,"D",13,20.921,83.297,47.894,44.879,29.206,"Class2"
62.973,32.683,42.833,"D",43,36.249,94.355,38.666,47.659,31.706,"Class2"
100.634,39.26,12.596,"G",43,89.477,17.778,16.522,68.421,84.133,"Class1"
92.281,53.084,11.821,"F",48,50.885,17.237,10.271,56.672,84.933,"Class1"
85.17,54.433,NA,"B",47,85.882,16.143,13.046,65.068,84.265,"Class1"
54.191,28.597,51.311,"X",33,89.642,57.9,46.558,67.574,32.513,"Class2"
88.522,37.199,12.764,"K",40,55.693,18.157,-6.738,64.239,84.789,"Class1"
82.875,77.465,11.288,"B",38,52.515,19.351,17.287,65.844,85.033,"Class1"
72.93,25.163,56.525,"P",62,73.652,54.708,41.015,34.049,31.582,"Class2"
69.712,46.254,51.424,"C",74,34.044,66.33,49.123,48.633,29.029,"Class2"
89.624,83.567,12.096,"K",41,83.99,17.009,24.667,76.767,85.903,"Class1"
53.767,24.393,44.721,"G",28,10.318,89.851,43.931,79.654,29.95,"Class2"
87.162,56.778,11.672,"F",55,51.268,19.601,12.705,56.923,84.114,"Class1"
63.788,29.137,NA,"X",49,61.034,96.272,46.671,57.191,30.961,"Class2"
90.298,44.122,11.679,"B",30,80.938,17.349,16.141,59.003,84.534,"Class1"
80.946,52.443,12.055,"V",35,61.927,16.187,30.906,63.735,85.863,"Class1"
61.711,36.842,36.684,"C",69,10.375,94.157,41.537,39.718,31.199,"Class2"
70.194,36.995,29.978,"G",51,81.127,86.916,38.865,53.158,29.644,"Class2"
85.212,76.92,11.852,"G",24,89.611,16.618,43.927,65.016,85.919,"Class1"
91.181,51.222,11.468,"V",37,63.833,19.608,22.467,67.008,84.476,"Class1"
81.971,54.005,12.371,"G",32,59.531,19.47,16.116,59.598,85.14,"Class1"
94.039,84.275,12.01,"G",52,74.684,16.008,4.426,56.288,85.891,"Class1"
90.766,71.988,11.471,"G",46,72.979,16.748,7.666,77.389,84.897,"Class1"
52.889,47.723,42.941,"G",40,10.22,55.638,42.613,44.6,32.645,"Class2"
96.437,86.471,12.256,"B",20,91.518,17.785,5.975,56.825,86.101,"Class1"
66.089,32.953,42.077,"G",66,57.811,71.266,49.717,59.226,32.449,"Class2"
99.678,53.236,11.147,"V",57,84.82,18.777,17.245,73.558,84.455,"Class1"
81.425,42.994,10.449,"G",53,57.681,16.109,18.125,51.115,86.394,"Class1"
90.887,84.89,11.9,"F",31,76.534,19.546,29.333,60.71,85.864,"Class1"
87.64,37.402,10.71,"G",33,59.93,18.215,19.775,58.653,86.649,"Class1"
63.191,46.899,43.488,"D",19,48.296,58.339,53.42,40.759,29.605,"Class2"
93.815,53.978,38.373,"X",66,67.197,87.941,48.739,43.56,30.303,"Class2"
69.649,55.704,13.309,"X",58,64.15,91.292,47.401,70.941,30.265,"Class2"
59.63,39.561,15.122,"X",39,90.871,94.795,42.322,66.027,31.014,"Class2"
70.256,26.615,63.225,"X",52,44.981,76.559,51.348,59.237,30.637,"Class2"
91.498,55.83,12.002,"G",37,59.732,16.325,14.165,46.611,85.502,"Class1"
92.727,72.352,12.547,"F",43,61.613,16.344,21.773,59.748,84.622,"Class1"
84.138,53.163,12.103,"K",30,88.446,17.79,20.187,59.785,86.629,"Class1"
64.316,37.508,43.015,"P",15,31.274,56.06,41.887,60.748,30.735,"Class2"
66.477,51.041,32.624,"D",70,10.141,72.873,43.259,57.409,31.34,"Class2"
59.004,30.528,13.481,"D",48,63.966,86.301,51.37,76.011,32.477,"Class2"
61.069,24.445,43.126,"D",38,23.757,69.012,46.033,43.732,33.082,"Class2"
83.713,42.714,12.244,"B",25,51.123,18.718,24.587,55.617,85.514,"Class1"
89.057,66.113,11.181,"V",39,67.473,19.283,18.422,54.609,85.752,"Class1"
65.433,49.277,30.203,"P",79,74.071,72.024,42.026,53.513,31.503,"Class2"
57.706,37.851,53.309,"G",12,43.193,91.164,47.333,60.864,30.067,"Class2"
