"EJS1","SLH2","ZUD3","JFS4","WML5","EHM6","IPF7","ZUS8","TKM9","OHJ10","Output21","RYQ11"
32.721,"K",47.094,11,19.475,22.183,47.105,90,9.317,89.449,"Class2",29.465
31.835,"K",51.157,13,24.717,23.442,36.376,89,31.472,54.483,"Class2",8.328
60.131,"S",83.035,97,55.297,28.126,33.674,9,57.595,20.888,"Class3",43.112
28.383,"I",65.393,36,28.466,54.129,4.994,77,70.05,48.858,"Class1",65.808
29.769,"I",66.165,33,41.284,50.613,22.578,76,65.238,34.692,"Class1",63.478
90.452,"I",105.839,61,71.454,73.002,32.585,4,58.405,28.551,"Class3",43.981
28.421,"X",65.83,40,32.796,59.093,16.969,76,70.364,59.531,"Class1",66.708
34.342,"W",39.096,10,25.329,29.416,34.674,89,11.66,56.131,"Class2",22.566
8.408,"D",65.708,69,24.686,54.05,19.547,77,69.436,48.742,"Class1",61.693
82.213,"I",90.799,61,54.26,14.831,32.477,11,61.942,41.97,"Class3",38.164
35.514,"W",16.873,7,18.673,23.259,40.365,88,24.802,56.968,"Class2",16.922
84.955,"S",96.867,74,63.864,38.314,31.509,34,59.69,62.358,"Class3",37.365
65.149,"I",90.437,69,57.202,83.078,33.531,43,57.462,47.12,"Class3",40.856
25.911,"G",65.246,59,21.884,43.257,16.597,73,67.874,46.832,"Class1",69.884
67.165,"S",91.213,87,62.976,74.168,31.579,24,60.414,22.67,"Class3",38.587
11.065,"L",65.857,86,31.391,41.62,8.691,72,70.86,68.438,"Class1",64.65
31.053,"K",60.317,4,24.658,26.413,49.908,85,25.83,45.028,"Class2",5.31
30.321,"W",34.6,3,23.806,21.489,28.889,NA,NA,72.012,"Class2",18.378
17.97,"X",65.143,60,31.253,40.977,4.183,77,70.691,36.866,"Class1",66.285
58.17,"C",91.012,97,73.399,25.068,30.344,20,62.145,37.278,"Class3",43.426
72.406,"I",91.37,87,59.577,72.057,29.152,NA,59.715,64.339,"Class3",36.857
71.89,"Z",96.011,57,64.356,78.362,33.286,32,60.814,47.547,"Class3",43.814
28.913,"T",39.754,11,9.994,25.69,35.026,91,21.625,57.121,"Class2",19.274
66.881,"C",90.683,65,71.822,50.447,32.686,16,63.705,32.423,"Class3",41.133
22.563,"A",43.557,11,29.605,21.951,52.468,84,31.301,61.898,"Class2",15.836
24.02,"G",65.24,49,28.468,53.015,13.844,77,66.532,35.695,"Class1",67.943
75.453,"Z",88.794,96,55.239,39.849,32.089,38,62.568,96.19,"Class3",45.14
92.839,"C",89.238,68,50.263,77.196,31.97,28,61.963,91.682,"Class3",43.358
26.399,"T",39.064,4,23.71,29.75,57.498,86,15.342,89.725,"Class2",12.589
29.265,"T",32.761,13,24.996,33.939,46.149,86,13.973,83.901,"Class2",28.816
78.522,"S",95.846,86,52.672,20.803,30.757,7,62.735,73.08,"Class3",39.635
84.751,"I",93.196,89,69.341,47.278,30.146,35,62.676,71.56,"Class3",39.392
19.897,"D",65.515,59,18.125,49.395,5.142,73,65.511,43.599,"Class1",64.227
8.972,"L",65.481,61,37.213,50.727,14.076,77,69.509,60.736,"Class1",64.244
12.845,"I",65.32,78,58.994,38.406,14.627,75,66.571,46.701,"Class1",68.454
24.049,"X",65.549,68,12.945,62.801,6.155,76,69.229,65.979,"Class1",65.515
28.135,"G",65.145,68,55.268,74.836,10.936,72,70.123,45.017,"Class1",70.897
22.614,"W",35.77,10,29.45,30.098,36.238,85,32.034,77.328,"Class2",23.275
88.521,"S",87.106,64,71.294,53.261,29.441,38,60.154,7.053,"Class3",37.878
63.181,"T",93.778,81,62.73,54.543,29.943,27,59.455,33.236,"Class3",41.906
16.135,"G",65.487,38,25.368,47.709,22.031,74,68.564,77.252,"Class1",63.392
31.916,"K",21.13,7,24.799,28.787,39.277,85,19.457,52.893,"Class2",23.564
61.273,"S",90.614,87,52.125,87.62,29.769,10,59.802,72.582,"Class3",37.286
27.767,"V",45.574,4,17.667,24.081,35.101,90,NA,69.636,"Class2",15.546
35.34,"V",55.088,4,11.662,26.181,26.744,87,27.246,88.142,"Class2",18.567
15.989,"G",65.604,49,34.259,50.003,22.281,75,66.424,75.643,"Class1",66.088
62.752,"T",93.893,61,62.782,47.881,30.422,3,57.349,37.517,"Class3",38.42
22.581,"I",66.13,67,44.186,68.635,9.912,75,66.854,74.523,"Class1",63.295
18.965,"D",65.351,69,21.122,47.231,10.931,74,69.38,73.965,"Class1",65.964
27.435,"L",64.917,50,52.535,32.465,14.269,75,70.759,62.253,"Class1",67.916
36.564,"A",33.209,7,28.711,30.014,24.126,NA,9.905,51.618,"Class2",11.3
87.018,"S",94.024,96,54.065,83.054,29.363,24,57.139,16.171,"Class3",36.701
77.477,"S",84.884,65,51.139,53.282,29.908,0,60.424,91.08,"Class3",38.956
30.469,"L",65.16,68,18.873,56.849,3.603,74,70.002,59.324,"Class1",65.646
78.369,"T",91.855,77,60.064,32.199,29.758,26,NA,46.201,"Class3",42.458
27.512,"V",42.151,7,15.835,20.428,45.875,89,27.969,89.588,"Class2",15.964
35.811,"T",25.19,13,22.122,24.168,58.209,88,19.156,41.923,"Class2",15.69
25.97,"W",38.634,6,7.712,25.519,27.949,86,9.375,75.134,"Class2",19.109
35.088,"K",39.612,4,18.913,26.052,54.281,89,27.374,59.378,"Class2",22.042
23.146,"A",28.212,9,11.024,22.119,31.401,86,28.232,50.177,"Class2",24.912
69.035,"Z",94.779,58,74.438,51.458,30.664,11,60.735,31.218,"Class3",35.174
16.9,"L",65.593,38,0.352,30.884,20.022,73,67.179,56.383,"Class1",64.931
24.07,"T",37.472,3,19.755,22.407,32.235,NA,NA,87.266,"Class2",22.817
13.326,"D",66.091,52,7.224,44.562,14.247,NA,68.66,33.992,"Class1",70.367
28.788,"T",63.165,7,24.963,13.349,25.482,87,12.388,70.216,"Class2",15.57
22.033,"G",65.204,33,55.459,46.869,5.243,72,66.199,74.736,"Class1",67.632
29.994,"A",30.641,6,20.027,27.078,46.701,86,24.854,50.653,"Class2",16.145
22.627,"L",64.945,74,40.805,46.59,8.507,73,68.973,33.689,"Class1",67.443
81.814,"Z",98.973,83,59.737,68.152,31.046,24,57.84,36.912,"Class3",36.434
7.271,"L",65.314,47,13.093,22.699,6.178,75,66.567,77.616,"Class1",65.537
25.517,"T",25.94,9,20.498,30.053,47.634,87,11.429,74.227,"Class2",11.788
29.166,"V",17.022,14,10.371,27.358,49.076,86,27.013,80.099,"Class2",22.874
78.285,"I",87.405,94,63.94,101.915,31.453,41,57.809,7.328,"Class3",38.055
69.248,"Z",87.718,57,54.509,91.65,29.213,30,63.153,74.397,"Class3",37.4
16.457,"I",65.399,60,36.014,65.895,14.137,76,65.928,70.823,"Class1",70.64
74.934,"I",89.016,98,60.4,102.563,30.309,37,61.154,84.622,"Class3",39.715
60.496,"T",92.751,81,74.259,54.234,31.276,7,61.67,17.689,"Class3",33.825
21.899,"V",50.927,9,21.326,28.775,43.551,90,11.771,64.809,"Class2",26.482
24.447,"T",27.05,3,27.666,29.455,49.809,NA,14.43,58.153,"Class2",14.75
86.877,"C",89.597,64,80.151,48.445,29.144,23,57.367,86.979,"Class3",41.656
15.5,"L",65.722,49,49.382,60.892,12.058,74,69.792,57.85,"Class1",68.212
93.35,"T",92.451,75,65.613,41.976,29.272,37,59.02,89.958,"Class3",39.623
24.49,"G",65.515,75,18.955,47.65,3.23,74,NA,41.349,"Class1",60.184
25.202,"V",24.933,14,32.893,16.84,56.211,89,17.922,86.309,"Class2",20.461
26.974,"T",12.539,8,0.786,22.403,44.033,90,28.012,87.423,"Class2",14.824
26.024,"X",65.17,74,48.868,46.324,16.539,74,66.932,49.299,"Class1",69.143
87.808,"S",89.235,79,60.758,50.19,33.309,35,59.341,84.805,"Class3",39.823
75.844,"T",91.367,94,66.359,74.56,29.123,30,59.396,9.421,"Class3",37.66
25.655,"K",49.715,8,22.603,33.2,54.695,88,30.659,64.832,"Class2",15.652
72.003,"T",92.033,97,68.181,71.803,31.955,21,62.518,18.504,"Class3",38.592
6.104,"G",65.933,84,-9.409,54.494,13.732,75,67.706,33.991,"Class1",65.184
29.363,"K",46.008,8,22.258,30.301,23.403,88,17.816,39.167,"Class2",18.2
61.291,"I",97.02,84,73.586,-8.956,29.899,44,62.562,63.345,"Class3",42.171
31.551,"T",40.286,9,14.052,20.055,34.955,86,26.229,39.437,"Class2",5.522
77.087,"T",86.542,75,63.792,76.637,32.096,20,58.574,70.701,"Class3",40.865
