"PCX1","UYL2","SCG3","LUM4","LRN5","Output12","USH6","UNA7","PIG8","BYQ9","XJG10","QVC11"
45.03,"E","C",32.725,7.16,"Class1",69.318,81,89.051,62.534,54.937,35.668
95.427,"M","P",21.825,56.527,"Class2",39.207,28,35.408,17.77,91.517,10.76
14.649,"W","I",43.112,13.776,"Class3",79.011,96,14.614,34.587,61.941,43.249
64.981,"N","Q",33.522,6.496,"Class1",77.254,73,89.26,62.776,47.512,35.18
16.341,"W","K",45.209,13.203,"Class3",79.21,92,6.189,66.657,55.277,54.404
26.322,"W","C",45.626,10.975,"Class3",79.667,95,3.793,16.816,59.941,64.99
46.154,"L","Q",28.559,7.867,"Class1",68.35,77,64.922,65.603,45.172,70.274
98.791,NA,"E",33.129,7.943,"Class1",70.759,64,57.12,60.102,45.041,50.541
62.721,"L","E",27.215,9.821,"Class1",62.786,85,87.988,60.741,50.888,49.161
74.924,"M","N",43.941,57.866,"Class2",39.757,26,34.784,6.471,65.546,12.797
23.695,"J","I",45.348,17.142,"Class3",79.656,97,6.041,45.448,64.635,45.084
19.263,"X","O",43.203,8.752,"Class3",79.037,95,3.129,52.049,65.544,45.467
77.739,"D","V",41.879,56.925,"Class2",39.596,33,37.29,15.402,77.281,30.079
10.89,"W","K",42.757,9.067,"Class3",79.284,93,4.913,37.343,80.958,53.046
86.918,"Q","P",24.29,58.791,"Class2",35.062,25,44.442,3.572,77.462,10.378
16.829,"W","K",44.631,7.664,"Class3",79.381,94,4.824,37.954,77.833,67.497
30.029,"L","R",32.742,10.388,"Class1",69.385,69,82.048,68.311,47.877,39.587
68.88,"M","N",29.62,56.824,"Class2",42.278,30,41.277,11.173,94.048,24.647
23.067,"G","I",43.675,6.825,"Class3",79.929,97,1.682,20.16,76.719,33.211
82.883,"M","P",27.883,57.928,"Class2",43.387,29,52.939,12.143,88.78,19.221
16.827,"Q","C",44.064,16.786,"Class3",79.709,92,10.91,20.325,80.916,57.001
21.223,"Q","I",43.258,13.236,"Class3",79.647,97,1.035,21.671,58.418,67.267
57.171,"L","K",67.956,58.86,"Class2",41.228,32,40.401,12.64,96.448,10.228
22.6,"G","I",43.141,12.985,"Class3",79.44,94,12.786,25.444,52.399,61.604
72.231,"D","N",49.206,57.604,"Class2",40.589,24,50.023,3.598,90.102,7.585
21.149,"W","I",43.395,6.004,"Class3",79.521,94,12.665,27.424,66.873,42.913
97.436,"N","E",29.95,5.938,"Class1",57.79,81,64.952,65.854,48.375,42.126
60.14,"B","C",29.824,4.791,"Class1",76.769,61,60.302,58.945,54.59,52.404
78.719,"M","P",30.564,57.344,"Class2",46.062,27,40.912,18.949,70.114,20.624
63.502,"U","V",34.389,56.545,"Class2",36.422,28,32.686,10.833,49.878,20.811
97.919,"D","V",65.321,55.451,"Class2",45.48,26,38.852,5.071,95.943,12.959
19.963,"G","O",44.629,15.671,"Class3",79.463,96,9.128,32.669,65.168,49.215
86.081,"L","S",30.297,58.032,"Class2",36.369,30,51.973,17.255,86.075,6.63
52.486,"E","R",33.563,10.298,"Class1",67.701,76,82.334,72.068,48.646,70.031
42.397,"N","J",28.651,1.344,"Class1",60.608,70,61.251,64.208,49.953,7.169
20.794,"J","S",42.58,13.47,"Class3",79.59,92,12.942,46.34,76.673,37.78
20.799,"G","O",42.2,9.79,"Class3",79.701,92,14.201,10.659,63.473,53.265
74.521,"L","S",45.695,56.414,"Class2",41.763,27,32.65,22.236,64.579,30.728
96.189,"Q","V",33.98,56.48,"Class2",46.554,27,49.189,4.879,60.63,28.09
79.79,"M","V",11.186,56.879,"Class2",36.737,27,50.249,10.749,87.214,28.565
15.364,"W","O",43.498,16.736,"Class3",79.208,92,1.041,22.602,81.212,67.07
88.806,"B","Q",28.507,5.659,"Class1",91.706,75,66.733,63.777,51.095,30.161
