"GKP1","ACK2","PAD3","MZP4","Output2","IXG5","QHX6","ZFG7","HRQ8","SIZ9","CEP10"
20.017,55.804,44.055,79.867,"Class1","L",90.778,"A",85.233,28.942,36
42.439,64.846,67.001,75.491,"Class1","L",93.675,"M",52.743,16.466,24
42.713,73.871,44.583,39.601,"Class2","S",30.944,"Y",103.7,42.154,2
36.337,61.154,41.868,54.727,"Class2","S",28.456,"T",75.126,46.389,1
23.69,41.339,42.773,85.582,"Class1","N",89.306,"Y",58.508,18.316,27
40.548,76.741,48.385,43.299,"Class2","G",30.979,"N",108.556,48.391,7
36.302,22.316,62.667,84.226,"Class1","A",92.475,"R",71.267,13.447,23
20.941,17.982,84.386,75.371,"Class1","N",93.108,"R",70.462,8.94,41
21.385,58.855,83.306,78.749,"Class1","L",86.801,"R",49.931,29.912,31
8.079,35.694,41.248,69.713,"Class1","Q",91.341,"M",73.757,9.46,32
37.714,20.533,3.472,75.406,"Class1","Q",89.243,"G",74.385,29.243,35
46.357,65.755,74.732,76.188,"Class1","A",84.128,"G",73.548,24.9,34
41.221,43.372,31.691,48.614,"Class2","G",25.229,"N",67.117,49.213,5
41.102,41.661,5.84,26.969,"Class2","S",27.188,"T",80.595,41.711,0
39.458,49.965,31.188,66.751,"Class2","R",25.86,"V",48.905,46.53,5
13.928,35.228,29.778,89.077,"Class1","L",91.345,"Y",55.781,9.643,25
38.583,44.107,36.266,NA,"Class2","G",31.037,"T",55.61,48.272,5
36.438,42.191,50.462,NA,"Class1","A",84.143,"R",63.713,31.989,36
36.213,19.185,67.447,85.907,"Class1","A",88.781,"G",63.08,13.146,42
49.736,40.9,92.389,82.16,"Class1","L",89.446,"A",64.108,12.233,23
42.107,48.143,33.162,68.51,"Class2","L",27.57,"T",28.614,48.402,4
38.306,62.204,26.956,26.183,"Class2","L",33.711,"Y",24.807,51.293,3
39.41,57.279,38.413,31.157,"Class2","S",23.438,"U",21.598,50.884,2
55.505,29.525,39.953,88.221,"Class1","A",87.848,"R",86.595,26.52,38
38.601,77.795,32.885,57.01,"Class2","L",34.225,"Y",52.884,44.199,0
21.035,28.913,65.468,85.671,"Class1","Q",90.592,"A",74.015,31.488,24
40.179,23.332,76.125,89.564,"Class1","A",84.938,"Y",68.212,10.116,42
23.487,26.912,27.775,86.226,"Class1","A",85.408,"Y",75.256,21.639,38
23.336,56.799,37.755,79.498,"Class1","S",85.442,NA,76.075,20.116,25
38.875,69.569,50.74,37.074,"Class2","R",23.693,"Y",6.768,47.021,2
14.02,46.59,80.461,78.862,"Class1","L",93.947,"G",81.062,29.737,31
28.889,39.842,21.804,81.023,"Class1","N",88.034,"R",81.225,29.989,29
35.849,48.781,41.679,-1.45,"Class2","L",26.705,"V",58.117,43.536,6
31.905,17.668,21.921,NA,"Class1","S",89.594,"G",51.837,16.529,39
19.97,44.723,83.661,81.102,"Class1","A",88.526,"G",55.012,24.353,41
22.953,47.082,88.242,81.507,"Class1","N",91.418,NA,75.627,30.172,34
42.477,75.271,21.361,2.176,"Class2","T",26.7,"V",75.388,41.551,0
21.961,37.358,57.783,85.344,"Class1","S",84.265,"Y",64.656,17.459,38
35.561,63.76,44.771,29.467,"Class2","R",29.379,"T",89.062,41.996,5
40.588,63.676,16.969,72.532,"Class2","R",32.818,"Y",22.679,45.523,5
37.287,23.844,52.924,80.257,"Class1","L",91.979,"M",54.639,24.65,26
39.94,48.412,46.199,44.233,"Class2","S",30.084,"V",57.573,48.373,3
40.715,53.596,37.104,33.491,"Class2","T",30.954,"V",47.293,50.918,5
39.849,49.227,25.781,35.642,"Class2","R",29.304,"N",28.862,47.46,4
37.863,78.758,26.229,20.783,"Class2","S",30.703,"N",90.359,43.531,0
26.193,22.019,81.281,85.186,"Class1","A",87.294,"R",49.587,26.199,24
37.337,52.79,19.519,26.06,"Class2","T",28.155,"N",91.335,43.606,5
