"ONE1","IKD2","BMI3","ZSL4","RJC5","VJC6","PKO7","EST8","CYT9","Output6"
67.818,52.746,78.511,65.657,64.127,60.429,"I",67,30.518,"Class4"
43.858,54.593,67.058,25.55,15.17,54.374,"V",32,NA,"Class5"
37.27,51.968,38.954,19.686,19.834,66.432,"F",38,72.825,"Class5"
95.725,46.578,74.138,57.342,42.132,74.636,"F",95,79.14,"Class1"
94.712,26.592,63.069,67.178,54.355,77.05,"N",96,89.188,"Class1"
39.559,77.553,39.176,19.658,8.02,52.587,"T",0,71.502,"Class3"
96.941,60.798,51.379,59.078,47.401,72.346,"N",95,20.472,"Class1"
97.129,37.535,68.066,67.927,81.916,70.039,"M",96,-27.132,"Class1"
65.315,25.606,27.291,92.98,74.366,16.019,"P",68,84.589,"Class2"
54.428,51.037,71.037,50.26,35.499,39.146,"C",60,30.15,"Class4"
75.403,23.656,21.58,65.985,95.944,21.491,"G",74,94.37,"Class2"
33.552,79.78,11.719,16.819,0.882,51.226,"O",7,58.844,"Class3"
77.532,22.499,35.16,52.733,85.282,23.169,"F",78,NA,"Class2"
39.896,71.85,19.619,16.317,11.644,50.888,"F",2,39.485,"Class3"
95.895,50.333,70.717,56.796,58.132,75.95,"B",99,29.047,"Class1"
39.71,56.74,57.463,31.657,22.198,45.325,"F",37,73.506,"Class5"
68.329,25.759,41.468,70.309,70.709,16.513,"P",88,56.922,"Class2"
45.027,62.664,66.043,11.944,16.995,57.132,"F",20,67.038,"Class5"
94.589,56.261,61.719,67.592,31.156,72.398,"N",95,43.764,"Class1"
66.229,24.415,15.874,71.514,95.249,12.155,"P",82,106.662,"Class2"
66.926,81.44,76.806,50.681,37.389,77.012,"C",86,NA,"Class4"
96.276,28.174,83.035,54.171,56.678,79.115,"F",99,49.926,"Class1"
41.253,83.503,27.526,18.936,2.023,40.138,"O",35,NA,"Class3"
11.951,80.022,19.894,17.662,12.301,33.749,"T",3,NA,"Class3"
37.863,50.368,19.488,17.647,16.054,70.758,"J",39,53.061,"Class5"
72.814,24.132,43.786,76.964,71.171,10.623,"G",81,101.265,"Class2"
72.415,21.707,52.273,88.337,86.062,23.666,"T",88,103.803,"Class2"
