"LRK1","POA2","UYL3","SLN4","EXB5","HQG6","KLP7","ALR8","PHS9","RST10","Output13","VRU11"
57.86,"H","S",33.213,55,60.233,86.716,40.916,83.142,59.863,"Class3",93.28
35.196,"G","P",64.79,26,37.719,85.576,51.194,87.671,24.992,"Class4",51.726
40.842,"A","U",64.419,21,14.328,83.712,39.268,81.472,25.083,"Class4",41.563
76.944,"G","Z",57.297,56,28.199,-5.005,55.921,83.958,66.535,"Class3",76.739
32.049,"Y","H",37.543,40,16.001,22.241,15.061,55.071,44.659,"Class5",22.903
75.75,"S","D",83.23,76,47.482,68.548,55.283,67.781,69.617,"Class2",72.28
75.149,"U","A",37.99,50,29.749,48.284,27.908,87.234,77.255,"Class1",91.884
71.096,"H","U",55.814,60,60.112,67.214,26.585,82.717,70.244,"Class3",NA
67.088,"K","H",71.671,79,78.193,66.683,55.073,68.658,69.639,"Class2",71.286
76.459,"K","D",69.314,79,45.882,66.871,55.343,68.656,69.154,"Class2",71.185
64.042,"S","Z",81.955,82,50.113,66.895,53.071,64.417,70.561,"Class2",80.532
85.143,"Y","L",37.311,37,21.277,55.528,65.813,10.167,25.811,"Class5",25.045
64.599,"H","U",30.197,56,63.315,74.841,63.155,85.675,66.434,"Class3",83.773
64.112,"O","G",21.896,58,55.603,33.436,37.134,83.611,58.064,"Class3",87.979
37.728,"F","P",64.538,19,10.331,84.803,50.577,84.756,22.751,"Class4",53.102
41.579,"F","G",64.565,21,24.492,83.095,51.754,88.56,26.127,"Class4",46.685
45.602,"O","S",30.157,55,27.224,28.238,35.661,85.048,70.373,"Class3",66.623
46.084,"J","B",29.305,42,17.829,26.386,48.524,52.439,42.519,"Class5",24.142
97.431,"B","M",80.456,80,68.654,72.567,50.261,67.241,69.9,"Class2",80.103
78.859,"Q","E",45.131,44,24.768,87.375,20.816,81.62,74.565,"Class1",87.164
76.577,"Q","K",12.201,47,35.642,52.579,23.949,69.183,83.809,"Class1",90.251
75.185,"C","K",54.038,62,72.955,51.633,23.67,85.523,79.757,"Class1",88.995
77.268,"L","H",72.718,76,60.932,70.23,56.664,67.739,70.719,"Class2",69.467
77.101,"S","M",69.896,85,57.002,72.313,52.419,67.755,70.419,"Class2",75.716
84.207,"X","Z",41.445,52,11.304,3.259,36.681,84.593,60.657,"Class3",84.922
15.277,"J","B",37.244,42,21.268,87.883,33.912,45.501,43.912,"Class5",27.295
75.439,"J","A",44.725,67,41.94,10.283,24.894,69.24,77.124,"Class1",87.049
39.112,"P","H",33.647,41,20.643,79.463,58.986,25.598,20.813,"Class5",24.916
76.894,"U","J",26.965,67,62.933,42.081,24.39,80.731,88.492,"Class1",88.609
42.017,"G","P",64.089,18,21.417,86.139,54.271,82.623,22.466,"Class4",41.681
70.294,"H","Z",20.853,56,61.376,82.102,26.457,85.694,57.875,"Class3",92.609
46.089,"H","G",29.963,63,45.655,27.098,37.669,84.729,85.469,"Class3",93.221
52.96,"P","B",30.407,31,20.9,45.769,54.087,47.082,36.193,"Class5",25.482
75.02,"Q","P",48.778,64,62.472,50.146,29.576,81.228,85.494,"Class1",NA
72.391,"F","G",13.956,62,38.514,52.385,58.849,82.59,68.175,"Class3",96.89
74.168,"A","P",54.587,84,55.649,34.127,17.032,70.776,92.843,"Class1",87.226
43.311,"J","L",36.72,39,19.711,59.648,81.562,22.96,18.674,"Class5",24.723
15.423,"Y","H",32.032,42,16.284,17.301,39.51,69.185,40.627,"Class5",25.873
36.648,"G","M",64.058,11,38.48,83.913,53.367,86.77,22.878,"Class4",48.074
69.112,"X","Q",NA,62,34.996,36.542,67.297,81.733,55.885,"Class3",NA
64.539,"L","T",70.659,83,59.508,64.419,54.605,66.594,69.983,"Class2",86.598
69.309,"H","S",33.827,54,16.441,67.575,42.861,81.988,69.469,"Class3",65.346
55.353,"L","H",75.49,88,76.373,74.388,55.25,69.897,70.225,"Class2",77.597
59.319,"S","Z",82.296,85,54.784,52.772,56.171,69.039,69.718,"Class2",79.138
48.293,"P","E",35.609,40,18.127,29.441,89.84,64.421,43.286,"Class5",26.563
77.514,"J","P",17.509,83,54.97,62.588,24.674,72.635,77.557,"Class1",87.625
63.739,"F","S",35.528,52,21.361,60.61,30.337,85.089,68.718,"Class3",76.529
64.431,"G","Z",48.248,60,31.754,36.663,30.602,85.643,65.509,"Class3",91.316
47.496,"K","T",86.513,81,55.404,58.496,56.052,66.86,69.351,"Class2",88.994
51.537,"Y","G",29.814,33,21.808,15.961,26.826,58.082,27.345,"Class5",NA
76.244,"C","K",76.565,77,56.421,71.415,11.881,91.396,87.576,"Class1",88.934
79.698,"O","Z",45.232,59,30.222,40.231,33.926,85.199,60.717,"Class3",86.586
39.061,"F","Z",64.956,15,11.095,83.558,44.997,84.597,25.106,"Class4",50.975
48.858,"J","B",28.977,36,16.112,43.313,72.408,64.48,67.983,"Class5",26.055
75.676,"A","A",68.516,77,51.114,31.946,26.026,68.437,73.153,"Class1",91.338
64.917,"X","S",19.816,58,12.679,31.806,25.228,84.177,67.881,"Class3",81.526
61.21,"H","G",42.75,54,15.003,24.201,59.587,85.474,74.753,"Class3",89.43
77.819,"J","A",50.813,39,48.389,63.701,26.258,76.482,80.908,"Class1",92.87
93.444,"B","Z",75.78,87,73.468,62.451,56.333,65.659,71.197,"Class2",80.522
14.559,"H","E",29.71,35,19.229,55.347,34.71,64.19,52.133,"Class5",24.492
76.104,"J","A",12.254,60,57.077,47.619,26.377,75.118,70.9,"Class1",90.498
77.457,"A","J",24.782,61,65.161,53.598,15.715,77.207,84.438,"Class1",89.079
