"OJC1","TNS2","HZG3","FMR4","QPZ5","POJ6","Output4","NKG7","NRB8","CUJ9","WRT10","QNS11"
49.306,88.346,24.516,14.731,57,87.724,"Class2","W",21.762,36,77.262,50.842
98.897,16.406,7.385,42.742,81,47.681,"Class5","D",76.817,61,64.331,45.597
13.843,67.266,58.335,43.022,47,36.263,"Class4","F",32.423,30,59.87,27.677
52.133,74.981,54.049,8.439,57,50.652,"Class2","C",17.634,52,77.424,51.507
29.188,56.094,77.35,64.751,30,37.249,"Class4","H",51.347,14,61.766,25.124
98.392,19.661,17.467,44.281,86,83.92,"Class5","D",73.931,79,57.236,65.831
NA,1.371,43.106,41.964,46,47.861,"Class3","W",4.365,47,53.71,4.309
57.521,2.736,48.826,35.522,31,50.312,"Class3","P",6.563,65,84.325,-0.601
44.849,65.527,28.122,7.702,40,-5.704,"Class2","A",28.555,52,81.65,50.645
53.584,2.733,34.626,36.489,40,47.116,"Class3","W",5.69,68,71.875,11.81
19.665,64.064,74.602,15.973,47,37.319,"Class4","F",57.089,37,67.403,46.247
98.344,25.536,46.849,43.144,86,66.99,"Class5","H",71.744,80,57.021,57.563
29.38,63.353,104.869,13.971,40,38.376,"Class4","D",33.705,34,56.702,39.893
53.782,90.042,47.724,10.762,38,31.121,"Class2","C",33.585,61,77.157,45.437
98.701,22.074,26.316,42.155,85,53.139,"Class5","D",68.278,76,56.967,55.666
48.966,47.837,64.4,48.592,7,89.655,"Class1","X",42.728,75,20.105,71.729
28.768,52.778,78.799,60.638,29,38.6,"Class4","Y",56.95,25,66.525,34.191
46.273,60.857,70.728,40.706,4,73.731,"Class1","P",37.298,76,20.913,45.87
98.526,18.87,41.187,43.376,86,40.504,"Class5","D",71.401,70,58.722,72.209
67.881,2.699,68.58,43.155,42,51.312,"Class3","W",3.182,35,69.748,9.792
13.767,60.605,57.408,80.185,51,38.766,"Class4","Y",42.024,34,66.113,41.928
69.99,62.866,73.486,32.78,4,60.465,"Class1","S",14.969,56,18.596,74.224
34.744,2.814,78.091,43.749,54,54.749,"Class3","F",3.926,40,67.304,5.403
42.372,27.518,50.49,9.676,52,47.639,"Class2","X",49.796,39,77.65,49.587
18.957,54.072,87.01,37.849,20,35.465,"Class4","F",72.355,13,69.296,41.181
65.553,68.398,62.779,68.841,43,90.538,"Class1","X",39.634,65,5.821,43.408
48.954,72.685,74.662,49.533,46,78.866,"Class1","S",40.484,25,12.374,37.187
55.478,82.033,45.508,13.931,38,42.539,"Class2","W",35.466,55,76.704,51.012
33.011,85.145,80.337,34.941,29,84.071,"Class1","X",18.396,34,29.488,21.755
47.237,72.769,33.135,10.624,51,67.487,"Class2","A",27.591,54,78.175,48.15
82.311,70.773,39.861,67.516,33,102.37,"Class1","Q",19.655,39,9.777,23.44
27.016,66.003,71.529,20.374,48,37.915,"Class4","F",47.925,12,62.353,62.911
57.538,2.766,60.723,42.398,68,46.607,"Class3","P",3.54,32,79.543,6.475
82.918,61.434,41.304,39.512,49,NA,"Class1","H",42.52,37,30.11,48.793
42.542,55.603,52.444,34.904,41,81.295,"Class1","S",41.076,66,24.207,40.493
44.971,1.434,69.429,43.673,69,56.121,"Class3","X",3.843,59,62.651,18.231
NA,2.105,67.605,44.377,62,55.153,"Class3","P",5.083,47,81.761,4.979
77.77,2.599,89.153,39.883,8,60.871,"Class3","P",8.575,76,81.642,16.725
21.962,69.443,88.366,31.118,32,39.488,"Class4","V",14.695,13,60.411,28.081
16.83,54.504,67.437,79.457,14,37.427,"Class4","D",26.858,19,69.267,28.626
57,33.596,58.131,18.232,59,14.101,"Class2","W",30.788,55,77.57,46.025
44.927,45.631,34.459,6.1,41,29.831,"Class2","X",27.085,47,78.711,49.529
41.867,92.009,35.506,11.845,57,-1.693,"Class2","C",52.557,41,79.096,51.063
58.403,94.301,33.559,15.353,52,36.909,"Class2","W",39.763,36,79.748,48.597
53.598,81.476,57.84,26.96,48,20.667,"Class2","J",35.624,42,80.31,53.265
59.367,35.388,43.262,20.837,43,12.057,"Class2","C",49.489,52,81.17,48.943
96.477,60.662,67.682,54.097,54,91.406,"Class1","P",11.702,60,27.83,55.358
23.616,63.102,62.511,79.193,33,38.291,"Class4","H",25.704,30,63.6,37.869
40.805,87.265,77.88,14.018,59,81.294,"Class2","W",18.65,48,78.956,45.901
98.634,37.818,54.206,43.589,80,45.994,"Class5","C",76.422,71,61.357,69.956
50.891,51.145,48.624,70.716,60,90.829,"Class1","S",27.396,89,28.459,59.223
54.678,42.004,59.672,26.848,64,38.935,"Class2","W",45.204,61,79.68,51.683
61.297,67.804,58.268,47.595,49,62.402,"Class1","H",51.954,25,4.536,15.931
98.434,25.217,17.168,44.825,94,54.371,"Class5","C",67.632,76,64.299,59.828
64.854,2.923,41.003,42.552,28,53.853,"Class3","P",5.591,74,86.735,8.236
33.506,2.606,63.173,41.493,52,47.443,"Class3","P",1.314,82,78.165,13.328
98.67,40.8,20.768,42.276,96,54.607,"Class5","D",73.91,63,56.656,76.8
1.939,52.002,79.803,65.4,37,36.452,"Class4","F",14.054,14,58.051,17.103
14.151,66.272,85.364,70.262,46,36.287,"Class4","H",5.07,41,72.54,48.286
45.897,57.349,43.786,51.058,5,69.76,"Class1","X",8.753,51,9.018,56.215
52.073,87.062,43.343,8.431,67,55.599,"Class2","X",15.339,34,78.292,49.245
39.502,2.473,53.086,36.469,38,53.066,"Class3","F",7.433,41,87.539,12.448
12.333,54.331,43.79,66.348,42,36.971,"Class4","H",32.744,33,61.077,35.029
85.792,2.764,39.862,44.547,66,54.298,"Class3","X",1.124,71,54.848,9.455
98.263,18.132,29.264,44.1,95,61.327,"Class5","Z",74.893,78,57.4,81.78
15.589,50.41,51.978,51.237,40,37.259,"Class4","V",46.62,20,61.724,25.721
46.509,47.133,44.157,15.601,58,68.635,"Class2","J",49.45,42,77.08,51.388
57.096,84.706,55.967,14.276,51,5.471,"Class2","C",14.857,41,79.309,48.613
