"BVS1","XTI2","XHW3","Output11","WVJ4","XOA5","YHF6","RJF7","MQK8","XUZ9","ZRW10"
62.561,73.6,13,"Class2",50.41,72.935,51.864,45.897,53.001,"K",47
37.133,65.128,22,"Class1",69.907,19.513,44.3,63.612,25.309,"O",10
63.248,93.375,16,"Class2",63.626,73.524,42.675,40.947,60.711,"Z",24
41.202,39.163,5,"Class1",40.272,49.809,17.356,79.103,34.798,"O",24
62.3,58.909,14,"Class2",33.481,55.675,6.156,42.448,56.032,"K",56
28.839,38.736,18,"Class1",72.762,34.911,12.406,75.013,15.324,"N",15
53.479,38.772,11,"Class1",47.15,24.59,9.224,63.024,16.009,"O",9
62.673,56.029,12,"Class2",57.732,75.175,59.031,46.5,43.014,"F",11
63.92,54.096,20,"Class2",29.796,69.425,41.344,20.19,48.776,"K",41
62.563,64.754,15,"Class2",60.111,80.054,36.937,58.085,54.075,"Z",27
62.753,98.934,26,"Class2",31.116,83.165,11.436,2.031,55.126,"Z",15
63.698,58.393,25,"Class2",51.755,83.717,27.399,15.766,57.025,"F",30
24.853,47.253,28,"Class1",73.586,21.171,25.056,74.272,16.696,"A",12
49.377,64.227,25,"Class1",74.362,31.068,7.588,99.877,16.132,"A",16
29.162,64.568,20,"Class1",59.407,31.836,25.278,89.759,31.218,"A",20
62.129,57.488,16,"Class2",42.862,52.06,30.587,30.566,64.23,"Z",21
14.406,63.357,25,"Class1",64.18,19.367,35.683,77.97,15.646,"A",20
63.261,84.282,18,"Class2",40.796,69.03,44.581,11.067,58.653,"V",54
41.452,NA,14,"Class1",70.889,17.773,2.374,68.064,22.776,"D",9
61.553,46.042,17,"Class2",41.383,78.864,21.733,53.152,48.196,"J",55
62.843,70.023,17,"Class2",56.229,88.07,55.064,40.176,51.069,"V",40
62.792,74.197,19,"Class2",39.543,57.982,44.411,47.014,56.331,"Z",16
63.164,47.557,13,"Class2",29.324,78.672,61.877,58.286,54.188,"F",9
43.062,44.727,8,"Class1",46.861,40.511,3.543,73.755,30.628,"A",19
34.022,65.446,31,"Class1",79.034,30.307,16.746,86.257,27.123,"J",18
28.685,48.36,21,"Class1",45.877,26.515,17.414,87.731,22.239,"J",18
20.696,39.276,13,"Class1",NA,47.283,29.249,81.828,34.729,"J",24
62.979,57.057,17,"Class2",37.707,104.666,18.2,24.108,44.957,"F",54
62.027,49.751,17,"Class2",30.056,75.029,35.368,16.272,44.475,"V",9
63.631,49.952,28,"Class2",32.649,87.978,5.981,18.281,46.501,"K",17
26.616,52.382,25,"Class1",29.515,31.827,33.731,84.169,22.592,"O",24
63.487,80.945,11,"Class2",38.285,84.16,6.98,25.482,53.311,"K",44
62.951,74.469,12,"Class2",56.728,88.502,60.221,34.877,59.639,"J",17
62.842,59.512,22,"Class2",16.077,41.567,55.933,23.989,55.084,"Z",16
64.492,52.384,23,"Class2",42.841,62.618,65.407,43.862,46.232,"V",32
62.035,66.373,22,"Class2",50.61,63.211,28.413,37.581,62.823,"K",48
48.342,64.539,25,"Class1",46.007,27.485,36.756,79.335,17.991,"D",25
44.931,62.286,10,"Class1",16.218,12.555,28.544,68.077,19.214,"J",9
32.175,43.096,22,"Class1",20.902,24.746,41.387,60.873,29.471,"J",9
32.012,43.364,28,"Class1",85.817,35.532,12.273,68.198,23.75,"D",25
64.973,74.873,21,"Class2",NA,60.565,66.213,48.911,46.488,"F",34
15.949,56.956,5,"Class1",80.589,15.198,39.342,77.933,29.753,"O",11
63.629,76.616,26,"Class2",65.592,54.873,17.206,44.371,55.502,"J",17
64.348,62.303,25,"Class2",66.187,77.413,38.66,39.226,59.704,"F",54
13.003,44.833,12,"Class1",81.701,38.293,12.66,75.691,25.628,"D",15
63.002,53.861,12,"Class2",47.415,76.195,28.182,29.233,56.877,"V",55
27.262,42.374,13,"Class1",66.653,40.369,10.465,82.915,31.752,"D",17
63.121,95.413,28,"Class2",47.43,61.271,5.76,31.254,56.038,"K",7
16.773,56.254,19,"Class1",63.627,36.263,22.512,68.559,27.452,"N",21
63.252,65.142,12,"Class2",31.596,64.088,11.714,39.32,60.595,"F",35
47.367,60.081,31,"Class1",72.857,30.272,35.161,88.876,19.934,"D",13
30.736,41.347,26,"Class1",60.558,16.214,35.662,80.107,20.883,"J",10
27.787,67.833,29,"Class1",62.442,52.635,44.341,82.982,27.764,"J",9
63.429,85.547,18,"Class2",55.412,81.89,16.802,37.029,54.957,"K",13
40.977,54.505,13,"Class1",50.951,25.166,32.569,81.177,30.741,"J",18
61.915,60.655,19,"Class2",46.315,74.524,4.391,35.823,47.721,"J",57
20.194,53.163,13,"Class1",78.493,25.8,26.921,96.024,19.653,"J",14
18.986,63.086,8,"Class1",20.262,30.707,18.941,79.683,29.298,"D",12
62.488,47.376,24,"Class2",36.621,80.51,13.995,32.51,55.372,"Z",29
37.672,62.496,5,"Class1",27.015,26.347,42.032,74.875,34.793,"A",12
32.051,52.116,11,"Class1",36.286,43.66,8.899,59.242,25.777,"A",19
24.735,48.388,25,"Class1",56.992,25.922,37.532,92.675,15.485,"N",21
37.342,51.927,26,"Class1",59.453,15.521,8.348,92.388,33.754,"A",21
61.539,90.998,16,"Class2",37.492,66.591,21.159,28.121,53.649,"J",36
62.779,50.894,17,"Class2",48.406,74.209,52.978,14.904,59.473,"K",34
31.504,56.311,14,"Class1",NA,22.38,25.938,85.069,33.931,"N",18
23.379,54.039,8,"Class1",79.449,19.638,42.462,93.52,17.319,"J",10
32.68,64.211,24,"Class1",87.792,23.806,40.902,75.324,31.587,"J",24
62.508,95.479,26,"Class2",NA,67.741,65.2,38.215,50.045,"V",11
32.428,63.907,22,"Class1",45.284,34.697,36.705,86.786,23.192,"O",14
40.563,59.995,27,"Class1",51.152,43.65,20.586,84.703,28.558,"D",13
21.593,48.421,15,"Class1",35.461,33.398,23.423,85.876,27.24,"A",16
24.668,55.33,15,"Class1",63.571,43.301,26.382,78.619,22.289,"J",12
63.376,64.965,23,"Class2",53.994,70.382,37.029,31.136,47.871,"Z",40
63.404,93.025,25,"Class2",35.694,59.439,60.574,53.266,44.421,"F",46
32.219,48.747,7,"Class1",17.845,44.678,28.713,90.267,28.924,"O",9
34.338,57.09,12,"Class1",70.495,27.803,23.525,91.903,25.828,"O",23
63.043,74.258,20,"Class2",32.611,49.831,48.15,40.118,55.552,"J",14
33.837,62.52,19,"Class1",20.624,21.462,37.593,75.284,24.575,"J",14
20.706,65.534,23,"Class1",22.947,46.335,16.627,62.258,33.182,"O",24
63.146,47.7,22,"Class2",36.181,92.472,34.169,38.53,62.022,"F",28
61.601,59.825,22,"Class2",44.293,78.246,60.058,64.3,48.554,"Z",30
23.526,55.38,31,"Class1",54.159,29.333,23.949,68.621,19.508,"A",13
43.264,60.477,16,"Class1",42.054,40.415,4.461,96.368,22.27,"J",20
38.338,49.376,28,"Class1",39.371,38.938,38.04,88.275,16.13,"A",10
36.747,45.653,11,"Class1",74.735,8.715,35.089,83.398,24.721,"N",14
32.756,60.69,17,"Class1",76.905,21.251,36.289,68.358,20.696,"J",15
34.436,66.942,10,"Class1",56.797,42.578,38.091,63.231,15.416,"J",23
62.263,74.758,17,"Class2",50.273,90.061,65.771,39.173,48.432,"J",42
34.948,NA,21,"Class1",52.766,11.538,33.402,57.846,21.909,"D",14
32.788,67.898,17,"Class1",87.843,30.061,20.735,83.166,29.99,"D",19
63.398,85.446,24,"Class2",NA,74.921,25.616,15.968,44.401,"Z",23
24.761,45.729,16,"Class1",37.179,45.619,2.892,78.984,24.826,"J",12
23.328,49.169,16,"Class1",NA,18.669,5.159,72.59,18.895,"A",17
62.732,94.693,19,"Class2",51.355,60.717,57.307,30.478,56.397,"J",53
24.85,55.375,17,"Class1",52.798,29.336,34.113,74.511,33.501,"A",25
33.027,43.483,25,"Class1",42.966,25.202,3.668,70.601,16.527,"D",13
20.38,55.906,10,"Class1",34.575,8.528,4.644,91.618,32.289,"A",9
34.634,60.479,25,"Class1",33.74,34.145,38.225,79.353,19.417,"O",17
63.206,89.572,23,"Class2",50.42,78.995,40.575,59.557,63.209,"F",9
61.987,94.4,17,"Class2",52.493,87.357,7.488,45.39,58.554,"V",32
62.555,62.756,11,"Class2",47.856,89.924,42.935,26.221,64.287,"V",29
63.765,76.283,12,"Class2",32.586,65.055,22.19,30.456,50.341,"Z",21
18.83,47.632,5,"Class1",55.942,32.41,9.921,78.757,27.178,"D",18
31.289,45.88,9,"Class1",52.494,53.828,28.157,75.634,26.755,"O",14
63.69,87.216,15,"Class2",46.316,82.925,17.467,19.299,62.367,"K",54
22.865,60.077,26,"Class1",16.141,33.693,17.191,68.852,33.521,"A",13
37.488,60.048,28,"Class1",50.976,15.582,45.408,74.773,21.005,"O",20
63.429,77.207,12,"Class2",51.737,88.051,67.428,25.239,56.13,"Z",9
61.862,67.65,20,"Class2",60.494,45.37,57.981,72.716,58.672,"Z",53
38.107,50.324,31,"Class1",64.498,19.725,5.981,83.962,23.473,"J",25
61.231,68.017,14,"Class2",44.444,41.783,15.544,56.85,63.84,"K",44
63.287,65.158,17,"Class2",52.492,68.697,60.693,12.592,50.682,"K",23
32.687,53.3,28,"Class1",84.212,13.334,20.234,66.575,19.155,"O",16
39.822,41.914,9,"Class1",47.96,31.527,40.921,92.563,27.533,"O",14
62.812,51.743,28,"Class2",42.737,85.559,43.374,28.646,47.355,"J",43
63.445,NA,16,"Class2",48.424,86.613,16.168,29.779,53.929,"J",30
63.463,47.919,26,"Class2",51.945,76.639,47.085,18.967,54.752,"K",23
50.139,64.351,27,"Class1",47.872,32.897,26.576,86.092,23.127,"A",17
30.114,55.152,20,"Class1",NA,34.602,28.017,71.109,21.321,"J",21
62.299,85.661,22,"Class2",NA,71.113,57.423,51.228,48.353,"J",57
62.481,95.245,20,"Class2",38.83,59.93,23.409,32.483,61.935,"Z",21
30.5,47.797,5,"Class1",23.232,29.715,21.131,84.523,24.59,"N",17
33.023,43.763,9,"Class1",59.781,23.373,29.481,76.647,20.432,"D",23
37.394,51.979,31,"Class1",59.739,23.489,38.663,78.993,33.663,"O",15
62.569,98.016,20,"Class2",31.135,80.037,49.83,36.218,42.088,"K",32
62.244,77.531,23,"Class2",55.441,64.35,53.381,62.639,42.563,"V",24
35.801,42.324,8,"Class1",61.027,45.694,28.622,87.73,16.395,"D",16
35.319,41.5,17,"Class1",61.956,44.065,26.754,72.87,24.429,"N",19
26.518,40.132,24,"Class1",59.43,43.101,17.062,82.958,33.589,"O",19
62.497,98.967,18,"Class2",46.942,97.082,12.816,27.296,44.484,"K",11
63.021,84.096,24,"Class2",40.29,52.365,64.15,38.653,61.041,"J",50
34.457,52.209,23,"Class1",NA,32.174,39.483,74.04,30.176,"J",23
21.351,50.293,21,"Class1",68.8,23.592,22.757,85.351,34.582,"J",15
40.345,46.249,8,"Class1",25.001,30.078,7.587,62.634,25.017,"J",24
61.538,52.595,23,"Class2",32.736,91.13,37.346,27.643,64.539,"J",24
62.074,58.395,14,"Class2",29.673,78.738,63.771,25.965,59.471,"V",49
63.079,52.219,14,"Class2",45.599,90.881,28.946,29.683,54.677,"Z",39
24.085,65.951,27,"Class1",70.435,1.587,40.314,82.617,15.114,"J",19
36.304,59.458,6,"Class1",61.275,17.013,15.361,84.171,18.173,"D",22
35.528,56.292,9,"Class1",76.149,20.676,31.695,88.468,17.91,"J",14
38.845,64.099,9,"Class1",83.726,33.917,12.841,73.018,21.708,"A",15
63.57,80.281,22,"Class2",43.255,59.545,65.445,45.772,43.886,"J",43
63.2,98.867,14,"Class2",33.546,87.107,11.957,53.185,45.945,"Z",42
34.88,47.747,28,"Class1",55.537,44.92,33.36,74.086,28.099,"N",11
23.509,43.957,7,"Class1",69.804,16.779,27.038,71.074,33.091,"J",13
26.256,50.112,17,"Class1",50.827,15.736,30.881,86.841,30.318,"A",20
62.351,96.978,15,"Class2",44.955,75.662,9.402,49.142,58.235,"J",10
38.601,67.936,13,"Class1",49.578,39.007,8.45,93.976,19.399,"N",24
62.412,58.141,14,"Class2",41.086,57.286,70.896,47.994,46.424,"K",26
32.9,54.086,30,"Class1",NA,25.443,13.507,68.86,28.28,"N",24
63.598,87.221,22,"Class2",33.061,60.972,16.211,22.079,61.745,"Z",25
11.999,67.497,11,"Class1",NA,16.864,26.813,85.153,15.138,"A",13
63.112,58.781,19,"Class2",42.131,90.985,54.917,39.666,53.896,"K",57
62.449,75.429,25,"Class2",NA,63.996,10.926,18.363,61.846,"J",49
39.42,38.266,7,"Class1",94.188,39.001,13.288,83.357,21.835,"D",15
62.853,78.695,19,"Class2",50.605,67.69,46.242,39.341,49.288,"K",11
63.41,92.965,23,"Class2",66.735,62.942,43.109,20.536,42.394,"F",25
62.333,68.073,17,"Class2",23.215,77.641,51.747,45.782,44.246,"F",34
63.812,88.407,27,"Class2",46.869,71.384,24.474,51.091,54.655,"J",32
29.505,53.61,8,"Class1",53.527,12.822,24.321,64.663,22.324,"N",17
62.464,64.105,21,"Class2",49.854,84.601,61.874,31.566,53.385,"Z",55
41.752,52.899,11,"Class1",71.245,31.823,27.439,84,22.946,"N",10
28.058,38.175,22,"Class1",70.158,60.182,41.338,91.046,24.981,"N",11
23.055,53.419,24,"Class1",49.862,33.964,26.083,63.71,22.207,"N",22
62.717,NA,17,"Class2",35.217,94.161,32.268,31.154,47.565,"K",23
63.151,54.87,11,"Class2",27.821,78.766,32.716,35.313,44.581,"F",36
37.377,62.852,19,"Class1",80.924,39.322,26.363,92.685,28.945,"O",12
63.664,83.405,24,"Class2",44.473,56.458,43.718,25.925,53.643,"V",44
62.664,46.189,22,"Class2",50.026,75.77,25.148,39.383,43.214,"J",49
62.661,66.335,24,"Class2",47.799,84.364,53.984,38.918,49.383,"F",18
41.392,43.003,18,"Class1",45.451,40.134,15.002,69.177,34.121,"N",14
65.061,NA,16,"Class2",30.151,60.03,35.304,37.136,63.658,"V",56
30.016,58.362,8,"Class1",56.258,12.261,32.438,88.776,20.05,"A",13
29.757,46.043,16,"Class1",41.893,20.084,4.159,74.523,15.765,"N",17
62.601,71,28,"Class2",38.069,65.656,18.725,50.353,45.827,"F",35
62.959,52.959,21,"Class2",43.005,66.014,55.254,43.837,54.789,"J",18
26.598,NA,30,"Class1",79.75,18.873,25.002,78.366,18.924,"N",24
63.867,97.447,17,"Class2",44.848,68.67,59.483,22.519,62.327,"K",41
20.587,51.66,21,"Class1",59.872,40.597,7.976,88.186,30.362,"D",25
30.282,46.962,19,"Class1",NA,17.081,41.628,92.725,17.314,"N",16
62.832,73.88,24,"Class2",39.159,81.642,10.556,36.441,47.191,"J",52
63.74,89.91,27,"Class2",31.753,61.19,18.086,36.697,61.939,"J",40
44.296,42.094,13,"Class1",38.823,26.143,39.621,98.068,27.426,"O",17
37.548,51.391,20,"Class1",61.625,40.949,35.556,65.545,21.139,"D",13
30.416,64.222,9,"Class1",57.26,33.662,36.358,96.178,17.297,"O",12
62.908,NA,15,"Class2",57.149,103.494,31.581,56.317,42.966,"J",8
44.392,53.188,11,"Class1",85.097,32.956,36.865,79.877,25.86,"D",17
28.952,53.653,31,"Class1",45.588,32.33,22.468,75.99,16.541,"N",14
62.761,NA,20,"Class2",43.842,80.129,45.079,19.927,61.147,"Z",17
39.413,59.211,19,"Class1",99.244,23.671,31.837,76.941,33.671,"D",14
21.195,40.133,8,"Class1",54.543,18.863,25.466,86.176,16.512,"D",9
61.576,96.768,15,"Class2",27.464,68.795,7.578,27.016,64.439,"J",57
23.661,65.99,5,"Class1",43.112,48.076,40.21,86.223,22.28,"O",18
63.25,62.036,17,"Class2",34.419,76.938,70.945,36.287,50.145,"K",23
61.886,91.815,12,"Class2",36.48,83.614,21.547,28.881,42.788,"J",14
40.527,46.688,24,"Class1",81.472,36.403,6.22,80.42,29.651,"N",22
62.278,60.706,20,"Class2",47.428,70.825,9.878,-5.883,53.539,"Z",8
62.682,68.013,28,"Class2",43.495,78.088,45.916,27.774,48.958,"F",8
22.519,50.485,16,"Class1",47.773,18.773,33.294,93.812,15.227,"O",17
30.757,54.49,28,"Class1",79.896,46.853,24.354,85.037,18.121,"A",23
63.72,63.579,23,"Class2",32.138,95.533,4.877,43.53,51.582,"K",32
62.231,93.007,15,"Class2",39.718,62.088,7.453,46.376,49.079,"J",37
