"DAS1","INT2","DQG3","PQM4","PKA5","GOE6","Output12","OHJ7","BEG8","XFJ9","VOJ10","TED11"
54.974,19.239,"B","G",85,32.758,"Class1",35.428,53.476,89.885,44,12.25
78.165,70.934,"N","E",31,81.171,"Class2",70.972,23.176,56.087,37,21.196
74.012,6.701,"N","W",76,33.309,"Class1",79.457,52.354,91.641,39,4.962
33.656,12.05,"Z","Z",85,28.694,"Class1",81.66,36.987,87.178,30,21.473
85.353,11.904,"B","R",78,30.058,"Class1",28.69,29.635,87.2,37,25.011
84.954,56.864,"O","T",30,78.366,"Class2",54.033,29.553,58.085,30,69.983
80.614,13.526,"Z","R",84,30.988,"Class1",94.097,58.863,90.096,42,NA
67.518,66.802,"K","T",31,75.206,"Class2",72.228,15.293,57.758,32,23.36
38.328,11.053,"Z","Z",73,32.214,"Class1",35.828,-0.69,86.87,40,5.361
72.324,27.712,"K","E",30,76.019,"Class2",51.989,31.66,57.351,32,27.362
52.674,48.381,"M","E",29,75.021,"Class2",62.385,30.288,57.045,30,18.363
5.932,13.274,"E","Z",82,30.364,"Class1",70.599,67.587,88.509,33,40.751
80.324,44.203,"H","E",31,77.778,"Class2",46.027,24.793,55.146,29,29.61
79.115,53.46,"K","T",32,73.929,"Class2",41.745,13.358,58.681,32,62.931
77.794,50.2,"K","T",32,78.284,"Class2",45.522,34.403,56.301,37,31.549
70.846,87.422,"K","Y",32,83.644,"Class2",53.723,38.157,57.755,31,19.178
76.924,66.807,"H","P",30,76.676,"Class2",51.1,17.409,57.527,39,34.083
100.336,13.998,"B","W",87,32.726,"Class1",58.743,18.367,87.781,31,46.592
39.194,17.495,"N","R",85,31.569,"Class1",58.202,27.899,86.793,41,26.674
22.663,13.152,"Z","G",81,30.852,"Class1",10.501,34.106,88.563,44,16.857
39.871,19.354,"N","G",75,33.038,"Class1",35.408,43.426,91.335,37,20.626
74.538,32.442,"M","Y",30,76.039,"Class2",46.84,40.745,57.599,29,70.683
68.362,40.074,"O","T",31,73.026,"Class2",49.937,27.399,56.15,31,24.321
NA,46.203,"O","E",29,75.744,"Class2",72.458,34.62,58.251,30,23.071
76.443,50.81,"H","P",32,75.252,"Class2",61.718,34.116,56.664,30,54.282
112.917,13.319,"N","W",76,31.254,"Class1",24.045,20.386,92.601,38,38.619
54.864,16.158,"E","W",86,32.115,"Class1",62.537,43.944,90.274,38,38.443
66.254,36.12,"N","P",29,78.016,"Class2",64.544,29.294,55.953,30,63.777
53.004,67.326,"H","T",32,81.068,"Class2",45.465,28.926,58.238,29,67.715
67.775,38.428,"N","T",29,78.716,"Class2",63.83,17.775,56.151,38,63.078
74.573,63.444,"O","E",30,72.621,"Class2",44.991,28.547,58.505,37,22.045
16.056,17.414,"E","O",76,35.576,"Class1",67.591,29.159,88.25,42,32.997
73.258,14.985,"L","G",82,34.256,"Class1",53.054,37.223,88.105,36,27.649
68.666,63.057,"N","E",32,81.66,"Class2",58.797,25.667,58.882,38,61.561
55.654,10.782,"Z","G",88,30.659,"Class1",63.099,35.718,89.332,32,7.973
81.499,70.558,"M","E",29,76.713,"Class2",44.782,29.974,57.821,30,56.499
67.892,47.698,"H","P",31,74.747,"Class2",43.087,15.43,55.501,32,51.604
NA,15.208,"N","W",82,30.831,"Class1",59.23,27.412,89.423,45,32.429
83.082,52.291,"K","T",30,76.209,"Class2",57.651,33.354,57.123,34,64.705
81.779,31.573,"N","P",32,78.515,"Class2",42.371,19.441,55.167,36,64.03
78.053,32.307,"K","T",31,77.797,"Class2",49.448,12.214,56.189,38,38.322
77.815,14.43,"B","W",74,29.974,"Class1",79.863,26.819,88.828,44,40.05
57.827,17.577,"E","G",80,31.381,"Class1",12.244,24.096,88.932,38,5.074
61.371,33.481,"M","V",32,75.931,"Class2",51.97,29.738,56.116,39,NA
68.538,32.59,"N","V",29,75.786,"Class2",55.214,26.813,57.582,29,NA
10.831,7.478,"L","W",78,32.023,"Class1",50.869,31.677,89.517,40,39.013
75.49,58.807,"N","E",32,71.85,"Class2",58.479,29.591,57.758,35,33.59
33.905,14.765,"L","R",83,28.281,"Class1",14.32,-10.041,87.424,31,22.5
14.65,16.288,"B","Z",83,31.911,"Class1",67.252,52.483,86.917,43,13.518
70.027,15.894,"N","G",81,33.602,"Class1",85.297,56.247,89.243,35,41.991
40.223,14.545,"Z","R",80,32.827,"Class1",60.371,38.361,89.485,39,26.562
65.445,31.655,"H","P",31,74.476,"Class2",62.325,31.127,56.819,38,64.915
58.493,9.145,"Z","W",79,29.941,"Class1",39.882,-6.549,92.035,30,7.119
64.541,38.23,"N","T",29,77.766,"Class2",69.54,23.484,55.346,33,51.479
63.787,50.329,"O","T",32,75.19,"Class2",42.828,45.347,55.511,34,28.604
88.375,11.306,"L","R",81,29.292,"Class1",37.565,-13.33,92.334,42,31.904
54.016,78.734,"O","T",32,74.906,"Class2",54.007,44.118,55.047,39,NA
77.303,48.745,"H","V",32,79.117,"Class2",47.432,39.217,58.093,37,18.362
NA,28.968,"O","P",32,76.275,"Class2",40.197,27.404,56.449,39,34.313
18.478,15.173,"L","W",76,31.236,"Class1",41.266,22.764,85.617,35,38.572
28.664,14.268,"E","W",82,31.303,"Class1",12.52,56.645,92.208,32,33.816
85.273,17.811,"E","W",76,27.524,"Class1",62.111,53.693,91.725,37,33.725
85.409,52.706,"M","V",31,77.729,"Class2",45.347,7.24,56.594,29,NA
78.852,66.021,"H","Y",30,76.466,"Class2",51.722,35.796,55.491,32,68.845
67.017,65.713,"K","T",31,77.854,"Class2",43.965,38.926,55.55,38,64.773
85.698,57.397,"H","T",29,77.457,"Class2",63.108,36.124,58.708,32,19.496
79.082,47.604,"H","V",29,77.084,"Class2",66.412,26.008,56.665,29,51.735
74.491,8.124,"B","O",83,32.348,"Class1",44.439,41.45,89.194,31,44.859
71.062,49.442,"O","P",29,75.163,"Class2",48.627,30.134,56.921,37,40.31
56.359,10.318,"Z","G",87,34.894,"Class1",55.369,67.49,91.755,42,29.25
54.644,21.018,"N","O",88,28.813,"Class1",80.602,56.482,90.191,31,9.202
23.424,15.83,"N","G",83,35.128,"Class1",36.742,36.843,85.437,36,18.638
66.574,39.417,"N","T",31,74.673,"Class2",56.293,23.345,58.391,35,34.702
64.157,28.716,"M","P",30,73.478,"Class2",40.242,22.115,58.566,38,70.759
