"TMN1","IOT2","UCB3","GZI4","HSG5","QKS6","Output16","SEM7","YDE8","ZLU9"
62.579,59.132,87.354,36.245,NA,"M","Class2",49.616,46,59.842
82.062,59.953,54.391,35.965,53.468,"Y","Class2",31.222,32,59.05
40.844,42.2,56.762,39.208,36.785,"I","Class3",73.62,52,18.42
46.612,43.351,69.013,69.777,87.247,"A","Class1",33.09,52,56.953
47.596,30.462,46.168,37.892,35.604,"P","Class3",38.399,70,18.98
50.455,39.831,69.06,70.28,90.589,"O","Class1",46.389,53,54.308
25.016,47.912,69.2,68.201,98.035,"W","Class1",30.512,42,56.993
85.998,60.569,49.694,34.696,76.453,"P","Class2",38.571,59,50.203
54.759,52.878,56.589,67.938,NA,"A","Class3",57.592,86,12.577
53.765,37.2,67.026,71.801,35.862,"Q","Class3",58.873,34,32.616
34.925,53.794,57.145,51.175,34.694,"I","Class3",47.722,69,38.066
61.646,60.178,66.759,33.295,10.084,"W","Class2",36.949,63,53.057
12.874,50.493,69.594,70.919,105.297,"B","Class1",32.438,62,57.152
56.392,40.907,87.544,66.034,33.341,"I","Class3",28.608,44,31.257
68.248,59.663,91.653,36.03,65.495,"P","Class2",33.616,44,50.045
71.602,59.131,50.928,33.027,31.412,"M","Class2",56.904,52,59.665
38.093,40.841,51.129,82.283,34.518,"P","Class3",47.22,54,25.312
65.509,59.942,63.61,33.697,1.928,"D","Class2",45.786,52,52.25
70.078,58.211,72.251,36.062,-6.649,"W","Class2",39.761,43,58.88
56.3,34.73,80.765,54.947,34.881,"X","Class3",51.637,67,30.602
48.573,39.729,75.356,62.939,36.567,"Q","Class3",71.488,36,36.704
61.375,59.183,82.056,34.978,22.66,"D","Class2",43.168,17,57.868
37.272,63.749,69.919,69.019,95.582,"B","Class1",36.056,55,56.724
50.432,61.142,49.666,36.996,40.135,"W","Class2",34.682,49,58.412
53.252,60.687,69.618,65.297,NA,"O","Class1",36.544,63,55.294
80.707,58.459,62.334,36.57,21.512,"P","Class2",23.405,57,57.643
65.809,59.765,69.944,35.861,31.742,"Y","Class2",37.118,54,56.386
31.204,37.924,69.986,65.971,84.518,"B","Class1",-6.74,22,59.653
72.415,61.814,40.792,34.767,2.024,"P","Class2",53.352,31,50.728
20.999,46.081,69.15,71.227,88.805,"B","Class1",11.803,48,56.3
41.269,41.655,80.613,50.231,35.169,"I","Class3",79.463,81,24.253
81.344,56.771,50.273,34.494,51.948,"M","Class2",33.722,41,55.722
40.28,27.244,78.192,82.711,35.557,"A","Class3",50.567,39,14.303
77.983,55.888,57.625,33.812,NA,"Y","Class2",40.019,56,56.184
55.953,48.233,49.068,58.083,35.698,"I","Class3",69.004,56,22.464
71.215,58.157,64.877,35.224,77.761,"D","Class2",39.732,57,56.522
45.3,51.29,85.92,66.797,34.967,"Q","Class3",66.829,64,21.884
39.713,69.244,43.809,70.687,34.637,"P","Class3",39.954,44,38.001
29.325,33.796,69.439,65.598,91.152,"W","Class1",14.627,61,55.143
58.269,58.088,69.385,69.694,79.41,"B","Class1",28.188,31,56.421
45.663,58.499,61.013,34.602,21.921,"W","Class2",33.003,55,59.488
52.352,37.191,43.732,61.661,36.485,"I","Class3",50.476,49,38.241
30.355,34.609,69.382,68.062,85.083,"A","Class1",27.675,46,59.217
53.157,36.125,44.873,58.661,34.772,"Q","Class3",76.284,84,29.584
44.417,48.723,66.227,49.324,35.506,"P","Class3",43.979,65,26.092
43.846,45.313,81.315,58.217,34.088,"X","Class3",67.826,41,16.942
43.189,43.438,52.92,61.496,NA,"P","Class3",40.043,87,36.956
61.522,60.878,73.537,34.458,21.621,"Y","Class2",31.985,40,56.722
46.942,60.406,65.56,36.044,29.373,"M","Class2",43.295,33,56.081
58.661,52.335,87.965,76.625,34.486,"P","Class3",16.988,62,21.744
51.778,41.269,69.679,68.803,93.552,"A","Class1",9.798,49,54.632
39.498,51.847,73.17,38.533,35.478,"I","Class3",65.155,51,40.863
-7.236,41.278,69.366,65.007,84.353,"O","Class1",28.076,14,55.434
66.249,56.21,62.547,34.474,NA,"M","Class2",45.384,39,56.636
58.37,59.768,84.207,33.99,75.955,"Y","Class2",51.169,49,52.084
34.331,30.685,69.243,66.61,91.78,"F","Class1",26.619,12,60.478
76.898,49.777,69.419,66.714,85.999,"O","Class1",20.042,59,55.587
52.785,22.147,69.891,71.723,84.788,"O","Class1",20.45,65,55.019
