"APU1","TNS2","BNJ3","FKI4","NGO5","FMO6","UYZ7","NLU8","CDP9","DKG10","Output2"
"G",81.38,24.448,54.828,19.8,69.626,92,NA,"G",65.849,"Class2"
"G",89.669,32.878,55.983,47.261,59.366,68,47.924,"P",66.506,"Class1"
"J",-0.646,17.87,22.786,108.354,79.402,NA,73.78,"J",16.113,"Class4"
"H",79.707,39.49,16.503,80.851,38.595,12,47.609,"I",31.817,"Class3"
"G",56.752,58.875,46.216,27.578,60.809,96,30.577,"G",20.555,"Class2"
"E",65.437,70.681,15.285,50.497,37.334,13,47.255,"H",37.655,"Class3"
"D",91.691,32.254,62.495,47.905,60.384,51,39.613,"M",61.481,"Class1"
"Z",82.66,30.599,57.536,45.166,59.582,74,49.677,"F",61.81,"Class1"
"H",62.24,44.122,29.22,50.961,43.016,10,47.433,"Z",47.579,"Class3"
"G",85.703,31.741,47.407,46.634,59.354,NA,51.511,"P",63.747,"Class1"
"M",76.878,43.098,19.752,41.627,32.302,13,47.665,"Z",45.085,"Class3"
"K",24.687,28.956,22.529,62.57,84.521,40,73.884,"L",9.046,"Class4"
"H",78.93,60.445,50.714,63.602,70.619,87,46.923,"C",66.649,"Class2"
"E",57.123,47.002,23.65,85.708,39.721,15,47.358,"Z",49.215,"Class3"
"G",88.481,30.72,53.161,43.144,59.534,69,51.141,"D",61.202,"Class1"
"E",53.315,40.505,13.61,55.114,28.878,15,47.553,"H",23.258,"Class3"
"M",64.82,39.521,20.087,50.692,46.267,12,47.832,"Z",46.083,"Class3"
"X",8.094,9.825,22.011,18.197,82.888,31,71.021,"J",9.773,"Class4"
"C",91.902,31.523,47.851,47.558,62.167,60,49.253,"B",56.471,"Class1"
"Z",90.854,32.326,51.753,43.397,54.336,89,45.799,"D",60.061,"Class1"
"P",55.27,44.284,25.791,54.97,29.976,12,47.067,"Z",42.368,"Class3"
"K",16.179,16.533,23.033,76.99,83.809,25,81.261,"C",12.71,"Class4"
"G",87.174,31.224,51.757,49.151,58.278,79,47.329,"M",58.33,"Class1"
"H",68.863,46.999,26.086,84.839,41.001,13,47.668,"I",34.853,"Class3"
"D",91.604,30.487,56.496,44.646,59.318,80,44.799,"D",59.573,"Class1"
"C",79.067,27.675,45.206,41.565,69.579,89,78.989,"Q",43.001,"Class2"
"N",96.281,60.306,53.745,1.937,69.659,83,77.064,"I",81.409,"Class2"
"H",87.918,31.574,57.077,46.679,59.554,83,43.085,"F",54.846,"Class1"
"G",80.229,55.293,47.438,37.664,58.391,79,90.204,"C",46.574,"Class2"
"G",82.46,31.674,61.333,47.488,56.952,82,39.319,"M",53.524,"Class1"
"E",57.183,38.894,31.649,51.258,38.233,11,47.265,"H",36.979,"Class3"
"Q",23.484,15.478,23.145,94.013,85.109,29,NA,"P",16.547,"Class4"
"H",76.393,47.661,57.042,16.094,68.34,88,71.797,"H",85.809,"Class2"
"R",80.24,36.473,14.637,57.91,45.754,14,47.286,"H",15.692,"Class3"
"C",92.825,32.771,51.425,45.174,53.265,57,42.594,"P",63.635,"Class1"
