"PML1","GYO2","CJW3","UXF4","JUR5","KPQ6","SHU7","UTG8","MSG9","Output7","PMO10"
48,4.634,"F",15.759,36.27,86.267,7.276,76.32,45.479,"Class1",40.342
8,80.393,"U",62.846,57.717,38.535,85.743,55.915,36.447,"Class2",48.551
12,85.758,"Y",14.55,55.282,36.292,79.08,17.61,38.851,"Class2",52.905
47,6.965,"R",15.655,46.49,67.164,35.077,76.693,72.33,"Class1",32.395
47,75.391,"F",18.015,45.129,50.308,68.64,76.661,49.497,"Class1",24.583
10,92.529,"L",-1.194,56.082,42.488,60.595,53.128,76.468,"Class2",50.961
14,75.335,"K",35.398,55.89,55.403,88.778,64.5,28.403,"Class2",52.855
6,86.126,"C",48.726,56.089,58.589,68.242,30.12,30.127,"Class2",53.139
8,72.707,"L",112.099,54.137,43.191,75.797,59.193,62.587,"Class2",44.698
48,41.677,"Z",15.63,48.415,54.773,78.057,76.74,34.164,"Class1",4.214
11,79.347,"U",17.338,54.718,48.501,82.298,47.23,46.056,"Class2",43.888
47,75.678,"C",15.777,41.884,77.66,79.958,75.897,60.946,"Class1",18.669
14,88.577,"L",46.448,55.321,56.296,81.199,70.002,75.247,"Class2",46.314
10,82.293,"C",58.694,55.622,37.296,60.038,19.853,58.416,"Class2",55.163
9,83.098,"K",61.574,55.353,49.79,87.529,88.995,49.888,"Class2",47.953
48,85.186,"O",15.945,33.107,67.68,22.722,76.829,32.758,"Class1",34.973
9,81.076,"C",30.841,56.647,47.865,86.79,53.625,69.861,"Class2",49.587
47,24.074,"R",16.318,44.528,75.472,61.083,76.728,64.316,"Class1",61.049
47,63.812,"C",17.712,39.185,84.887,61.778,76.315,32.182,"Class1",24.745
11,93.011,"Y",83.29,58.563,39.051,86.851,25.082,39.118,"Class2",50.385
48,98.517,"O",17.598,43.269,49.98,42.524,76.84,50.952,"Class1",56.683
14,91.764,"U",62.064,54.193,62.184,84.149,62.894,65.255,"Class2",53.741
47,58.299,"F",17.186,44.28,82.518,22.727,76.383,75.948,"Class1",58.65
5,84.64,"C",28.175,55.709,52.265,56.941,39.76,37.772,"Class2",53.378
47,70.618,"C",17.829,46.245,87.727,72.823,76.273,33.264,"Class1",36.864
47,73.28,"F",13.1,52.659,52.848,1.348,77.169,50.321,"Class1",40.665
47,35.82,"Z",16.038,44.456,36.35,58.109,76.156,70.902,"Class1",24.292
9,68.587,"K",2.4,56.233,49.428,65.335,60.394,58.707,"Class2",48.356
12,83.61,"C",21.697,57.826,48.347,56.894,9.858,42.305,"Class2",47.098
9,76.596,"U",57.797,55.077,56.273,86.048,36.633,40.05,"Class2",43.65
48,32.714,"F",17.33,39.811,69.517,45.565,76.711,46.335,"Class1",39.368
47,59.361,"R",16.817,50.943,71.118,79.941,76.241,56.107,"Class1",61.035
47,113.968,"Z",18.129,50.405,80.785,64.439,76.383,76.471,"Class1",49.309
48,64.18,"O",17.977,48.583,68.964,1.45,76.567,54.153,"Class1",22.52
48,NA,"O",14.21,38.153,28.316,66.093,76.542,75.346,"Class1",45.232
13,81.675,"U",53.349,56.036,50.636,57.086,51.047,55.91,"Class2",55.195
11,73.947,"C",31.574,54.571,49.529,54.985,10.306,69.257,"Class2",52.802
