"MRQ1","QJV2","LID3","AHN4","YXE5","PNH6","WVM7","UKR8","AYF9","UBT10","Output13","BEP11","CZN12"
87.23,37.767,38,52.261,87.576,62.637,"O",74.475,25.531,66.423,"Class3","K",70
25.312,92.863,63,17.24,59.808,20.622,"S",29.404,17.774,71.498,"Class5","B",51
89.09,38.385,33,47.12,85.009,23.424,"H",56.384,8.589,85.476,"Class3","Z",49
58.964,61.064,61,51.608,56.886,32.812,"U",88.479,82.719,53.08,"Class1","A",29
86.573,32.315,19,62.189,92.306,44.451,"P",72.184,16.25,61.336,"Class3","P",48
11.389,58.275,69,54.398,30.871,72.363,"C",88.891,83.114,35.379,"Class1","M",78
57.278,61.497,17,69.064,37.73,85.738,"X",40.22,5.612,7.572,"Class2","P",50
87.453,22.718,42,50.25,93.672,5.638,"G",14.239,23.088,45.915,"Class3","F",39
45.488,NA,4,54.425,41.217,105.289,"Q",43.834,49.942,6.022,"Class2","L",58
26.065,4.64,63,7.427,72.533,23.015,"S",71.611,90.026,65.068,"Class4","N",14
42.873,8.288,32,7.037,34.303,-6.531,"M",72.733,92.499,54.597,"Class4","E",25
17.905,90.089,69,26.178,68.205,21.445,"M",33.486,74.869,36.93,"Class5","X",59
87.059,27.096,45,48.247,96.072,-4.906,"O",22.122,16.914,27.154,"Class3","Z",45
18.097,0.076,35,8.474,42.474,7.377,"O",71.465,71.687,17.862,"Class4","N",57
35.138,95.246,70,55.231,55.284,10.404,"N",39.007,10.07,72.095,"Class5","T",59
33.548,41.087,38,49.136,49.539,59.158,"C",89.409,82.079,40.871,"Class1","O",91
65.161,42.968,43,45.569,37.024,29.769,"C",89.291,84.501,45.805,"Class1","S",27
5.77,78.384,63,11.452,65.526,7.731,"N",34.546,25.586,38.762,"Class5","T",57
47.452,3.561,34,7.618,66.24,17.897,"S",71.557,69.101,15.31,"Class4","A",27
53.893,68.868,6,27.583,41.87,20.821,"X",43.182,-12.154,3.307,"Class2","L",66
26.187,3.787,80,44.668,28.972,49.995,"L",87.442,83.242,55.433,"Class1","O",86
37.003,4.728,57,7.397,42.599,62.165,"C",72.132,96.511,67.713,"Class4","A",69
17.742,21.399,9,54.59,23.78,46.594,"W",89.127,82.507,33.929,"Class1","M",11
38.352,0.786,66,8.359,33.047,59.801,"M",71.568,64.299,30.147,"Class4","V",24
85.281,18.972,33,75.33,91.062,52.541,"Q",2.636,8.179,25.936,"Class3","F",61
27.925,NA,66,64.817,56.144,11.342,"N",42.101,-6.686,29.149,"Class5","B",54
26.395,62.577,25,55.12,41.918,38.148,"L",85.285,82.719,58.864,"Class1","A",9
50.817,42.091,1,38.881,42.622,30.571,"O",41.123,11.769,7.717,"Class2","U",52
16.229,70.633,64,5.824,54.794,11.458,"W",35.446,38.008,40.667,"Class5","D",NA
18.897,87.048,69,76.986,80.405,25.119,"W",33.331,23.649,53.63,"Class5","T",60
16.878,1.008,57,7.687,76.095,1.103,"O",71.627,91.477,77.97,"Class4","A",43
85.199,52.415,34,75.54,93.123,14.479,"P",73.726,20.882,32.25,"Class3","I",44
43.146,6.458,48,7.139,66.379,47.513,"C",72.013,92.596,23.338,"Class4","A",51
57.635,60.792,3,32.206,39.664,22.077,"Y",41.618,86.568,2.171,"Class2","V",55
59.353,53.792,15,25.001,39.616,52.348,"X",45.541,26.567,11.925,"Class2","U",74
49.009,68.501,21,52.495,40.169,92.367,"N",47.456,52.675,2.792,"Class2","I",64
9.224,86.728,73,73.053,66.453,32.967,"S",30.683,5.466,50.739,"Class5","Y",58
29.634,2.462,60,8.325,72.275,32.587,"U",72.587,72.369,31.212,"Class4","V",60
26.967,13.005,18,58.2,45.521,16.946,"V",85.008,82.254,49.817,"Class1","O",20
21.268,43.753,71,12.544,70.537,6.21,"W",31.448,45.555,70.589,"Class5","T",61
84.441,7.86,25,50.581,90.457,48.191,"G",87.879,7.631,65.934,"Class3","P",63
48.852,5.53,43,8.495,30.182,67.049,"U",72.219,63.812,18.173,"Class4","E",36
33.764,7.757,43,8.566,57.484,34.713,"O",72.377,82.209,19.709,"Class4","R",12
90.232,19.745,33,52.019,90.692,38.939,"O",27.179,29.273,23.127,"Class3","F",46
85.88,41.565,27,47.612,86.675,5.138,"O",23.974,20.579,71.269,"Class3","F",24
8.048,31.68,72,18.934,51.996,38.018,"F",41.533,32.691,25.788,"Class5","B",61
58.24,57.424,22,20.282,43.664,68.918,"N",41.974,49.183,1.354,"Class2","V",72
61.923,75.086,3,29.192,41.305,97.7,"X",39.08,62.478,0.536,"Class2","L",65
17.949,3.18,30,7.062,54.012,26.153,"S",72.425,88.569,78.554,"Class4","A",48
83.683,11.176,18,44.282,91.695,66.692,"G",45.022,12.634,70.218,"Class3","P",49
66.412,29.598,49,53.252,38.568,54.709,"C",87.057,83.337,33.674,"Class1","Y",67
41.904,0.019,63,7.258,53.664,28.252,"O",71.086,79.807,39.994,"Class4","V",21
58.769,1.199,41,8.961,57.148,83.256,"M",72.283,85.925,21.312,"Class4","E",67
86.975,37.699,39,61.27,87.052,57.137,"P",64.051,20.951,61.608,"Class3","K",58
89.159,22.219,24,64.059,89.813,40.296,"O",29.728,19.036,64.013,"Class3","F",61
36.476,78.62,66,3.511,65.716,20.442,"N",33.539,43.423,69.543,"Class5","D",56
18.435,31.847,67,71.737,60.72,18.173,"M",30.494,49.271,57.122,"Class5","X",56
75.533,58.148,64,44.767,52.923,66.873,"W",87.964,81.684,55.28,"Class1","Y",45
83.274,4.373,25,50.439,90.335,53.994,"H",4.867,16.21,24.146,"Class3","K",NA
