"XAV1","FJW2","AFV3","Output6","PNS4","UXD5","QSY6","XGK7","LBV8","HGE9","WSX10","PVB11","TXH12"
59.606,34.313,76.042,"Class4","G","J",65,49,74.456,53.718,77.339,72.628,2.119
77.645,40.748,36.75,"Class1","L","N",80,52,49.39,29.944,63.906,22.521,84.566
48.746,14.2,38.928,"Class5","D","Z",50,88,63.168,52.397,33.335,32.896,37.829
74.878,66.52,44.123,"Class1","X","Q",62,50,56.613,28.001,42.877,81.016,79.891
62.701,35.181,54.442,"Class4","F","J",61,53,19.457,52.535,52.595,46.284,1.45
45.358,13.313,42.3,"Class5","I","F",50,88,60.064,26.506,36.648,30.697,11.286
66.031,49.982,72.195,"Class4","H","Z",62,51,24.753,55.344,40.594,65.902,1.809
NA,52.53,55.148,"Class4","G","J",67,60,66.697,53.841,62.434,57.729,2.646
21.758,57.442,49.94,"Class2","F","S",8,37,37.943,22.523,63.69,71.526,52.391
74.568,38.212,18.749,"Class3","C","O",39,34,80.304,45.416,27.918,37.279,60.008
23.885,32.392,28.4,"Class2","D","Z",24,82,37.064,41.818,37.917,43.286,66.746
68.124,43.476,48.767,"Class4","G","I",63,41,50.246,53.481,66.568,52.573,3.055
17.817,15.038,38.376,"Class5","N","F",49,88,60.315,44.971,28.39,34.69,17.014
55.836,13.163,56.293,"Class5","Y","X",50,86,54.114,22.943,22.96,33.521,29.076
64.106,42.805,50.089,"Class4","U","B",67,61,44.765,51.426,64.923,85.145,2.189
44.627,81.827,65.647,"Class2","F","S",13,36,36.166,45.56,66.938,47.309,52.107
13.48,5.037,49.96,"Class2","F","P",26,58,49.049,30.041,73.065,51.077,61.209
30.41,11.272,56.648,"Class5","D","F",50,89,71.349,15.031,44.713,34.188,29.46
64.148,54.327,36.476,"Class1","D","D",79,52,43.61,29.459,24.721,25.339,85.381
14.858,14.756,59.12,"Class5","S","K",50,88,22.66,17.229,32.092,31.125,53.743
70.707,71.622,55.92,"Class1","L","N",56,48,45.027,28.589,46.091,67.388,80.818
17.724,37.813,56.483,"Class2","K","P",23,27,48.732,23.88,72.37,48.66,57.538
19.031,15.597,34.193,"Class5","S","X",53,87,10.983,47.038,19.7,34.136,21.793
68.172,36.452,57.382,"Class4","H","S",61,46,70.655,54.551,55.986,55.751,3.766
46.627,12.883,40.935,"Class5","S","P",53,87,8.533,19.457,27.244,34.687,14.554
59.681,46.355,94.575,"Class4","F","J",63,51,24.809,52.368,62.33,37.456,3.142
62.008,53.083,19.496,"Class3","Q","J",46,25,87.498,41.085,15.19,50.566,83.86
69.625,62.029,34.43,"Class1","D","K",44,47,34.86,29.14,71.753,57.409,76.759
56.276,69.341,64.049,"Class1","U","L",86,48,42.527,27.122,37.139,11.77,78.506
31.688,10.5,34.323,"Class5","N","Z",49,88,46.423,35.449,34.071,32.541,48.929
61.778,42.654,27.699,"Class3","K","O",38,34,78.246,31.464,84.261,51.02,65.587
29.904,43.177,46.247,"Class2","K","J",18,64,46.631,27.325,69.742,104.116,63.13
83.404,37.036,23.796,"Class3","Q","J",39,43,80.567,28.37,18.687,22.359,78.943
31.39,13.344,83.344,"Class2","D","Y",22,49,36.394,22.617,66.615,89.036,59.331
NA,46.886,26.226,"Class3","Q","F",40,38,83.899,40.921,2.183,26.243,79.831
76.727,13.638,40.55,"Class5","I","F",49,86,58.726,48.411,11.005,36.154,28.815
26.753,15.513,78.425,"Class2","K","J",11,38,43.442,27.341,86.935,81.526,60.056
76.005,38.597,27.411,"Class3","S","O",45,20,80.27,50.303,49.417,49.111,105.011
25.646,13.978,51.83,"Class5","D","F",50,87,30.73,38.373,23.979,34.257,51.175
75.903,66.39,38.794,"Class1","U","K",71,49,34.66,28.36,43.853,55.579,77.394
13.965,23.763,84.294,"Class2","J","P",15,81,47.897,46.76,62.914,61.863,60.344
NA,38.652,62.688,"Class4","U","I",63,43,37.849,52.742,89.023,81.11,2.747
60.269,39.857,37.42,"Class1","X","N",39,52,32.649,26.459,49.671,22.18,83.826
73.13,37.108,19.505,"Class3","C","O",37,31,86.111,17.052,45.916,45.906,79.924
36.038,25.263,60.709,"Class2","F","Z",13,30,45.804,44.797,74.22,51.291,55.823
55.578,40.094,69.163,"Class4","F","S",64,55,59.376,55.413,41.868,37.559,1.92
76.676,40.255,27.72,"Class3","S","F",44,25,87.745,21.708,23.676,34.144,79.879
63.017,39.122,65.765,"Class4","G","Z",61,58,34.55,55.415,56.935,49.541,2.145
57.682,38.892,20.399,"Class3","S","O",40,30,78.928,43.383,44.326,41.232,83.371
74.577,57.8,70.405,"Class1","U","D",41,51,20.935,28.377,37.465,75.336,81.587
81.113,69.041,86.597,"Class1","G","D",45,48,62.345,26.359,62.756,51.212,78.827
66.042,56.662,27.721,"Class3","K","J",45,23,82.271,22.229,43.906,57.668,68.669
41.291,12.052,60.293,"Class5","D","X",49,87,54.195,29.137,39.004,31.213,43.281
23.326,11.383,39.449,"Class5","D","Z",51,86,39.915,31.847,22.361,34.559,32.598
81.357,64.576,84.061,"Class1","D","Q",85,51,52.313,25.076,40.79,46.069,82.056
82.837,NA,16.816,"Class3","S","O",40,25,83.414,28.074,-0.632,60.864,83.737
72.77,53.872,28.816,"Class3","S","Y",38,36,85.382,32.248,28.891,52.566,86.659
79.799,52.363,39.538,"Class1","U","K",82,50,61.444,28.494,13.852,14.536,77.478
63.36,36.869,80.015,"Class4","H","J",61,54,13.933,54.433,57.178,32.185,0.963
53.504,42.832,70.4,"Class4","F","I",66,39,36.58,53.554,68.577,61.745,1.396
53.317,45.638,57.061,"Class4","G","I",66,57,27.904,53.993,51.299,79.34,1.881
65.447,43.13,24.395,"Class3","I","Y",37,46,84.534,45.681,21.713,50.627,93.955
40.234,NA,64.374,"Class2","F","Z",15,83,38.916,38.673,72.329,46.849,66.293
35.978,NA,60.768,"Class5","S","K",50,86,53.457,21.432,16.682,34.836,27.922
79.154,69.691,65.786,"Class1","G","N",58,52,64.265,26.632,61.305,50.753,82.852
21.69,3.57,32.402,"Class5","I","K",52,85,75.952,35.462,19.176,34.37,42.562
81.432,45.214,32.311,"Class3","Q","S",39,41,80.196,49.229,69.279,64.126,81.777
NA,13.076,52.045,"Class5","D","K",49,88,66.516,28.306,22.514,37.97,28.629
64.146,61.214,83.932,"Class1","X","N",51,47,65.268,25.862,52.252,50.196,78.258
75.661,67.116,66.528,"Class1","D","D",76,48,65.049,28.483,29.869,29.85,79.31
58.367,7.022,38.528,"Class5","D","K",51,87,10.19,16.272,27.254,36.605,28.131
72.365,33.327,17.199,"Class3","K","O",38,47,83.37,27.011,40.194,12.85,82.501
82.662,52.576,20.332,"Class3","Q","Y",44,24,78.302,18.445,37.34,45.737,77.529
34.815,35.251,63.84,"Class2","J","Y",22,78,37.883,30.773,75.34,58.35,57.14
66.652,49.474,57.6,"Class4","H","Z",66,47,80.454,51.18,76.224,54.427,1.209
54.364,83.748,84.068,"Class1","G","N",86,49,42.616,25.664,44.25,7.606,81.971
NA,41.223,18.468,"Class3","I","S",38,46,78.853,26.813,82.666,53.134,82.413
64.194,42.823,81.13,"Class4","H","Z",63,52,41.296,55.902,57.751,108.104,3.126
NA,19.149,48.535,"Class5","Y","P",53,89,59.545,30.347,27.572,34.43,20.34
72.498,64.514,39.621,"Class1","G","K",83,52,38.05,28.242,42.816,65.076,82.702
NA,73.936,88.455,"Class1","X","N",60,50,49.89,26.401,31.298,25.742,80.618
55.894,85.865,45.587,"Class1","X","D",49,52,24.978,25.198,52.947,51.151,78.973
55.161,41.806,35.698,"Class1","G","K",46,49,28.717,25.445,48.84,10.789,80.033
59.576,39.458,26.038,"Class3","S","J",44,39,83.58,44.311,36.07,30.262,87.937
14.792,NA,41.04,"Class5","Y","K",50,85,52.824,42.491,30.828,34.031,0.754
81.855,49.963,18.577,"Class3","Q","O",38,19,82.721,46.832,30.596,42.905,62.734
66.126,35.364,51.575,"Class4","H","B",67,45,65.989,52.459,57.594,43.161,2.43
58.533,NA,15.251,"Class3","Q","J",45,34,80.14,17.347,48.954,33.368,84.008
79.936,34.928,27.416,"Class3","I","Y",43,27,87.474,23.56,31.175,37.319,95.883
81.457,71.871,69.444,"Class1","L","Q",67,47,43.381,27.641,20.85,84.351,81.201
27.756,37.255,52.077,"Class2","H","Y",13,69,42.946,59.212,79.255,59.433,65.728
43.339,-18.749,40.166,"Class2","K","P",23,57,37.104,52.583,45.915,65.384,49.049
64.708,41.838,64.077,"Class4","G","Z",66,49,31.614,55.514,90.451,68.549,2.137
39.829,33.613,61.37,"Class2","F","Y",26,45,36.468,50.54,56.258,56.639,65.333
58.434,49.954,63.202,"Class4","S","Z",62,52,12.234,51.821,36.08,69.69,2.023
57.384,43.761,91.969,"Class4","U","S",64,40,38.185,54.114,71.406,77.315,3.701
51.738,33.667,49.315,"Class4","U","I",65,47,58.054,55.455,73.092,60.339,4.307
62.982,57.18,86.195,"Class1","X","N",85,49,44.715,28.503,57.077,67.077,86.753
63.187,59.787,45.912,"Class1","U","Q",56,49,41.736,29.939,53.34,61.77,83.374
72.41,11.323,36.452,"Class5","Y","P",50,88,37.327,50.019,20.384,32.79,37.492
74.845,70.503,91.702,"Class1","L","Q",75,48,64.422,26.622,49.927,53.054,77.709
37.792,37.649,3.313,"Class2","D","P",18,42,48.405,30.488,71.409,71.489,61.878
62.421,54.316,57.696,"Class4","H","Z",61,43,32.146,54.459,70.103,46.488,0.989
NA,57.113,22.894,"Class3","C","J",40,22,79.795,47.967,22.368,47.38,81.247
20.19,30.663,21.138,"Class2","D","J",11,31,37.418,34.454,83.261,46.654,54.77
72.414,43.674,28.36,"Class3","Q","J",46,33,80.601,24.628,32.006,64.173,81.552
76.383,19.42,42.639,"Class5","Y","Z",54,86,56.158,28.484,39.74,32.287,30.795
68.244,NA,35.05,"Class5","N","P",54,89,24.999,20.451,56.765,34.423,33.419
56.026,43.247,72.113,"Class4","S","I",64,54,27.82,51.261,45.782,107.661,1.599
63.775,46.794,32.036,"Class3","S","S",38,17,81.265,43.009,24.951,62.973,91.927
63.895,64.038,48.69,"Class1","L","D",72,52,26.234,25.812,12.679,-9.051,72.691
31.181,8.789,5.647,"Class2","J","Z",25,71,47.197,51.998,51.077,28.527,56.763
68.87,45.334,56.124,"Class4","U","I",65,44,52.246,54.513,57.911,12.012,3.621
NA,44.029,68.004,"Class4","F","I",65,55,35.85,55.127,53.879,67.902,1.587
72.776,72.815,89.01,"Class1","G","D",60,49,43.986,29.044,38.421,-8.965,77.528
55.069,41.494,63.163,"Class4","F","B",67,39,57.333,55.591,48.248,52.606,3.119
NA,43.791,30.647,"Class3","S","F",45,17,82.044,25.154,2.038,30.562,91.02
11.985,10.254,48.743,"Class5","S","K",52,88,53.982,25.586,31.544,32.909,36.205
76.165,38.425,23.819,"Class3","S","O",37,16,86.988,15.601,52.993,47.414,91.262
76.234,45.171,17.213,"Class3","S","F",43,25,79.767,40.415,67.22,7.769,79.838
35.152,10.949,39.349,"Class5","Y","X",54,89,30.553,44.402,37.607,34.919,16.941
63.572,55.777,44.443,"Class1","D","L",80,51,21.785,29.787,63.963,57.55,76.36
58.692,-0.602,52.756,"Class5","I","F",52,88,41.316,19.478,42.303,33.978,14.761
67.179,59.094,43.065,"Class1","D","K",85,52,36.792,29.155,34.955,42.543,81.496
79.948,41.935,23.175,"Class3","I","J",41,19,83.491,43.083,48.648,53.122,79.386
NA,50.002,20.158,"Class3","Q","O",40,39,80.18,25.47,51.095,29.421,67.394
NA,58.793,37.8,"Class1","D","N",38,47,33.211,25.479,45.604,38.231,75.054
67.818,35.477,54.491,"Class4","U","J",67,47,21.788,53.585,74.581,103.825,2.627
65.51,41.173,71.324,"Class4","U","Z",64,54,33.45,54.658,70.067,74.212,1.814
60.736,10.423,59.063,"Class5","N","Z",50,87,48.055,13.09,32.303,33.785,33.408
36.603,43.155,22.086,"Class2","K","S",17,79,41.744,28.202,85.489,102.054,52.595
59.262,46.003,80.787,"Class4","G","S",62,42,37.239,51.883,86.248,84.532,3.336
73.382,71.67,89.329,"Class1","U","L",57,47,56.086,26.583,29.568,46.493,84.611
