"UZX1","AFT2","TRB3","QCZ4","Output14","YGC5","MQV6","LYM7","RIK8","IKQ9","NLX10","FJL11"
69.94,"J",63,52.088,"Class1",41.739,70.074,64.015,41.465,87.796,47.093,66
49.124,"E",15,69.523,"Class1",47.461,75.691,63.43,33.926,71.191,4.543,56
21.7,"Q",44,31.012,"Class2",NA,65.729,40.556,72.831,75.098,37.426,60
23.701,"E",49,57.423,"Class2",8.072,88.157,40.973,52.919,85.199,47.415,56
71,"E",70,55.065,"Class2",-6.669,81.504,40.849,58.42,65.203,40.007,69
73.502,"B",37,41.323,"Class2",46.841,52.946,41.175,41.924,60.227,34.002,34
38.735,"L",51,74.773,"Class1",45.42,46.682,65.941,42.635,85.572,55.201,64
20.094,"E",26,37.919,"Class1",44.089,58.612,61.134,44.668,77.09,24.743,65
42.891,"E",69,69.935,"Class1",41.028,54.605,64.315,39.929,80.306,62.325,58
64.458,"Q",42,40.085,"Class2",14.354,83.472,41.629,48.861,76.434,49.304,68
31.567,"H",62,68.863,"Class3",33.29,69.154,114.153,64.154,26.407,87.858,70
74.421,"B",36,85.603,"Class2",84.68,64.207,40.749,49.625,93.007,39.975,58
14.985,"E",54,66.515,"Class1",40.696,72.083,69.319,38.174,76.832,65.729,64
33.443,"Y",46,68.638,"Class3",39.943,69.032,46.717,55.806,44.699,94.834,68
10.498,"G",15,75.179,"Class1",39.826,76.541,65.6,36.976,79.215,60.981,52
70.017,"E",21,7.07,"Class2",64.918,53.559,42.083,66.642,70.572,34.91,43
90.14,"O",13,60.955,"Class2",11.231,54.612,41.334,69.808,77.007,41.338,32
41.241,"H",66,76.784,"Class3",25.148,70.983,38.77,58.534,49.316,82.534,65
43.737,"H",77,77.46,"Class3",31.996,72.381,58.471,65.035,46.376,81.597,70
92.464,"B",75,78.159,"Class2",20.731,80.419,39.913,69.245,78.429,26.746,70
28.687,"L",61,53.673,"Class1",39.06,58.478,61.15,34.13,87.175,65.707,65
NA,"W",45,69.052,"Class3",21.07,72.127,67.883,60.842,17.668,85.014,67
66.44,"O",70,18.4,"Class2",65.682,66.098,41.997,51.295,68.398,29.555,31
81.315,"Q",52,50.03,"Class2",81.1,88.508,40.792,51.222,87.528,26.883,29
38.211,"V",60,77.897,"Class3",14.092,68.89,52.896,59.894,37.604,72.219,67
49.702,"J",43,39.262,"Class1",45.215,76.332,65.967,31.876,72.136,19.291,53
21.05,"Y",56,89.748,"Class3",34.165,72.851,16.336,74.616,46.22,93.192,59
39.958,"Z",49,65.728,"Class1",43.726,46.647,63.419,29.262,72.455,63.054,57
28.733,"V",48,78.973,"Class3",38.738,65.593,91.872,73.957,19.447,81.73,63
68.291,"Z",27,46.363,"Class1",42.368,47.808,62.724,41.534,70.28,77.871,57
78.439,"C",28,51.689,"Class2",17.507,52.507,40.624,40.732,54.287,48.414,46
40.303,"Z",51,74.807,"Class1",44.322,71.396,61.191,33.914,83.78,49.983,61
13.459,"G",60,68.843,"Class1",41.178,45.352,61.428,36.116,81.895,90.93,56
11.377,"G",33,61.877,"Class1",45.484,48.918,59.755,30.204,72.624,17.882,64
36.729,"B",30,63.636,"Class2",74.537,60.617,42.553,63.636,55.066,38.837,54
44.544,"Y",66,68.573,"Class3",39.888,67.806,105.598,68.855,16.305,81.479,64
43.263,"L",46,51.588,"Class1",NA,71.386,64.542,32.618,83.752,7.866,59
74.875,"Z",31,81.43,"Class1",47.338,67.345,62.963,36.883,72.733,-31.02,62
87.809,"C",58,37.799,"Class2",NA,77.189,42.074,66.988,61.313,42.122,48
27.812,"G",24,42.756,"Class1",43.907,59.014,65.029,35.166,78.603,75.524,57
3.882,"L",69,43.871,"Class1",35.39,65.663,60.087,28.071,72.407,85.52,66
17.294,"J",41,68.043,"Class1",42.152,49.106,65.178,30.068,79.736,60.128,57
28.316,"G",28,68.628,"Class1",44.76,60.462,64.09,32.021,77.078,90.079,59
37.834,"C",26,52.714,"Class2",19.861,59.391,40.554,64.198,89.466,49.027,42
33.171,"U",57,84.662,"Class3",35.608,73.272,23.657,65.05,41.197,80.84,67
35.841,"Q",14,64.246,"Class2",51.015,72.616,40.506,51.236,72.384,28.673,48
70.336,"Q",28,35.708,"Class2",61.621,78.305,41.177,72.047,67.834,49.157,58
18.593,"V",63,79.928,"Class3",32.68,73.115,34.428,69.468,17.619,104.061,71
30.045,"W",58,77.657,"Class3",33.209,69.396,43.646,62.645,55.883,82.379,67
6.014,"G",46,36.459,"Class1",42.197,58.56,60.745,29.364,69.639,63.7,53
35.77,"H",74,67.372,"Class3",55.717,64.971,59.99,66.118,22.308,68.51,66
80.3,"O",72,2.665,"Class2",NA,76.964,41.351,73.395,62.388,46.508,63
62.274,"E",6,40.437,"Class2",36.558,79.473,41.917,70.233,95.349,42.878,53
45.864,"E",28,42.433,"Class2",44.028,71.915,41.037,45.318,68.702,41.092,41
45.534,"L",74,60.559,"Class1",42.569,74.589,67.818,44.344,80.176,103.384,65
48.629,"U",69,69.399,"Class3",50.245,69.653,47.862,61.481,45.554,82.072,71
28.092,"J",14,78.738,"Class1",42.134,57.441,68.503,41.64,81.743,44.405,65
30.279,"U",53,78.144,"Class3",26.797,64.447,59.103,73.336,30.983,84.255,67
26.761,"E",70,87.527,"Class2",NA,82.726,41.511,42.686,91.469,35.253,58
25.098,"G",69,84.85,"Class1",43.108,59.839,61.304,38.012,71.267,119.421,62
40.608,"H",83,83.162,"Class3",32.211,76.859,76.527,61.259,36.395,81.118,70
28.457,"O",27,15.178,"Class2",69.916,66.499,42.008,41.531,78.597,35.939,39
45.852,"V",44,73.962,"Class3",44.946,72.274,63.181,73.868,30.419,81.241,65
61.813,"Q",73,82.496,"Class2",-13.292,82.285,41.56,53.213,73.676,32.479,54
NA,"U",53,85.223,"Class3",32.565,64.812,63.025,65.318,41.361,83.741,71
64.472,"O",1,71.407,"Class2",34.908,72.663,41.264,42.06,89.156,35.055,33
