"Output18","TKD1","TPG2","YEU3","LKC4","GVD5","ASP6","ZXY7","RXK8","DBQ9"
"Class1",91,46.945,48.717,"J",39.767,28.268,67.312,52.198,60.151
"Class1",96,46.274,30.531,"D",49.547,35.123,67.527,61.95,50.792
"Class2",76,39.478,72.045,"U",58.356,46.208,74.694,24.251,76.259
"Class1",89,46.796,9.779,"B",91.7,21.612,66.003,70.281,39.471
"Class1",90,46.345,27.675,"J",69.693,23.342,66.984,25.843,45.425
"Class2",51,34.548,71.372,"R",58.53,27.932,79.121,44.511,82.832
"Class3",69,58.032,86.201,"M",90.803,22.592,71.033,39.487,7.885
"Class3",89,30.617,75.753,"U",90.459,37.22,69.03,44.763,3.941
"Class3",85,64.361,75.094,"I",86.625,41.625,70.002,41.122,4.162
"Class1",92,46.51,69.282,"A",78.992,33.284,64.578,62,58.248
"Class1",94,46.763,27.865,"D",73.81,29.792,66.763,0.01,42.264
"Class1",95,47.212,54.407,"B",48.449,18.736,66.035,23.366,35.256
"Class2",57,36.035,72.4,"S",52.158,58.281,78.969,55.047,81.122
"Class3",88,60.532,74.736,"I",85.509,22.101,71.632,31.984,10.563
"Class2",57,36.658,72.509,"U",39.187,59.967,77.279,22.305,77.366
"Class1",90,46.529,84.951,"J",49.702,22.835,68.474,36.525,59.562
"Class1",96,46.23,52.507,"Y",82.813,32.431,64.38,19.671,41.651
"Class1",86,46.765,7.155,"A",57.359,36.322,66.964,25.229,61.128
"Class3",84,62.957,45.347,"T",88.243,29.964,76.54,29.927,11.12
"Class3",89,33.261,54.611,"I",87.868,11.724,NA,37.65,6.81
"Class1",93,46.422,51.894,"J",84.561,36.299,66.05,84.111,60.349
"Class2",60,35.402,73.102,"S",19.206,88.756,78.68,21.004,75.333
"Class1",94,46.825,14.959,"D",35.381,26.278,67.514,24.17,58.205
"Class1",86,46.621,43.038,"Y",89.616,31.292,67.141,34.875,49.248
"Class2",66,36.695,72.521,"R",39.994,22.114,77.177,36.056,77.348
"Class3",61,38.698,86.535,"M",85.252,40.425,72.48,42.31,14.385
"Class1",95,46.446,43.192,"A",44.503,42.102,63.7,38.247,38.231
"Class2",61,34.902,71.261,"B",22.25,49.95,76.352,27.267,83.181
"Class1",93,46.775,53.042,"J",52.945,11.967,68.92,30.035,48.345
"Class3",55,52.481,78.958,"O",88.601,21.255,NA,33.922,2.486
"Class3",83,59.802,67.287,"M",85.681,30.503,71.477,19.347,9.104
"Class1",96,46.46,73.889,"D",49.358,13.567,67.418,40.887,59.141
"Class3",53,84.74,89.893,"U",85.652,29.857,72.531,38.621,7.117
"Class1",86,46.474,42.245,"Y",91.667,30.973,66.036,40.19,45.693
"Class2",53,36.598,71.64,"N",48.042,46.711,77.653,46.301,81.894
"Class2",65,34.372,73.033,"R",45.212,45.541,NA,22.61,83.406
"Class2",53,34.382,71.051,"R",31.71,80.731,76.632,50.02,82.981
"Class1",95,46.603,75.752,"J",67.724,26.453,67.462,56.325,59.011
"Class1",94,46.805,86.894,"J",90.617,40.225,67.404,67.41,35.089
"Class2",56,39.669,73.725,"R",41.326,68.87,75.915,38.951,76.175
"Class3",84,47.068,33.398,"M",90.253,44.856,71.791,45.392,13.53
"Class3",66,47.956,39.386,"I",90.643,2.569,69.471,34.72,2.894
"Class2",64,34.234,72.089,"U",30.595,71.284,76.726,28.357,82.077
"Class2",64,35.53,72.77,"B",47.894,NA,76.507,32.866,77.258
"Class3",83,57.549,49.792,"T",90.144,29.443,74.457,40.412,15.563
"Class1",91,45.924,6.757,"A",62.922,23.653,65.363,59.098,50.648
"Class2",53,34.284,72.624,"N",55.152,80.075,77.935,32.433,81.807
"Class2",52,32.347,71.517,"N",43.785,81.956,77.194,40.776,75.728
"Class3",72,58.513,57.038,"M",91.855,10.457,70.011,43.572,15.069
"Class3",60,61.604,33.315,"M",87.951,48.6,69.232,32.322,7.046
"Class3",68,-0.351,48.675,"O",90.825,21.552,68.46,38.082,13.922
"Class2",76,35.711,73.871,"S",28.563,59.994,78.573,17.961,75.417
"Class2",76,39.684,72.075,"U",20.997,76.222,77.215,65.224,75.261
"Class2",68,34.857,71.688,"S",50.508,46.106,76.244,49.459,83.743
"Class3",62,26.062,60.176,"M",87.045,17.33,70.89,35.446,3.562
