"KGE1","ZCT2","XFI3","XCR4","Output20","RPT5","VDN6","SFI7","VGU8","GPL9"
88.607,71.581,"X",46.528,"Class2",21.128,15.754,48.392,92.328,26
73.233,71.428,"U",46.383,"Class2",40.676,14.844,49.636,92.492,13
33.166,20.867,"N",66.574,"Class1",22.125,10.306,50.268,76.468,21
51.783,28.112,"J",81.392,"Class1",12.263,15.977,49.107,65.145,30
73.714,70.568,"U",47.771,"Class2",58.701,18.433,60.399,91.761,45
34.104,25.214,"J",62.887,"Class1",21.622,17.949,50.141,69.66,NA
29.435,21.092,"D",64.45,"Class1",19.157,13.652,49.498,40.204,18
92.661,71.384,"E",47.122,"Class2",49.032,24.828,46.095,93.767,72
76.112,72.255,"E",46.136,"Class2",61,12.88,46.627,92.553,20
98.71,71.819,"E",47.308,"Class2",34.05,9.316,72.362,91.642,16
96.004,71.505,"I",47.229,"Class2",35.127,22.533,49.419,94.958,9
35.133,11.909,"N",63.046,"Class1",11.163,9.722,49.418,88.187,34
43.585,28.335,"D",45.213,"Class1",22.755,13.279,51.644,81.645,18
49.073,33.429,"J",68.084,"Class1",27.427,11.422,51.716,73.341,15
39.888,29.088,"D",68.57,"Class1",27.586,12.842,50.923,92.713,29
96.546,71.005,"U",46.608,"Class2",56.37,25.066,55.029,91.935,20
94.958,71.074,"G",46.567,"Class2",42.833,5.865,64.942,92.067,51
53.006,32.085,"J",50.241,"Class1",27.255,8.756,50.834,74.199,21
81.477,70.171,"G",47.401,"Class2",14.841,10.819,54.719,91.951,42
97.334,70.164,"E",49.006,"Class2",44.006,24.244,47.349,92.919,71
98.791,71.014,"X",48.987,"Class2",36.489,17.44,60.012,92.969,59
29.843,18.066,"S",69.567,"Class1",14.163,-4.031,51.58,66.355,29
39.327,29.542,"D",58.197,"Class1",22.209,15.308,51.593,61.228,NA
69.463,69.293,"E",47.316,"Class2",50.962,10.038,69.096,92.591,NA
49.841,12.613,"J",64.796,"Class1",13.334,6.241,49.559,44.029,25
46.415,30.695,"J",58.393,"Class1",15.384,2.588,49.126,57.643,28
68.549,71.732,"E",47.641,"Class2",18.301,18.672,65.879,94.337,63
74.079,70.93,"X",47.019,"Class2",27.829,10.476,56.999,91.959,23
49.887,33.188,"T",61.924,"Class1",7.089,6.021,51.833,52.903,43
71.818,69.86,"U",45.328,"Class2",49.084,36.757,43.036,94.501,47
73.889,71.065,"G",48.402,"Class2",37.294,-2.515,66.561,91.293,8
84.729,72.394,"G",47.146,"Class2",54.342,13.52,66.444,90.777,5
88.7,69.937,"G",48.839,"Class2",19.841,13.512,45.921,92.557,17
84.031,70.608,"X",47.659,"Class2",64.13,12.745,57.272,91.289,60
44.722,32.54,"N",69.273,"Class1",10.261,20.48,49.897,71.866,37
70.501,70.963,"X",47.191,"Class2",33.653,18.3,57.181,92.893,20
71.843,70.803,"G",49.591,"Class2",34.904,14.365,43.594,91.084,51
30.13,20.622,"S",80.545,"Class1",26.931,10.097,50.244,92.103,29
89.056,69.577,"X",48.457,"Class2",48.528,-9.761,69.544,93.758,16
96.023,68.978,"I",47.143,"Class2",34.792,25.803,59.528,91.055,11
95.957,73.951,"I",46.785,"Class2",15.848,36.321,49.416,92.462,48
68.241,72.313,"I",46.682,"Class2",42.792,1.663,64.767,92.862,23
82.529,70.553,"G",47.247,"Class2",49.41,15.298,69.619,93.515,32
81.251,72.053,"X",47.712,"Class2",13.134,12.353,71.236,92.787,27
75.826,72.286,"U",47.587,"Class2",21.512,37.079,61.213,91.76,29
82.639,70.426,"E",46.028,"Class2",49.843,22.068,59.741,92.907,NA
43.758,21.149,"S",57.504,"Class1",16.696,15.918,50.831,97.921,31
42.455,17.706,"S",61.218,"Class1",23.473,15.648,49.721,77.13,43
80.734,70.288,"E",48.814,"Class2",20.305,11.615,70.429,94.043,30
41.631,45.063,"N",59.423,"Class1",22.271,13.159,49.943,96.798,NA
37.682,13.837,"S",69.163,"Class1",8.244,19.667,51.258,84.063,42
49.81,11.108,"S",76.093,"Class1",7.005,13.31,50.102,59.239,20
97.431,72.798,"G",48.032,"Class2",29.821,17.054,62.129,91.756,70
30.067,32.571,"S",57.767,"Class1",7.767,18.4,50.063,78.882,38
28.405,19.591,"D",65.682,"Class1",12.326,21.575,51.926,51.826,12
31.389,21.621,"J",60.782,"Class1",25.029,16.326,51.441,62.169,37
