"UMN1","QLW2","MEG3","DAI4","Output15","TJK5","CAB6","VIU7","LHS8","FIE9","HQP10"
51.218,72.117,51.949,2.174,"Class5",82,78.667,"Q",76.138,"P",58.016
50.615,30.466,76.078,54.355,"Class1",21,78.854,"M",15.337,"C",7.576
15.438,75.34,35.853,66.848,"Class2",53,73.999,"A",56.929,"V",28.444
34.529,78.811,7.919,66.983,"Class2",64,77.035,"A",55.988,"P",42.314
53.679,28.618,25.193,74.06,"Class1",22,80.186,"V",23.422,"F",4.974
45.418,87.673,38.282,70.384,"Class2",68,82.769,"A",59.227,"W",NA
62.966,76.674,24.254,83.772,"Class4",28,62.427,"P",63.976,"F",62.332
50.565,65.214,66.843,3.369,"Class5",83,81.462,"Q",84.708,"I",14.866
63.223,82.385,20.512,77.772,"Class4",48,83.108,"D",94.34,"P",27.388
50.451,62.255,59.585,2.539,"Class5",82,76.745,"Q",68.989,"I",51.933
34.155,84.38,31.918,67.892,"Class2",88,66.053,"V",57.554,"A",24.312
91.422,46.123,53.532,56.344,"Class3",12,43.539,"Y",1.815,"M",34.344
50.36,53.23,81.241,0.906,"Class5",82,79.696,"W",59.802,"P",69.673
42.595,88.194,57.596,66.014,"Class2",83,82.797,"V",54.721,"A",90.49
66.433,75.119,31.534,86.384,"Class4",16,65.399,"J",73.616,"J",5.252
67.417,95.596,15.894,52.654,"Class4",21,68.153,"P",38.444,"J",62.221
91.02,45.868,53.877,55.697,"Class3",11,77.686,"Y",1.87,"V",23.53
59.892,74.246,46.41,71.211,"Class4",14,64.269,"P",45.435,"P",46.037
50.891,76.633,99.491,49.61,"Class1",35,76.194,"A",21.055,"X",11.531
55.076,73.27,18.63,42.836,"Class1",13,80.577,"V",20.359,"X",12.923
50.791,74.443,59.043,1.268,"Class5",83,78.489,"L",67.235,"A",51.224
51.317,68.456,55.418,1.601,"Class5",82,80.546,"P",73.48,"F",40.886
25.829,72.406,19.693,70.566,"Class2",67,68.453,"A",53.55,"P",88.209
93.981,44.177,51.677,67.576,"Class3",10,61.019,"W",1.791,"M",28.255
