"TFB1","Output8","GTB2","OPN3","OFZ4","GOJ5","BHA6","GTQ7","VTN8","SAR9","RMY10"
"T","Class4",57,"J",46.832,9.622,46.648,46.908,41.869,45.843,78.827
"P","Class2",30,"I",82.14,59.761,55.287,57.331,38.836,29.725,85.015
"B","Class4",37,"K",23.672,26.972,68.717,48.7,49.013,46.125,70.05
"Q","Class2",40,"J",53.474,65.939,49.25,54.932,43.154,39.514,82.589
"A","Class1",40,"C",63.756,96.558,28.819,67.665,17.712,91.268,63.955
"C","Class1",10,"M",57.105,82.978,29.303,67.614,4.738,91.354,60.413
"D","Class3",30,"Y",70.056,11.257,46.786,36.763,97.974,88.86,17.569
"L","Class5",68,"X",53.137,27.046,12.524,18.064,74.123,13.481,52.119
"J","Class3",33,"E",15.737,11.51,56.259,51.497,87.182,85.144,31.208
"P","Class2",26,"D",80.01,5.46,49.412,50.601,42.835,34.016,49.828
"I","Class5",69,"F",44.669,25.245,10.146,63.382,63.688,11.324,57.628
"D","Class3",31,"Y",10.448,10.605,73.5,83.317,92.324,76.947,40.607
"A","Class1",23,"W",60.276,95.442,26.521,63.396,10.226,91.438,62.188
"H","Class1",7,"K",54.09,90.172,27.727,67.588,11.285,NA,66.899
"A","Class1",39,"M",61.203,87.452,31.376,62.519,11.025,90.898,63.744
"E","Class2",38,"K",60.088,59.171,63.564,16.007,49.857,43.566,93.134
"M","Class4",38,"T",71.463,85.625,63.709,46.16,57.24,40.522,54.757
"T","Class4",48,"K",52.883,78.285,71.182,51.842,37.61,NA,70.285
"L","Class5",70,"I",31.997,26.374,10.133,48.179,86.509,13.344,39.986
"I","Class3",33,"E",23.789,10.457,49.071,87.919,93.584,80.544,27.646
"P","Class2",27,"A",88.127,19.219,NA,49.263,50.635,7.983,55.057
"X","Class2",34,"A",49.625,6.623,52.387,25.388,43.231,21.693,91.081
"T","Class4",45,"J",56.936,71.963,26.716,46.662,53.713,40.347,81.204
"K","Class1",4,"W",64.697,94.364,28.11,43.957,6.215,91.505,62.458
"C","Class1",11,"M",61.686,84.851,27.028,73.105,8.633,91.807,67.231
"Q","Class2",32,"I",62.796,21.494,51.928,27.021,48.103,38.051,44.071
"X","Class2",30,"D",63.677,50.514,43.494,57.862,47.404,3.754,49.701
"B","Class5",68,"X",48.278,29.588,9.076,53.825,68.873,14.389,45.014
"K","Class1",38,"Q",60.481,86.247,27.607,73.236,11.353,91.149,61.593
"J","Class3",31,"E",26.179,10.157,25.324,72.93,95.28,82.277,38.822
"P","Class3",35,"E",-5.167,11.363,37.503,52.014,93.319,86.078,12.735
"Z","Class5",69,"F",49.263,28.975,9.33,64.538,92.203,12.484,32.909
"T","Class4",54,"H",27.118,69.237,15.499,46.294,65.09,51.845,75.823
"B","Class4",63,"T",45.258,55.07,49.904,47.912,53.467,44.551,94.435
"I","Class5",69,"I",57.27,30.633,15.356,48.593,84.204,10.818,63.865
"H","Class1",34,"K",57.849,94.86,30.598,69.492,8.16,92.672,63.269
"H","Class2",38,"D",57.299,60.76,57.694,48.258,44.73,18.537,53.905
"A","Class1",10,"C",65.543,93.298,31.446,67.878,8.361,92.794,64.065
"M","Class4",30,"K",52.518,84.615,49.151,47.105,60.567,48.86,90.694
"T","Class4",63,"K",71.952,30.488,71.711,45.341,56.604,41.851,60.09
"Z","Class5",72,"Y",43.172,26.029,13.113,21.744,65.295,12.358,65.508
"N","Class4",30,"J",86.826,63.149,72.604,49.957,76.111,44.239,57.765
"B","Class4",42,"J",59.799,43.88,61.412,49.717,48.869,38.975,52.744
"M","Class4",41,"K",17.607,43.117,83.544,48.719,53.398,43.171,66.314
"T","Class4",49,"T",63.873,18.684,84.591,49.938,35.014,38.717,54.65
"I","Class5",71,"F",54.824,26.572,10.653,61.534,72.663,11.3,49.362
"A","Class1",30,"W",56.83,91.491,27.881,68.665,15.079,92.181,64.619
"H","Class2",32,"D",70.667,18.188,51.388,55.904,37.347,33.719,54.861
"H","Class2",36,"I",58.248,43.493,49.822,16.988,40.105,14.268,76.012
"I","Class3",35,"Y",71.095,11.287,63.539,77.138,95.988,80.943,32.663
"M","Class4",63,"T",80.252,69.399,85.288,50.711,37.218,44.539,53.994
"P","Class3",35,"I",49.028,11.575,53.172,53.555,101.24,87.568,43.035
