"FWS1","KXE2","AYC3","YFR4","GBL5","JUT6","WLV7","FJH8","HGF9","YZT10","Output1","COL11"
60.369,40,37.647,87.059,22.253,81,71.791,31.591,49.044,17.161,"Class1","E"
77.974,65,31.741,86.566,28.927,57,69.118,26.189,40.785,91.332,"Class1","R"
82.508,48,38.034,86.447,76.799,75,78.397,30.351,43.09,75.064,"Class1","U"
55.808,98,72.417,11.092,38.071,73,51.372,NA,73.043,86.061,"Class2","C"
89.143,52,30.986,87.158,56.052,67,87.478,33.331,28.025,60.528,"Class1","E"
40.559,56,32.633,56.352,12.526,56,69.878,37.796,94.463,58.199,"Class5","P"
51.473,6,50.172,27.265,70.056,50,34.023,31.529,65.255,50.964,"Class4","F"
62.173,67,4.11,67.429,32.995,91,40.693,62.469,62.699,62.63,"Class3","A"
57.111,5,48.292,32.1,71.395,67,52.296,NA,72.011,40.164,"Class4","B"
53.689,7,45.043,33.496,71.679,63,54.808,45.04,70.005,47.025,"Class4","L"
78.337,NA,43.894,67.979,2.019,54,9.219,65.914,61.481,73.124,"Class5","P"
1.637,67,13.947,67.6,35.799,72,42.836,61.95,25.866,56.471,"Class3","I"
53.292,67,53.306,50.271,25.522,64,53.419,NA,90.519,69.546,"Class5","Y"
23.754,63,8.626,52.439,36.571,83,48.532,NA,27.858,58.349,"Class3","I"
42.476,39,44.462,56.446,95.737,54,50.808,21.707,83.013,71.543,"Class5","T"
40.553,91,83.27,31.899,34.852,52,73.529,83.272,77.642,52.138,"Class2","S"
51.413,5,53.731,37.105,70.315,63,26.739,61.29,83.663,60.89,"Class4","J"
10.931,70,34.203,49.844,13.254,64,12.36,50.577,66.722,57.618,"Class5","P"
48.837,64,16.398,50.859,33.036,91,52.901,62.642,58.001,63.85,"Class3","A"
69.605,65,32.261,86.461,74.33,65,45.132,29.311,51.662,28.069,"Class1","U"
65.031,61,32.001,86.298,63.601,68,77.965,22.686,32.607,42.841,"Class1","E"
39.804,72,35.988,81.388,52.91,53,15.69,63.673,91.236,90.229,"Class5","J"
32.236,59,58.275,45.038,93.316,61,71.849,27.88,59.055,77.495,"Class5","Y"
47.776,83,37.78,28.939,41.571,45,74.534,89.723,62.615,45.878,"Class2","C"
88.709,64,7.981,56.748,32.179,83,23.405,61.749,36.165,60.567,"Class3","I"
65.049,49,37.078,86.529,31.065,76,48.699,27.108,36.15,9.723,"Class1","P"
6.98,64,44.206,72.188,58.676,65,23.18,58.979,93.384,85.248,"Class5","G"
58.21,NA,52.468,30.914,70.121,45,9.153,36.261,79.935,43.556,"Class4","J"
45.813,81,83.039,25.416,34.909,45,49.241,89.401,62.864,46.281,"Class2","M"
74.026,43,33.288,86.707,50.641,68,51.258,29.078,7.384,45.65,"Class1","E"
-0.694,74,23.837,22.993,42.976,68,65.529,82.81,81.803,74.762,"Class2","T"
66.492,63,29.294,86.505,36.861,61,63.436,37.376,44.013,51.191,"Class1","R"
49.318,64,59.518,48.218,6.034,59,28.128,4.231,77.541,55.156,"Class5","J"
56.315,5,57.869,29.55,69.936,61,18.628,19.127,64.887,45.203,"Class4","J"
49.218,57,54.86,44.168,48.577,67,35.472,125.663,59.036,53.884,"Class5","Y"
93.505,67,7.548,48.121,33.862,71,43.985,60.749,21.742,64.173,"Class3","W"
56.299,58,38.59,86.226,77.656,74,55.336,40.332,11.61,61.192,"Class1","R"
53.074,6,32.193,41.677,64.243,38,24.249,NA,58.614,53.792,"Class4","F"
57.686,6,41.169,20.918,64.474,55,46.878,38.361,57.437,48.659,"Class4","B"
