"PJZ1","LTA2","XEO3","NMU4","RJK5","OXN6","JIO7","WTC8","Output3","QOA9","PBY10"
43.999,57.1,"Z",94.937,86.521,"E",71,41.392,"Class3",18.805,14.84
6.56,83.702,"M",18.056,NA,"P",72,85.108,"Class2",57.384,33.474
13.694,46.201,"W",12.758,74.731,"W",90,13.485,"Class1",38.875,92.014
15.921,55.539,"Q",8.327,74.321,"Y",87,102.811,"Class1",39.92,92.626
51.085,53.432,"X",92.023,86.904,"E",67,25.242,"Class3",21.945,10.301
11.929,68.59,"M",62.227,67.49,"P",78,85.807,"Class2",54.634,60.402
23.188,55.776,"I",93.35,91.777,"T",81,35.428,"Class3",22.471,11.758
11.466,31.25,"D",17.535,73.832,"Y",82,52.998,"Class1",39.968,90.904
13.325,61.966,"M",16.056,79.014,"R",88,85.918,"Class2",62.338,66.063
35.345,53.488,"X",92.098,NA,"J",82,39.302,"Class3",30.437,13.201
29.556,2.721,"L",92.61,31.241,"N",11,34.934,"Class4",93.289,8.826
40.159,54.254,"X",91.412,93.057,"T",62,60.187,"Class3",25.736,14.741
16.288,43.598,"W",11.019,86.208,"W",86,60.584,"Class1",39.773,94.362
6.939,10.345,"B",84.294,36.763,"Y",17,56.706,"Class4",97.087,7.309
13.911,64.279,"D",6.651,82.951,"H",82,71.406,"Class1",39.415,93.819
31.219,54.441,"X",95.372,92.182,"J",65,45.335,"Class3",27.84,16.825
15.707,6.08,"J",92.576,33.714,"P",21,39.227,"Class4",94.178,3.241
14.72,8.402,"S",93.697,32.905,"P",21,46.805,"Class4",96.413,3.033
13.406,13.995,"L",84.174,34.907,"N",23,53.071,"Class4",95.294,3.018
21.601,-2.164,"D",92.777,32.145,"P",17,39.215,"Class4",97.931,9.547
5.119,37.566,"G",21.765,74.317,"C",83,55.969,"Class1",39.078,91.941
25.98,86.749,"P",70.391,70.483,"K",80,86.056,"Class2",61.46,30.8
12.616,71.784,"G",22.576,84.187,"K",92,53.161,"Class1",40.181,94.854
12.259,12.144,"D",87.341,30.475,"O",12,50.114,"Class4",97.442,9.864
22.254,61.451,"I",92.51,84.232,"R",57,38.961,"Class3",22.945,16.921
19.633,51.537,"Q",22.284,73.428,"W",78,65.075,"Class1",39.846,91.529
17.189,80.035,"M",95.916,65.553,"O",84,85.31,"Class2",59.086,43.244
13.242,48.104,"W",11.845,75.634,"W",87,55.356,"Class1",39.523,94.435
8.795,2.864,"D",90.975,29.428,"R",20,61.688,"Class4",95.423,6.339
20.327,9.072,"S",82.99,32.309,"Y",21,55.138,"Class4",99.972,10.814
42.649,60.941,"X",NA,87.736,"T",76,39.79,"Class3",29.27,14.501
16.69,8.813,"D",91.221,30.372,"P",21,48.941,"Class4",94.972,7.465
29.804,78.842,"M",53.118,75.1,"P",87,85.439,"Class2",60.341,36.067
13.466,84.109,"K",60.1,82.329,"K",82,85.382,"Class2",49.329,62.752
14.446,60.353,"W",24.022,82.452,"W",85,23.899,"Class1",39.725,93.73
11.033,41.575,"W",17.246,NA,"K",86,74.852,"Class1",39.439,96.498
15.548,57.925,"W",13.074,80.12,"H",91,20.239,"Class1",39.99,97.946
28.863,50.542,"T",NA,87.987,"E",80,32.957,"Class3",20.194,10.353
16.05,58.738,"D",8.307,NA,"K",93,41.601,"Class1",39.463,97.999
15.48,31.31,"G",20.322,75.317,"Y",79,40.051,"Class1",39.561,91.813
47.279,55.081,"I",92.802,91.465,"E",61,42.078,"Class3",18.447,14.304
26.725,57.845,"Z",92.354,93.083,"T",68,32.753,"Class3",23.02,11.184
15.506,71.275,"J",31.038,50.098,"R",74,85.235,"Class2",48.988,61.292
2.183,62.44,"D",9.269,82.498,"K",77,37.998,"Class1",39.352,94.102
20.975,26.092,"S",22.354,74.082,"C",86,55.389,"Class1",39.113,90.951
16.368,62.152,"D",6.07,82.509,"H",77,65.073,"Class1",39.676,97.659
19.217,95.197,"M",30.745,49.024,"R",75,85.197,"Class2",56.292,34.44
28.046,55.348,"Z",95.561,94.212,"P",77,38.325,"Class3",24.132,17.174
15.804,68.994,"D",13.852,80.218,"K",90,-14.284,"Class1",38.964,94.482
18.548,69.056,"G",21.99,NA,"H",82,11.199,"Class1",39.591,95.8
43.134,58.562,"N",92.12,90.102,"R",59,52.658,"Class3",22.837,12.625
16.129,11.244,"L",81.28,35.475,"N",17,69.474,"Class4",92.588,5.558
16.096,5.933,"J",82.844,NA,"N",16,44.204,"Class4",98.038,10.798
14.543,38.897,"G",16.75,85.492,"H",85,71.515,"Class1",39.727,91.673
19.514,82.526,"P",31.383,71.844,"G",83,85.763,"Class2",62.305,58.698
29.658,52.946,"T",91.076,91.797,"R",57,36.523,"Class3",20.522,17.34
11.934,70.546,"K",38.305,28.103,"O",80,86.507,"Class2",55.901,36.096
8.566,17.549,"J",85.409,33.59,"N",12,33.204,"Class4",90.331,8.184
10.329,63.16,"P",18.471,43.317,"O",72,85.887,"Class2",58.464,31.606
24.593,2.644,"B",87.967,35.609,"O",19,68.617,"Class4",96.306,7.218
10.696,5.046,"L",NA,32.977,"P",18,51.534,"Class4",92.857,8.072
6.381,94.181,"M",26.322,82.305,"K",78,85.769,"Class2",49.015,51.832
9.799,59.071,"Z",91.435,93.246,"E",70,50.416,"Class3",27.593,13.118
