"LKQ1","Output19","WVR2","KLZ3","VEO4","EWA5","AWO6","HJY7","WUI8","LGQ9","UIV10"
76,"Class3",63.052,15.641,87.212,64.285,36.014,"A",84.607,31.961,31
65,"Class2",90.303,13.663,92.348,68.287,16.935,"F",38.532,81.917,61
79,"Class3",79.778,16.127,84.81,69.389,42.949,"R",84.866,32.68,22
59,"Class1",25.085,78.92,74.554,26.378,24.172,"C",104.125,27.354,64
49,"Class2",88.445,13.079,45.306,66.555,25.812,"N",19.81,72.191,59
78,"Class3",27.452,15.278,78.563,67.403,46.002,"E",86.225,24.137,23
44,"Class2",89.511,40.092,34.982,67.004,24.408,"K",22.953,73.028,62
66,"Class1",61.746,76.5,74.207,15.825,29.051,"C",42.762,13.557,57
62,"Class2",90.605,NA,98.845,67.464,13.567,"N",27.789,67.587,62
80,"Class3",31.146,15.934,86.547,62.273,39.001,"T",82.835,31.616,41
80,"Class3",74.555,17.027,82.436,76.752,36.505,"E",84.478,30.591,47
80,"Class3",52.637,15.631,74.137,70.14,45.378,"E",82.676,39.234,13
79,"Class3",81.183,16.157,68.474,70.016,56.075,"U",89.255,32.275,42
30,"Class2",86.807,NA,68.827,66.76,17.744,"F",17.551,75.132,58
78,"Class3",56.209,NA,84.23,68.471,44.989,NA,86.538,33.292,48
47,"Class2",90.984,31.717,42.513,67.295,32.634,"P",16.967,82.261,59
74,"Class3",70.363,17.305,93.898,68.536,49.318,"E",88.623,43.483,29
40,"Class2",90.291,16.021,94.054,66.408,10.328,NA,23.52,83.966,59
35,"Class2",88.109,29.873,45.211,66.937,13.024,"K",28.952,70.294,59
45,"Class2",86.536,36.148,73.906,67.289,6.632,"P",29.658,71.505,59
63,"Class1",37.982,75.191,75.219,45.389,36.228,"C",55.2,60.713,62
80,"Class3",25.24,17.582,76.053,68.439,39.153,"A",91.773,21.146,26
33,"Class2",90.213,NA,31.059,65.744,13.609,"K",36.099,77.643,58
47,"Class1",30.194,74.12,74.016,13.145,22.501,"Q",46.943,1.632,59
77,"Class3",74.907,15.266,79.389,68.464,41.487,NA,83.742,37.837,30
70,"Class1",64.43,78.883,76.048,33.71,30.82,"X",65.095,38.069,60
77,"Class3",85.138,16.284,85.56,67.162,34.066,"U",86.082,37.938,20
76,"Class3",84.995,17.809,92.781,68.711,56.848,"T",82.567,43.461,30
