"AMD1","ZGR2","YOI3","COQ4","BYR5","YRE6","XYF7","Output11","FHN8","JOB9","GUC10","MRT11","AGX12"
49.706,45.424,48.059,"B",17.864,71.296,8.018,"Class3",44,47.168,58.627,"D",1
30.019,16.764,55.728,"P",85.397,33.892,52.834,"Class1",44,83.89,2.9,"E",77
75.76,77.595,49.596,"G",75.556,8.069,73.269,"Class5",22,65.031,19.738,"M",29
32.15,NA,60.15,"Y",65.213,15.017,50.318,"Class1",51,11.837,3.522,"K",72
39.187,38.429,23.755,"Q",27.096,1.115,18.268,"Class2",68,38.365,56.608,"Q",66
31.903,39.029,60.984,"W",74.346,24.18,52.846,"Class1",43,3.439,4.414,"E",71
70.552,70.274,56.413,"B",14.109,26.487,30.646,"Class3",49,49.08,35.721,"X",6
38.298,43.319,77.098,"C",48.568,65.749,10.337,"Class4",46,49.636,43.215,"N",35
29.794,38.187,77.601,"R",55.636,48.974,28.198,"Class4",71,48.264,28.729,"N",36
69.233,77.138,45.134,"V",76.981,16.219,59.306,"Class5",53,62.896,60.867,"Y",33
76.409,43.376,43.531,"U",17.579,73.16,26.08,"Class3",51,94.99,62.19,"Z",8
40.668,35.69,29.353,"H",49.813,49.402,14.953,"Class2",81,44.944,41.868,"F",72
35.764,37.007,77.481,"D",51.12,44.084,40.865,"Class4",58,61.261,40.61,"U",34
35.478,49.511,77.996,"C",51.502,59.815,-6.433,"Class4",45,45.558,38.52,"U",35
46.723,35.377,42.703,"L",24.722,86.521,0.53,"Class3",59,44.154,50.417,"D",1
29.275,33.699,27.798,"H",20.458,2.706,10.546,"Class2",61,49.678,41.145,"Q",100
32.823,39.771,56.944,"N",60.657,20.629,54.326,"Class1",30,48.861,1.716,"K",74
80.842,78.573,47.283,"V",62.618,12.868,74.882,"Class5",57,56.933,43.258,"M",40
74.807,78.15,46.397,"Z",49.961,16.633,80.285,"Class5",37,42.012,-7.511,"G",42
36.318,45.648,77.887,"U",52.915,67.09,6.492,"Class4",71,41.766,24.322,"Q",29
33.511,40.379,77.211,"B",55.083,58.144,53.871,"Class4",64,56.623,38.079,"N",29
47.598,41.115,27.644,"Q",40.645,57.575,9.401,"Class2",66,49.173,48.08,"Q",20
86.321,78.088,40.109,"N",68.074,17.353,76.6,"Class5",14,30.88,21.543,"G",42
36.181,34.506,23.351,"H",21.558,43.073,15.26,"Class2",63,65.066,63.467,"X",96
54.119,35.337,26.944,"Q",22.68,21.41,9.345,"Class2",59,62.771,38.726,"E",57
75.044,35.64,25.428,"F",37.016,53.414,12.511,"Class2",75,64.131,51.503,"E",92
41.819,38.363,77.01,"R",44.919,74.251,26.644,"Class4",50,52.656,33.154,"O",44
57.073,32.622,27.351,"Q",33.246,96.633,4.07,"Class2",73,64.302,48.196,"A",27
62.744,66.22,41.286,"P",20.95,32.68,-10.002,"Class3",50,88.796,59.913,"N",9
80.536,NA,54.536,"B",14.935,40.584,16.682,"Class3",57,82.952,51.817,NA,4
34.773,48.2,54.997,"Y",83.228,32.361,53.958,"Class1",43,3.347,2.425,"K",63
34.075,70.888,58.938,"W",81.146,28.388,53.799,"Class1",41,65.221,2.311,"K",76
66.939,77.841,41.849,"Z",54.786,14.92,69.727,"Class5",50,59.154,44.605,"Y",30
76.939,77.526,55.773,"G",78.807,9.041,70.698,"Class5",50,65.08,6.323,"Y",28
57.429,63.592,52.726,"P",14.269,74.401,32.148,"Class3",44,68.513,41.91,"Z",7
72.654,NA,39.93,"N",71.957,8.698,79.724,"Class5",50,84.438,18.671,"G",43
63.846,60.488,47.797,"U",24.395,37.119,30.81,"Class3",51,76.968,52.414,"D",8
33.824,94.957,59.43,"Y",71.435,28.58,53.844,"Class1",43,33.369,4.683,"L",75
60.498,35.993,26.613,"H",28.202,18.723,12.453,"Class2",69,43.979,61.861,"X",80
