"Output10","CES1","DTC2","VDM3","KMC4","NVK5","TXO6","JMA7","RYZ8","ECP9","GJD10","MQI11","AQX12"
"Class2",88.202,"J","C",18.971,16.641,43.461,87.44,31,53.764,50.134,35.849,21
"Class1",89.183,"L","C",33.056,91.187,86.814,67.303,66,32.72,54.152,42.776,37
"Class2",86.303,"I","P",20.793,46.147,17.282,86.693,32,58.751,21.249,44.978,22
"Class4",70.968,"U","G",34.665,13.094,39.148,94.104,8,83.007,36.891,43.198,36
"Class5",96.943,"O","I",14.103,NA,81.33,53.367,11,81.979,53.921,40.492,64
"Class2",82.993,"Y","Z",21.562,13.726,29.186,88.253,34,72.67,42.809,42.247,32
"Class2",77.586,"A","A",7.218,51.769,36.729,87.158,76,54.078,61.657,53.167,16
"Class4",70.431,"U","S",37.228,30.175,37.875,79.128,8,54.713,37.296,42.192,29
"Class4",78.736,"V","G",41.115,10.132,43.292,86.075,12,51.892,26.303,38.813,30
"Class4",70.917,"Q","D",38.626,14.482,39.253,91.167,17,88.925,26.737,41.589,59
"Class3",80.482,"F","C",14.073,56.18,46.774,48.104,78,79.313,18.506,55.756,68
"Class1",78.005,"H","R",32.014,67.577,69.99,9.967,62,32.692,40.384,42.565,49
"Class4",75.009,"K","C",60.728,13.995,38.009,98.297,9,75.8,9.445,43.564,17
"Class1",75.79,"P","P",34.002,45.548,59.173,57.319,66,39.434,32.067,34.764,86
"Class1",80.084,"P","C",33.24,33.187,61.968,58.342,64,37.824,29.925,46.922,80
"Class1",79.505,"X","P",32.934,54.12,68.664,20.811,57,38.7,37.486,34.532,42
"Class1",80.84,"P","P",31.551,75.105,80.748,52.845,62,34.946,46.787,47.045,87
"Class4",77.847,"V","G",38.583,26.083,42.938,95.51,7,70.901,36.34,NA,40
"Class5",73.169,"O","E",24.78,19.442,78.507,51.2,11,82.653,54.896,46.017,77
"Class4",75.719,"U","D",32.22,15.349,41.934,88.835,26,76.111,41.752,38.104,23
"Class5",80.081,"A","I",16.419,22.366,72.925,45.609,12,94.363,60.624,29.201,52
"Class1",95.129,"X","X",34.108,58.124,63.226,0.032,55,33.326,32.979,38.995,86
"Class4",73.967,"L","Y",17.92,13.795,42.419,86.689,5,70.003,22.522,38.808,56
"Class3",65.079,"K","J",14.02,49.031,56.891,29.486,39,80.13,42.852,55.822,70
"Class1",80.794,"X","X",33.584,40.091,68.929,10.546,52,39.124,76.184,43.217,61
"Class5",73.102,"S","Y",20.148,41.968,73.944,55.871,12,84.072,65.712,61.17,67
"Class3",63.904,"K","J",13.93,60.787,39.112,45.278,47,79.932,30.952,49.157,72
"Class2",84.669,"Y","Z",15.2,10.827,50.902,87.69,33,64.149,38.584,49.239,37
"Class2",79.49,"J","Z",-3.442,22.024,56.886,87.073,37,70.004,69.095,38.262,35
"Class2",87.662,"Y","P",27.804,52.142,37.764,87.721,65,56.908,61.351,40.538,28
"Class3",54.65,"F","N",13.909,54.571,41.455,41.294,79,81.366,16.131,NA,73
"Class5",78.952,"K","Q",9.103,14.995,59.218,56.029,10,87.297,76.212,44.873,74
"Class2",80.673,"Y","C",22.809,49.863,75.326,87.716,28,59.418,46.113,43.269,36
"Class1",73.439,"L","U",34.264,49.364,53.529,96.818,62,39.824,61.099,39.255,53
"Class5",80.074,"N","D",12.411,53.197,60.021,51.319,12,87.479,61.178,38.422,69
"Class1",88.009,"X","X",32.269,61.926,53.444,67.637,56,33.237,80.27,40.697,76
"Class4",69.665,"L","D",23.619,1.381,42.181,90.857,22,50.143,36.868,46.223,12
"Class3",70.247,"K","N",14.11,44.269,43.29,62.007,51,82.829,15.112,45.282,69
"Class2",77.776,"K","P",17.56,33.048,32.777,87.382,49,69.338,36.312,43.356,32
"Class1",95.732,"H","C",32.524,82.683,72.049,94.965,54,38.703,64.867,52.85,59
"Class2",76.416,"K","Z",22.614,47.463,48.047,87.926,70,76.935,52.06,43.117,25
"Class3",75.117,"K","C",13.314,54.538,32.901,60.299,64,80.497,53.694,52.982,70
"Class3",50.49,"F","I",13.466,51.343,49.312,64.607,28,83.724,39.932,52.942,69
"Class4",80.971,"Q","Y",32.051,24.06,38.644,84.818,1,50.465,11.197,39.559,14
"Class2",84.283,"A","Q",8.923,NA,38.087,87.14,49,63.56,42.499,41.116,17
"Class2",77.342,"K","C",19.241,17.294,38.166,87.297,33,61.232,66.254,51.535,38
"Class3",51.431,"F","I",15.741,56.216,32.531,105.831,38,81.06,22.564,50.504,70
"Class3",85.812,"C","C",14.62,47.768,34.429,70.857,59,81.35,44.198,48.503,71
"Class4",74.434,"Q","S",8.675,3.702,35.996,92.894,7,80.143,36.845,38.5,57
"Class3",68.96,"R","J",12.936,44.632,42.315,-5.049,49,81.31,37.52,49.164,70
"Class3",84.323,"R","C",13.47,44.911,53.027,26.411,20,79.619,26.178,61.755,73
"Class3",79.546,"F","L",14.665,44.512,43.37,14.062,68,81.692,39.621,45.988,72
"Class3",66.707,"F","L",14.675,41.596,42.399,40.343,63,83.903,40.195,45.716,73
"Class5",72.449,"O","D",25.329,10.434,80.424,56.119,11,90.743,63.248,11.998,58
"Class5",88.35,"O","Q",11.479,37.507,71.898,52.433,11,84.385,73.903,47.854,59
"Class1",78.56,"T","X",32.693,61.762,71.238,75.655,65,32.244,43.591,44.487,78
"Class1",95.334,"T","C",32.866,63.317,72.54,39.953,63,37.94,74.03,45.655,61
"Class5",58.435,"A","I",21.373,NA,79.338,54.292,11,48.319,51.465,33.298,57
"Class2",75.034,"K","Z",19.932,30.035,22.126,87.879,71,60.252,49.244,47.272,22
"Class1",81.774,"P","U",33.991,50.249,81.011,75.869,62,34.932,57.374,46.152,29
"Class5",73.168,"N","Q",6.914,-3.746,58.046,49.136,10,69.046,66.158,43.968,74
"Class3",67.692,"F","C",14.816,46.165,38.604,50.679,59,83.307,58.482,57.099,71
"Class3",51.08,"F","I",15.167,39.06,57.855,28.086,30,79.435,28.492,60.441,72
"Class3",70.021,"R","C",14.617,44.704,51.067,30.798,73,80.404,33.925,53.316,72
"Class1",73.526,"L","X",33.062,71.634,63.595,107.398,66,37.808,68.134,48.595,81
"Class1",94.985,"X","C",33.805,74.169,68.107,30.298,54,33.907,54.281,41.705,60
