"Output4","RWU1","CEF2","BXM3","PAT4","CYJ5","CAD6","MGW7","EXY8","ZGK9","EIF10","QHO11","WZM12"
"Class1","T",84.848,14.179,25.97,"E",67.463,65.746,33.578,89.716,58,42.449,74
"Class5","O",-15.24,14.718,66.242,"E",50.515,43.825,39.705,68.882,8,30.469,13
"Class2","L",63.603,49.099,44.312,"Q",89.503,71.892,101.204,67.8,43,54.738,53
"Class1","Y",89.1,32.17,36.078,"D",62.24,58.917,87.012,89.844,65,66.041,88
"Class4","V",20.386,51.491,61.925,"E",56.659,54.598,85.795,92.668,74,64.742,NA
"Class1",NA,86.973,18.812,60.971,"D",62.602,44.521,50.037,89.669,71,63.267,64
"Class5","D",16.914,15.401,62.807,"L",46.464,44.829,46.145,59.392,59,29.439,32
"Class4","H",18.218,55.086,70.79,"W",65.426,62.229,64.998,93.893,54,73.373,41
"Class4","S",16.811,28.224,76.638,"N",66.868,46.633,89.707,90.634,54,81.928,44
"Class4","R",29.67,45.62,67.1,"E",65.14,50.131,74.304,92.765,63,42.811,47
"Class5","R",42.952,24.05,54.256,"P",30.171,15.904,56.535,28.403,45,35.328,24
"Class5","D",91.446,21.453,73.102,"E",40.575,35.538,41.86,91.05,10,28.087,11
"Class1","L",70.426,33.812,8.222,"E",63.171,42.885,80.165,89.439,51,29.43,72
"Class5",NA,27.047,27.954,57.029,"E",50.426,38.648,49.307,57.648,34,25.397,18
"Class2","C",92.91,71.849,74.754,"L",69.008,61.263,39.407,64.097,43,48.647,63
"Class2","A",1.037,59.3,57.467,"L",94.123,56.278,81.206,65.492,24,46.392,65
"Class2","B",72.455,53.694,39.93,"R",67.338,83.196,31.633,58.039,86,53.282,35
"Class4","D",21.666,30.578,84.169,"Q",69.11,48.053,62.215,92.164,68,24.683,48
"Class1","T",89.729,25.571,48.078,"V",60.73,30.769,18.211,89.347,67,35.094,79
"Class5","G",33.515,23.226,80.652,"P",39.024,15.007,65.428,82.716,25,19.981,20
"Class4","R",11.978,28.014,51.49,"E",42.001,62.318,73.388,93.375,93,26.413,39
"Class4","V",10.188,94.069,93.225,"N",53.252,48.684,57.765,93.692,46,85.256,36
"Class3","K",31.951,54.387,33.735,"U",23.743,26.397,54.825,16.945,82,30.964,72
"Class5","O",-13.442,19.537,53.569,"L",39.086,25.009,35.395,42.93,34,18.505,25
"Class4","H",-6.49,56.679,92.134,"Q",67.557,47.605,63.147,93.508,54,56.827,46
"Class5","G",92.641,22.793,51.362,"B",44.327,24.914,37.068,66.606,50,16.347,18
"Class4","D",16.708,68.121,56.366,"W",42.847,51.392,92.373,92.378,54,76.17,43
"Class3","Z",58.462,76.549,61.683,"U",20.464,33.913,40.237,10.55,41,31.778,40
"Class3",NA,48.705,28.579,56.745,"I",27.312,33.899,57.469,14.402,46,31.431,76
"Class4","R",15.487,62.794,58.992,"Q",56.762,50.5,81.238,92.95,39,21.396,46
"Class5",NA,5.919,26.911,56.525,"B",40.976,28.657,62.447,30.523,28,29.454,20
"Class4","D",18.867,60.664,90.591,"P",59.836,52.187,41.792,90.386,77,59.452,37
"Class2","A",64.098,59.851,76.312,"Q",78.907,72.403,65.401,68.487,92,47.75,61
"Class3","K",61.736,53.576,41.611,"I",25.987,20.752,51.957,14.082,81,31.168,66
"Class4","V",16.978,16.172,37.724,"P",44.949,46.412,51.54,93.193,81,50.092,37
"Class2","B",83.154,45.863,39.134,"L",60.864,46.887,74.227,68.202,46,52.422,48
"Class4","H",3.832,27.337,50.988,"E",53.17,51.413,97.645,91.513,86,58.271,35
"Class1","T",86.722,19.364,37.392,"Z",61.795,58.015,51.675,90.803,64,47.29,68
"Class2","A",30.133,52.944,25.781,"L",61.077,50.541,59.491,72.805,83,50.272,61
"Class4","D",22.456,46.233,62.581,"W",50.526,63.857,46.072,93.599,88,23.884,42
"Class4","D",11.062,22.552,67.564,"W",51.896,50.049,67.032,90.515,62,68.938,NA
"Class2","C",29.384,42.692,66.461,"R",68.696,39.995,47.62,61.174,44,52.451,50
"Class3","Z",68.805,52.66,57.708,"I",19.39,34.953,42.4,30.242,62,31.841,64
"Class4","S",16.106,17.141,85.995,"Q",57.691,59.699,41.418,90.579,96,80.379,39
"Class1","X",84.738,31.094,41.271,"D",65.376,36.928,46.728,90.141,73,50.275,94
"Class2","B",87.091,69.151,77.845,"V",94.861,65.413,9.604,56.255,90,45.001,44
"Class4","D",13.467,31.579,82.393,"N",47.097,46.555,69.808,92.869,66,28.778,43
"Class5",NA,18.654,26.747,67.049,"B",29.038,19.512,45.282,49.063,41,15.622,33
"Class5","G",30.057,26.375,71.478,"P",30.068,29.568,55.93,59.502,2,15.088,12
"Class5","D",26.66,24.607,71.197,"B",38.711,14.197,27.983,50.873,3,22.187,28
"Class4","H",0.821,31.284,66.529,"E",70.906,58.81,76.971,90.703,95,77.021,45
"Class4","R",11.325,85.958,75.116,"P",63.924,47.135,42.909,93.808,61,34.688,34
"Class3","K",90.79,76.179,60.74,"I",22.527,21.051,49.396,12.445,61,31.039,NA
"Class4","H",4.186,59.751,64.907,"P",57.729,46.295,78.777,90.101,94,57.948,47
"Class1","X",89.91,24.198,57.766,"E",68.318,39.944,63.877,89.465,81,63.664,71
"Class1","X",93.414,21.989,48.686,"V",60.089,66.436,63.859,90.571,61,41.228,79
"Class4","S",38.724,57.669,87.845,"P",71.107,64.663,81.553,92.031,60,16.251,48
"Class3","G",71.396,66.084,58.942,"W",27.846,33.657,51.579,16.242,82,30.384,72
"Class5","D",21.698,17.442,72.246,"P",34.298,33.721,39.938,26.947,34,26.931,29
"Class3","K",49.129,56.588,53.321,"U",24.941,26.063,44.087,30.648,49,30.02,62
"Class3","G",75.03,66.409,44.539,"F",23.621,26.732,46.872,24.965,88,30.641,69
"Class5","O",45.845,13.431,60.434,"P",32.138,13.357,54.562,78.605,56,32.435,26
"Class5","G",-23.337,22.541,56.28,"E",35.487,18.853,37.062,90.129,43,16.008,24
"Class2","C",61.298,48.344,67.598,"R",72.08,46.346,52.318,55.796,60,52.976,56
"Class2","L",62.519,59.257,52.613,"Q",71.247,44.358,60.922,71.958,85,46.641,31
"Class3","Z",79.59,52.529,64.964,"W",23.46,35.613,48.795,28.332,60,30.944,72
"Class3","E",64.97,33.791,49.64,"F",20.704,33.7,36.349,5.722,65,30.717,74
"Class1","T",89.051,27.668,51.695,"E",61.134,67.75,69.471,89.911,61,64.8,90
"Class1","B",85.05,24.339,39.376,"Z",61.075,28.862,87.516,90.658,71,44.592,80
"Class3","K",67.958,70.456,51.168,"W",19.651,33.124,44.736,11.753,52,30.819,77
"Class2",NA,50.267,63.962,50.808,"Q",55.307,66.788,68.344,65.661,53,50.67,73
"Class1","T",87.011,30.129,70.841,"D",62.541,49.884,-8.413,90.504,67,37.6,67
"Class1","T",82.893,18.259,59.593,"Z",61.301,52.695,34.947,89.614,79,66.628,78
"Class1","X",89.019,11.164,70.098,"E",61.984,69.684,69.861,90.775,53,39.238,77
"Class1","T",77.614,12.417,61.382,"S",63.01,49.887,43.482,89.476,75,53.825,93
"Class3","E",61.872,44.351,48.8,"U",22.024,25.362,40.967,7.046,73,31.872,88
"Class2","Q",49.931,67.571,43.837,"Q",73.199,48.5,72.472,60.929,68,50.679,66
"Class3","Y",106.824,33.486,31.169,"F",26.557,27.184,55.648,14.473,62,30.149,71
"Class4","R",11.611,41.679,87.813,"Q",72.738,61.052,74.243,92.353,80,56.333,46
"Class3","K",69.886,47.391,59.741,"F",19.091,24.658,51.393,33.485,82,30.808,70
"Class1","T",94.092,17.495,14.215,"V",68.671,58.55,62.524,89.866,70,41.723,84
