"NIR1","BCV2","DTG3","RYA4","WVT5","OFL6","YPK7","Output9","YAD8","JVN9","IWF10","BUI11","PRQ12"
83.487,51.288,26.317,"E",93,41.941,49,"Class4",45.324,34.505,83.004,35.25,"Y"
82.079,79.497,46.177,"S",30,84.136,7,"Class2",37.312,82.471,70.012,68.482,"Q"
16.714,72.54,15.09,"V",23,50.647,61,"Class1",74.234,14.383,36.067,28.045,"P"
18.962,34.251,10.94,"V",NA,62.073,54,"Class1",70.84,63.619,28.602,30.979,"N"
20.027,45.685,19.291,"V",14,48.524,38,"Class1",78.083,85.294,30.182,27.882,"P"
79.285,50.392,41.921,"E",93,57.008,47,"Class4",57.703,36.071,8.372,14.935,"T"
61.369,32.472,65.821,"C",49,34.889,46,"Class3",1.75,72.278,82.952,62.304,"O"
59.414,25.081,55.885,"P",17,22.199,45,"Class3",14.165,60.209,86.832,62.904,"D"
5.988,58.517,15.06,"T",22,17.642,43,"Class1",73.579,65.59,29.594,31.5,"W"
80.63,91.816,42.338,"T",31,88.889,9,"Class2",52.72,76.371,64.409,73.499,"B"
5.298,48.601,13.472,"X",14,51.978,56,"Class1",73.43,90.768,31.755,31.856,"I"
52.293,38.192,54.208,"A",NA,24.818,17,"Class5",54.734,59.922,78.071,48.941,"Z"
64.847,29.455,56.111,"H",NA,28.727,46,"Class3",5.086,73.771,66.16,60.341,"D"
63.972,42.043,79.293,"Q",48,29.18,53,"Class3",18.975,65.385,76.041,51.199,"R"
9.044,77.469,11.977,"C",16,68.999,58,"Class1",78.589,54.364,31.321,31.225,"I"
82.732,52.32,8.241,"G",92,73.315,47,"Class4",8.375,26.622,71.708,32.736,"A"
62.222,15.733,64.642,"H",46,29.157,48,"Class3",6.967,69.044,61.672,60.651,"E"
8.01,50.744,9.641,"V",17,42.441,28,"Class1",67.088,95.958,30.579,28.91,"I"
54.397,30.415,57.959,"K",33,27.968,49,"Class3",14.257,70.079,76.794,57.594,"B"
20.239,41.398,13.342,"J",21,14.403,26,"Class1",70.871,81.977,27.705,29.214,"W"
82.569,47.456,32.296,"Y",92,18.571,47,"Class4",30.603,35.28,29.791,30.545,"Y"
83.443,49.694,40.546,"Y",91,62.862,51,"Class4",14.854,21.569,14.582,26.905,"A"
84.55,96.499,47.146,"T",25,85.097,7,"Class2",37.683,63.944,81.115,37.074,"Q"
69.192,61.992,62.997,"D",59,15.964,11,"Class5",56.689,66.045,63.102,52.099,"G"
56.501,90.962,42.627,"S",33,91.348,9,"Class2",32.963,63.852,89.851,64.652,"Q"
78.454,50.544,37.813,"R",93,36.843,48,"Class4",51.285,31.874,91.741,19.218,"T"
71.111,41.162,61.499,"A",70,30.818,9,"Class5",55.519,67.683,61.471,51.608,"Z"
76.439,95.971,43.415,"R",30,95.532,7,"Class2",20.2,75.4,88.953,54.126,"V"
74.995,53.264,13.659,"U",92,53.518,43,"Class4",35.013,36.071,79.219,25.666,"V"
65.41,84.803,45.633,"V",36,86.78,11,"Class2",31.547,65.547,82.627,41.571,"Q"
83.821,53.711,40.938,"E",92,43.171,45,"Class4",33.192,27.145,23.281,18.009,"V"
79.246,53.276,19.621,"G",91,61,43,"Class4",51.307,26.185,17.088,35.882,"Y"
77.755,86.272,45.689,"R",34,89.299,10,"Class2",25.994,100.494,78.757,89.596,"V"
85.446,21.827,57.039,"J",41,5.99,7,"Class5",57.442,82.227,78.298,51.136,"Z"
20.574,30.524,13.602,"J",13,39.668,46,"Class1",70.767,79.388,36.394,28.347,"W"
86.183,53.427,39.609,"Y",92,74.375,49,"Class4",22.937,33.659,68.363,18.107,"V"
82.756,51.008,17.314,"E",93,60.961,44,"Class4",77.498,14.725,93.682,34.034,"Y"
58.568,30.98,58.21,"P",13,35.587,45,"Class3",14.46,72.715,86.606,61.892,"O"
59.437,34.156,82.299,"Q",33,21.607,50,"Class3",8.74,70.776,75.046,58.701,"R"
74.926,51.348,30.231,"R",93,27.841,52,"Class4",69.396,44.652,65.375,24.067,"Y"
24.095,52.102,19.611,"V",14,54.78,43,"Class1",68.273,68.186,30.519,30.595,"N"
77.867,53.775,27.4,"U",92,50.417,42,"Class4",62.626,30.146,82.52,20.617,"V"
64.154,41.497,82.337,"H",8,24.829,50,"Class3",3.202,68.978,64.621,59.175,"E"
87.307,78.257,47.12,"V",28,92.445,12,"Class2",38.919,79.997,63.038,59.472,"W"
61.003,94.658,44.664,"S",28,91.662,13,"Class2",35.52,63.751,82.954,79.039,"V"
56.038,36.452,80.124,"C",22,27.821,47,"Class3",7.055,59.971,66.757,54.151,"D"
4.295,47.233,19.271,"X",13,44.897,28,"Class1",75.996,17.429,34.691,23.219,"I"
68.984,33.542,85.704,"P",17,18.985,50,"Class3",-3.171,55.54,69.796,56.519,"R"
54.532,45.012,63.456,"P",53,36.332,53,"Class3",22.342,75.555,81.212,58.673,"E"
70.834,90.901,44.376,"R",28,94.732,10,"Class2",40.496,88.104,81.263,37.708,"W"
14.735,43.024,18.502,"V",14,56.946,41,"Class1",68.504,19.967,29.264,30.053,"I"
8.003,74.863,18.467,"T",24,53.664,27,"Class1",76.068,81.408,30.59,29.865,"K"
84.138,88.192,47.22,"O",27,88.121,8,"Class2",50.98,70.424,62.692,47.191,"V"
64.401,82.431,47.311,"O",37,87.739,9,"Class2",25.57,71.042,73.503,63.445,"B"
74.951,21.343,56.51,"D",34,104.666,1,"Class5",57.056,56.288,71.346,54.238,"G"
7.669,63.329,14.812,"C",21,46.708,62,"Class1",65.122,-3.965,34.038,23.893,"N"
67.313,9.547,50.59,"J",44,26.303,9,"Class5",55.158,57.896,67.823,46.199,"H"
73.868,27.335,51.822,"V",44,2.614,13,"Class5",55.514,81.258,59.283,53.816,"Z"
53.229,21.466,45.013,"J",60,37.752,18,"Class5",55.999,69.701,64.977,54.726,"G"
54.13,45.241,59.367,"P",8,34.163,45,"Class3",14.385,58.683,72.557,51.928,"D"
67.27,90.056,44.942,"R",30,87.951,12,"Class2",54.36,74.977,86.302,42.047,"A"
76.553,53.11,32.964,"E",92,39.094,51,"Class4",35.039,42.096,24.972,22.919,"T"
7.008,67.156,18.246,"C",19,51.027,27,"Class1",74.396,90.147,32.015,28.028,"K"
75.517,91.322,46.075,"O",33,90.355,12,"Class2",34.702,55.963,69.863,87.372,"B"
63.149,30.486,72.383,"P",49,20.911,50,"Class3",27.725,68.601,91.699,57.923,"O"
56.618,88.235,42.228,"O",30,86.631,9,"Class2",29.263,93.565,66.845,94.797,"Q"
85.168,80.803,45.814,"R",35,85.407,11,"Class2",61.708,63.49,81.836,89.062,"V"
63.779,90.236,44.489,"V",27,89.243,14,"Class2",23.094,85.307,80.281,63.398,"B"
61.206,80.443,45.175,"O",32,89.87,NA,"Class2",32.263,72.596,68.427,98.614,"A"
65.746,33.135,58.026,"K",7,17.621,50,"Class3",25.86,75.235,90.505,57.477,"O"
49.487,33.091,59.342,"O",32,35.114,1,"Class5",57.285,78.203,62.917,40.583,"G"
79.04,86.567,43.293,"T",37,88.967,7,"Class2",42.79,73.221,69.792,49.881,"V"
74.826,52.129,8.193,"Y",92,47.647,49,"Class4",30.709,28.155,44.351,12.277,"V"
54.609,37.477,91.826,"Q",51,15.562,NA,"Class3",16.992,65.16,78.681,52.127,"R"
6.125,42.343,15.311,"T",23,119.017,40,"Class1",77.726,59.409,34.879,23.569,"I"
85.603,48.967,16.784,"G",93,36.517,50,"Class4",100.396,61.483,77.68,20.651,"V"
62.435,19.845,62.079,"V",68,50.095,7,"Class5",56.477,85.406,59.626,53.658,"G"
25.851,83.988,10.259,"T",25,64.857,40,"Class1",72.185,24.552,33.163,27.555,"W"
20.101,58.343,18.269,"J",12,92.451,37,"Class1",80.502,27.571,35.928,23.114,"P"
67.826,36.725,53.03,"K",33,22.06,48,"Class3",-0.481,50.688,84.705,61.838,"D"
76.764,57.427,60.851,"V",57,27.524,19,"Class5",56.533,93.703,64.24,46.217,"G"
69.818,82.669,45.159,"R",NA,90.119,9,"Class2",38.651,76.079,74.011,70.531,"Q"
64.594,7.207,60.276,"V",54,52.9,5,"Class5",55.19,76.116,61.552,47.705,"F"
78.007,50.588,13.167,"U",91,37.707,51,"Class4",9.978,55.518,57.011,13.789,"V"
80.525,48.699,38.033,"G",91,45.041,43,"Class4",44.434,47.927,53.131,17.654,"A"
52.275,7.461,58.472,"O",64,44.422,18,"Class5",57.518,75.556,72.313,54.162,"H"
75.477,49.228,17.023,"U",92,45.757,51,"Class4",9.83,52.611,19.826,31.431,"Q"
65.835,34.635,73.02,"P",53,20.842,50,"Class3",16.161,60.068,80.695,63.564,"B"
69.261,24.424,79.42,"P",44,26.876,48,"Class3",4.958,57.983,79.043,60.555,"E"
64.067,36.293,82.032,"P",51,49.088,52,"Class3",3.306,65.996,68.061,52.615,"E"
63,48.686,51.06,"J",70,68.956,7,"Class5",56.276,51.393,68.856,36.36,"F"
17.929,38.228,19.503,"T",26,75.244,33,"Class1",84.354,72.093,27.901,25.707,"K"
70.036,24.956,57.311,"A",59,26.84,NA,"Class5",56.777,63.078,64.95,45.899,"H"
56.734,34.321,96.381,"C",11,27.001,50,"Class3",17.782,62.525,66.518,56.225,"O"
55.415,36.321,94.958,"K",41,20.822,49,"Class3",12.695,63.181,62.455,64.21,"D"
77.49,29.356,46.689,"V",25,27.927,12,"Class5",57.322,59.94,67.256,41.199,"Z"
60.003,18.301,58.899,"A",41,49.95,12,"Class5",54.647,67.972,66.689,36.817,"C"
68.797,31.596,92.257,"C",28,23.099,48,"Class3",7.561,75.058,58.538,57.557,"B"
69.09,41.137,94.154,"P",39,25.968,52,"Class3",5.042,80.497,68.6,56.565,"O"
53.733,23.178,52.025,"D",NA,79.297,4,"Class5",55.5,58.444,59.024,54.418,"G"
67.611,29.425,84.343,"P",20,10.403,46,"Class3",4.102,59.781,58.366,62.648,"O"
80.434,49.753,40.07,"R",92,68.773,46,"Class4",29.114,36.732,64.459,20.817,"Y"
70.184,81.536,46.974,"V",37,89.999,8,"Class2",37.429,57.397,87.162,77.454,"B"
76.885,49.545,25.884,"E",91,32.765,51,"Class4",21.282,31.031,79.816,16.073,"T"
66.868,37.204,95.228,"H",44,29.899,45,"Class3",11.189,66.168,80.98,59.725,"O"
19.243,68.705,19.024,"C",18,34.023,53,"Class1",82.966,33.19,33.897,26.681,"K"
23.25,37.287,10.164,"X",19,62.747,NA,"Class1",79.126,53.596,28.662,28.701,"W"
55.677,36.524,60.161,"C",54,30.928,46,"Class3",16.193,71.757,67.182,63.478,"B"
86.344,87.148,47.974,"R",27,89.678,7,"Class2",43.513,95.144,82.318,95.315,"A"
73.366,52.766,23.964,"Y",92,46.034,51,"Class4",15.621,15.313,34.835,21.011,"T"
85.673,56.067,24.691,"Y",92,33.911,40,"Class4",50.478,24.969,46.94,34.329,"A"
78.462,48.329,35.038,"Y",93,54.021,43,"Class4",56.664,58.892,42.724,14.799,"Q"
75.943,88.393,45.363,"S",28,87.634,9,"Class2",49.296,65.72,63.325,48.148,"A"
80.514,72.413,42.397,"V",33,90.433,14,"Class2",26.3,69.798,81.411,43.005,"W"
85.977,47.471,11.565,"Y",91,54.836,43,"Class4",24.065,59.999,26.107,15.246,"T"
79.961,51.613,9.731,"G",91,46.976,NA,"Class4",12.858,38.263,20.27,26.505,"T"
68.846,40.013,96.278,"C",10,24.384,51,"Class3",20.507,61.296,81.479,55.408,"R"
5.832,40.329,16.743,"C",21,68.345,48,"Class1",70.347,23.67,36.772,30.972,"K"
78.063,48.359,41.501,"G",92,58.333,44,"Class4",40.755,51.839,75.308,25.572,"A"
57.333,38.801,53.395,"H",9,17.604,52,"Class3",14.843,65.643,84.677,52.012,"O"
72.672,17.995,55.415,"A",38,64.671,2,"Class5",56.982,79.204,69.815,38.233,"C"
76.817,53.08,32.379,"Y",93,28.306,44,"Class4",16.913,35.637,7.753,25.553,"V"
65.418,42.221,67.622,"P",25,26.401,53,"Class3",5.473,73.387,58.41,51.975,"R"
55.469,38.647,83.22,"P",29,29.895,47,"Class3",12.532,64.089,70.564,64.268,"O"
57.809,48.219,50.717,"O",38,30.469,NA,"Class5",55.474,57.934,62.706,38.905,"G"
84.083,52.206,35.644,"U",91,61.266,48,"Class4",43.53,48.797,88.273,24.763,"Q"
9.536,39.465,15.306,"C",16,72.756,30,"Class1",69.174,55.02,34.926,26.513,"N"
3.408,50.266,11.247,"J",15,63.092,46,"Class1",76.414,88.88,30.579,30.035,"P"
64.68,17.246,63.978,"Q",46,37.413,50,"Class3",4.395,80.184,58.721,63.538,"O"
83.519,53.109,42.622,"R",91,41.231,52,"Class4",34.598,35.854,55.236,16.45,"V"
64.602,48.605,73.749,"P",50,17.024,47,"Class3",9.934,69.355,64.525,56.283,"B"
80.881,50.471,41.648,"E",93,56.224,47,"Class4",31.448,42.201,92.857,15.703,"T"
62.235,33.694,58.125,"Q",33,39.505,48,"Class3",19.998,88.576,76.837,61.397,"O"
68.073,86.354,43.966,"V",37,87.044,11,"Class2",26.445,88.883,70.401,47.727,"Q"
82.105,50.415,24.829,"U",92,61.868,46,"Class4",-2.802,39.899,31.947,23.061,"A"
46.353,48.906,53.035,"J",34,23.916,9,"Class5",55.473,64.717,74.218,38.708,"F"
69.917,76.743,45.461,"T",31,88.825,10,"Class2",31.825,86.152,74.053,52.137,"B"
16.168,65.519,12.678,"X",19,58.136,36,"Class1",74.698,43.081,34.249,30.518,"N"
18.539,41.891,17.166,"V",20,24.582,41,"Class1",68.257,118.54,34.971,27.01,"N"
59.275,29.837,69.576,"Q",12,20.697,53,"Class3",12.059,58.573,66.343,64.588,"E"
83.628,76.653,46.563,"V",37,92.725,10,"Class2",36.528,74.34,85.554,54.465,"W"
62.18,27.893,85.366,"H",17,37.638,52,"Class3",12.205,67.052,70.744,64.853,"E"
76.264,92.195,46.197,"R",29,85.824,12,"Class2",46.362,65.287,83.069,96.382,"V"
80.694,88.378,42.272,"V",33,90.224,13,"Class2",76.512,61.431,61.346,55.373,"B"
59.555,28.398,49.763,"Q",NA,27.002,48,"Class3",18.243,91.895,74.124,57.521,"D"
69.884,-7.478,47.769,"D",49,60.309,7,"Class5",55.381,54.214,67.912,54.037,"G"
62.393,33.172,69.654,"P",36,27.465,NA,"Class3",18.074,65.221,77.794,60.542,"R"
80.779,53.645,16.45,"G",91,58.51,52,"Class4",44.51,40.252,22.147,34.084,"Q"
83.982,54.224,41.147,"R",93,52.879,47,"Class4",52.356,21.132,24.897,33.211,"V"
84.086,85.258,45.119,"T",NA,89.062,11,"Class2",47.084,64.138,84.015,55.225,"V"
81.571,38.26,61.481,"A",66,68.737,6,"Class5",56.296,81.176,68.808,46.066,"C"
70.711,31.287,45.096,"D",34,69.421,2,"Class5",55.302,75.266,72.205,48.578,"Z"
58.721,36.781,90.757,"Q",33,30.67,47,"Class3",17.703,70.541,69.197,60.333,"R"
59.848,31.719,88.418,"C",5,30.467,45,"Class3",17.444,76.472,73.771,64.018,"E"
80.163,54.222,25.493,"Y",91,39.076,49,"Class4",0.233,23.976,67.551,35.231,"T"
61.875,89.894,44.3,"T",33,88.882,7,"Class2",53.23,62.606,89.78,95.369,"V"
86.498,89.526,46.777,"T",26,89.214,12,"Class2",34.205,68.236,60.116,85.516,"B"
57.741,82.223,45.498,"T",28,87.578,7,"Class2",42.425,69.945,80.495,53.227,"W"
20.257,33.721,19.719,"X",21,77.063,42,"Class1",78.007,30.098,30.821,23.759,"N"
57.365,60.467,47.551,"J",24,24.922,10,"Class5",56.391,84.601,69.935,51.696,"G"
69.787,96.649,46.945,"O",28,90.327,9,"Class2",31.422,69.337,70.931,62.149,"Q"
79.576,98.447,45.923,"S",24,90.806,7,"Class2",38.908,105.946,66.949,84.912,"B"
22.897,48.059,8.664,"T",22,84.11,61,"Class1",78.974,84.696,30.536,31.621,"N"
74.01,53.057,23.821,"G",91,59.177,NA,"Class4",-10.905,55.926,53.39,28.528,"Y"
80.559,50.991,26.906,"Y",NA,48.976,41,"Class4",23.256,47.161,49.163,34.419,"V"
86.186,-1.393,56.984,"A",41,46,19,"Class5",55.173,79.826,70.999,40.771,"G"
78.516,86.129,45.998,"S",NA,87.794,11,"Class2",33.612,90.908,84.669,36.832,"V"
8.527,57.386,12.459,"T",17,60.153,62,"Class1",76.208,86.978,33.945,31.606,"I"
66.833,92.281,47.965,"O",27,86.668,14,"Class2",49.329,70.365,67.823,90.817,"W"
74.445,51.6,26.963,"U",93,70.031,46,"Class4",48.725,54.525,34.42,21.463,"A"
59.823,25.522,76.195,"Q",53,30.22,52,"Class3",11.607,70.952,58.824,63.879,"D"
61.884,84.881,42.481,"V",33,87.758,11,"Class2",51.632,69.944,78.886,70.801,"Q"
75.602,79.336,45.124,"R",35,86.829,13,"Class2",47.838,105.663,78.41,73.957,"Q"
77.357,50.879,21.061,"Y",92,64.364,52,"Class4",55.458,18.867,87.527,14.25,"T"
65.227,84.606,44.394,"O",37,86.124,8,"Class2",55.315,88.277,74.314,92.464,"V"
65.419,3.415,45.718,"D",20,50.475,11,"Class5",55.645,52.143,63.298,54.309,"Z"
71.187,94.808,42.331,"O",36,85.161,7,"Class2",30.185,77.454,75.878,43.141,"W"
19.923,55.704,16.325,"V",NA,63.583,32,"Class1",79.759,98.404,30.94,29.941,"I"
4.023,53.134,17.125,"J",22,56.464,45,"Class1",73.716,53.907,34.601,23.808,"P"
18.146,44.309,17.85,"C",21,50.487,38,"Class1",81.042,58.081,32.019,25.409,"I"
85.268,52.901,42.612,"Y",92,62.679,52,"Class4",64.166,54.915,91.661,14.514,"V"
52.394,43.229,45,"A",NA,73.855,13,"Class5",55.714,45.893,62.05,45.393,"C"
83.846,8.871,49.095,"O",61,56.081,13,"Class5",55.791,58.319,75.718,50.641,"Z"
63.558,31.907,49.031,"K",43,21.689,53,"Class3",10.921,64.385,76.414,52.482,"B"
73.572,88.077,43.83,"T",26,84.779,12,"Class2",17.242,85.481,86.903,38.965,"Q"
74.508,50.147,42.3,"Y",91,59.579,51,"Class4",42.264,53.808,93.536,16.751,"Y"
73.694,72.751,45.613,"V",NA,58.832,9,"Class5",55.51,52.687,61.748,52.582,"C"
68.365,40.35,61.594,"P",52,28.348,49,"Class3",17.179,63.446,74.341,64.9,"R"
76.225,49.096,11.048,"R",92,52.233,46,"Class4",43.809,17.159,23.794,30.41,"Q"
57.819,44.865,65.83,"Q",33,38.438,52,"Class3",19.181,70.174,80.52,64.289,"R"
57.559,38.683,88.594,"Q",40,31.78,49,"Class3",13.291,50.456,78.043,57.015,"R"
12.655,48.407,12.902,"J",13,38.511,31,"Class1",63.674,71.724,30.934,29.337,"P"
64.736,13.938,50.665,"D",45,51.394,2,"Class5",56.359,79.119,76.245,50.982,"G"
63.105,32.785,95.005,"H",8,24.889,50,"Class3",5.877,61.135,76.239,64.311,"D"
58.557,40.492,86.684,"P",29,24.381,45,"Class3",-0.572,75.293,67.668,62.774,"D"
55.348,91.703,44.291,"R",28,86.822,10,"Class2",56.993,69.016,79.938,97.957,"B"
85.683,93.778,43.877,"V",31,88.329,8,"Class2",48.019,48.553,88.659,54.264,"Q"
81.312,52.284,33.601,"E",91,42.724,50,"Class4",22.018,38.998,13.669,15.009,"T"
9.151,58.739,9.753,"C",NA,45.904,51,"Class1",78.049,22.644,30.361,23.895,"N"
15.039,50.235,18.346,"C",13,40.014,NA,"Class1",73.963,84.31,28.483,31.595,"W"
57.451,33.291,56.057,"P",7,30.953,53,"Class3",5.683,58.31,66.991,63.187,"B"
