"UAZ1","IMG2","POB3","GLF4","HMU5","LVK6","RYA7","NVU8","Output21","PWB9","JCR10","OTJ11"
"M",86,84.118,91.434,74.178,30,79.802,11.624,"Class4",83.452,65.733,38.223
"L",61,32.768,40.298,60.07,21,78.262,16.228,"Class2",76.394,15.76,83.361
"I",50,26.667,26.262,84.126,55,8.177,54.94,"Class1",33.829,62.671,87.344
"W",27,67.129,25.404,87.744,54,34.067,80.702,"Class5",34.68,88.187,27.825
"D",79,51.576,16.394,37.105,10,18.937,1.879,"Class3",77.461,59.375,30.741
"J",20,25.521,25.948,82.867,77,87.556,44.636,"Class1",33.026,61.091,88.973
"O",84,56.048,9.254,40.85,24,18.103,45.821,"Class3",81.081,48.606,28.107
"M",24,57.827,31.664,88.663,51,75.437,80.617,"Class5",36.09,86.696,32.781
"Y",62,47.481,39.499,55.483,20,12.074,27.995,"Class2",88.247,27.419,50.313
"F",11,86.032,92.939,69.768,47,86.282,30.416,"Class4",92.543,41.918,39.927
"X",86,59.469,41.543,38.554,12,17.779,NA,"Class3",55.701,50.087,29.181
"X",77,45.156,12.075,42.528,16,17.526,30.826,"Class3",76.546,67.727,28.909
"M",79,61.616,42.55,48.607,13,17.787,40.359,"Class3",82.44,14.914,28.457
"M",28,67.389,46.698,88.477,60,70.397,80.892,"Class5",29.17,54.691,29.132
"X",85,49.542,24.676,39.62,9,17.144,30.004,"Class3",70.743,9.224,28.878
"U",79,89.132,70.256,70.351,39,83.754,24.707,"Class4",92.284,48.565,40.252
"G",84,77.251,5.685,28.485,23,18.345,42.386,"Class3",67.589,37.552,29.421
"S",21,82.04,49.891,87.779,57,70.784,84.099,"Class5",29.677,95.072,31.019
"D",41,64.091,36.88,91.856,63,37.698,80.929,"Class5",31.008,65.083,30.352
"O",79,53.496,28.656,44.632,12,18.042,26.194,"Class3",65.836,13.627,28.919
"M",27,68.893,45.528,88.022,62,46.924,83.033,"Class5",32.162,88.048,32.303
"U",40,84.933,70.194,73.963,37,80.763,24.883,"Class4",93.192,41.112,42.819
"D",84,49.241,37.179,46.463,23,17.207,40.167,"Class3",84.025,10.437,28.714
"X",63,49.458,47.826,56.355,20,80.387,14.988,"Class2",79.425,20.7,68.478
"G",84,55.468,40.22,26.408,15,17.9,36.052,"Class3",64.298,8.303,30.483
"T",65,26.364,26.62,53.484,76,36.367,63.096,"Class1",43.361,62.199,30.375
"Z",26,84.149,98.923,70.724,29,88.469,25.126,"Class4",92.14,42.937,42.982
"D",42,59.34,29.077,90.346,55,63.107,79.102,"Class5",34.259,34.102,36.046
"D",71,38.096,33.444,24.83,13,17.789,18.881,"Class3",73.736,89.27,30.546
"Y",63,45.127,61.045,50.46,20,30.321,4.005,"Class2",85.906,51.265,60.212
"X",64,46.911,45.026,54.253,23,39.934,27.474,"Class2",79.427,21.174,38.052
"T",37,26.781,12.17,122.021,68,22.33,58.348,"Class1",41.246,59.707,79.505
"X",61,50.905,68.357,55.241,21,8.964,31.628,"Class2",67.186,52.936,36.045
"M",71,48.753,2.987,49.84,26,18.591,36.057,"Class3",73.988,82.619,29.784
"L",61,39.034,52.698,62.721,29,58.383,16.273,"Class2",86.49,15.596,84.366
"S",55,56.488,27.385,90.288,62,63.616,82.774,"Class5",32.689,53.944,28.53
"X",65,43.525,38.323,58.981,21,47.229,22.552,"Class2",80.851,26.944,69.237
"F",51,79.358,74.477,68.093,45,86.412,6.571,"Class4",95.317,49.333,38.132
"U",22,80.292,98.821,73.844,31,85.091,25.336,"Class4",93.686,54.431,39.985
"G",34,26.341,25.951,67.555,46,41.026,56.63,"Class1",45.726,62.428,90.635
"X",63,46.093,59.053,66.07,22,40.599,20.725,"Class2",85.111,54.449,44.257
"Y",64,48.301,61.562,57.59,22,28.32,3.284,"Class2",78.145,27.823,39.267
"F",66,82.147,78.093,61.707,31,78.101,22.681,"Class4",93.905,60.331,36.775
"T",39,26.327,24.837,75.484,82,73.819,61.571,"Class1",47.544,61.108,39.056
"J",52,25.785,22.581,83.708,68,73.16,NA,"Class1",42.555,58.706,56.835
"Z",81,79.216,67.039,74.336,37,82.522,-0.136,"Class4",88.684,49.238,44.997
"B",76,25.642,25.921,67.158,53,73.609,51.892,"Class1",36.396,59.496,94.145
"O",74,55.504,14.913,39.688,15,18.353,49.342,"Class3",86.058,43.237,29.976
"B",10,25.901,27.864,65.185,54,54.329,64.142,"Class1",41.524,59.64,87.232
"U",51,82.367,97.97,64.112,42,86.488,19.031,"Class4",89.474,41.279,39.303
"X",85,63.773,32.864,36.705,18,18.375,46.554,"Class3",58.713,66.571,28.151
"W",62,71.309,12.748,85.186,57,48.389,80.786,"Class5",24.671,27.984,29.172
"T",47,87.221,76.839,63.812,45,78.243,20.955,"Class4",90.567,64.029,30.445
"I",23,76.498,42.662,92.354,51,45.493,80.739,"Class5",27.864,98.985,35.224
"S",57,74.308,26.163,88.924,65,53.182,77.754,"Class5",32.375,85.465,31.762
"J",64,27.153,16.967,84.112,62,85.303,55.959,"Class1",42.715,60.598,93.811
"Z",50,85.978,72.885,65.852,35,81.075,17.685,"Class4",89.028,41.889,36.136
"I",39,66.732,26.91,89.487,64,78.822,82.102,"Class5",33.148,58.547,33.687
"O",60,36.161,71.048,56.767,29,45.015,8.904,"Class2",73.137,42.122,76.993
"U",40,83.911,89.406,64.74,33,77.732,21.41,"Class4",99.166,34.556,28.252
"G",80,53.85,16.492,34.674,13,17.725,36.926,"Class3",68.486,85.311,28.107
"Z",61,34.321,44.379,57.765,15,38.562,8.743,"Class2",77.085,45.94,41.601
"F",35,83.123,87.993,67.53,29,82.341,23.141,"Class4",88.498,50.961,41.808
"L",64,19.424,69.507,56.25,30,35.885,24.898,"Class2",74.586,20.329,75.251
"Z",61,66.816,48.041,64.461,33,58.466,6.075,"Class2",83.341,33.695,50.452
