"RVM1","WRJ2","XBE3","Output19","QPJ4","QET5","BQX6","EZA7","WEP8","RMF9","GZF10","LAG11"
66.459,72,21.281,"Class1",28,119.727,"Q",82.952,8.758,96.125,39.413,"H"
54.881,79,89.49,"Class2",67.101,48.445,"I",40.193,23.423,46.55,76.136,"I"
46.027,82,21.849,"Class1",38.086,97.8,"P",NA,37.148,97.735,51.09,"L"
23.142,63,26.658,"Class1",46.715,28.981,"S",82.371,33.604,96.105,48.312,"U"
38.04,67,89.284,"Class2",74.362,13.343,"R",23.713,52.818,39.343,71.5,"G"
57.116,87,28.146,"Class1",45.849,42.604,"G",82.375,22.118,97.362,57.833,"U"
76.746,74,25.415,"Class1",30.922,81.216,"S",81.971,27.913,99.468,8.992,"B"
4.953,44,89.327,"Class2",56.14,38.712,"R",41.563,69.748,37.761,70.437,"H"
58.496,67,17.659,"Class1",53.094,60.794,"G",81.258,7.576,98.431,41.428,"H"
43.783,76,18.046,"Class1",21.75,64.688,"P",81.771,27.07,98.485,57.893,"B"
11.814,70,23.274,"Class1",12.195,91.39,"T",82.268,22.554,99.379,70.421,"H"
-1.499,77,89.611,"Class2",64.968,15.077,"C",39.475,72.434,39.722,67.309,"G"
60.018,29,89.35,"Class2",70.465,11.193,"R",40.695,53.906,48.607,62.383,"I"
50.757,51,22.817,"Class1",10.165,79.101,"Q",82.048,24.92,97.973,50.673,"L"
50.616,83,23.278,"Class1",11.575,76.801,"T",81.205,24.542,98.571,NA,"X"
71.611,62,25.863,"Class1",22.567,65.667,"T",82.227,21.479,99.289,43.41,"L"
59.101,89,89.417,"Class2",66.779,50.804,"C",NA,34.882,47.49,72.375,"H"
30.972,62,24.872,"Class1",19.064,87.399,"G",82.11,23.562,98.331,37.951,"B"
25.683,80,89.494,"Class2",69.605,67.281,"T",19.503,54.145,47.428,66.646,"K"
85.339,65,26.47,"Class1",39.474,58.913,"T",82.352,1.465,97.25,41.379,"X"
56.496,75,89.051,"Class2",66.528,43.538,"K",36.622,26.31,46.474,81.335,"K"
74.145,71,26.104,"Class1",42.329,69.501,"Q",81.673,9.822,96.097,23.02,"H"
77.876,39,89.128,"Class2",65.942,39.296,"R",NA,39.385,47.5,90.317,"K"
41.435,63,22.361,"Class1",54.531,93.4,"P",82.151,28.621,97.211,40.873,"U"
58.068,84,89.532,"Class2",66.552,34.915,"R",46.482,45.283,49.857,96.606,"K"
