"WMN1","YDZ2","JZW3","NDS4","NKL5","Output12","KBS6","GZQ7","ZFT8","PYC9"
17.425,30.528,54.619,38.078,2.101,"Class1",19.947,"Q",35,68.998
83.406,69.272,34.911,49.487,55.817,"Class2",66.205,"N",66,98.251
28.609,23.722,49.416,57.827,2.037,"Class1",20.885,"U",36,63.928
58.27,26.207,30.405,35.114,59.578,"Class3",48.322,"T",27,8.117
85.437,69.447,45.579,60.545,36.365,"Class2",51.571,"H",46,97.869
28.396,12.338,51.439,79.361,1.593,"Class1",36.391,"W",42,64.646
26.502,11.474,71.988,12.113,2.117,"Class1",28.209,"S",48,61.671
68.876,56.697,12.52,42.693,62.93,"Class3",60.049,"P",34,20.446
19.232,31.423,80.347,33.857,1.22,"Class1",10.233,"O",49,65.303
80.829,60.748,50.836,74.988,52.289,"Class2",33.537,"H",44,98.931
NA,63.997,25.903,33.124,67.864,"Class3",24.329,"F",24,23.268
70.649,62.216,57.982,54.895,53.843,"Class2",34.024,"H",51,99.276
25.034,10.824,63.663,69.788,1.166,"Class1",17.63,"O",44,57.877
65.097,54.994,47.664,54.116,53.916,"Class2",38.286,"J",49,99.379
73.375,63.859,56.764,69.971,71.272,"Class2",22.511,"H",51,98.802
26.686,30.657,19.988,65.967,3.383,"Class1",6.919,"O",55,62.564
25.581,15.844,95.947,43.769,3.538,"Class1",17.429,"O",43,70.648
79.531,72.514,46.71,75.125,53.7,"Class2",14.971,"S",64,98.875
74.354,58.5,29.669,40.191,43.59,"Class2",40.096,"L",52,98.703
14.584,21.432,67.42,63.655,1.761,"Class1",19.864,"U",57,60.268
27.299,13.116,53.077,12.282,3.414,"Class1",17.319,"Q",39,65.951
26.878,8.721,65.798,76.204,2.372,"Class1",15.753,"Q",34,61.022
NA,61.325,20.733,42.402,62.57,"Class3",87.191,"X",35,10.092
71.215,46.911,49.647,69.847,49.939,"Class2",46.556,"N",54,98.51
25.151,10.455,32.02,56.121,1.025,"Class1",26.38,"O",53,63.017
45.983,37.928,24.854,44.875,67.256,"Class3",51.361,"P",33,11.955
83.523,62.667,29.812,74.675,55.653,"Class2",56.612,"H",64,98.449
14.579,23.991,18.083,44.566,3.034,"Class1",22.107,"Q",51,70.181
19.644,9.886,29.845,35.429,2.183,"Class1",37.506,"W",35,66.451
10.815,59.073,42.159,47.128,68.038,"Class3",80.396,"F",25,4.233
70.987,49.468,41.963,83.722,54.642,"Class2",35.624,"N",50,98.927
24.801,12.345,84.61,24.634,2.08,"Class1",22.1,"U",43,55.321
62.016,51.247,39.715,53.888,55.144,"Class2",39.008,"L",58,99.296
15.772,5.148,49.816,69.545,1.152,"Class1",20.45,"W",36,68.716
28.396,28.622,32.605,104.915,2.562,"Class1",24.567,"W",34,57.457
51.888,18.498,14.235,26.059,57.364,"Class3",4.083,"F",26,15.979
73.485,48.129,47.757,69.931,65.502,"Class2",43.386,"L",51,98.152
31.675,29.546,76.271,71.429,2.821,"Class1",15.402,"S",37,70.856
28.178,6.058,58.931,29.873,2.287,"Class1",19.941,"Q",45,59.65
68.027,66.281,47.556,41.273,32.447,"Class2",89.702,"S",48,98.845
30.97,18.059,46.107,80.869,1.754,"Class1",23.298,"Q",40,62.977
26.27,28.754,48.751,53.099,3.297,"Class1",32.802,"U",49,62.18
NA,16.479,19.379,35.563,57.132,"Class3",24.014,"P",31,10.367
67.363,47.967,46.997,60.224,68.444,"Class2",73.198,"H",44,99.191
48.476,60.534,36.628,57.871,62.531,"Class3",35.458,"F",34,25.778
20.881,34.319,26.42,60.811,2.599,"Class1",26.297,"U",54,61.924
62.86,68.493,36.777,66.604,48.635,"Class2",54.839,"L",49,99.445
5.229,38.026,29.494,54.513,66.238,"Class3",83.496,"T",27,10.429
24.279,33.018,-10.902,34.351,2.708,"Class1",13.343,NA,36,63.1
84.593,73.601,43.445,66.55,37.222,"Class2",46.394,"S",60,99.756
46.159,17.41,16.618,55.671,70.743,"Class3",49.193,"P",34,18.92
77.24,70.562,53.407,50.057,71.616,"Class2",37.849,"L",42,99.201
70.32,78.732,38.396,59.121,50.188,"Class2",43.792,"S",53,99.083
22.009,8.224,28.688,39.549,59.437,"Class3",65.729,"X",31,14.941
62.045,53.173,34.979,41.161,70.05,"Class3",28.161,"P",24,21.096
69.396,73.978,36.08,54.133,51.556,"Class2",39.921,"J",60,98.469
78.656,64.066,38.877,58.918,63.31,"Class2",56.293,"L",52,98.295
64.043,43.321,42.961,64.608,52.331,"Class2",58.087,"H",50,98.511
64.799,74.043,46.564,49.586,34.107,"Class2",42.942,"N",56,98.425
82.12,75.718,44.714,58.666,58.799,"Class2",33.95,"J",63,99.148
84.039,61.256,50.63,43.729,45.194,"Class2",49.182,"H",61,99.604
NA,10.335,30.67,21.539,72.074,"Class3",45.366,"X",26,16.735
31.694,76.016,35.862,43.048,51.116,"Class3",23.291,"H",32,13.918
NA,49.554,46.717,77.465,66.119,"Class2",13.547,"S",48,98.422
66.04,69.719,52.711,52.399,48.704,"Class2",61.642,"H",62,98.921
30.031,19.976,69.308,51.774,1.811,"Class1",12.001,"U",46,66.301
68.995,66.569,38.33,41.279,62.9,"Class3",53.264,NA,34,18.401
28.707,22.096,-0.606,49.926,2.447,"Class1",28.305,"Q",44,65.659
29.421,25.87,31.829,105.384,3.391,"Class1",19.571,"Q",44,68.138
24.063,78.914,18.979,32.615,63.957,"Class3",60.217,"X",33,12.407
79.621,56.388,27.077,84.265,63.063,"Class2",66.512,"J",62,98.415
83.163,44.443,52.41,68.478,51.539,"Class2",38.601,"J",64,99.226
30.296,5.071,77.454,46.571,1.268,"Class1",25.361,"S",39,71.332
51.982,55.589,35.587,43.329,60.946,"Class3",60.302,"H",25,17.438
NA,64.411,43.708,79.711,33.138,"Class2",28.327,"L",64,99.708
70.773,50.459,46.14,65.504,56.344,"Class2",2.221,"L",51,98.879
70.881,13.398,18.338,58.968,52.416,"Class3",56.524,"H",27,21.247
49.036,26.232,25.426,49.824,68.63,"Class3",51.704,"P",25,25.167
48.996,47.207,18.315,22.316,56.927,"Class3",60.171,"F",25,12.075
18.523,26.301,50.874,61.831,2.749,"Class1",28.611,"Q",40,60.962
27.838,57.094,22.895,39.598,59.701,"Class3",39.94,"T",33,22.153
33.499,25.685,68.975,63.628,3.53,"Class1",16.864,"U",34,63.563
17.254,14.282,4.054,37.327,1.929,"Class1",30.985,"S",51,64.394
75.288,45.911,60.901,63.373,55.433,"Class2",12.479,"H",43,98.155
20.378,11.525,37.6,65.154,65.792,"Class3",71.056,"T",24,10.688
23.38,32.988,37.442,39.389,1.615,"Class1",29.428,"Q",37,62.755
24.612,27.51,70.007,68.774,2.312,"Class1",12.476,"Q",34,61.12
59.318,23.759,21.851,71.669,64.244,"Class3",21.603,"X",32,16.537
84.361,69.545,51.932,71.086,61.19,"Class2",37.623,"J",49,98.268
17.869,33.239,61.315,63.392,1.422,"Class1",17.668,"W",57,65.248
79.531,61.502,27.747,57.827,37.68,"Class2",23.475,"J",56,98.804
16.388,32.999,25.704,13.37,1.264,"Class1",20.175,"Q",42,62.477
22.585,79.695,12.001,34.353,52.211,"Class3",50.158,"T",33,10.944
21.275,15.947,63.865,91.236,1.448,"Class1",10.976,"U",50,60.891
71.466,71.1,56.441,55.045,64.254,"Class2",63.155,"J",51,98.775
84.69,53.633,40.85,57.644,39.182,"Class2",59.046,"H",53,97.934
24.435,11.481,94.403,46.902,1.91,"Class1",20.758,"S",39,58.76
66.617,59.604,37.737,67.16,71.569,"Class2",40.989,"H",44,98.747
83.447,76.799,32.748,72.691,55.129,"Class2",8.317,"L",43,99.767
58.495,33.284,21.325,41.823,52.36,"Class3",39.187,"X",25,13.099
73.004,77.357,35.665,46.815,51.364,"Class2",55.052,"H",45,98.649
57.835,79.111,27.087,48.392,66.79,"Class3",52.582,"T",26,15.626
15.369,26.019,47.193,3.475,2.184,"Class1",1.831,NA,49,68.218
27.365,9.58,60.983,69.729,1.55,"Class1",21.188,"Q",41,63.298
24.636,7.243,37.12,37.99,3.115,"Class1",25.143,"O",47,66.914
21,32.02,86.088,0.327,2.815,"Class1",16.002,"S",45,61.472
75.818,62.784,41.828,69.729,47.434,"Class2",88.87,"J",56,98.744
21.04,25.19,27.8,72.717,1.748,"Class1",10.283,"O",55,65.653
68.984,50.278,29.743,50.316,57.469,"Class3",63.663,"P",33,14.366
64.372,64.852,47.122,74.151,39.048,"Class2",53.809,"N",60,99.147
72.803,42.893,48.281,66.474,53.458,"Class2",29.033,"N",53,98.714
19.8,55.764,10.024,18.56,72.421,"Class3",40.751,NA,25,14.966
80.262,67.598,48.924,53.186,71.321,"Class2",45.143,"S",55,98.624
65.849,19.621,28.172,35.95,54.989,"Class3",7.672,"F",26,15.25
32.054,28.025,57.456,52.171,2.115,"Class1",5.424,"U",36,62.956
66.932,55.632,35.309,86.98,57.271,"Class2",15.667,"L",48,100.061
19.495,8.309,40.735,27.315,59.423,"Class3",37.825,"X",35,12.015
15.467,22.771,49.557,3.623,2.697,"Class1",16.34,"U",46,68.926
81.39,69.811,48.883,87.286,33.876,"Class2",63.444,"N",61,100.298
46.654,15.447,25.35,56.269,67.284,"Class3",24.023,"H",25,16.639
62.777,49.855,47.444,76.118,69.611,"Class2",24.546,NA,56,98.715
18.888,34.471,46.801,68.733,2.738,"Class1",30.173,"S",45,56.181
85.56,73.904,41.841,39.842,67.021,"Class2",28.73,"N",48,99.434
6.529,48.417,20.294,41.312,62.95,"Class3",28.103,NA,33,18.463
25.506,71.649,28.009,39.153,70.535,"Class3",-8.904,"H",34,13.197
65.727,48.778,27.779,56.104,70.763,"Class2",19.003,"S",62,98.506
31.294,26.015,31.941,23.858,64.403,"Class3",35.476,"P",26,16.473
31.531,24.832,51.908,30.913,3.144,"Class1",16.349,"W",36,64.955
50.736,82.346,29.601,40.549,58.758,"Class3",28.043,"F",27,19.603
73.288,47.779,59.175,74.842,31.736,"Class2",53.736,"S",65,99.245
47.814,25.294,34.212,54.779,71.667,"Class3",38.756,"F",26,14.352
60.903,71.254,25.767,36.38,51.516,"Class3",54.657,"H",30,9.679
12.276,55.622,23.17,71.228,66.803,"Class3",16.651,"X",32,15.134
73.696,55.845,50.529,65.977,31.108,"Class2",26.11,"S",54,98.923
70.108,58.577,49.171,85.546,61.225,"Class2",48.122,"N",57,99.468
70.558,68.972,39.369,70.54,55.752,"Class2",5.748,"L",56,99.095
83.551,42.251,32.031,56.543,48.534,"Class2",41.888,"L",66,98.723
74.929,53.487,26.825,45.011,48.671,"Class2",73.865,"L",48,99.508
NA,17.704,20.592,53.408,69.877,"Class3",48.343,"F",33,15.214
29.532,24.53,53.162,36.272,3.904,"Class1",21.042,"Q",37,59.921
32.165,18.997,64.901,35.812,3.12,"Class1",18.529,"Q",48,64.561
65.42,57.081,23.937,70.001,47.396,"Class2",51.612,"S",50,98.323
30.756,82.761,24.968,51.124,55.337,"Class3",66.398,"P",31,14.556
18.157,15.954,61.226,83.599,3.275,"Class1",23.368,"S",38,59.432
19.857,28.136,46.618,15.856,2.675,"Class1",25.239,"O",56,62.16
16.261,12.041,50.478,57.48,2.373,"Class1",29.502,"Q",38,63.091
19.567,28.931,84.345,70.282,2.63,"Class1",29.364,"U",48,59.315
53.871,61.258,33.965,47.437,58.375,"Class3",110.386,"X",24,20.5
68.965,55.877,39.303,70.662,48.539,"Class2",34.715,"L",62,99.092
83.43,65.53,65.196,93.462,58.38,"Class2",62.511,"N",45,98.757
21.131,20.151,64.882,46.042,3.865,"Class1",14.332,"S",39,59.189
25.215,28.15,81.238,75.587,1.56,"Class1",28.82,"O",40,66.32
80.717,48.984,52.173,57.573,67.595,"Class2",68.588,"J",51,98.795
78.891,71.325,54.962,55.466,71.344,"Class2",37.753,"S",62,99.265
47.383,13.149,22.987,27.229,65.235,"Class3",82.58,"F",34,20.264
22.31,20.795,14.457,49.783,3.931,"Class1",14.594,"W",36,62.212
30.402,11.995,62.726,54.546,2.943,"Class1",23.76,"U",39,56.14
29.36,31.858,-0.472,54.551,3.239,"Class1",17.556,"Q",38,59.075
60.437,30.48,32.588,41.398,53.902,"Class3",47.285,"H",24,13.518
20.337,66.568,31.331,35.136,50.131,"Class3",48.796,"F",25,18.786
