"MBI1","RQZ2","HOT3","DTB4","WTS5","FQA6","FXN7","VEQ8","VLC9","Output17","SQM10","LOZ11","OCN12"
52.54,56.569,104.513,51.173,"J",31.527,24,62.651,"S","Class1",27.115,67,66.907
9.776,61.797,56.683,42.717,"S",20.097,40,64.617,"O","Class1",19.555,82,75.177
27.938,87.156,61.915,12.65,"X",50.448,83,45.258,"Q","Class2",54.744,6,47.444
58.879,37.626,32.755,75.337,"J",88.641,18,98.725,"C","Class3",16.436,57,50.529
74.686,63.756,41.284,77.885,"O",60.27,77,49.982,"J","Class4",75.783,33,16.609
45.297,87.535,61.541,53.661,"R",50.389,77,46.9,"X","Class2",39.836,7,29.754
37.289,53.273,40.057,55.323,"I",21.567,44,86.997,"E","Class1",25.048,65,66.119
64.366,54.774,41.281,83.307,"O",67.322,55,57.394,"D","Class4",65.05,43,36.379
17.913,56.868,40.975,62.969,"J",38.235,27,84.385,"O","Class1",25.339,93,69.622
61.871,NA,41.885,75.834,"G",66.036,90,49.971,"G","Class4",59.007,43,22.792
34,65.243,57.948,85.961,"J",48.088,43,95.221,"O","Class1",22.297,89,76.133
71.2,87.592,61.088,49.444,NA,38.074,82,42.373,"B","Class2",40.714,27,19.09
73.779,48.452,38.565,75.38,"O",53.082,93,42.086,"H","Class4",59.512,73,8.837
68.807,33.302,11.745,45.978,"J",73.324,20,98.976,"L","Class3",22.994,80,48.986
23.497,59.734,3.102,64.697,"J",12.509,42,77.585,"O","Class1",27.177,89,71.334
82.177,96.084,40.505,72.013,"P",66.417,53,38.548,"L","Class4",55.248,42,22.471
4.036,87.016,62.99,16.097,"U",43.696,84,36.383,"Q","Class2",64.148,16,55.071
50.678,87.484,61.61,17.843,"X",60.59,86,36.047,"M","Class2",58.244,23,30.591
83.085,43.24,39.973,69.953,"P",58.483,63,52.388,"D","Class4",63.34,29,27.235
65.807,34.972,25.626,82.324,"D",74.413,21,97.827,"C","Class3",23.275,88,16.985
37.115,NA,67.537,46.665,"X",31.586,27,82.296,"E","Class1",23.655,89,74.52
56.108,12.128,23.09,35.491,"J",54.995,17,99.257,"C","Class3",36.046,66,-6.237
61.883,35.308,24.417,47.716,"Z",66.936,22,97.167,"T","Class3",27.02,86,74.923
16.121,87.496,63.008,52.104,"U",32.046,79,43.785,"P","Class2",58.174,38,35.678
67.596,87.42,61.239,44.214,"X",35.931,85,42.85,"P","Class2",37.625,56,45.955
25.429,NA,35.534,68.505,"S",18.794,22,62.898,"O","Class1",20.962,91,75.627
16.116,64.738,62.317,48.562,"I",33.583,21,64.577,"O","Class1",17.767,79,73.175
74.829,57.585,39.72,73.696,"E",62.306,70,52.001,"J","Class4",50.728,50,21.402
82.658,87.781,60.868,62.379,"T",40.888,83,47.814,"M","Class2",34.332,52,14.955
62.199,19.301,21.554,57.206,"J",65.041,11,97.952,"C","Class3",38.066,86,34.929
80.628,87.603,61.86,36.157,"R",41.734,80,43.147,"M","Class2",48.088,36,26.039
40.388,60.073,45.607,70.586,"X",17.447,32,75.632,"H","Class1",23.641,76,75.945
13.955,87.856,60.291,25.198,"X",44.282,85,38.414,"B","Class2",56.413,12,26.678
68.982,87.485,61.897,71.601,"R",34.725,86,39.111,"B","Class2",45.153,14,35.839
28.055,56.829,47.199,35.708,"K",35.972,28,84.406,"S","Class1",23.617,78,75.102
78.23,87.734,62.568,53.617,"X",53.009,80,44.796,"M","Class2",46.571,41,41.616
4.275,87.102,62.389,40.98,"T",44.655,82,41.588,"Q","Class2",53.862,53,42.677
36.734,87.689,62.288,65.564,"X",42.047,79,36.573,"M","Class2",50.958,24,37.851
73.581,55.049,40.279,79.797,"W",59.44,67,54.27,"G","Class4",59.995,28,33.348
48.375,87.807,61.187,46.307,"T",33.16,76,40.944,"P","Class2",46.722,50,56.894
65.261,16.606,37.054,42.631,"D",63.572,9,98.445,"T","Class3",27.72,66,57.471
66.083,13.33,32.544,41.789,"J",65.761,22,98.356,"C","Class3",35.378,72,44.9
83.984,87.977,61.613,25.03,"U",35.098,75,40.901,"X","Class2",46.409,8,30.02
76.895,81.439,39.364,87.704,"P",52.29,78,64.182,"D","Class4",87.865,34,22.02
57.665,45.863,40.877,70.282,"W",59.774,58,64.768,"L","Class4",54.141,60,22.191
57.928,56.833,37.569,57.971,"K",37.345,31,69.514,"O","Class1",19.517,74,84.788
61.394,9.951,28.313,44.275,"J",59.051,25,99.09,"O","Class3",46.71,59,90.894
18.685,67.745,41.898,77.456,"K",17.261,36,64.982,"S","Class1",22.039,63,72.186
