"KZN1","IHU2","POK3","FXI4","GDY5","FHT6","Output14","WZI7","VCX8","OYE9","PGS10","JZR11","CQD12"
17.992,59,55,72.752,58.12,57.554,"Class5","U",23.26,77.104,"K",29.758,37.973
21.612,52,69,77.979,60.518,53.284,"Class5","R",47.361,92.655,"Y",22.653,46.981
64.263,93,41,36.266,62.564,60.476,"Class4","N",NA,30.9,"M",7.685,53.712
30.256,59,46,80.434,NA,5.217,"Class5","O",48.048,71.921,"Y",26.023,28.743
71.837,33,59,17.827,57.68,13.533,"Class2","A",96.6,60.871,"W",49.703,82.203
67.089,55,45,18.977,63.509,21.215,"Class3","Q",84.522,60.726,"W",30.637,71.822
13.147,57,85,39.037,54.263,2.554,"Class2","X",97.618,60.784,"W",55.619,76.972
92.711,44,64,37.451,94.307,36.013,"Class1","G",41.55,77.592,"Y",65.509,79.888
76.696,63,68,35.759,NA,21.091,"Class2","X",93.597,68.085,"O",49.32,70.032
28.077,54,69,75.403,61.207,1.861,"Class5","F",21.785,93.697,"X",19.99,59.257
43.112,32,79,-0.832,66.52,13.299,"Class2","X",98.37,64.467,"M",72.636,64.712
63.823,52,89,15.282,69.554,17.306,"Class3","H",82.542,62.298,"Y",6.071,50.153
65.13,49,36,13.472,30.306,50.717,"Class3","H",69.636,63.489,"J",27.995,77.039
97.684,68,57,37.59,NA,64.508,"Class1","W",NA,83.025,"H",63.176,68.11
80.822,81,75,35.091,35.992,54.545,"Class1","B",42.641,68.201,"J",67.507,63.698
24.71,54,33,70.653,61.678,43.47,"Class5","G",42.569,71.824,"V",29.608,38.729
34.697,63,75,-0.801,59.501,15.044,"Class2","T",99.499,74.747,"Z",59.401,77.634
68.92,55,48,14.02,60.114,50.503,"Class3","H",84.17,58.698,"Y",16.701,88.042
37.052,66,88,27.985,66.421,4.396,"Class2","X",97.957,70.667,"V",72.721,69.922
25.563,37,61,67.677,61.195,21.446,"Class5","R",33.406,90.908,"X",28.783,47.984
30.391,58,75,94.546,61.67,37.841,"Class5","O",26.04,82.947,"K",22.107,54.811
56.582,77,42,35.859,47.247,63.976,"Class4","S",57.644,11.892,"J",9.124,55.062
27.231,33,79,45.023,68.683,4.487,"Class2","A",97.971,66.138,"W",64.581,79.318
47.649,35,86,111.013,62.534,26.061,"Class2","X",98.613,69.117,"Z",64.349,65.512
70.723,47,63,22.146,23.921,53.077,"Class3","E",78.214,59.297,"J",3.637,47.915
56.597,87,61,37.555,64.183,57.535,"Class4","B",50.531,13.029,"K",12.299,58.012
26.474,49,75,61.362,58.775,34.587,"Class5","G",NA,73.412,"V",28.491,43.276
69.397,53,83,14.394,63.811,44.649,"Class3","E",81.058,61.16,"J",12.943,47.181
34.112,94,46,36.9,NA,62.979,"Class4","N",57.799,44.803,"C",10.145,57.817
67.021,44,79,39.463,62.449,53.088,"Class1","G",43.788,77.249,"H",62.556,63.213
26.511,54,65,80.167,61.746,8.723,"Class5","O",23.093,83.126,"B",17.949,56.502
24.48,40,39,74.862,60.715,39.33,"Class5","U",47.935,90.381,"V",27.203,56.619
43.605,88,67,35.319,51.473,66.13,"Class4","I",59.851,81.579,"T",12.383,59.551
64.307,41,60,27.752,65.364,5.852,"Class2","T",96.478,73.253,"M",72.21,81.412
