"MTH1","Output15","LTM2","RWU3","CRM4","BRK5","APS6","WRZ7","PTG8","XFR9","TLJ10"
47,"Class2",47.45,75.073,"K",78.528,75.339,84.607,"V",NA,28.328
27,"Class2",47.253,94.242,"K",71.13,73.326,68.89,"V",35.519,29.682
73,"Class1",74.61,97.839,"Y",36.204,68.893,71.545,"V",31.837,36.769
29,"Class2",46.966,82.193,"I",77.283,83.407,55.572,"X",NA,29.221
50,"Class3",35.141,28.05,"C",26.193,85.726,70.431,"R",11.924,40.4
41,"Class2",45.387,85.396,"C",71.842,71.246,74,"I",46.633,35.047
14,"Class2",46.703,82.044,"O",75.599,87.034,68.009,"W",52.998,36.175
72,"Class1",77.749,64.389,"N",32.811,32.988,89.69,"I",31.709,33.557
47,"Class2",44.797,73.184,"K",72.542,72.423,58.55,"W",35.015,40.416
81,"Class1",70.164,60.079,"N",47.221,35.075,70.38,"I",34.987,29.019
84,"Class1",91.49,19.08,"V",46.836,40.077,80.267,"L",38.772,24.248
69,"Class2",45.968,83.281,"K",70.904,82.632,78.711,"I",52.724,35.924
68,"Class3",29.404,18.432,"J",26.868,73.002,69.499,"N",48.729,78.511
66,"Class3",34.85,10.822,"C",26.652,51.009,46.602,"N",15.73,63.619
70,"Class3",31.623,20.904,"W",27.365,87.57,60.14,"Y",50.099,70.667
27,"Class2",46.6,89.436,"O",75.452,78.667,69.416,"P",57.898,30.963
74,"Class1",81.703,22.845,"N",41.35,64.136,66.93,"I",32.558,36.717
51,"Class3",31.733,19.238,"J",26.286,54.975,74.735,"N",57.026,56.692
56,"Class3",34.801,20.725,"W",26.214,47.597,72.569,"N",72.407,56.322
80,"Class1",46.006,85.267,"V",39.764,36.795,83.627,"I",35.07,33.284
84,"Class1",65.561,61.688,"N",45.864,34.863,67.521,"L",31.368,28.41
32,"Class2",46.554,93.473,"C",69.363,95.483,81.72,"I",56.899,31.639
13,"Class2",43.763,70.856,"O",72.481,82.854,61.876,"I",26.663,34.059
71,"Class3",31.984,15.056,"J",26.248,72.181,76.699,"R",64.272,44.601
72,"Class1",51.331,34.345,"O",48.768,62.291,84.417,"S",34.06,11.254
60,"Class3",32.166,20.876,"I",26.614,61.138,73.565,"N",46.809,32.802
56,"Class3",34.679,17.652,"C",26.757,80.32,70.315,"X",58.86,39.545
67,"Class1",68.373,70.519,"Y",41.975,39.297,86.643,"L",38.596,24.38
49,"Class3",30.079,20.594,"P",26.571,70.426,49.314,"W",25.084,35.87
48,"Class3",32.442,22.245,"J",26.931,21.082,46.885,"X",32.663,59.688
73,"Class3",38.761,18.105,"J",27.102,37.738,66.519,"X",25.646,89.664
62,"Class3",29.465,22.752,"J",26.837,50.181,75.867,"X",40.279,52.208
59,"Class3",35.987,18.23,"J",26.504,16.788,53.59,"N",77.523,16.657
70,"Class3",35.44,18.941,"P",26.214,42.89,76.742,"W",63.425,66.822
81,"Class1",81.762,13.856,"V",38.925,21.185,87.052,"W",37.752,42.236
63,"Class3",31.631,28.4,"P",26.398,44.527,61.541,"R",64.914,38.269
58,"Class2",45.36,79.089,"I",73.177,85.014,83.68,"X",36.989,29.39
59,"Class3",34.148,17.426,"J",26.705,53.845,46.038,"Y",3.813,51.156
64,"Class3",32.599,17.95,"J",26.245,27.472,57.019,"Y",34.572,37.231
51,"Class3",34.438,16.946,"J",26.6,85.82,75.766,"X",12.183,22.199
68,"Class1",69.31,-0.118,"O",47.363,25.135,68.07,"L",36.815,35.488
75,"Class1",54.647,75.728,"N",39.74,54.409,75.491,"S",36.578,33.701
57,"Class3",31.362,21.71,"J",26.573,79.154,61.025,"Y",5.153,49.658
16,"Class2",45.095,79.435,"I",70.174,94.172,54.293,"W",57.642,35.52
79,"Class1",71.501,90.129,"N",36.717,35.973,78.312,"V",32.681,28.004
50,"Class2",46.567,93.839,"O",75.071,74.606,70.758,"V",27.793,36.467
82,"Class1",73.796,77.52,"U",36.503,48.446,80.954,"S",35.65,26.524
21,"Class2",45.618,81.186,"E",67.862,80.166,90.674,"P",50.831,34.255
71,"Class1",71.135,37.538,"N",42.36,45.095,75.912,"V",33.958,23.103
49,"Class2",45.865,78.761,"E",64.283,82.915,51.955,"W",29.055,31.921
75,"Class1",60.627,1.255,"Y",50.049,59.397,64.982,"S",32.129,25.927
15,"Class2",46.795,87.241,"K",79.089,87.936,56.328,"W",43.219,31.807
80,"Class1",62.37,51.249,"Y",41.887,38.992,88.48,"V",37.036,24.427
19,"Class2",45.547,91.723,"K",70.541,93.83,83.811,"V",47.866,26.465
53,"Class2",46.975,79.292,"I",71.061,89.703,67.076,"W",54.963,38.726
65,"Class2",43.029,89.897,"O",74.819,92.1,58.156,"P",31.459,32.641
66,"Class3",35.356,9.913,"C",26.548,54.86,60.703,"W",70.324,64.358
68,"Class1",71.751,24.492,"Y",40.79,38.706,75.961,"W",36.047,39.547
22,"Class2",45.664,86.264,"I",71.543,85.657,50.404,"X",34.923,32.878
67,"Class1",NA,38.929,"V",41.355,53.43,69.85,"S",37.645,22.144
66,"Class3",31.22,16.947,"C",26.301,22.056,50.454,"W",32.009,54.534
53,"Class2",46.269,66.712,"K",76.156,75.09,62.071,"P",38.081,34.335
35,"Class2",48.05,77.5,"K",69.67,78.691,85.581,"I",34.324,35.501
66,"Class3",34.831,24.92,"J",25.923,23.131,73.38,"N",21.744,40.571
39,"Class2",46.23,97.495,"K",63.147,87.866,86.168,"W",28.086,36.023
77,"Class1",66.223,58.409,"Y",42.722,55.4,69.77,"V",33.803,31.137
72,"Class3",32.545,23.696,"W",26.941,26.292,76.253,"Y",NA,39.845
77,"Class1",52.519,94.579,"U",37.32,59.956,85.287,"V",38.228,28.819
35,"Class2",46.373,96.044,"I",80.159,75.88,64.273,"X",45.471,37.055
68,"Class1",70.029,60.095,"N",48.329,37.688,69.241,"W",34.268,36.729
74,"Class1",80.399,36.939,"N",39.286,28.65,69.819,"L",37.237,41.347
71,"Class3",36.096,13.591,"W",26.811,79.341,56.329,"R",63.091,49.437
68,"Class1",60.712,17.508,"Y",48.869,63.233,67.11,"L",32.356,32.723
52,"Class3",36.912,21.388,"P",26.512,72.112,50.228,"W",18.364,51.194
70,"Class1",95.549,42.275,"Y",40.583,23.727,84.782,"W",31.361,24.926
71,"Class1",55.11,95.724,"N",40.431,68.648,89.448,"S",31.247,28.912
68,"Class2",42.848,81.355,"O",74.313,74.105,87.067,"W",32.689,31.396
82,"Class1",102.556,59.527,"Y",52.996,65.659,75.08,"W",37.641,21.239
64,"Class3",32.151,26.894,"I",26.494,34.797,74.975,"R",68.468,83.145
72,"Class1",NA,30.198,"V",32.72,66.615,70.553,"S",31.325,20.355
32,"Class2",47.678,89.769,"K",67.546,83.131,78.732,"X",28.461,31.413
77,"Class1",70.565,30.567,"U",42.74,21.627,84.611,"V",31.306,52.128
59,"Class3",31.875,18.66,"C",26.11,94.598,69.392,"Y",3.705,62.316
21,"Class2",44.697,79.974,"E",72.867,80.051,87.342,"P",29.485,32.628
58,"Class2",44.197,85.67,"I",72.271,92.544,84.436,"X",NA,36.588
49,"Class3",37.213,25.567,"W",26.154,49.575,56.682,"X",44.23,40.498
52,"Class2",45.951,88.432,"C",81.875,73.59,70.077,"X",32.404,32.162
78,"Class1",79.016,28.731,"N",54.365,44.654,86.626,"W",37.571,25.855
26,"Class2",47.446,86.793,"E",76.672,86.441,96.004,"W",39.297,36.237
56,"Class3",29.502,20.988,"J",26.101,73.64,68.938,"W",26.373,58.283
55,"Class3",31.34,21.77,"I",26.96,36.255,68.941,"X",62.05,68.231
16,"Class2",45.809,87.177,"I",72.94,76.471,49.891,"X",47.374,25.778
55,"Class3",34.95,17.508,"J",26.237,47.955,45.13,"X",39.265,36.328
52,"Class3",32.153,17.673,"J",26.801,65.095,45.577,"Y",76.923,75.039
48,"Class2",45.015,84.9,"C",74.435,92.499,95.436,"P",43.57,33.057
27,"Class2",45.642,98.058,"C",80.718,75.964,90.661,"X",40.766,18.653
63,"Class3",32.419,13.787,"C",26.777,79.384,53.142,"N",76.777,29.348
70,"Class1",68.403,55.717,"U",43.05,34.686,67.577,"S",NA,26.066
25,"Class2",48.565,76.02,"E",70.759,96.632,68.325,"V",26.418,33.21
55,"Class3",29.193,17.094,"J",25.723,92.22,64.024,"Y",73.372,65.333
79,"Class1",66.625,71.032,"Y",47.993,61.803,74.84,"W",35.394,20.522
39,"Class2",46.726,91.73,"K",73.297,83.728,52.206,"X",55.536,33.033
74,"Class1",56.729,41.472,"Y",38.527,29.365,75.516,"L",32.821,32.811
64,"Class3",33.235,22.369,"P",26.15,52.448,59.113,"Y",50.146,49.232
53,"Class3",32.553,28.532,"C",26.408,51.745,54.396,"Y",44.223,73.41
39,"Class2",42.836,93.752,"K",71.5,96.577,70.892,"P",52.987,32.351
61,"Class3",34.727,26.183,"J",26.216,76.095,64.294,"X",59.771,85.588
49,"Class3",34.925,16.963,"C",26.223,32.58,51.479,"N",55.526,36.963
82,"Class1",82.752,33.557,"O",30.859,37.82,78.59,"S",34.717,28.447
85,"Class1",67.375,106.402,"Y",31.671,32.182,68.877,"W",31.278,32.493
59,"Class2",48.409,91.962,"I",85.985,95.938,49.476,"P",53.586,23.957
63,"Class2",45.554,85.795,"K",74.722,91.393,66.62,"P",42.011,30.783
43,"Class2",46.517,88.476,"C",72.525,92.598,89.024,"P",25.558,30.949
74,"Class1",52.702,68.59,"N",48.501,52.696,79.623,"L",35.37,33.96
83,"Class1",64.829,62.934,"O",39.481,33.732,73.931,"W",NA,35.761
49,"Class3",33.723,20.656,"C",26.902,39.028,53.888,"W",46.563,28.265
52,"Class2",47.322,83.555,"C",72.903,95.665,57.479,"X",47.352,34.681
68,"Class1",72.151,26.369,"N",32.906,20.75,81.797,"W",35.448,30.878
64,"Class3",32.832,27.23,"I",26.807,96.681,50.92,"W",23.572,77.829
52,"Class3",NA,17.448,"I",26.441,44.102,68.815,"R",NA,67.362
74,"Class1",80.955,54.445,"O",49.887,69.167,89.718,"S",36.165,35.006
71,"Class1",40.007,-22.502,"Y",38.661,47.337,82.203,"V",35.642,40.146
