"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"D",43.697,56,18.409,11.36,17.293,62.178,92.389,85.076,"Class1",54.64
"U",67.344,12,20.312,56.24,78.574,39.05,50.957,5.707,"Class2",28.286
"Q",49.277,64,42.052,26.962,37.932,44.788,36.607,89.753,"Class5",65.778
"B",59.528,85,22.892,21.418,17.676,68.975,56.822,46.789,"Class1",33.595
"K",34.78,54,67.469,82.176,106.223,49.702,73.445,NA,"Class4",21.323
"U",46.551,13,10.045,50.805,58.586,18.902,75.168,1.07,"Class2",31.843
"B",69.374,34,98.64,61.637,88.996,77.272,55.377,7.272,"Class3",87.322
"K",47.144,70,46.956,88.109,7.729,51.268,61.114,47.73,"Class4",20.575
"Z",53.27,3,31.441,73.335,50.598,26.338,72.123,4.277,"Class2",42.017
"D",44.569,63,23.114,19.375,24.708,66.042,72.003,94.631,"Class1",44.699
"B",35.95,33,98.064,37.673,95.179,48.289,46.691,15.386,"Class3",94.542
"T",48.131,83,19.996,20.361,32.879,75.997,43.082,72.12,"Class1",41.174
"Z",64.172,4,42.465,58.883,62.574,55.106,51.059,5.441,"Class2",40.425
"D",50.739,13,35.427,63.944,65.668,43.483,51.934,5.002,"Class2",33.465
"B",47.977,35,95.903,59.418,99.828,54.204,58.353,18.97,"Class3",85.858
"U",60.021,20,14.544,84.887,72.154,26.753,62.918,5.257,"Class2",35.349
"S",39.869,26,27.404,76.267,73.288,39.651,75.915,11.213,"Class2",37.561
"Q",48.948,47,122.008,31.504,18.107,45.113,43.708,38.799,"Class5",56.051
"Y",76.091,14,37.206,85.787,55.04,26.384,57.56,5.076,"Class2",15.791
"B",61.232,81,25.053,9.421,26.285,71.283,79.727,67.929,"Class1",28.456
"S",56.066,19,51.117,88.996,66.706,17.691,75.69,9.838,"Class2",22.472
"A",77.748,32,95.217,67.806,95.985,66.891,56.684,7.871,"Class3",86.312
"C",19.459,20,47.729,75.516,66.316,51.461,45.745,60.793,"Class4",23.42
"A",13.05,17,65.712,76.117,76.303,51.248,67.665,57.686,"Class4",24.54
"Z",44.522,53,21.727,16.228,15.479,64.056,45.858,53.014,"Class1",22.235
"Y",78.848,34,98.063,64.769,95.843,72.41,14.781,NA,"Class3",92.048
"Z",45.622,24,35.878,70.786,68.765,39.227,72.118,5.302,"Class2",34.189
"N",48.683,16,66.308,71.497,53.761,36.598,41.325,53.899,"Class4",19.364
NA,62.001,34,96.532,79.053,96.699,64.002,57.04,11.72,"Class3",94.026
"N",48.707,56,45.726,33.464,24.977,48.614,33.247,76.577,"Class5",19.581
"Z",47.398,76,21.134,9.458,21.159,68.1,44.972,80.544,"Class1",28.443
"Q",50.909,61,33.76,29.968,12.948,43.016,38.911,49.13,"Class5",51.938
"Z",52.779,53,20.998,21.096,26.445,65.033,41.226,79.454,"Class1",36.566
NA,52.133,32,95.008,83.506,90.976,60.205,15.306,19.541,"Class3",83.91
"K",22.705,13,77.561,88.681,45.226,39.55,49.061,NA,"Class4",21.982
"L",76.059,35,91.96,53.739,96.201,77.758,18.836,NA,"Class3",96.591
"Y",38.342,24,28.527,69.989,74.596,32.704,69.024,7.326,"Class2",18.223
"A",55.93,35,98.362,85.989,98.554,47.763,22.257,18.897,"Class3",95.519
"B",34.465,35,93.159,92.849,94.018,55.503,43.296,9.107,"Class3",75.921
"W",50.568,52,21.721,26.783,42.802,50.111,27.932,50.242,"Class5",49.197
"Z",58.682,50,20.277,12.086,18.469,57.702,72.08,60.862,"Class1",39.746
NA,44.215,44,75.895,30.176,37.181,51.313,28.903,81.162,"Class5",49.129
"G",66.181,87,26.086,7.682,15.03,65.769,57.536,60.991,"Class1",52.491
"K",51.345,25,36.506,77.707,69.521,39.007,64.009,NA,"Class4",22.338
"A",26.34,36,35.518,71.505,43.944,52.21,41.919,81.209,"Class4",17.38
"N",50.751,68,119.049,86.627,33.464,47.57,70.435,72.476,"Class4",17.932
"S",73.235,8,31.992,75.783,48.185,24.233,61.656,3.742,"Class2",23.611
"Y",59.748,34,94.428,62.444,97.446,51.288,25.673,9.832,"Class3",70.353
"Y",51.515,5,54.177,62.482,56.001,44.437,64.427,9.161,"Class2",50.935
"K",51.423,65,55.871,82.93,97.614,44.932,57.814,50.96,"Class4",24.097
"U",61.382,15,7.039,86.147,93.696,35.804,71.201,3.057,"Class2",34.596
"L",15.984,36,47.464,88.409,48.712,39.89,44.651,54.17,"Class4",17.791
"U",47.26,15,40.977,47.844,75.35,30.545,58.187,6.145,"Class2",18.453
"B",38.715,33,95.568,82.321,93.623,72.266,12.575,6.896,"Class3",79.046
"D",35.184,34,94.251,64.901,98.647,64.969,54.505,12.801,"Class3",93.88
"B",44.087,79,24.504,8.785,8.054,66.822,69.906,67.282,"Class1",35.05
"Z",45.905,68,29.103,13.454,21.051,62.398,80.405,89.118,"Class1",39.86
"D",78.164,34,97.869,86.519,91.289,60.484,17.792,16.571,"Class3",85.558
"G",57.961,84,20.955,11.793,13.981,60.504,69.488,54.804,"Class1",33.29
"U",76.464,6,20.978,73.161,68.915,22.918,73.881,1.259,"Class2",40.622
"B",52.141,87,22.153,19.726,18.901,56.242,47.282,88.277,"Class1",30.139
"T",66.15,51,19.871,9.214,22.488,63.203,54.74,73.454,"Class1",25.793
"S",48.97,22,23.412,57.463,44.496,34.508,63.206,9.976,"Class2",46.189
"A",35.74,32,98.297,44.527,91.78,65.326,34.706,10.558,"Class3",92.493
