"BXE1","PFV2","EVF3","DCN4","LUK5","Output25","YVS6","WGI7","HFI8","JAO9","PKG10"
45.181,"H",83.311,32.342,35,"Class5",61.889,8.434,"R",86.533,97.278
32.049,"O",84.433,30.704,55,"Class4",7.152,29.338,"I",88.577,16.751
67.925,"Q",85.72,11.864,54,"Class2",62.348,77.653,"O",50.786,73.971
22.898,"H",83.33,32.682,48,"Class5",61.844,16.5,"E",89.436,97.619
78.616,"O",94.351,34.859,42,"Class3",81.227,79.923,"B",86.914,96.967
8.661,"F",44.773,4.34,70,"Class1",77.433,60.045,"M",48.693,26.993
34.772,"O",66.415,26.323,50,"Class4",20.699,45.179,"P",86.597,38.052
64.015,"R",84.435,33.452,42,"Class5",62.663,16.246,"E",85.636,97.452
74.82,"O",90.082,2.485,31,"Class3",69.072,78.09,"D",81.771,51.369
83.862,"G",99.394,25.839,23,"Class3",60.006,74.355,"U",86.076,53.772
34.572,"M",53.849,33.782,87,"Class4",17.138,22.907,"I",86.508,14.243
67.276,"U",80.491,23.72,49,"Class2",53.164,68.859,"Q",72.368,63.802
27.337,"U",78.768,25.507,85,"Class4",19.459,46.334,"H",87.384,28.853
8.016,"K",44.05,4.503,73,"Class1",70.15,14.799,"F",51.495,28.28
34.754,"U",57.962,25.009,69,"Class4",5.24,4.093,"P",86.534,30.778
67.558,"O",74.122,23.822,39,"Class2",54.917,65.549,"N",77.694,66.777
49.392,"U",81.707,33.283,28,"Class5",63.896,6.677,"B",87.901,97.43
74.658,"O",86.898,41.225,28,"Class3",64.962,73.272,"B",NA,53.163
77.521,"O",94.18,2.125,20,"Class3",73.186,78.506,"U",80.441,34.744
67.151,"U",84.532,17.726,33,"Class2",35.859,80.714,"G",67.667,46.881
36.51,"U",84.744,31.884,43,"Class5",62.049,12.909,"K",84.905,97.59
67.624,"F",78.865,11.344,63,"Class2",18.306,75.868,"G",75.191,46.019
8.758,"F",28.641,5.158,74,"Class1",75.429,17.627,"F",53.855,28.556
33.44,"H",82.272,32.8,33,"Class5",62.533,12.558,"G",90.132,96.962
35.217,"U",14.29,37.258,41,"Class4",14.263,5.032,"V",86.407,47.412
42.831,"U",84.075,32.058,40,"Class5",63.318,10.011,"R",84.488,97.738
73.283,"Y",88.328,2.915,20,"Class3",71.445,75.998,"B",86.22,66.819
7.533,"F",37.82,5.013,69,"Class1",72.785,45.167,"X",59.277,35.527
28.177,"M",71.936,36.318,52,"Class4",21.565,34.245,"V",88.847,38.445
35.044,"Q",23.532,36.54,55,"Class4",3.136,48.098,"V",88.639,42.139
7.351,"L",20.747,5.573,71,"Class1",74.442,29.871,"M",59.366,29.539
77.9,"H",86.809,31.769,22,"Class3",65.815,76.295,"B",89.69,59.104
46.48,"H",82.509,32.648,42,"Class5",63.046,5.893,"B",84.635,97.562
44.653,"O",64.605,28.884,65,"Class4",14.793,71.452,"V",NA,40.948
65.783,"F",79.25,21.606,67,"Class2",69.479,59.805,"Q",58.834,70.157
32.656,"H",83.703,33.48,50,"Class5",62.332,15.332,"B",92.357,97.875
69.261,"F",74.319,21.988,54,"Class2",56.589,83.102,"N",67.339,35.403
63.232,"Q",79.054,11.172,33,"Class2",35.523,74.016,"N",25.93,69.744
66.643,"U",81.281,13.652,46,"Class2",46.883,68.951,"O",37.382,78.48
30.037,"M",29.771,27.199,99,"Class4",13.998,74.134,"H",86.187,69.998
37.64,"P",84.024,32.282,42,"Class5",62.773,14.035,"B",86.006,97.059
25.173,"O",1.909,35.366,57,"Class4",17.528,6.031,"O",88.511,17.491
30.68,"K",42.833,29.051,62,"Class4",12.229,16.49,"H",87.892,1.728
9.441,"K",35.046,4.011,73,"Class1",72.503,29.973,"M",50.204,27.707
39.19,"U",81.979,33.18,43,"Class5",61.98,14.356,"K",89.004,97.588
32.143,"K",42.717,34.839,47,"Class4",-4.365,71.437,"O",86.386,30.151
27.263,"Q",20.582,39.152,87,"Class4",5.731,68.941,"I",88.773,15.038
37.097,"U",37.404,31.831,53,"Class4",5.909,60.248,"H",88.788,14.789
7.676,"L",49.63,5.605,71,"Class1",76.281,35.966,"M",57.463,28.293
9.549,"J",9.975,4.396,72,"Class1",73.095,28.776,"V",50.503,31.946
73.567,"A",94.054,45.609,33,"Class3",78.165,72.44,"B",84.133,62.016
7.372,"F",14.114,4.723,74,"Class1",72.262,19.012,"O",NA,31.033
38.858,"O",64.362,32.029,70,"Class4",15.535,79.149,"I",87.621,21.484
7.861,"J",55.126,4.913,73,"Class1",68.728,19.293,"O",60.578,33.687
33.897,"U",71.601,26.237,64,"Class4",16.972,62.936,"H",87.646,46.7
10.658,"J",30.817,4.412,74,"Class1",66.932,53.377,"V",59.687,28.231
78.928,"G",88.328,8.187,42,"Class3",69.479,83.158,"U",83.098,74.068
81.677,"A",91.823,5.092,40,"Class3",73.211,82.99,"B",81.825,85.984
30.06,"U",NA,33.076,41,"Class5",61.332,10.163,"E",87.535,97.916
82.926,"A",96.845,24.288,25,"Class3",76.422,80.571,"W",85.88,74.569
9.79,"T",40.001,5.745,70,"Class1",73.664,34.322,"O",53.988,25.752
78.9,"G",96.911,31.259,23,"Class3",71.374,78.876,"D",85.068,74.941
34.194,"Q",76.407,30.888,51,"Class4",14.009,12.22,"V",87.056,61.199
79.255,"A",89.51,31.606,39,"Class3",82.094,76.204,"B",82.307,48.266
68.416,"I",63.864,18.737,37,"Class2",63.981,50.867,"B",NA,78.83
72.536,"G",90.745,33.121,27,"Class3",81.227,78.234,"Z",89.367,62.81
35.119,"U",96.491,39.199,73,"Class4",9.319,3.229,"P",86.952,5.183
80.833,"Y",92.276,6.381,35,"Class3",76.674,73.355,"D",79.498,75.178
10.689,"F",28.558,4.833,71,"Class1",74.021,53.226,"F",60.122,33.472
66.935,"O",86.497,20.915,66,"Class2",46.668,56.051,"B",NA,60.45
25.824,"R",84.689,31.994,38,"Class5",63.535,16.138,"K",86.502,97.631
26.587,"O",51.401,26.964,64,"Class4",0.717,70.254,"H",86.134,20.942
9.406,"K",1.824,5.672,73,"Class1",73.662,44.009,"V",60.63,24.594
36.347,"Q",63.54,27.088,91,"Class4",-1.572,44.458,"H",86.427,10.145
36.944,"Q",23.128,28.184,78,"Class4",14.051,69.771,"I",87.396,54.938
8.398,"T",50.298,5.18,71,"Class1",69.879,63.791,"V",56.502,31.406
40.751,"U",83.402,32.412,33,"Class5",64.721,15.275,"G",90.939,98.216
8.726,"L",29.325,5.175,72,"Class1",78.947,70.516,"V",60.56,37.394
34.103,"H",82.883,32.764,36,"Class5",60.405,13.111,"K",88.456,97.124
32.576,"K",39.945,26.138,76,"Class4",2.932,17.529,"I",87.669,27.797
35.607,"K",24.165,26.87,53,"Class4",21.819,8.765,"O",86.033,33.653
7.413,"T",42.557,4.508,72,"Class1",72.366,37.655,"V",54.516,25.08
68.174,"U",80.623,8.015,54,"Class2",32.087,60.225,"G",31.976,65.655
9.552,"T",67.059,5.92,74,"Class1",73.788,57.001,"F",60.658,31.828
36.975,"N",83.397,33.208,32,"Class5",62.656,10.665,"G",NA,97.999
74.505,"Y",94.808,34.205,33,"Class3",76.174,77.325,"W",85.039,83.127
26.829,"M",58.88,32.124,38,"Class4",-2.545,79.88,"V",87.763,47.372
65.376,"U",75.167,11.621,39,"Class2",55.508,60.449,"G",23.17,76.862
66.542,"O",80.819,21.687,53,"Class2",56.874,80.781,"G",74.538,86.469
73.541,"Y",90.884,49.274,21,"Class3",77.02,76.793,"U",85.724,57.365
67.086,"F",81.268,23.981,34,"Class2",64.26,75.29,"Q",59.981,51.214
64.854,"O",77.969,24.662,52,"Class2",61.459,83.422,"N",37.308,74.346
64.885,"I",81.268,9.01,43,"Class2",13.571,57.906,"N",53.284,62.323
76.386,"G",91.722,54.282,27,"Class3",75.497,74.222,"U",87.75,44.154
36.766,"U",49.296,34.384,57,"Class4",10.219,27.263,"H",87.004,18.221
43.695,"H",84.301,32.901,43,"Class5",62.28,12.545,"R",92.937,97.609
71.778,"Y",89.765,63.94,36,"Class3",63.926,80.126,"D",83.692,57.413
81.987,"A",96.385,41.382,30,"Class3",75.267,74.539,"W",90.037,88.373
8.009,"T",44.298,5.971,72,"Class1",77.639,68.093,"X",47.414,33.53
41.499,"P",83.456,32.588,54,"Class5",61.881,11.66,"R",88.177,97.659
38.23,"N",83.523,33.136,43,"Class5",62.469,15,"R",NA,97.818
32.457,"O",42.425,33.287,55,"Class4",11.794,79.418,"H",87.34,19.48
47.887,"P",82.988,33.712,53,"Class5",63.025,8.261,"R",91.15,97.507
7.768,"J",54.302,5.816,72,"Class1",67.484,35.211,"X",53.608,36.712
73.765,"H",89.515,32.487,22,"Class3",77.152,71.648,"B",88.69,48.328
7.196,"J",14.24,5.802,73,"Class1",71.844,49.856,"M",48.817,29.313
33.528,"P",83.834,33.049,55,"Class5",61.452,10.459,"E",84.781,97.724
7.615,"K",25.86,5.909,70,"Class1",74.418,38.936,"X",49.216,32.011
80.95,"Y",94.255,4.685,39,"Class3",74.66,77.141,"D",84.433,80.967
35.481,"U",38.419,34.721,59,"Class4",8.482,4.055,"O",87.7,19.612
34.482,"M",57.654,39.829,38,"Class4",17.575,70.045,"V",88.651,7.735
73.717,"O",90.211,17.077,22,"Class3",72.466,75.447,"D",82.433,61.365
79.204,"Y",98.727,15.361,27,"Class3",64.34,74.047,"W",85.944,59.077
41.856,"P",82.883,32.454,39,"Class5",62.831,12.365,"K",85.217,98.236
33.997,"M",77.097,26.327,67,"Class4",18.18,59.664,"V",88.594,38.771
