"BIG1","FSM2","CKE3","PFE4","Output8","GSF5","AQD6","EMF7","REC8","CHK9"
28,69.457,79.47,65.19,"Class1",33.752,30.247,"V",94.158,56.769
70,63.819,24.418,59.943,"Class2",19.38,74.818,"Y",43.743,44.433
28,80.16,93.297,59.956,"Class1",53.636,34.416,"V",93.461,37.56
26,35.265,57.416,48.868,"Class1",47.238,33.643,"V",62.349,42.914
61,62.584,5.172,44.277,"Class2",33.036,73.508,"Y",53.441,71.892
29,74.314,53.682,64.098,"Class1",47.462,23.295,"V",82.793,39.386
54,50.69,22.665,83.814,"Class3",73.101,13.52,"A",45.08,38.099
29,62.237,70.651,49.188,"Class1",57.169,19.614,"H",81.659,45.527
23,29.208,90.973,79.191,"Class1",16.502,27.163,"H",87.484,41.28
61,50.488,15.927,89.477,"Class3",61.577,28.968,"H",54.64,15.467
62,63.27,25.813,16.244,"Class2",20.644,74.198,"Y",37.378,61.58
49,62.389,19.463,35.522,"Class2",27.177,74.906,"Y",67.249,44.34
58,50.247,47.382,75.539,"Class3",67.795,43.426,"H",50.857,19.287
28,69.279,81.425,NA,"Class1",38.693,30.669,"A",70.735,43.711
27,77.139,77.083,29.553,"Class1",11.836,23.059,"Y",69.421,42.472
26,27.423,90.57,77.491,"Class1",34.879,39.029,"V",71.783,63.879
25,61.478,95.656,83.308,"Class1",36.031,36.285,"T",76.619,57.842
24,45.118,87.218,49.991,"Class1",15.57,37.432,"Y",91.181,47.745
66,62.658,10.706,75.511,"Class2",22.845,73.709,"M",60.112,46.981
61,50.98,60.443,NA,"Class3",73.04,6.076,"I",45.959,17.342
29,62.647,NA,38.965,"Class1",25.186,39.768,"V",89.822,45.322
58,49.962,49.952,94.153,"Class3",62.369,6.785,"N",54.538,23.888
55,64.276,36.57,41.128,"Class2",33.473,74.902,"A",39.02,93.786
51,63.839,19.504,80.494,"Class2",27.98,74.834,"M",39.106,81.917
41,62.717,17.931,57.143,"Class2",24.258,73.593,"K",36.638,79.103
52,49.877,37.076,93.13,"Class3",67.742,22.721,"A",57.121,36.406
61,50.728,52.039,77.404,"Class3",61.892,47.305,"A",46.558,30.575
60,49.682,20.683,95.039,"Class3",61.878,42.614,"N",43.928,24.027
28,57.918,83.41,84.098,"Class1",64.196,30.52,"A",89.62,47.493
63,61.57,13.82,73.325,"Class2",16.51,74.815,"Y",46.098,56.66
60,50.092,25.642,78.316,"Class3",70.066,24.859,"M",63.894,42.035
28,48.782,86.739,75.833,"Class1",33.536,30.482,"H",79.321,48.532
61,62.153,32.986,42.906,"Class2",23.962,74.723,"A",59.747,71.152
72,64.113,13.919,10.875,"Class2",8.312,73.389,"Y",46.932,57.143
61,51.353,34.334,92.209,"Class3",65.292,34.196,"A",50.161,45.742
29,42.651,80.223,81.474,"Class1",65.535,25.291,"A",90.483,54.282
29,36.75,71.883,58.266,"Class1",58.924,39.091,"A",93.188,56.529
61,50.141,7.583,NA,"Class3",58.203,14.165,"N",45.454,28.523
58,50.58,58.991,81.565,"Class3",65.911,28.778,"H",60.982,30.557
24,81.821,86.581,71.267,"Class1",11.635,22.896,"A",82.815,52.513
25,42.944,65.959,46.977,"Class1",25.864,36.579,"Y",94.372,41.511
51,63.268,26.872,46.439,"Class2",35.958,74.536,"A",41.457,61.617
61,49.56,12.537,79.333,"Class3",60.402,41.508,"M",43.321,29.125
64,63.387,7.129,35.296,"Class2",27.578,73.658,"U",57.634,69.067
29,54.151,81.564,79.578,"Class1",45.587,32.914,"Y",61.459,35.085
70,63.749,15.969,33.606,"Class2",19.477,73.452,"K",62.875,56.299
58,63.104,30.205,64.713,"Class2",35.007,74.915,"U",63.22,47.657
52,63.729,23.981,11.206,"Class2",38.117,74.077,"M",60.432,71.795
24,69.9,62.58,90.729,"Class1",38.905,30.497,"A",61.404,39.667
54,60.133,NA,86.559,"Class2",32.396,73.597,"K",65.197,67.368
70,63.297,14.68,2.55,"Class2",36.539,74.156,"U",40.834,87.958
72,62.263,4.339,53.107,"Class2",35.16,74.752,"K",69.511,66.328
59,51.421,52.914,92.681,"Class3",63.929,17.28,"A",45.756,54.208
47,62.421,11.053,NA,"Class2",39.162,74.851,"U",38.654,56.388
52,49.871,35.21,84.421,"Class3",72.926,14.978,"H",56.513,17.414
52,49.813,55.937,90.116,"Class3",69.28,38.175,"N",40.152,16.984
23,68.565,69.699,61.708,"Class1",39.93,27.928,"A",71.035,57.581
59,50.686,29.588,87.243,"Class3",67.813,50.214,"A",50.157,39.366
52,48.991,55.625,83.983,"Class3",80.251,26.161,"I",59.145,37.219
69,62.144,12.946,-1.402,"Class2",17.258,74.389,"U",37.608,57.684
53,61.492,22.259,33.934,"Class2",26.363,74.662,"U",45.806,54.111
52,49.719,3.583,85.625,"Class3",67.792,45.168,"M",47.688,35.748
51,64.322,32.223,44.288,"Class2",17.199,74.052,"A",59.787,48.441
66,62.855,12.46,-7.51,"Class2",32.202,74.149,"K",63.128,72.171
56,50.25,NA,92.873,"Class3",64.911,31.291,"A",49.95,30.295
28,70.571,59.777,56.399,"Class1",60.32,34.425,"T",87.099,38.143
26,88.581,78.484,96.364,"Class1",27.166,26.243,"H",88.057,62.344
58,51.051,46.078,80.953,"Class3",70.041,15.046,"A",58.289,52.069
55,49.99,30.429,90.482,"Class3",68.788,33.326,"N",47.385,37.029
53,49.432,46.905,80.995,"Class3",74.318,53.364,"A",50.804,32.889
26,59.301,56.952,82.571,"Class1",56.671,30.677,"H",74.868,50.886
47,60.981,30.156,53.814,"Class2",35.995,74.441,"M",65.565,63.636
24,84.262,55.889,42.901,"Class1",-0.269,23.64,"H",92.649,50.794
25,42.94,96.394,NA,"Class1",20.392,27.395,"H",61.911,43.643
54,61.954,18.31,37.756,"Class2",13.804,73.347,"K",54.403,61.346
54,61.445,15.727,9.124,"Class2",23.777,74.295,"U",69.099,49.353
29,36.327,77.862,47.034,"Class1",24.705,26.597,"V",64.654,51.585
24,91.862,89.003,56.826,"Class1",35.478,39.36,"V",80.64,59.076
25,50.182,55.954,73.553,"Class1",17.645,39.616,"Y",85.272,48.384
52,49.538,61.277,75.475,"Class3",71.586,24.213,"N",65.85,32.557
27,59.003,85.974,45.347,"Class1",47.399,36.281,"V",87.717,48.694
61,50.716,6.647,95.607,"Class3",69.005,37.298,"N",37.184,12.546
