"VZB1","RDU2","QGJ3","QKH4","WKR5","MVA6","Output1","YEX7","RZG8","QIG9","BJL10","NLD11"
"N",22.537,80.343,54,40.917,79.377,"Class1",43.461,53.754,18,65.092,68.684
"N",33.427,68.523,55,36.226,80.965,"Class1",64.899,46.324,21,50.837,77.624
"N",67.054,75.747,52,46.089,78.098,"Class1",45.276,65.833,40,69.309,68.585
NA,48.555,36.703,54,16.124,35.332,"Class3",85.938,33.204,75,95.596,70.46
"M",57.331,77.54,48,37.882,81.522,"Class1",-57.75,37.628,37,44.421,64.037
"O",64.361,54.397,67,40.331,28.008,"Class2",82.654,61.505,63,62.428,24.35
"C",41.818,84.667,39,45.231,81.723,"Class1",86.895,42.368,23,50.564,66.667
"E",64.063,58.845,55,62.619,50.458,"Class2",81.068,60.024,68,43.7,31.874
"E",66.943,76.726,55,34.366,32.283,"Class2",82.791,56.247,68,10.842,23.528
"F",67.485,41.304,65,69.754,33.847,"Class3",81.226,4.45,84,98.392,70.278
"N",57.704,79.647,65,39.475,81.139,"Class1",61.787,45.422,36,55.721,60.005
"Y",78.42,58.109,63,30.889,36.266,"Class3",65.864,29.285,79,98.13,60.27
"Y",76.337,66.703,62,52.1,34.26,"Class3",77.466,22.038,75,96.24,49.309
NA,29.555,74.507,38,44.659,78.891,"Class1",22.804,46.904,12,57.596,63.817
"M",27.462,79.044,49,30.347,81.706,"Class1",87.875,28.004,24,53.848,63.767
"G",62.442,66.348,53,45.505,36.313,"Class3",69.589,35.173,77,98.215,57.145
"M",61.85,78.15,56,39.938,80.884,"Class1",33.095,54.053,21,19.897,71.101
"D",65.342,75.52,50,42.099,22.602,"Class2",74.652,53.322,71,23.3,49.769
"Y",47.98,30.857,66,59.751,33.865,"Class3",75.785,20.862,76,98.648,32.796
NA,64.286,47.224,59,59.389,54.606,"Class2",66.152,67.465,61,74.841,40.155
"J",45.484,17.368,57,29.156,36.578,"Class3",75.018,35.157,71,94.855,31.591
"S",61.438,110.58,66,33.511,NA,"Class2",80.949,59.661,77,38.159,43.857
NA,57.883,34.223,68,60.444,33.217,"Class3",86.255,43.88,77,94.13,38.411
"N",64.994,78.727,33,42.263,83.476,"Class1",43.626,27.843,27,26.857,59.129
"C",27.964,72.531,34,42.355,80.763,"Class1",14.334,43.732,14,37.079,70.434
"F",37.154,69.156,70,39.42,34.082,"Class3",94.995,38.144,86,95.6,53.204
"B",39.389,76.217,56,40.041,78.16,"Class1",44.548,54.066,28,72.46,76.55
"C",23.34,79.753,48,31.874,NA,"Class1",26.857,51.137,25,22.879,63.327
"N",33.122,77.142,39,46.402,81.269,"Class1",62.052,47.682,23,22.715,69.408
"D",62.353,84.644,52,33.946,40.185,"Class2",74.391,50.881,71,38.486,27.908
"B",48.414,81.552,40,38.731,79.002,"Class1",42.974,68.582,29,70.288,60.755
"V",34.869,67.767,67,41.505,80.563,"Class1",9.755,48.593,9,62.17,59.789
"F",59.231,39.805,63,33.133,34.726,"Class3",78.351,41.46,86,95.195,46.467
"D",61.949,108.708,51,44.356,27.397,"Class2",68.032,70.792,70,69.714,72.805
"O",65.524,18.957,60,46.184,37.214,"Class2",61.904,51.802,80,72.325,31.442
"V",51.397,78.899,42,36.423,79.076,"Class1",30.515,74.391,41,65.729,60.263
"E",63.071,71.006,63,46.045,76.304,"Class2",64.049,55.111,57,75.181,36.886
"C",32.719,77.302,59,37.753,82.852,"Class1",87.693,46.029,40,22.392,64.392
"B",34.811,77.443,66,43.099,NA,"Class1",28.098,41.55,38,52.968,60.947
"Y",57.976,59.068,52,51.901,33.725,"Class3",93.143,57.371,78,96.132,50.886
"O",62.264,49.237,54,55.179,76.079,"Class2",63.602,49.748,65,30.315,76.971
"N",20.598,81.07,52,43.883,80.799,"Class1",23.781,50.686,17,72.652,62.009
"N",48.443,73.915,53,34.783,83.105,"Class1",51.35,52.582,13,52.411,62.675
"B",30.822,76.049,51,39.985,82.914,"Class1",-0.287,36.438,26,63.173,67.75
