"GZQ1","WKS2","JDK3","VQU4","XVR5","DIY6","VSW7","Output6","QVW8","YML9","PYZ10","XJS11"
46.078,33.599,63.737,"X",59.346,60.227,18.479,"Class2","O",32.714,66,51.076
56.52,52.567,59.337,"S",71.358,45.117,38.972,"Class1","T",74.702,33,29.433
61.385,10.795,68.055,"S",57.257,30.828,48.072,"Class2","P",60.107,70,51.386
51.749,53.416,57.568,"I",50.21,37.631,48.889,"Class1","R",83.773,NA,55.138
54.036,54.131,55.759,"S",8.22,41.358,55.799,"Class1","H",84.396,38,77.351
60.731,49.049,71.015,"S",39.639,79.772,22.346,"Class2","I",55.512,88,50.305
32.666,6.444,55.199,"M",50.121,58.812,39.002,"Class2","I",39.118,79,52.649
52.71,51.725,55.388,"E",73.987,63.231,-4.601,"Class1","T",84.608,37,42.468
40.654,33.413,37.777,"S",33.104,36.642,30.348,"Class2","X",-3.525,66,50.866
38.13,33.794,48.02,"Y",31.577,-3.935,21.319,"Class2","O",42.751,77,51.743
47.694,51.6,59.096,"V",76.808,45.253,19.975,"Class1","R",79.95,33,74.998
47.846,50.466,56.711,"I",7.984,39.903,11.926,"Class1","N",83.617,40,55.469
49.236,51.353,55.312,"E",72.016,57.423,52.904,"Class1","H",90.447,41,69.345
58.947,49.97,59.438,"I",7.473,50.475,23.198,"Class1","T",89.691,53,60.883
60.31,54.713,55.949,NA,51.755,58.014,53.139,"Class1","R",67.957,53,76.172
28.77,16.455,33.792,"Y",61.548,39.173,46.125,"Class2","P",62.195,79,53.323
49.522,51.169,57.115,"S",13.273,60.407,25.791,"Class1","R",70.471,40,75.162
26.321,56.777,44.546,"I",56.104,11.005,30.375,"Class2","O",80.703,NA,50.475
64.003,52.06,58.112,"V",75.184,55.302,33.685,"Class1","N",80.425,24,54.473
62.243,54.958,55.251,"I",59.611,36.609,17.737,"Class1","H",86.373,30,47.465
56.699,4.642,50.316,"X",30.332,111.686,36.094,"Class2","P",80.509,84,51.138
19.441,56.214,37.647,"I",52.149,48.997,57.802,"Class2","X",101.905,59,50.385
46.941,30.946,61.631,NA,38.6,17.193,8.708,"Class2","X",50.641,65,54.147
57.401,34.607,53.373,"M",47.228,93.882,14.74,"Class2","I",60.701,76,51.742
61.005,58.469,78.065,"Y",57.524,47.488,45.942,"Class2","O",37.326,80,51.087
58.14,54.232,56.953,NA,59.689,51.663,60.367,"Class1","N",76.662,47,104.58
