"LCX1","OQP2","DAL3","ETB4","QGN5","EAD6","Output2","NER7","FKB8","YZR9","UAL10","XEO11"
54.246,40.201,28.517,26.103,56.779,40,"Class2",101.188,60.592,"M",28.181,14
53.303,86.033,45.173,94.36,76.221,65,"Class5",45.019,34.947,"O",55.15,79
49.555,78.627,54.087,77.92,60.918,36,"Class1",67.794,37.066,"E",33.113,45
59.939,66.238,22.724,58.81,43.115,24,"Class1",57.077,46.285,"P",18.355,70
85.277,73.537,50.113,101.567,78.217,46,"Class5",47.571,24.729,"Y",55.281,85
52.957,77.02,52.369,87.493,62.136,65,"Class1",54.456,46.455,"E",56.695,40
75.463,70.11,58.964,25.74,70.268,8,"Class3",19.353,47.816,"L",50.224,74
43.977,65.611,43.625,97.787,78.684,NA,"Class5",70.15,26.729,"O",77.476,75
77.542,74.978,48.106,98.332,76.969,32,"Class5",44.102,49.226,"O",71.512,93
53.036,29.939,69.329,61.065,45.159,26,"Class4",28.32,96.714,"N",59.568,38
55.126,68.32,49.68,54.38,43.422,23,"Class4",14.655,97.734,"U",53.987,6
58.43,77.62,8.848,21.882,69.723,57,"Class3",43.364,49.575,"D",44.785,74
59.648,24.909,49.771,30.875,51.767,19,"Class4",16.79,91.582,"Y",50.55,49
97.6,22.718,30.078,23.866,44.041,38,"Class2",37.391,34.425,"T",21.312,60
51.243,62.561,35.466,73.996,60.749,29,"Class1",51.778,56.453,"E",50.765,57
49.805,68.759,46.227,56.625,72.635,24,"Class4",23.846,92.392,"U",57.112,59
54.569,71.033,47.06,21.328,69.385,55,"Class3",25.932,47.944,"L",59.059,61
58.315,86.436,61.922,72.891,42.178,38,"Class1",56.79,39.45,"L",62.091,37
33.243,22.475,31.345,22.864,70.413,35,"Class2",102.857,43.62,"T",30.794,30
24.409,37.637,30.995,20.567,89.314,38,"Class2",76.016,63.782,"M",29.288,73
38.154,12.383,29.505,17.631,91.788,NA,"Class2",88.286,37.596,"M",29.626,80
104.053,106.048,44.781,93.637,78.278,50,"Class5",77.49,26.13,"E",73.382,71
47.011,72.046,17.192,22.063,69.789,30,"Class3",30.337,47.138,"L",34.166,60
