"DUW1","BSO2","YVC3","ATJ4","QCL5","Output24","IWX6","NQY7","CDB8","SOY9","AOF10","EXH11"
8.85,36.035,34.845,42.258,40,"Class4",68.206,96.389,59.37,81,"W",58.971
10.771,30.411,35.539,11.324,32,"Class4",68.349,59.192,6.634,77,"W",72.886
77.918,79.215,41.918,19.165,48,"Class3",74.939,71.033,42.198,78,"W",48.724
38.257,68.35,85.268,33.397,79,"Class2",32.077,72.708,14.272,84,"Z",73.171
80.675,60.258,68.658,52.985,79,"Class2",16.096,85.604,24.495,82,"J",64.995
70.021,73.151,41.442,25.107,47,"Class3",32.07,77.598,65.774,78,"G",62.707
73.662,80.786,41.602,28.377,31,"Class3",65.846,79.532,47.728,80,"R",94.524
69.839,59.427,78.967,56.386,80,"Class2",17.072,39.746,22.569,82,"Z",75.283
58.938,17.63,22.334,22.812,48,"Class1",14.84,52.906,6.642,12,"N",42.824
9.618,35.688,35.524,43.8,34,"Class4",58.964,75.472,69.473,70,"B",68.884
56.697,61.562,71.078,66.89,79,"Class2",22.383,71.877,27.359,89,"M",71.088
81.995,75.451,41.174,33.088,28,"Class3",68.204,74.957,63.83,92,"H",39.079
64.409,75.819,58.12,31.267,80,"Class2",26.107,51.747,7.54,87,"M",64.06
82.23,61.536,73.883,35.145,79,"Class2",19.261,32.167,16.547,89,"J",67.553
39.93,57.994,73.207,48.944,80,"Class2",27.668,46.1,29.404,91,"M",75.768
80.416,55.486,74.295,54.028,80,"Class2",30.29,85.951,13.746,91,"Z",67.158
10.007,31.43,37.019,26.196,41,"Class4",82.772,33.245,16.756,65,"B",64.198
69.041,72.949,41.743,17.799,33,"Class3",71.331,66.984,31.359,94,"W",31.246
9.786,31.346,35.451,26.037,78,"Class4",85.093,18.6,5.035,75,"W",-0.093
51.46,76.238,42.176,32.276,56,"Class1",16.231,68.391,8.624,30,"U",24.431
NA,33.172,35.13,60.011,53,"Class4",72.416,70.158,29.319,71,"H",63.233
78.295,87.507,40.957,29.823,38,"Class3",36.397,80.848,49.908,98,"H",75.55
57.818,53.496,79.132,32.858,52,"Class1",11.749,71.927,7.03,20,"A",63.542
60.072,69.63,72.101,21.405,33,"Class1",14.186,58.245,6.388,28,"N",39.841
78.828,76.473,41.104,37.049,23,"Class3",61.083,64.167,23.177,82,"H",61.094
NA,64.642,68.985,53.402,80,"Class2",23.76,19.764,42.611,82,"Z",70.968
8.515,33.554,36.124,82.477,32,"Class4",65.187,100.692,65.831,67,"H",41.182
44.407,64.917,69.007,35.094,79,"Class2",19.858,77.653,19.576,86,"O",68.281
80.888,78.153,41.073,16.33,28,"Class3",43.253,75.066,42.987,98,"W",58.336
9.014,31.942,37.871,67.857,57,"Class4",71.647,127.175,10.515,83,"D",84.455
8.15,33.108,34.569,73.267,20,"Class4",74.98,42.365,18.009,66,"H",100.794
9.108,29.418,36.095,70.576,72,"Class4",73.585,51.946,20.032,79,"B",77.882
70.748,80.799,41.484,35.44,23,"Class3",55.875,64.707,37.897,99,"Y",67.776
79.796,81.54,41.262,18.075,35,"Class3",46.831,69.044,71.414,89,"Y",79.533
52.94,43.654,-1.615,29.899,38,"Class1",16.512,-10.8,8.264,34,"H",37.301
9.189,32.832,36.319,72.096,77,"Class4",79.411,30.263,15.525,70,"K",40.249
77.198,84.154,NA,35.131,40,"Class3",67.344,94.31,61.712,97,"G",75.164
9.561,31.823,36.033,35.452,21,"Class4",81.101,49.1,71.013,73,"H",89.954
63.473,74.264,74.991,68.871,80,"Class2",32.538,44.154,33.663,90,"M",77.676
81.857,78.98,41.046,23.49,49,"Class3",59.01,76.685,8.398,84,"R",85.19
70.939,83.823,41.604,16.731,45,"Class3",71.832,84.263,20.427,91,"R",59.234
84.687,78.89,NA,25.04,46,"Class3",72.552,62.1,34.681,82,"G",81.851
82.417,89.177,41.617,27.999,44,"Class3",35.946,68.138,68.125,97,"R",54.296
8.83,32.118,35.617,94.412,88,"Class4",62.904,38.174,67.177,81,"B",38.071
64.839,66.593,71.125,67.561,80,"Class2",25.182,69.941,9.687,81,"J",74.915
57.828,70.784,75.128,24.916,79,"Class2",16.273,53.192,29.895,81,"K",71.188
10.579,30.54,36.506,40.398,16,"Class4",59.111,105.62,56.489,77,"W",61.339
59.453,-9.174,42.049,34.218,7,"Class1",13.937,34.509,6.866,11,"H",102.888
51.029,40.611,82.399,35.051,29,"Class1",16.374,57.909,7.809,12,"A",29.553
56.186,64.555,72.886,55.973,79,"Class2",26.794,51.547,39.847,80,"M",73.097
72.8,84.952,42.005,18.166,44,"Class3",87.149,84.615,87.092,90,"R",107.333
9.227,31.944,34.983,90.326,47,"Class4",73.146,42.859,29.583,73,"K",47.18
47.4,60.908,74.804,55.918,80,"Class2",14.927,52.077,35.76,86,"J",66.878
46.996,8.074,10.757,36.459,27,"Class1",11.144,68.953,7.408,13,"N",44.127
55.67,64.429,54.584,26.663,43,"Class1",16.392,73.078,8.932,19,"H",98.587
78.477,78.659,41.392,19.547,33,"Class3",65.205,78.746,13.458,88,"Y",82.398
8.823,31.852,35.484,45.351,17,"Class4",84.343,75.549,36.097,67,"W",72.602
55.661,47.907,71.287,25.852,7,"Class1",12.221,77.1,8.651,7,"N",69.591
44.016,68.797,79.782,22.172,79,"Class2",22.107,101.685,11.157,83,"O",75.714
9.932,33.488,35.564,10.645,20,"Class4",72.636,70.998,69.266,82,"B",70.533
84.345,79.915,41.37,35.141,43,"Class3",46.188,73.958,19.295,94,"H",58.234
72.988,81.998,41.566,29.411,27,"Class3",49.577,74.921,10.645,85,"Y",67.62
37.379,59.59,79.435,48.009,79,"Class2",23.506,59.234,17.848,83,"Z",63.741
10.181,29.609,34.814,89.574,66,"Class4",63.869,46.109,41.745,86,"K",42.1
9.917,34.745,35.222,40.229,63,"Class4",78.004,57.042,70.6,76,"K",29.403
72.1,72.191,61.321,34.977,79,"Class2",31.751,100.688,27.025,85,"K",70.132
81.105,76.258,41.481,19.472,41,"Class3",36.14,63.272,26.219,100,"W",71.965
84.662,77.001,41.521,29.338,29,"Class3",32.368,72.473,63.013,82,"R",73.276
34.842,72.991,64.901,59.394,80,"Class2",30.478,38.374,16.623,88,"Z",72.161
39.774,71.744,75.616,40.601,80,"Class2",30.85,65.994,32.121,90,"J",65.361
9.679,37.056,34.275,28.217,62,"Class4",68.365,59.833,40.564,66,"H",48.735
79.945,67.132,69.035,70.966,80,"Class2",18.099,86.955,9.223,86,"J",73.225
79.353,79.525,41.556,31.07,27,"Class3",35.58,80.411,29.325,90,"G",49.767
49.786,28.75,32.509,37.316,17,"Class1",11.411,19.172,6.439,24,"W",66.865
47.283,41.72,5.19,28.207,22,"Class1",13.977,76.022,8.95,14,"A",26.634
64.791,69.274,74.399,31.25,80,"Class2",19.936,65.215,9.839,87,"O",77.54
53.008,45.012,51.093,23.733,8,"Class1",16.859,70.043,8.079,28,"N",51.695
8.631,27.246,34.765,66.203,73,"Class4",83.064,58.492,39.649,72,"W",58.457
62.387,72.049,80.989,30.542,79,"Class2",15.794,62.703,6.522,84,"M",73.212
79.095,81.602,41.588,30.079,35,"Class3",48.576,71.217,94.076,95,"R",62.495
82.661,83.472,41.685,37.372,43,"Class3",75.552,88.957,52.887,83,"Y",79.587
74.162,79.325,41.386,23.792,41,"Class3",39.682,89.14,35.695,82,"R",7.225
8.41,32.067,35.773,69.76,22,"Class4",61.313,38.174,71.499,81,"K",42.654
38.927,66.936,83.224,28.522,80,"Class2",27.049,28.296,8.798,89,"Z",67.197
55.209,67.573,69.072,44.622,79,"Class2",26.462,56.582,30.294,81,"Z",73.392
60.578,64.347,64.568,30.033,6,"Class1",14.405,45.038,7.053,14,"W",19.81
9.759,33.932,37.242,18.635,83,"Class4",82.75,84.379,15.531,85,"B",80.898
9.738,32.938,NA,38.895,90,"Class4",72.949,27.5,21.65,84,"H",105.999
75.036,77.165,41.4,31.835,36,"Class3",37.298,72.864,59.198,96,"W",73.488
55.57,64.042,71.108,51.913,79,"Class2",21.055,73.662,29.58,80,"O",75.805
75.556,79.813,41.292,18.976,37,"Class3",57.164,75.77,9.706,82,"G",70.852
50.343,87.196,32.163,25.375,58,"Class1",14.037,36.406,6.357,9,"U",32.877
72.119,78.233,41.471,25.999,30,"Class3",69.26,75.665,69.864,80,"W",85.173
9.758,31.802,34.226,72.284,49,"Class4",78.295,35.553,17.771,77,"W",79.097
79.37,60.432,70.138,42.315,80,"Class2",30.804,10.777,36.166,87,"O",78.005
10.211,30.243,35.077,81.005,70,"Class4",63.749,80.724,61.307,80,"D",60.858
46.647,75.326,109.711,26.783,46,"Class1",13.24,60.347,6.49,28,"N",34.743
56.371,50.383,17.742,20.239,19,"Class1",16.85,16.018,6.225,11,"A",50.407
48.852,41.364,59.05,35.049,34,"Class1",16.607,30.039,7.135,25,"A",25.287
10.577,29.464,35.612,48.978,85,"Class4",68.924,4.351,10.389,81,"B",62.909
47.644,45.047,22.67,20.25,48,"Class1",12.075,27.092,6.16,36,"H",50.321
85.936,85.505,41.194,37.738,47,"Class3",89.261,79.939,68.042,91,"R",42.088
48.187,43.221,16.778,25.879,57,"Class1",11.275,88.557,7.67,6,"W",49.473
46.424,67.907,68.152,34.372,80,"Class2",31.01,52.325,10.692,83,"M",69.589
74.028,61.398,60.454,43.832,80,"Class2",30.699,105.861,37.08,91,"J",72.12
56.761,35.028,-7.734,33.729,13,"Class1",15.918,22.178,7.029,26,"W",48.528
