"OWE1","HKA2","PXA3","KWV4","IDA5","KEC6","YGR7","UVD8","ZFL9","ESN10","Output18"
"T",45.488,53.382,70,49,67.669,38.908,86.755,39.301,57.349,"Class2"
"V",53.16,62.091,50,48,60.44,27.099,27.51,74.918,65.092,"Class4"
"S",12.413,19.537,34,5,88.533,78.984,83.548,66.386,45.401,"Class1"
"Q",77.162,64.404,16,35,16.435,34.355,63.406,11.858,65.692,"Class3"
"Y",53.425,49.227,59,65,55.733,43.333,75.24,43.626,23.87,"Class2"
"F",63.838,37.505,68,32,54.903,47.868,48.947,89.914,65.794,"Class4"
"P",52.408,51.02,59,51,66.726,40.116,76.128,34.703,17.088,"Class2"
"K",60.133,62.859,30,23,48.248,32.395,55.086,15.512,51.869,"Class3"
"Q",78.257,50.66,30,34,31.036,41.74,84.592,14.846,62.218,"Class3"
"E",59.266,54.909,66,57,86.281,44.955,87.573,33.999,49.351,"Class2"
"H",9.835,15.267,84,14,94.572,83.686,67.758,74.65,39.003,"Class1"
"V",53.443,26.06,68,14,99.476,83.398,55.471,63.752,22.871,"Class1"
"S",44.475,54.544,54,45,80.8,40.552,79.246,42.842,30.668,"Class2"
"J",90.943,75.562,33,24,30.763,52.925,64.216,10.761,78.369,"Class3"
"H",43.441,15.417,57,15,94.718,81.662,52.065,58.197,2.232,"Class1"
"O",17.969,17.342,70,10,77.526,89.875,37.582,73.742,72.339,"Class1"
"J",57.926,65.886,37,40,44.85,47.395,92.336,15.659,67.428,"Class3"
"X",64.741,39.892,49,49,52.826,29.352,26.245,58.964,71.729,"Class4"
"V",23.788,19.291,90,12,82.365,82.59,63.063,58.956,10.192,"Class1"
"X",58.099,53.426,58,5,42.397,31.657,57.962,93.609,69.924,"Class4"
"E",41.657,48.758,66,55,80.032,38.1,82.877,37.355,35.913,"Class2"
"E",54.735,51.695,60,56,104.138,38.075,76.159,49.823,26.545,"Class2"
"X",41.998,60.237,71,46,33.303,39.577,46.89,79.468,66.368,"Class4"
"F",8.442,52.217,51,39,33.129,40.195,45.214,91.996,68.453,"Class4"
"P",48.797,51.434,53,57,66.342,39.282,83.344,32.321,5.052,"Class2"
"V",-3.463,56.896,55,36,42.281,46.569,40.677,87.92,64.262,"Class4"
