"IGZ1","YFS2","KQE3","FYH4","ZUQ5","WZC6","AQT7","YWK8","BWF9","Output9","UOC10"
72.691,-0.114,16.481,54.423,27.34,67.022,8,43,"D","Class3",51.778
86.12,34.856,52.866,61.77,47.1,81.598,10,78,"O","Class1",71.163
18.856,76.649,69.872,0.926,62.167,84.874,49,43,"V","Class2",67.322
75.91,82.961,54.073,0.536,67.965,60.208,29,38,"D","Class2",14.277
86.023,28.881,51.375,59.112,46.492,64.305,11,76,"A","Class1",70.065
76.372,7.01,32.903,42.767,32.569,72.585,15,37,"M","Class3",54.379
83.45,34.815,52.229,61.712,47.858,88.015,10,52,"O","Class1",71.121
14.723,89.003,80.125,1.111,73.675,67.752,17,37,"W","Class2",65.613
75.324,21.684,21.101,70.643,95.663,31.117,1,39,"M","Class3",50.724
83.841,27.717,53.307,59.982,53.191,64.122,10,82,"Z","Class1",71.091
86.217,31.999,55.153,61.837,42.252,56.127,11,53,"Z","Class1",70.968
89.981,18.86,31.236,50.088,19.507,38.384,19,43,"X","Class3",51.756
73.622,81.105,58.45,0.047,70.61,67.244,56,55,"F","Class2",13.954
87.817,18.624,16.742,22.077,55.361,68.059,27,40,"T","Class3",50.788
82.146,31.866,54.311,62.015,54.555,53.952,11,53,"Z","Class1",71.965
82.921,18.555,21.609,51.341,69.467,22.808,33,39,"C","Class3",49.626
84.28,31.054,54.935,59.87,42.736,61.039,11,73,"O","Class1",70.95
84.637,26.047,55.998,61.652,63.097,69.644,11,86,"Z","Class1",71.258
49.403,80.051,65.184,0.512,73.798,61.921,17,24,"C","Class2",44.76
84.604,30.537,54.801,57.132,NA,56.938,10,55,"Z","Class1",71.669
32.253,76.633,63.885,1.022,74.191,58.557,79,64,"V","Class2",6.199
86.04,32.497,57.223,59.477,57.046,69.652,10,62,"K","Class1",71.994
84.43,35.927,48.643,58.951,42.306,57.489,11,79,"Z","Class1",71.047
80.064,17.134,23.793,55.57,18.084,35.184,31,46,"T","Class3",53.22
84.422,26.188,47.713,56.549,60.815,67.887,11,70,"A","Class1",72.062
