"GKT1","EVL2","TVU3","KAM4","OMD5","Output5","UVT6","KTN7","JQW8","FJI9","XOR10","GDI11"
"J",10.416,26.076,40.36,49.676,"Class1",51,47.191,45.835,52.647,49.031,"M"
"E",24.918,1.36,53.281,57.173,"Class3",84,84.382,52.611,14.81,54.75,"U"
"W",28.083,20.766,66.167,21.057,"Class3",77,80.275,27.686,50.831,43.233,"N"
"F",7.958,49.233,45.407,22.262,"Class1",70,38.064,46.25,36.9,60.151,"E"
"P",5.131,43.951,50.051,51.232,"Class1",41,34.353,48.259,38.344,71.401,"N"
"H",36.488,53.424,37.617,71.199,"Class2",48,87.806,50.529,85.714,29.447,"M"
"X",10.673,36.849,54.748,67.372,"Class1",42,47.217,48.645,45.771,61.7,"N"
"F",14.057,46.296,31.38,24.904,"Class1",67,32.178,46.049,40.801,55.268,"M"
"M",34.403,55.072,41.162,69.589,"Class2",53,71.133,37.745,90.392,75.612,"Y"
"I",34.706,55.185,39.151,52.149,"Class2",45,83.186,61.514,87.075,66.33,"M"
"X",33.589,50.319,36.662,79.181,"Class2",50,92.808,15.343,92.431,30.768,"B"
"I",27.163,53.516,36.563,75.309,"Class2",41,82.292,40.948,88.487,40.589,"Y"
"G",29.75,51.152,33.226,71.001,"Class2",35,92.918,20.796,91.219,54.497,"B"
"G",42.402,55.526,32.919,86.812,"Class2",47,93.247,75.211,88.392,56.382,"B"
"I",33.663,51.597,38.656,51.757,"Class2",40,75.891,30.086,93.86,40.881,"B"
"E",7.882,26.582,48.426,87.213,"Class1",65,42.157,47.493,40.265,65.987,"B"
"X",30.309,48.675,40.473,86.432,"Class2",43,100.52,15.14,91.908,50.049,"H"
"M",36.75,49.574,36.793,46.45,"Class2",49,77.455,63.469,87.982,34.158,"H"
"P",9.461,51.981,34.66,39.814,"Class1",40,41.969,47.737,25.292,91.025,"N"
"P",-0.685,40.027,29.915,25.975,"Class1",59,38.17,46.275,32.318,72.368,"B"
"V",32.278,14.432,37.986,24.761,"Class3",73,80.254,35.792,52.137,52.605,"E"
"E",12.196,47.688,24.192,63.717,"Class1",41,29.74,48.055,39.998,51.794,"M"
"X",34.286,53.859,34.696,57.434,"Class2",35,62.277,53.402,88.663,52.773,"Y"
"F",40.871,29.573,36.144,19.065,"Class3",50,84.757,40.214,39.101,45.243,"P"
