"YLU1","CRS2","GMA3","OLA4","Output13","OWP5","GVZ6","FHC7","AOQ8","QMC9","TKA10","UJR11","IBX12"
32.84,29.56,59.295,55,"Class2","Z","Y",55.525,11,45.571,36.856,35.319,24.976
38.848,29.993,73.57,86,"Class3","G","M",90.118,74,41.317,22.512,20.481,34.3
23.531,88.84,31.187,63,"Class1","I","C",59.246,57,32.532,3.716,24.591,70.21
28.768,26.054,51.552,54,"Class2","S","X",31.801,10,39.46,3.416,66.437,64.997
27.979,60.554,43.787,60,"Class2","S","E",40.463,10,47.969,77.734,33.159,11.608
5.893,79.671,6.362,96,"Class1","Z","H",63.443,52,33.073,1.653,72.873,69.163
5.963,39.531,28.136,81,"Class1","I","C",63.416,NA,27.212,1.59,67.756,68.676
31.962,61.757,47.048,55,"Class2","Z","F",48.51,8,42.197,46.375,61.636,22.588
53.67,59.969,73.17,78,"Class3","P","M",80.832,73,39.386,23.255,37.819,31.704
27.445,56.034,39.635,60,"Class2","T","E",49.175,11,39.035,6.745,18.905,68.02
82.884,53.477,80.143,87,"Class3","G","F",82.683,73,39.693,24.117,21.448,25.982
57.157,36.035,73.24,85,"Class3","G","F",84.685,70,40.327,27.811,38.741,28.392
24.004,46.444,73.271,69,"Class3","T","M",72.535,71,39.882,22.86,39.816,157.307
48.856,52.798,90.22,81,"Class3","A","L",75.97,80,39.402,30.967,32.421,35.591
26.15,63.68,46.532,47,"Class2","S","Y",29.507,8,44.929,34.514,22.166,24.326
17.01,21.594,27.841,61,"Class1","R","D",54.569,53,30.733,1.437,60.116,69.215
20.342,95.823,28.79,55,"Class1","K","D",59.624,55,40.032,3.109,24.601,62.079
52.672,47.299,73.469,69,"Class3","Y","M",86.436,78,39.796,33.579,28.071,54.788
5.76,21.423,24.358,42,"Class1","H","H",54.989,55,8.867,1.22,63.197,64.728
NA,82.094,16.573,91,"Class1","R","H",60.504,54,23.832,2.52,47.053,71.105
35.873,39.655,56.26,46,"Class2","J","E",55.635,11,44.685,99.282,55.668,28.235
26.004,56.054,60.994,51,"Class2","S","F",39.631,9,31.555,40.834,63.936,69.046
19.118,62.917,9.751,94,"Class1","Z","H",51.481,57,3.476,1.661,61.796,63.279
89.697,46.2,80.697,70,"Class3","A","K",85.99,75,39.738,18.058,32.523,42.384
31.776,47.29,48.6,59,"Class2","T","Y",48.865,8,46.537,37.405,58.528,47.67
30.441,35.951,46.654,46,"Class2","S","O",34.12,10,44.491,31.378,41.177,95.575
10.846,61.324,27.794,84,"Class1","H","I",65.297,53,21.703,4.843,49.142,69.228
8.09,48.633,95.11,74,"Class3","Y","F",77.724,67,35.28,19.164,31.861,56.044
24.367,32.672,45.521,60,"Class2","S","O",33.722,8,49.231,92.205,62.712,8.35
30.272,53.003,49.369,46,"Class2","J","O",47.238,8,43.969,31.999,25.777,88.238
27.651,57.701,52.29,49,"Class2","R","X",36.71,NA,51.86,40.002,25.346,53.787
28.793,50.659,48.074,56,"Class2","T","E",53.636,11,41.609,85.344,25.347,7.448
36.44,39.641,85.512,68,"Class3","Y","F",88.069,79,37.446,27.289,37.859,55.267
11.295,67.386,21.914,51,"Class1","I","C",57.443,58,36.38,2.298,53.985,71.279
24.156,47.923,43.82,60,"Class2","J","X",46.849,11,40.63,58.729,51.932,9.788
6.286,39.346,37.522,69,"Class1","I","C",61.221,58,29.202,2.224,73.008,62.859
9.347,34.593,77.034,69,"Class3","Y","M",88.001,76,36.339,30.535,36.625,24.215
6.243,88.163,15.137,77,"Class1","K","C",62.041,56,26.517,1.657,51.723,71.275
23.873,49.021,47.455,47,"Class2","T","O",27.479,9,42.641,97.203,52.852,-1.645
25.645,66.744,43.67,52,"Class2","S","E",43.969,NA,48.029,11.127,51.892,36.09
25.312,35.831,24.986,75,"Class1","Z","H",60.038,58,28.441,1.858,56.153,73.387
NA,75.917,25.945,93,"Class1","H","P",63.639,58,38.825,3.57,26.159,66.604
61.789,35.441,70.046,75,"Class3","Y","K",73.517,73,43.484,20.68,35.591,29.786
11.948,71.722,37.394,42,"Class1","K","D",51.321,54,32.868,2.334,46.802,64.866
26.494,52.287,57.327,95,"Class1","Z","D",56.943,52,11.25,2.269,65.496,68.942
18.611,65.067,74.994,87,"Class3","G","L",87.243,74,37.625,26.34,26.945,82.74
25.384,29.703,73.889,54,"Class2","J","X",38.24,9,51.456,43.651,44.863,51.994
29.054,46.818,65.095,44,"Class2","J","E",43.564,11,42.808,48.135,23.881,38.939
18.735,59.038,79.743,79,"Class3","G","L",90.43,74,39.994,20.625,31.057,57.254
8.38,45.444,67.525,68,"Class3","A","L",88.512,65,38.254,28.696,38.134,51.847
80.244,46.183,83.369,69,"Class3","A","M",83.035,68,35.627,26.279,24.674,14.774
22.003,41.434,68.347,49,"Class2","Z","X",56.996,10,40.213,29.387,43.606,79.961
18.525,68.929,47.874,73,"Class1","R","H",59.812,56,24.138,3.232,55.079,69.952
34.962,26.028,42.967,60,"Class2","S","O",50.752,9,55.243,57.378,30.818,76.65
33.095,32.573,44.849,61,"Class2","J","F",57.333,10,59.11,-7.093,52.879,33.975
33.461,34.664,45.162,58,"Class2","R","F",36.385,9,35.944,28.733,17.338,32.625
13.163,33.066,68.645,89,"Class3","P","J",90.491,67,38.693,25.128,37.393,55.057
23.746,37.421,20.397,66,"Class1","Z","D",55.209,53,-6.903,2.634,64.024,65.809
72.779,42.714,83.487,87,"Class3","A","J",74.034,74,39.859,22.454,32.406,40.479
54.718,34.809,91.032,83,"Class3","G","F",72.125,81,42.594,29.819,29.722,23.325
19.247,21.909,33.93,86,"Class1","I","D",57.14,56,24.191,3.258,33.771,68.934
6.501,63.648,22.651,70,"Class1","K","D",59.357,55,18.545,2.235,39.393,71.981
31.509,37.389,30.653,45,"Class2","J","F",53.403,8,40.099,53.316,30.814,75.811
12.378,66.401,12.149,83,"Class1","R","C",67.125,54,22.606,1.666,30.722,69.135
20.496,67.947,36.082,61,"Class1","K","D",59.789,53,32.882,1.945,70.967,70.619
26.834,67.9,34.8,46,"Class2","T","E",27.96,10,38.024,101.48,38.988,61.938
51.805,54.385,80.474,71,"Class3","P","K",90.158,79,38.201,24.128,31.807,24.559
12.503,70.83,19.189,86,"Class1","I","D",54.944,53,11.799,2.819,36.936,67.315
56.824,43.89,71.271,64,"Class3","Y","M",84.741,71,37.667,22.663,29.91,81.562
76.258,45.445,82.444,88,"Class3","T","K",81.431,NA,39.439,20.498,32.53,5.972
61.534,35.752,71.713,89,"Class3","P","M",77.875,67,40.003,24.867,27.605,75.39
9.078,64.862,85.422,89,"Class3","G","F",75.202,NA,37.709,22.806,26.587,56.461
23.635,66.021,53.086,44,"Class2","R","O",36.937,9,43.364,20.044,33.554,52.623
16.022,92.396,8.719,85,"Class1","I","H",51.492,53,18.712,3.445,41.404,68.995
24.076,40.945,40.509,45,"Class2","Z","Y",42.863,9,63.542,25.641,22.236,4.886
NA,53.194,60.879,49,"Class2","S","Y",32.93,8,46.614,51.207,42.471,32.71
33.966,51.331,48.737,51,"Class2","R","F",41.352,9,44.702,71.461,22.333,62.09
20.873,54.053,30.506,60,"Class1","I","I",54.419,NA,16.296,2.556,60.43,70.661
8.12,71.697,25.644,74,"Class1","R","D",60.595,58,12.454,2.852,23.04,64.841
20.735,92.231,29.368,87,"Class1","H","H",52.775,54,26.95,1.975,54.943,75.056
32.388,47.9,34.311,60,"Class2","Z","X",46.979,8,39.446,46.381,50.198,49.51
12.189,64.206,18.222,63,"Class1","I","P",66.911,58,30.749,2.471,45.548,73.58
34.363,64.387,36.314,52,"Class2","S","E",42.274,11,55.768,63.657,69.605,41.308
79.461,61.265,77.09,77,"Class3","Y","F",77.498,65,39.948,29.487,36.837,31.964
14.331,23.325,22.95,57,"Class1","R","D",58.973,52,30.447,4.139,50.767,67.774
6.863,67.057,6.371,96,"Class1","R","C",61.526,54,22.115,3.662,72.437,62.937
18.151,31.296,31.775,80,"Class1","H","C",67.16,58,25.221,1.174,34.621,70.621
80.295,51.879,71.132,87,"Class3","P","F",77.629,81,36.86,19.563,32.735,39.609
20.208,27.96,52.812,89,"Class1","H","C",64.677,56,27.762,3.575,34.974,71.469
45.793,57.546,76.294,75,"Class3","Y","K",82.227,70,40.025,27.233,21.714,86.375
NA,61.716,75.64,72,"Class3","G","J",77.819,69,39.414,26.502,32.317,17.067
27.669,34.302,36.47,50,"Class2","J","F",47.691,8,45.794,128.176,20.362,71.007
80.822,32.799,79.13,76,"Class3","Y","K",82.759,72,40.755,22.385,23.88,45.307
32.624,68.453,36.675,60,"Class2","R","F",33.239,11,46.339,25.75,43.052,69.621
85.404,63.681,92.809,69,"Class3","Y","F",87.998,67,36.582,28.619,42.568,94.233
14.297,52.54,87.35,64,"Class3","Y","J",77.696,76,37.725,28.953,22.145,159.634
23.101,31.103,55.58,56,"Class2","J","O",33.45,9,42.07,38.857,36.635,57.31
32.287,26.329,51.79,61,"Class2","J","X",44.928,11,56.645,23.103,19.062,26.024
32.538,25.581,34.675,55,"Class2","J","O",34.606,9,56.333,52.386,49.733,64.182
34.315,54.121,35.718,45,"Class2","T","F",49.097,10,52.136,26.168,19.949,51.905
22.981,55.905,59.515,49,"Class2","S","Y",44.047,10,56.569,20.502,44.783,46.321
25.331,57.648,55.112,50,"Class2","R","X",51.834,8,36.048,15.698,66.066,58.897
NA,94.202,16.978,60,"Class1","R","H",51.97,54,29.055,0.549,36.185,73.64
6.669,54.638,44.88,62,"Class1","I","I",61.97,58,25.259,3.266,36.781,62.598
35.672,63.017,40.997,54,"Class2","J","O",28.898,9,43.872,47.81,39.019,70.662
30.744,64.154,46.788,49,"Class2","S","Y",47.303,10,45.112,12.569,58.424,13.535
11.577,81.461,32.449,42,"Class1","K","D",62.949,56,39.751,2.471,31.112,63.263
32.182,55.289,53.713,52,"Class2","R","X",34.829,11,50.216,81.857,24.256,63.726
80.154,56.612,88.479,82,"Class3","T","K",85.737,74,40.823,23.82,35.903,47.793
15.412,52.126,17.094,68,"Class1","K","P",63.405,52,28.752,1.671,39.687,69.249
30.219,47.992,53.146,56,"Class2","R","F",29.79,11,43.396,63.926,62.684,53.991
25.85,59.488,4.869,97,"Class1","K","I",60.326,52,2.044,1.517,50.333,71.891
28.037,38.351,82.352,47,"Class2","R","F",37.268,NA,48.213,51.083,16.576,36.411
12.163,34.554,72.385,84,"Class3","Y","L",75.102,80,39.162,26.63,40.732,82.463
11.16,89.946,49.605,65,"Class1","I","P",61.557,54,23.315,2.587,41.154,71.911
69.133,54.449,91.048,78,"Class3","A","F",83.977,74,38.092,23.477,31.199,28.667
39.724,56.62,80.36,84,"Class3","T","J",81.573,78,38.432,23.607,24.588,46.168
25.206,35.525,8.09,54,"Class1","Z","P",66.779,55,3.932,2.295,64.399,71.917
13.754,60.774,-6.253,84,"Class1","K","C",54.674,57,28.592,2.479,63.273,71.682
24.585,67.884,56.155,45,"Class2","T","F",41.868,9,52.369,72.888,44.821,56.859
12.111,42.649,3.14,86,"Class1","R","I",52.501,56,34.386,1.579,35.847,69.068
62.29,48.905,79.936,78,"Class3","P","J",80.463,69,36.621,28.747,41.657,13.056
40.126,37.643,79.128,87,"Class3","A","K",76.366,80,38.24,28.21,32.911,44.123
28.841,63.605,69.813,60,"Class2","J","X",51.068,11,35.393,71.569,24.757,32.162
22.785,36.954,24.218,57,"Class2","S","F",55.09,8,40.932,75.32,53.573,-5.084
29.74,47.769,85.18,57,"Class2","J","F",40.768,11,50.448,28.131,42.847,57.366
32.146,51.285,49.184,60,"Class2","J","X",42.741,9,44.977,52.902,31.492,68.73
28.906,44.422,76.452,87,"Class3","A","L",76.948,78,37.202,27.49,26.448,59.611
79.895,38.608,82.288,85,"Class3","G","K",90.544,64,40.619,31.786,32.101,55.257
75.394,35.267,73.214,85,"Class3","T","M",89.093,67,35.987,25.405,31.986,71.77
56.959,38.337,84.28,80,"Class3","P","M",87.386,73,40.684,27.721,38.283,12.705
82.786,45.217,72.006,76,"Class3","Y","J",74.7,72,39.174,21.007,26.769,18.675
19.788,20.601,33.897,92,"Class1","R","C",51.808,53,32.885,3.612,72.202,69.146
26.845,51.836,27.761,62,"Class1","R","H",66.249,56,31.108,3.138,45.24,68.005
79.657,59.584,65.067,71,"Class3","P","K",75.023,73,41.789,27.499,19.528,55.648
26.416,46.17,38.392,51,"Class2","S","F",49.948,9,42.786,70.852,63.01,39.021
20.853,46.641,9.625,90,"Class1","Z","H",52.697,55,21.096,2.477,42.054,73.415
23.185,83.631,20.459,50,"Class1","K","H",63.44,52,29.726,-0.072,27.267,69.976
22.249,31.283,46.111,52,"Class2","T","O",56.665,11,55.027,12.999,52.391,33.873
21.31,64.352,86.89,73,"Class3","Y","J",86.219,72,39.244,26.062,40.7,30.115
28.734,55.671,49.286,49,"Class2","J","Y",52.94,9,48.823,77.737,32.161,65.117
NA,45.012,54.331,54,"Class2","J","F",35.27,10,45.82,71.762,54.358,76.72
20.648,48.44,89.969,64,"Class1","I","C",53.689,NA,10.631,3.316,30.259,66.621
26.225,59.922,58.662,49,"Class2","J","F",26.099,10,40.017,59.203,52.125,79.555
33.928,66.339,62.103,50,"Class2","J","O",39.061,11,43.049,61.889,47.666,108.298
25.34,87.259,72.485,44,"Class1","Z","P",61.234,53,32.945,2.733,60.763,67.33
35.422,58.85,61.404,49,"Class2","J","E",32.578,9,51.442,50.019,53.29,44.139
12.927,33.887,11.323,93,"Class1","R","C",54.321,NA,32.228,1.01,24.533,67.62
52.959,50.601,77.243,69,"Class3","G","K",84.637,77,36.882,25.989,20.946,70.132
28.265,52.755,73.718,65,"Class3","G","K",86.617,75,38.047,24.825,24.143,37.397
86.707,58.013,83.507,78,"Class3","G","F",89.897,73,39.6,21.025,39.478,67.906
27.337,47.905,66.745,57,"Class2","J","E",51.666,11,39.442,38.588,58.261,49.319
85.169,37.288,84.86,78,"Class3","A","K",86.779,65,40.118,20.752,35.042,49.44
6.369,40.885,33.945,77,"Class1","I","D",54.705,52,31.352,2.896,54.067,71.674
32.566,44.82,77.887,90,"Class3","P","K",90.557,69,38.751,19.33,29.447,47.152
24.731,69.897,22.913,58,"Class1","Z","C",52.022,54,32.904,2.03,26.791,63.291
35.156,46.293,66.028,52,"Class2","T","X",54.718,9,45.024,49.127,33.845,89.829
10.789,91.168,14.887,58,"Class1","R","C",62.003,55,25.526,1.461,26.299,69.039
23.463,34.516,48.703,59,"Class2","S","X",41.836,10,44.384,4.295,59.47,49.048
32.474,49.594,87.925,86,"Class3","T","K",75.349,79,38.508,23.132,26.445,50.686
55.299,31.944,80.152,70,"Class3","Y","M",82.212,76,40.806,22.5,21.317,28.794
19.385,85.827,28.292,71,"Class1","Z","I",67.395,55,18.887,0.784,31.691,70.029
24.182,49.66,33.007,67,"Class1","I","H",67.021,54,42.169,3.539,44.547,73.032
29.078,26.272,43.51,60,"Class2","J","F",28.477,10,44.367,65.956,58.023,7.601
29.972,36.823,48.855,47,"Class2","R","Y",38.47,11,48.284,26.937,29.369,25.849
NA,34.289,41.771,58,"Class2","T","Y",33.074,NA,41.783,36.803,25.375,0.203
23.734,41.234,45.813,61,"Class2","S","Y",57.855,8,44.838,23.618,18.769,96.039
28.66,25.745,50.782,46,"Class2","J","E",32.93,9,46.214,44.656,46.987,38.278
88.113,39.134,72.143,65,"Class3","T","L",90.739,74,40.383,25.001,39.567,50.709
83.96,41.821,76.492,70,"Class3","Y","F",73.007,74,39.206,20.635,31.419,70.382
26.702,52.657,67.441,59,"Class2","R","Y",50.389,9,49.701,63.581,30.67,54.974
30.038,36.353,48.125,55,"Class2","T","X",50.338,9,40.645,44.117,20.376,40.665
90.697,33.784,88.452,70,"Class3","P","K",87.208,80,38.327,27.173,27.785,13.71
13.88,42.327,13.344,65,"Class1","I","H",66.374,56,28.457,4.517,60.515,69.423
93.409,54.495,86.583,87,"Class3","Y","J",90.548,68,38.503,25.855,25.12,18.056
33.59,30.886,58.015,60,"Class2","T","X",48.138,11,43.051,-20.566,42.181,81.174
35.28,55.931,52.287,51,"Class2","Z","Y",30.536,9,51.008,72.468,49.533,42.801
29.259,53.427,76.255,70,"Class3","P","F",90.103,76,38.672,30.834,40.725,9.753
23.047,41.629,54.873,53,"Class2","S","X",40.043,11,42.547,13.191,18.991,19.581
16.918,43.109,89.207,78,"Class3","T","K",75.299,72,36.276,24.941,27.107,69.91
31.905,58.844,51.726,47,"Class2","R","X",48.611,9,46.556,76.165,31.274,9.88
41.284,35.453,77.747,77,"Class3","A","J",80.557,75,37.409,20.597,20.535,37.769
32.842,49.236,80.507,68,"Class3","Y","F",78.278,65,37.404,26.441,35.951,97.284
76.923,33.064,86.59,67,"Class3","Y","K",87.056,65,39.826,22.347,19.948,72.49
15.299,32.473,14.466,56,"Class1","K","C",55.448,57,28.381,1.857,53.883,70.856
24.982,53.64,72.565,88,"Class1","H","C",52.864,57,21.374,2.45,40.215,70.275
15.769,70.063,-16.466,51,"Class1","K","D",59.321,52,10.266,3.43,67.462,68.951
23.487,89.836,40.342,53,"Class1","R","P",62.029,54,8.18,1.755,36.416,64.729
19.558,66.553,7.729,48,"Class1","Z","H",59.735,56,29.091,2.854,57.128,70.182
28.612,29.736,64.434,61,"Class2","S","X",36.257,10,47.642,30.108,18.402,44.552
14.232,40.977,80.932,76,"Class3","T","M",85,68,35.791,24.363,31.927,70.139
23.686,41.114,59.289,52,"Class2","S","X",29.609,8,39.679,46.197,19.627,-10.611
