"QWE1","UFS2","XRO3","RPX4","QFI5","IBH6","RUJ7","GBR8","GWJ9","Output10","AZU10","GOC11"
14.814,"L","Y",23.344,60.452,59.98,54.682,63.273,43,"Class2",55.949,90
35.787,"L","P",86.593,53.824,60.896,47.949,15.771,28,"Class3",68.009,25
14.462,"T","N",46.771,61.314,35.031,37.505,93.478,39,"Class2",37.232,92
59.18,"F","S",29.142,6.221,26.637,89.269,84.964,33,"Class1",25.407,72
57.181,"V","S",28.097,39.27,40.497,1.005,85.068,46,"Class1",36.655,94
30.45,"T","Q",28.929,52.908,61.629,17.728,7.836,39,"Class2",49.417,85
36.799,"L","F",62.119,48.311,69.4,48.447,18.078,19,"Class3",57.616,38
69.476,"B","U",65.126,62.216,55.996,45.919,20.432,40,"Class3",64.804,51
46.221,"V","Z",28.527,15.202,24.044,25.281,37.467,42,"Class1",53.468,91
71.26,"Z","Q",75.375,58.128,55.409,-8.626,73.166,38,"Class2",48.876,92
24.175,"Q","P",30.406,20.417,33.824,25.723,72.471,55,"Class1",43.112,87
37.488,"Z","N",54.076,64.459,55.716,47.561,43.728,43,"Class2",60.933,93
NA,"R","R",62.499,45.023,60.179,44.967,32.344,12,"Class3",50.275,24
73.927,"B","P",86.096,61.67,45.481,48.245,20.066,11,"Class3",64.701,60
71.221,"L","N",54.748,55.554,52.566,48.724,60.139,33,"Class2",63.33,82
62.04,"B","K",33.68,21.31,32.846,48.028,61.456,40,"Class1",36.595,83
31.188,"Q","C",29.919,23.86,39.939,71.239,67.952,39,"Class1",42.766,80
50.3,"B","P",47.666,45.344,77.928,41.108,21.93,68,"Class3",64.223,18
44.846,"F","K",33.963,-8.705,24.452,54.915,48.311,30,"Class1",47.205,80
33.226,"Z","S",56.503,56.226,59.44,30.276,55.899,37,"Class2",60.534,81
49.936,"V","Z",33.703,27.815,27.35,107.062,77.96,45,"Class1",52.533,96
24.975,"I","S",76.546,62.885,49.58,53.398,72.308,37,"Class2",30.06,81
34.146,"F","K",35.961,33.698,27.718,51.56,76.168,29,"Class1",62.755,80
87.018,"F","N",61.616,60.826,57.45,68.638,17.658,33,"Class2",52.115,92
63.112,"F","P",27.604,5.479,30.599,88.293,41.975,32,"Class1",54.148,92
NA,"A","U",82.148,46.789,33.672,45.991,41.572,82,"Class3",74.031,49
NA,"B","U",79.441,51.573,22.328,41.981,20.559,73,"Class3",73.778,54
57.507,"M","F",52.151,62.737,87.971,43.951,6.94,80,"Class3",76.443,51
45.624,"B","P",28.693,27.105,53.664,72.361,67.237,44,"Class1",42.442,75
59.997,"I","O",49.525,67.855,60.312,50.042,71.463,41,"Class2",61.997,89
37.655,"A","F",68.032,46.692,36.883,45.293,9.017,33,"Class3",69.482,43
38.332,"B","P",61.583,54.126,47.493,51.205,24.489,59,"Class3",67.211,44
39.594,"L","Q",73.562,59.104,46.078,123.719,86.818,38,"Class2",39.427,82
NA,"M","U",51.253,46.072,52.352,45.529,18.86,41,"Class3",62.4,34
80.135,"A","J",51.753,54.625,41.535,46.902,9.359,66,"Class3",47.539,38
37.224,"B","Z",31.707,31.958,29.341,66.049,47.221,55,"Class1",46.525,73
17.226,"Z","O",50.097,57.57,62.676,51.719,85.451,37,"Class2",56.274,89
43.085,"T","N",46.238,57.261,59.077,46.288,88.779,43,"Class2",52.309,84
63.67,"Q","Z",36.145,23.018,29.013,61.587,33.914,48,"Class1",52.531,84
19.048,"L","N",57.374,53.209,59.129,73.646,20.194,38,"Class2",36.924,80
23.287,"Z","S",48.467,64.24,52.667,31.247,11.665,41,"Class2",32.501,87
88.771,"F","Y",59.854,62.705,47.899,59.036,51.529,35,"Class2",60.333,78
NA,"L","R",51.477,48.377,47.137,48.401,27.279,24,"Class3",62.028,34
81.316,"R","U",47.939,50.704,50.422,45.621,29.374,32,"Class3",73.914,34
31.48,"F","S",30.87,31.067,30.678,38.429,58.85,31,"Class1",44.99,94
38.257,"Q","C",31.308,22.944,27.444,36.231,43.697,42,"Class1",32.887,74
41.388,"L","Y",31.37,59.679,47.798,23.461,60.981,39,"Class2",62.749,88
59.649,"Z","S",35.266,63.842,61.914,84.773,78.133,38,"Class2",68.886,90
54.768,"V","C",31.962,25.746,13.052,50.045,43.955,36,"Class1",51.509,96
24.805,"L","Z",27.175,19.94,23.39,80.493,53.1,46,"Class1",51.797,70
47.126,"V","S",35.478,29.764,24.568,57.382,39.585,31,"Class1",45.017,70
41.861,"Q","P",34.549,19.949,22.204,86.594,69.759,48,"Class1",54.163,89
64.462,"I","S",26.087,63.398,60.5,52.266,42.611,37,"Class2",82.682,89
83.083,"M","U",56.179,51.703,72.383,47.58,38.084,38,"Class3",74.993,10
49.324,"L","C",34.823,31.606,44.95,55.844,50.636,50,"Class1",40.838,82
82.609,"A","R",49.796,55.543,29.138,45.707,12.947,24,"Class3",64.589,60
94.228,"R","P",59.034,51.991,50.837,43.82,8.135,20,"Class3",68.052,16
91.606,"L","S",28.553,59.129,56.206,49.702,65.513,34,"Class2",67.738,90
44.722,"Q","P",31.021,24.15,23.212,13.35,40.973,29,"Class1",47.596,70
26.586,"Q","S",28.432,48.675,26.871,42.665,44.09,48,"Class1",34.989,68
19.556,"Q","S",32.891,25.436,22.326,53.314,34.865,29,"Class1",55.057,93
47.917,"A","R",63.604,58.461,41.158,42.464,34.262,71,"Class3",69.399,38
41.266,"M","P",74.988,51.38,89.776,44.335,29.15,18,"Class3",55.816,23
57.414,"L","O",63.599,59.115,35.403,49.707,4.793,37,"Class2",13.669,81
12.982,"T","Q",30.627,61.079,58.91,60.811,29.374,39,"Class2",55.864,81
38.297,"A","R",60.285,53.019,69.18,38.94,34.551,9,"Class3",64.379,58
18.818,"F","Y",30.399,63.084,44.427,60.396,39.02,36,"Class2",77.598,81
56.381,"A","F",80.649,55.11,75.232,40.309,14.561,13,"Class3",62.174,40
NA,"R","F",83.679,47.932,81.985,49.479,20.45,61,"Class3",68.894,19
37.754,"V","K",36.243,28.694,36.817,36.374,79.765,41,"Class1",43.818,88
94.032,"B","U",52.585,55.222,57.83,41.928,10.301,22,"Class3",67.357,51
39.389,"R","U",82.654,57.631,48.176,42.786,38.152,34,"Class3",54.766,47
37.424,"L","R",76.739,58.601,30.706,42.326,18.702,42,"Class3",77.569,44
58.832,"B","K",34.976,-3.965,51.667,60.269,54.238,42,"Class1",36.189,76
43.465,"L","S",70.018,59.819,63.693,36.599,32.771,37,"Class2",88.346,78
76.269,"B","P",74.007,58.484,44.976,43.551,16.072,62,"Class3",44.392,15
57.404,"M","P",65.172,54.635,31.513,43.256,21.042,73,"Class3",51.814,14
37.712,"F","P",32.552,14.279,29.735,55.019,32.602,36,"Class1",38.105,NA
53.497,"L","Y",33.4,61.725,63.512,53.497,68.75,40,"Class2",50.41,87
74.199,"A","P",58.158,53.868,30.493,43.26,33.386,80,"Class3",75.662,24
65.656,"M","R",67.533,53.361,32.385,43.82,41.969,32,"Class3",80.68,61
80.558,"M","J",81.823,61.04,33.71,47.386,11.007,86,"Class3",78.109,48
22.954,"L","Z",35.194,25.605,40.369,35.521,70.702,42,"Class1",37.168,66
30.619,"L","P",67.15,47.403,43.939,37.483,25.467,64,"Class3",60.741,12
66.68,"Z","N",53.638,60.993,71.03,59.241,61.344,35,"Class2",70.174,79
48.72,"Q","C",29.818,38.772,31.672,61.124,51.944,34,"Class1",36.381,91
35.704,"B","J",47.532,56.195,49.291,45.474,12.691,27,"Class3",57.991,25
34.541,"V","P",35.246,28.139,40.103,67.082,25.268,46,"Class1",46.08,74
27.789,"L","O",41.878,56.229,51.048,88.654,73.818,35,"Class2",30.248,85
25.965,"Z","S",38.857,61.6,47.195,52.784,41.776,35,"Class2",57.111,83
30.719,"R","F",66.533,60.245,46.397,47.035,24.692,50,"Class3",68.802,28
55.784,"T","Q",33.41,65.958,48.319,57.088,35.956,39,"Class2",74.371,93
37.524,"V","S",33.62,13.708,24.944,38.668,38.464,36,"Class1",42.481,92
29.481,"F","C",30.127,29.972,43.52,41.068,40.433,54,"Class1",47.791,80
NA,"M","P",55.193,58.643,32.222,46.414,23.107,26,"Class3",61.368,57
23.211,"Z","Y",59.227,61.467,59.445,71.608,5.941,35,"Class2",76.001,81
33.495,"L","Y",25.389,59.785,55.46,61.813,76.791,35,"Class2",48.236,94
58.653,"B","Z",34.064,24.752,32.197,36.644,64.069,54,"Class1",45.552,88
19.324,"Q","C",30.076,35.423,28.431,60.231,46.252,34,"Class1",40.111,74
47.821,"B","S",29.115,4.374,24.183,67.958,71.494,37,"Class1",50.406,72
77.948,"I","N",57.106,62.148,53.296,50.584,72.349,40,"Class2",43.298,93
92.711,"L","R",53,56.66,66.044,45.678,24.091,18,"Class3",71.954,41
58.032,"Q","Z",34.504,26.495,25.281,68.669,27.759,37,"Class1",42.315,80
61.562,"L","C",31.038,22.998,29.298,-11.639,44.197,35,"Class1",37.363,72
59.7,"L","P",28.937,17.685,21.383,79.987,77.168,50,"Class1",47.567,NA
25.523,"V","S",35.124,18.799,23.032,74.194,33.546,56,"Class1",43.184,76
58.479,"L","C",31.233,17.832,32.962,34.783,40.318,51,"Class1",38.893,84
91.583,"I","Q",57.016,55.924,49.719,70.79,54.026,42,"Class2",49.068,89
NA,"T","Y",21.834,64.776,52.738,52.318,48.422,38,"Class2",68.255,86
91.714,"B","U",85.65,58.305,94.511,45.761,24.773,14,"Class3",64.716,30
43.099,"I","S",52.003,64.387,41.354,34.872,72.345,38,"Class2",63.299,83
34.648,"L","C",32.68,25.495,42.297,32.734,64.215,54,"Class1",42.906,90
73.913,"F","Q",35.885,59.456,54.475,54.201,26.032,42,"Class2",66.822,92
92.953,"R","U",61.046,49.067,54.031,43.598,11.452,9,"Class3",58.018,61
24.419,"V","Z",27.189,29.413,31.808,21.454,45.504,42,"Class1",50.299,92
62.503,"B","K",34.988,19.648,35.446,72.919,76.325,44,"Class1",39.662,95
23.984,"F","O",65.627,58.195,45.299,72.697,61.95,40,"Class2",67.982,91
53.417,"Z","Q",38.166,60.79,59.262,57.778,59.223,42,"Class2",48.59,88
21.664,"T","Q",44.416,65.536,39.637,104.358,34.861,37,"Class2",68.561,93
35.495,"V","P",32.202,24.318,33.663,50.76,46.132,46,"Class1",45.487,67
48.444,"R","J",69.997,54.846,27.403,39.995,27.587,75,"Class3",67.787,41
40.566,"L","K",28.747,17.836,23.472,23.428,25.996,51,"Class1",46.555,NA
29.82,"T","O",61.639,60.469,40.125,36.312,8.255,38,"Class2",19.468,90
89.521,"M","R",65.478,45.67,73.605,46.193,16.394,9,"Class3",68.06,28
27.824,"Z","O",39.924,58.539,45.402,52.438,9.658,41,"Class2",69.442,81
37.557,"A","R",75.367,46.461,33.285,46.363,32.389,41,"Class3",72.913,11
21.435,"B","S",32.96,31.463,24.014,41.067,76.226,32,"Class1",50.53,82
27.123,"L","N",77.692,59.14,67.228,38.226,89.745,36,"Class2",57.669,87
94.278,"B","F",58.846,43.156,51.563,46.077,5.202,12,"Class3",58.872,33
51.974,"B","J",55.727,47.939,43.015,43.989,34.721,77,"Class3",77.894,12
25.673,"Q","K",32.841,40.248,24.619,55.958,38.055,41,"Class1",45.622,73
69.738,"I","O",44.363,63.659,44.005,101.635,30.544,35,"Class2",55.544,90
76.802,"L","J",77.74,55.13,76.097,43.8,5.848,87,"Class3",57.461,NA
62.922,"L","U",55.805,57.084,54.593,42.747,13.757,42,"Class3",63.675,38
52.11,"B","P",35.113,13.21,27.794,61.631,61.164,52,"Class1",47.186,91
23.046,"L","S",66.66,62.377,30.24,25.872,23.859,41,"Class2",50.102,88
39.058,"F","Q",66.167,64.57,51.67,59.498,14.045,38,"Class2",65.979,87
80.757,"I","O",68.303,62.977,62.68,75.675,40.257,33,"Class2",27.245,85
90.753,"I","Q",47.068,61.281,53.63,77.898,75.27,34,"Class2",64.637,83
61.107,"F","P",33.229,21.477,39.546,65.28,65.235,33,"Class1",46.522,87
19.442,"T","Y",61.878,59.801,72.687,28.708,67.49,38,"Class2",44.79,93
9.755,"F","N",52.816,61.278,52.994,-9.965,66.14,39,"Class2",41.693,79
25.945,"B","Z",28.103,27.473,25.332,18.247,44.659,54,"Class1",42.903,66
89.184,"M","J",58.044,59.357,51.264,39.83,31.809,53,"Class3",71.615,13
61.592,"V","P",27.156,19.921,38.244,91.647,81.674,49,"Class1",55.234,90
92.524,"F","S",34.739,67.344,53.514,67.288,45.465,44,"Class2",45.875,87
NA,"L","F",78.776,46.817,62.388,45.037,24.989,15,"Class3",55.916,40
36.286,"L","S",28.282,12.057,33.101,61.049,55.79,40,"Class1",45.343,65
55.392,"T","Y",65.932,61.898,56.301,65.818,34.396,41,"Class2",68.187,94
39.946,"Q","C",32.135,28.07,32.346,42.55,86.011,52,"Class1",41.51,75
70.702,"L","N",23.07,60.587,65.944,77.786,89.943,39,"Class2",19.261,80
71.167,"L","S",40.585,62.919,52.758,14.179,78.765,39,"Class2",63.33,80
