"IGA1","DKY2","UXZ3","MBD4","HKC5","VHG6","IQM7","Output23","XVE8","UBW9","SZQ10","EUN11"
NA,88.834,85.805,20,"U",81.396,48.003,"Class2","W",70.482,30.688,73.68
79.925,81.926,36.3,44,"P",NA,82.607,"Class3","Y",32.177,34.358,21.411
69.693,85.491,59.034,46,"I",8.328,80.815,"Class3","H",34.204,38.484,20.315
25.015,34.105,67.663,38,"J",38.757,80.32,"Class4","N",73.027,52.637,21.037
NA,88.83,87.849,20,"H",77.141,49.528,"Class2","W",76.436,30.05,85.148
54.244,83.376,74.013,49,"P",8.018,75.928,"Class3","W",27.741,36.811,8.345
44.502,88.022,60.872,10,"P",79.967,19.782,"Class2","F",86.308,30.178,58.936
55.886,83.641,56.53,43,"Q",9.97,85.455,"Class3","W",33.162,33.606,19.039
48.291,85.689,55.423,43,"I",12.631,89.895,"Class3","W",30.042,32.732,15.833
NA,71.783,47.088,80,"H",45.659,23.849,"Class1","N",23.601,80.417,70.363
45.019,98.785,21.86,16,"H",74.267,58.009,"Class2","F",31.921,30.852,82.216
28.87,86.324,64.98,44,"P",12.312,87.631,"Class3","W",30.549,35.675,11.254
68.6,87.103,68.173,44,"Q",8.756,89.848,"Class3","F",30.181,34.589,7.345
76.786,81.218,65.147,72,"H",64.774,23.44,"Class1","Q",26.63,80.471,71.553
23.657,32.008,48.923,30,"G",37.182,40.573,"Class4","N",64.53,38.722,19.473
18.557,37.183,71.444,55,"W",37.003,48.46,"Class4","N",57.131,39.106,23.056
24.123,36.002,55.691,47,"B",48.338,5.236,"Class4","J",60.252,34.248,18.455
20.996,39.755,62.379,72,"U",NA,36.303,"Class4","E",86.618,59.447,17.666
69.118,86.708,23.994,48,"T",10.123,91.363,"Class3","N",32.722,34.415,13.178
75.483,73.042,51.661,87,"T",70.117,21.954,"Class1","N",4.269,80.445,70.39
76.971,78.734,45.14,54,"H",71.404,26.249,"Class1","Q",42.863,80.304,71.721
45.621,89.122,83.444,11,"U",90.672,22.448,"Class2","D",8.621,30.051,95.479
24.561,48.75,61.738,33,"J",54.996,34.282,"Class4","Y",61.258,43.313,16.026
74.027,81.063,30.317,46,"I",9.041,87.802,"Class3","Y",32.02,40.488,11.694
NA,77.039,26.722,47,"V",9.391,78.508,"Class3","H",32.015,34.203,10.496
25.069,42.781,44.631,55,"G",43.433,59.794,"Class4","E",72.565,34.687,17.647
18.431,32.426,58.924,32,"U",45.502,27.327,"Class4","Y",80.777,48.578,52.336
77.694,75.987,38.16,36,"T",59.525,22.787,"Class1","N",42.992,80.902,72.951
25.381,39.251,48.988,42,"W",54.536,38.65,"Class4","M",64.352,29.564,53.106
35.388,81.56,33.455,43,"V",11.485,89.679,"Class3","N",34.186,40.318,21.508
77.661,72.805,43.18,26,"U",63.609,25.413,"Class1","O",56.185,80.499,72.665
66.525,79.285,62.707,46,"P",12.804,79.97,"Class3","Y",27.874,41.005,3.348
19.957,44.892,41.816,50,"B",32.173,38.502,"Class4","E",76.001,31.231,25.532
31.374,95.59,9.597,23,"D",98.197,0.677,"Class2","F",86.633,30.189,80.989
33.551,89.863,87.106,10,"H",91.601,47.056,"Class2","F",53.793,30.059,85.918
77.386,78.495,86.702,74,"E",75.101,22.309,"Class1","O",56.131,80.087,71.347
35.788,83.981,43.213,47,"Q",12.958,81.856,"Class3","Y",31.994,31.686,14.056
77.136,76.87,34.417,33,"H",73.35,25.203,"Class1","Q",58.007,80.015,72.378
77.469,78.363,23.946,88,"T",64.946,26.328,"Class1","O",67.169,79.708,72.954
31.837,79.822,40.931,49,"V",7.85,83.354,"Class3","N",26.216,41.58,10.712
31.889,88.555,26.984,44,"I",10.148,87.716,"Class3","F",32.057,38.448,20.666
24.031,47.973,57.131,67,"U",53.793,26.326,"Class4","J",50.154,58.99,38.819
50.838,85.278,44.394,11,"P",86.442,28.232,"Class2","W",70.433,30.847,95.407
