"RWC1","UKL2","GOX3","MNK4","QJY5","YOF6","TKP7","Output3","LKO8","RGK9"
53.33,49.375,21.202,61.68,"U",50,27.437,"Class1",52.596,77.173
19.322,35.348,42.6,30.276,"L",NA,88.121,"Class2",19.162,61.767
36.623,18.229,21.61,51.304,"G",35,50.951,"Class3",13.639,59.682
34.612,20.369,27.428,4.335,"X",35,51.559,"Class3",19.902,51.214
33.726,37.453,19.156,29.789,"R",34,55.258,"Class3",19.868,45.768
39.425,23.684,23.278,41.022,"E",34,54.585,"Class3",15.817,45.215
22.902,17.156,75.181,34.697,"Q",37,85.798,"Class2",21.961,29.745
53.86,70.96,8.548,28.003,"J",50,31.962,"Class1",46.912,74.76
6.478,32.244,64.68,73.088,"P",18,86.706,"Class2",8.121,51.97
53.23,75.045,30.371,52.17,"J",51,45.868,"Class1",56.573,76.674
25.717,20.858,17.653,19.263,"G",37,48.731,"Class3",18.22,59.337
53.621,62.792,37.24,41.57,"T",55,19.278,"Class1",28.319,84.648
18.963,11.77,33.659,53.688,"G",34,59.215,"Class3",11.174,59.384
14.674,42.082,74.79,22.083,"P",NA,86.92,"Class2",7.521,69.815
53.046,59.014,76.936,43.815,"J",52,23.649,"Class1",34.246,83.76
49.492,26.404,25.502,49.084,"R",36,49.671,"Class3",16.193,57.945
42.681,37.827,26.047,51.378,"X",35,55.491,"Class3",15.848,59.993
28.267,39.795,65.877,70.416,"P",39,86.279,"Class2",17.451,35.64
6.093,51.976,55.421,49.614,"Q",10,86.448,"Class2",27.99,45.649
14.802,21.825,61.19,36.622,"P",17,88.088,"Class2",28.085,62.13
53.945,56.2,53.119,43.207,"F",54,32.602,"Class1",44.233,89.291
53.527,59.691,43.667,49.945,"F",56,28.517,"Class1",42.181,78.828
11.264,28.932,70.815,41.582,"K",14,85.54,"Class2",22.694,26.511
4.315,35.89,101.576,27.341,"W",29,87.624,"Class2",13.646,81.661
30.776,31.72,53.532,-0.224,"Q",12,86.818,"Class2",28.673,75.098
53.764,56.006,41.932,51.51,"F",52,20.206,"Class1",20.076,84.062
27.146,44.45,58.235,37.59,"Q",25,88.513,"Class2",19.736,28.119
52.439,23.574,20.881,81.425,"X",34,54.281,"Class3",11.509,54.916
53.805,65.171,43.065,33.087,"U",56,29.696,"Class1",32.228,80.635
39.923,30.395,28.55,25.889,"E",36,63.301,"Class3",11.945,47.135
29.178,NA,55.484,9.925,"P",17,89.504,"Class2",32.652,84.693
44.958,22.733,23.732,40.296,"R",35,59.893,"Class3",16.341,47.812
34.959,55.486,58.756,29.277,"Q",13,85.777,"Class2",32.427,70.421
21.362,7.989,64.004,28.782,"K",12,86.753,"Class2",20.361,24.104
53.965,53.404,43.019,55.214,"T",50,36.466,"Class1",24.402,75.666
19.816,2.919,27.252,47.059,"R",36,62.105,"Class3",17.444,59.823
21.356,24.193,86.469,37.127,"L",21,83.093,"Class2",9.13,45.917
36.616,NA,93.315,49.065,"P",25,87.58,"Class2",25.431,44.922
15.343,26.254,76.543,49.476,"Q",10,87.753,"Class2",31.646,80.695
53.582,67.938,37.987,59.205,"J",52,23.659,"Class1",18.964,89.525
33.512,12.521,38.348,47.199,"R",34,51.942,"Class3",18.564,44.68
53.753,84.2,31.999,63.246,"I",53,28.937,"Class1",19.066,73.201
35.75,31.362,87.332,64.681,"K",16,87.15,"Class2",9.673,62.72
25.229,38.401,73.78,48.449,"L",41,86.981,"Class2",7.55,25.555
23.357,35.374,65.309,86.356,"P",40,89.165,"Class2",30.129,45.346
8.669,30.037,50.79,14.143,"L",12,88.884,"Class2",24.056,43.422
53.978,61.123,77.265,68.057,"T",51,33.29,"Class1",46.926,78.813
41.94,34.317,24.31,34.792,"X",37,49.907,"Class3",12.936,58.956
18.823,NA,53.559,31.66,"K",18,86.832,"Class2",18.28,48.466
28.297,23.225,61.255,52.4,"P",27,87.518,"Class2",30.363,32.099
53.365,56.335,49.593,36.706,"U",56,35.26,"Class1",29.328,84.463
10.407,49.915,62.979,58.117,"P",28,83.785,"Class2",23.686,60.82
50.899,NA,38.497,5.775,"K",37,60.212,"Class3",19.188,44.759
8.177,35.246,74.518,37.716,"L",15,86.525,"Class2",32.723,82.85
49.749,34.929,26.209,40.586,"X",36,57.862,"Class3",19.886,47.427
18.883,8.883,29.715,22.619,"R",35,49.803,"Class3",17.822,59.354
44.881,15.751,33.978,38.204,"R",37,54.76,"Class3",15.371,45.639
14.611,39.284,74.7,53.915,"L",27,85.704,"Class2",17.018,26.97
19.951,9.589,64.372,61.642,"W",18,88.072,"Class2",30.746,45.845
53.622,52.396,21.663,35.584,"F",56,50.139,"Class1",36.274,87.267
53.291,64.936,38.101,49.597,"T",53,55.674,"Class1",44.862,91.273
42.289,32.017,29.584,96.79,"E",37,54.392,"Class3",12.292,55.828
53.119,77.168,66.138,47.072,"U",52,19.679,"Class1",50.34,87.723
28.592,18.074,53.701,47.038,"L",18,87.3,"Class2",15.683,66.069
19.475,31.756,53.438,26.812,"Q",26,85.755,"Class2",10.883,75.226
34.704,40.014,83.813,64.222,"P",NA,91.832,"Class2",26.967,70.312
53.696,50.658,58.545,70.878,"J",50,15.473,"Class1",18.942,81.566
23.965,NA,35.97,75.575,"R",35,55.843,"Class3",18.174,49.328
46.709,19.008,38.91,70.821,"K",34,57.018,"Class3",18.908,50.676
27.452,41.653,51.644,-5.673,"K",15,84.874,"Class2",23.489,26.345
53.896,66.468,58.337,62.094,"F",55,54.824,"Class1",15.472,83.475
4.616,19.666,70.739,46.638,"W",26,85.319,"Class2",7.446,71.266
53.983,71.798,34.479,53.26,"J",52,33.116,"Class1",54.863,82.313
43.685,6.636,20.509,25.496,"G",36,57.602,"Class3",15.148,55.456
53.525,55.77,67.45,43.059,"F",56,35.195,"Class1",38.218,85.502
53.519,81.579,18.502,29.2,"F",56,13.956,"Class1",42.119,73.013
53.005,73.424,44.627,41.504,"T",52,36.745,"Class1",58.489,79.236
53.081,64.346,43.173,58.774,"F",53,57.054,"Class1",40.801,79.378
53.842,63.093,63.138,53.102,"U",NA,13.522,"Class1",31.612,80.123
14.048,37.053,60.312,43.496,"W",19,88.389,"Class2",31.345,70.724
53.648,55.773,28.45,40.086,"T",50,54.451,"Class1",45.938,76.305
16.263,20.837,38.83,11.221,"L",32,86.431,"Class2",30.174,56.324
53.19,48.485,48.491,31.976,"J",53,34.961,"Class1",40.838,77.029
53.459,43.829,59.364,60.968,"J",50,33.777,"Class1",26.187,72.438
20.476,22.776,28.309,43.58,"X",36,59.572,"Class3",16.762,55.81
53.081,63.709,22.285,49.867,"U",51,42.78,"Class1",43.378,77.731
22.437,22.565,38.6,22.867,"E",35,53.615,"Class3",18.562,48.527
26.093,NA,56.238,84.095,"P",23,86.446,"Class2",32.08,29.573
27.522,30.425,63.078,23.132,"P",36,88.062,"Class2",24.976,36.593
42.493,2.697,19.456,39.498,"X",37,62.001,"Class3",19.318,43.752
44.093,6.463,17.705,16.903,"G",36,48.286,"Class3",18.638,44.967
47.261,39.247,25.964,82.104,"E",37,60.892,"Class3",18.75,50.852
53.482,39.63,34.097,50.971,"J",55,38.5,"Class1",31.393,78.658
6.282,44.626,44.595,110.162,"Q",17,84.402,"Class2",12.964,39.21
53.543,54.332,44.157,54.516,"T",50,37.495,"Class1",37.384,82.339
27.459,41.264,67.443,77.348,"K",24,86.349,"Class2",19.135,85.277
31.054,36.861,84.585,44.092,"K",14,90.914,"Class2",30.907,28.218
24.513,-2.284,25.244,38.214,"E",37,52.563,"Class3",18.881,49.999
40.441,NA,28.818,38.002,"K",37,55.78,"Class3",14.831,46.839
49.31,2.881,33.924,47.967,"K",35,53.535,"Class3",14.711,56.458
37.556,12.205,31.698,46.514,"X",36,54.377,"Class3",17.016,47.135
4.833,35.597,80.469,23.753,"K",31,88.245,"Class2",21.159,23.955
5.34,NA,87.535,-24.37,"K",12,86.775,"Class2",11.422,54.677
10.565,39.817,71.372,36.408,"K",24,86.753,"Class2",23.283,37.169
34.556,47.717,28.421,45.894,"G",37,61.445,"Class3",18.06,56.894
19.304,25.148,29.632,32.643,"R",37,61.109,"Class3",14.716,48.061
46.014,13.423,21.622,48.365,"K",35,57.307,"Class3",12.69,58.698
34.717,43.576,51.592,45.022,"W",35,85.85,"Class2",7.659,59.466
53.709,58.403,43.102,38.871,"I",51,57.791,"Class1",15.496,73.675
12.952,16.5,38.624,93.869,"L",15,87.224,"Class2",28.917,81.648
6.115,53.85,54.276,60.249,"Q",19,84.023,"Class2",20.176,74.954
34.316,32.358,87.745,64.853,"P",19,88.816,"Class2",31.781,51.703
53.178,62.368,23.927,36.804,"F",56,45.347,"Class1",17.035,72.593
53.785,73.825,40.764,49.919,"F",53,21.981,"Class1",43.988,78.018
53.388,58.943,17.526,70.422,"I",50,53.992,"Class1",55.111,76.136
