"XTR1","VCD2","EUD3","Output22","NTM4","LKT5","UOF6","RGX7","VHR8","SQO9","JXU10","EVP11"
35.874,72.037,45,"Class1","U",26.053,66.654,"V",90.944,91.822,70.055,10.666
8.751,51.91,46,"Class2","X",83.975,78.317,"J",67.874,25.913,61.322,43.819
41.587,77.112,39,"Class1","U",24.769,68.748,"K",89.738,99.342,NA,17.059
33.732,84.173,30,"Class1","W",27.766,65.598,"Z",94.462,91.548,80.391,14.253
9.222,48.724,45,"Class2","G",82.657,78.143,"T",74.41,25.07,65.375,NA
7.091,47.214,45,"Class2","X",82,88.181,"J",69.002,45.384,51.002,38.309
9.569,49.527,46,"Class2","G",82.187,81.799,"E",69.378,26.897,21.335,NA
18.453,77.859,35,"Class1","V",22.311,73.141,"K",90.574,92.445,76.657,12.965
9.195,51.799,45,"Class2","J",80.662,81.261,"A",66.321,68.775,60.245,44.606
7.485,44.223,46,"Class2","H",82.879,83.686,"A",66.803,56.231,NA,5.625
28.324,72.089,28,"Class1","W",29.694,64.842,"V",89.321,93.384,82.049,13.581
37.182,69.927,44,"Class1","O",19.126,65.939,"P",90.214,90.117,97.439,NA
8.982,46.945,46,"Class2","X",86.188,79.866,"E",66.203,57.496,35.332,12.808
33.809,77.587,48,"Class1","U",22.079,68.027,"V",89.212,98.044,75.671,15.369
8.53,46.989,45,"Class2","H",83.864,79.916,"T",71.151,20.003,20.64,21.535
14.698,75.769,44,"Class1","V",23.434,65.115,"V",91.216,90.766,74.813,13.489
9.323,44.345,45,"Class2","H",80.688,87.721,"J",67.909,56.335,36.817,41.71
7.604,51.183,45,"Class2","X",83.599,82.911,"A",71.922,50.29,30.363,11.26
7.71,54.237,46,"Class2","G",81.984,82.549,"V",67.508,35.699,37.202,39.52
22.278,87.022,34,"Class1","J",31.038,72.122,"V",88.408,90.51,79.946,14.007
8.365,51.081,45,"Class2","V",78.944,81.295,"V",71.387,15.542,71.778,27.054
23.886,82.723,50,"Class1","W",18.069,67.174,"K",91.663,97.765,82.007,11.937
12.15,84.868,37,"Class1","J",15.296,64.352,"K",89.624,94.952,73.383,14.915
23.352,67.935,52,"Class1","U",22.135,68.783,"V",92.153,90.041,99.105,19.177
13.089,72.227,45,"Class1","W",20.224,66.094,"Z",90.593,90.063,NA,18.965
7.199,45.4,45,"Class2","G",80.854,83.662,"E",74.54,52.387,42.332,12.719
7.649,47.961,45,"Class2","X",79.722,83.585,"V",64.6,27.118,36.392,NA
7.372,44.111,46,"Class2","J",85.948,84.858,"J",65.48,69.32,18.872,32.831
7.554,52.339,45,"Class2","G",82.429,79.246,"E",70.972,59.698,46.181,4.612
8.163,46.633,46,"Class2","J",82.387,89.492,"A",64.603,46.291,54.584,20.919
12.434,79.058,46,"Class1","W",16.31,66.725,"P",90.663,91.365,80.273,21.295
9.83,46.029,46,"Class2","V",83.211,81.195,"E",73.679,15.559,51.808,17.551
7.126,48.632,45,"Class2","H",81.333,83.217,"E",68.824,47.371,69.724,19.964
8.97,53.23,46,"Class2","J",82.194,82.905,"T",73.864,66.256,32.207,11.874
43.654,79.276,45,"Class1","W",32.977,67.425,"V",89.686,97.374,79.035,23.94
17.31,81.452,49,"Class1","V",28.28,69.399,"Z",88.644,96.799,88.082,14.984
30.342,76.761,47,"Class1","V",29.005,69.296,"Z",94.175,90.968,77.174,18.274
41.904,77.599,30,"Class1","U",24.346,73.802,"U",91.45,95.412,75.822,21.408
