"AMD1","XIO2","NBE3","ASH4","MJG5","FRB6","NGE7","EAX8","Output21","EHW9","XLQ10"
44.205,49.598,63.025,13.875,76,31.868,"X",80.478,"Class5",29.803,18.658
77.297,71.935,70.876,49.115,24,31.026,"D",27.214,"Class3",50.562,69.085
46.263,64.716,64.529,7.616,84,30.181,"V",84.029,"Class5",29.423,19.522
54.675,56.764,63.49,51.148,38,51.711,"Z",40.73,"Class1",84.186,52.835
49.764,40.633,74.11,14.843,95,28.233,"R",73.467,"Class5",63.205,12.706
38.876,26.931,20.98,61.644,95,91.706,"E",36.272,"Class2",27.783,42.298
24.759,86.738,19.024,31.216,57,74.404,"B",42.976,"Class1",84.713,86.22
32.591,26.209,54.276,53.633,81,90.798,"X",32.481,"Class2",29.865,NA
50.841,34.441,80.533,7.133,71,30.106,"V",82.003,"Class5",72.9,NA
15.867,51.561,89.919,46.816,37,51.564,"X",33.049,"Class4",75.279,13.814
80.794,88.178,77.923,51.783,35,41.478,"J",42.172,"Class3",53.376,67.292
52.916,36.975,67.446,15.843,84,25.3,"X",87.744,"Class5",25.34,11.807
33.979,65.289,96.795,32.193,26,46.839,"X",28.937,"Class4",57.88,2.139
49.208,24.474,30.409,46.412,91,91.645,"Z",39.503,"Class2",28.648,47.032
52.735,28.256,83.421,11.769,75,33.792,"D",68.18,"Class5",67.746,10.591
27.385,64.177,95.387,47.787,27,40.843,"I",25.485,"Class4",66.594,30.19
51.73,53.038,83.681,11.57,80,29.812,"X",87.667,"Class5",61.819,20.441
30.543,88.483,85.397,45.933,40,20.498,"G",42.419,"Class3",53.064,32.641
18.004,64.655,97.298,35.688,45,46.543,"L",32.173,"Class4",57.029,16.81
73.453,83.268,72.411,62.32,40,-2.416,"G",26.263,"Class3",41.177,49.809
20.008,51.703,46.07,53.716,62,43.798,"J",39.209,"Class1",81.554,93.963
27.711,88.642,77.342,54.198,38,27.405,"G",13.589,"Class3",54.458,38.406
34.321,24.32,48.809,36.788,81,91.338,"O",40.444,"Class2",23.18,54.103
4.88,74.667,63.536,51.179,45,20.938,"T",34.231,"Class3",44.82,8.272
25.225,49.78,97.217,55.317,31,52.779,"E",25.133,"Class4",68.801,3.964
29.144,24.492,44.407,61.474,90,90.979,"O",53.248,"Class2",46.18,45.839
49.249,21.982,82.392,13.388,73,32.529,"D",57.912,"Class5",26.1,17.407
19.51,56.059,89.172,66.835,70,51.105,"I",39.718,"Class4",82.862,16.462
20.544,46.758,75.938,80.521,38,69.139,"Z",44.642,"Class1",85.095,77.32
44.107,60.311,79.997,10.518,81,30.343,"X",66.265,"Class5",26.984,18.794
31.815,91.862,13.594,29.532,58,47.178,"B",44.181,"Class1",84.976,84.895
NA,86.733,72.725,59.842,30,24.062,"D",15.355,"Class3",44.498,33.348
55.108,73.509,72.658,61.711,40,31.282,"T",24.921,"Class3",38.247,28.917
49.108,24.752,41.757,38.581,84,91.812,"Z",67.505,"Class2",30.39,NA
43.183,41.42,63.582,10.916,88,21.836,"X",77.289,"Class5",23.141,15.969
