"SDK1","URA2","SEY3","CEO4","PFR5","BEK6","LGB7","BZS8","Output26","PTE9","KPA10","CID11"
72.467,"K",35.572,57,54.785,49.28,50.769,78.285,"Class3",38.268,34,81.786
51.946,"V",100.045,29,NA,29.75,10.901,95.524,"Class2",45.132,48,43.783
72.435,"J",68.584,48,51.123,43.571,76.571,82.564,"Class3",25.802,28,66.768
50.524,"T",63.215,27,24.802,20.592,17.923,59.482,"Class2",45.239,52,41.287
39.498,"J",4.438,47,75.084,44.766,68.675,77.411,"Class3",44.513,32,77.567
71.117,"I",65.735,72,39.496,46.916,19.425,32.148,"Class4",77.273,55,45.132
74.321,"K",28.21,54,40.092,51.454,65.118,78.012,"Class3",29.967,34,84.054
25.543,"C",35.026,31,14.359,10.106,58.985,62.319,"Class1",8.796,69,82.253
27.497,"C",36.275,43,23.657,53.996,59.481,60.934,"Class1",29.575,70,31.317
50.472,"T",57.156,41,23.508,28.356,17.956,60.686,"Class2",53.915,30,42.828
47.51,"E",40.436,28,27.133,51.725,28.585,85.602,"Class2",45.053,18,46.93
51.211,"T",8.189,41,23.981,25.377,4.634,75.071,"Class2",58.777,48,46.205
50.407,"P",83.381,36,26.161,30.716,11.953,61.779,"Class2",48.496,30,44.093
33.397,"F",28.194,40,24.435,10.01,35.159,66.974,"Class1",16.797,57,23.171
22.87,"O",33.868,44,32.981,34.502,35.644,50.818,"Class1",48.273,64,42.277
28.872,"F",40.575,38,22.417,53.665,58.879,65.469,"Class1",15.631,58,21.303
51.905,"V",92.971,48,24.826,38.886,8.697,84.613,"Class2",59.005,42,41.407
66.757,"R",64.875,72,27.538,38.828,31.434,37.767,"Class4",43.588,NA,42.94
70.357,"R",65.234,68,29.108,21.086,21.535,13.213,"Class4",69.456,42,47.097
27.811,"O",29.699,34,26.056,13.642,21.658,66.837,"Class1",30.02,70,77.159
50.144,"V",91.321,54,26.357,19.351,2.745,56.427,"Class2",52.667,35,49.843
70.539,"R",65.147,51,18.368,68.629,7.705,35.94,"Class4",52.084,40,45.115
48.501,"V",54.1,28,24.294,38.251,15.25,72.523,"Class2",58.636,60,42.198
83.318,"C",53.86,56,36.787,46.604,56.321,71.681,"Class3",35.126,31,58.484
23.115,"F",34.024,38,30.485,28.575,13.698,59.329,"Class1",45.422,58,61.806
49.73,"T",109.121,47,24.851,22.754,4.523,65.673,"Class2",51.258,56,44.139
69.65,"L",65.291,58,27.862,38.409,22.717,25.808,"Class4",77.378,44,48.435
63.839,"V",65.822,57,21.529,13.982,30.861,34.426,"Class4",76.181,54,46.434
63.008,"L",65.127,70,29.948,12.852,31.439,27.703,"Class4",63.452,29,47.239
33.764,"C",41.172,45,17.417,54.828,86.812,67.937,"Class1",15.332,69,43.562
81.277,"Q",37.917,47,43.738,50.91,61.4,77.163,"Class3",49.002,36,66.173
64.017,"V",65.65,64,14.288,48.305,17.102,20.571,"Class4",48.596,36,48.489
62.949,"K",31.083,57,31.986,43.487,63.183,79.751,"Class3",34.304,28,94.648
65.775,"V",65.672,56,5.905,19.494,13.04,25.741,"Class4",65.442,48,44.276
30.286,"Z",20.343,47,13.908,40.671,71.501,54.914,"Class1",35.838,61,51.596
27.857,"O",35.055,35,21.868,28.835,52.92,66.511,"Class1",33.956,61,25.276
47.017,"Q",36.351,56,47.988,50.106,51.537,79.354,"Class3",43.944,30,77.789
50.828,"T",72.097,37,25.407,13.928,33.689,82.003,"Class2",53.672,57,48.725
51.564,"E",60.858,16,24.86,26.416,34.635,96.087,"Class2",54.049,36,47.82
65.976,"Q",48.822,52,61.212,44.875,61.791,71.857,"Class3",44.094,34,79.045
94.443,"J",50.325,54,66.66,44.794,46.373,79.064,"Class3",36.899,33,62.268
29.868,"F",30.313,54,28.427,6.887,80.838,63.298,"Class1",53.915,72,60.129
24.627,"O",48.342,47,27.727,5.494,28.026,58.959,"Class1",20.899,66,58.246
25.942,"F",27.803,37,34.693,29.715,37.608,60.524,"Class1",28.377,58,66.351
61.433,"J",30.196,56,49.144,45.673,66.027,77.56,"Class3",35.731,33,91.139
